,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,165.81,,,,,2022-08-04 00:00:00+00:00
1,165.35,,,,,2022-08-05 00:00:00+00:00
2,164.87,,,,,2022-08-08 00:00:00+00:00
3,164.92,,,,,2022-08-09 00:00:00+00:00
4,169.24,,,,,2022-08-10 00:00:00+00:00
5,168.49,,,,,2022-08-11 00:00:00+00:00
6,172.1,,,,,2022-08-12 00:00:00+00:00
7,173.19,,,,,2022-08-15 00:00:00+00:00
8,173.03,,,,,2022-08-16 00:00:00+00:00
9,174.55,,,,,2022-08-17 00:00:00+00:00
10,174.15,,,,,2022-08-18 00:00:00+00:00
11,171.52,169.76833333333335,,,,2022-08-19 00:00:00+00:00
12,167.57,169.915,,,,2022-08-22 00:00:00+00:00
13,167.23,170.07166666666666,,,,2022-08-23 00:00:00+00:00
14,167.53,170.29333333333332,,,,2022-08-24 00:00:00+00:00
15,170.03,170.71916666666667,,,,2022-08-25 00:00:00+00:00
16,163.62,170.25083333333333,,,,2022-08-26 00:00:00+00:00
17,161.38,169.65833333333333,,,,2022-08-29 00:00:00+00:00
18,158.91,168.55916666666667,,,,2022-08-30 00:00:00+00:00
19,157.22,167.22833333333332,,,,2022-08-31 00:00:00+00:00
20,157.96,165.9725,,,,2022-09-01 00:00:00+00:00
21,155.81,164.41083333333333,,,,2022-09-02 00:00:00+00:00
22,154.53,162.77583333333334,,,,2022-09-06 00:00:00+00:00
23,155.96,161.47916666666666,,,,2022-09-07 00:00:00+00:00
24,154.46,160.38666666666668,,,,2022-09-08 00:00:00+00:00
25,157.37,159.565,164.87692307692308,,,2022-09-09 00:00:00+00:00
26,163.43,159.22333333333333,164.78538461538463,,,2022-09-12 00:00:00+00:00
27,153.84,157.8741666666667,164.3426923076923,,,2022-09-13 00:00:00+00:00
28,155.31,157.18166666666667,163.97500000000002,,,2022-09-14 00:00:00+00:00
29,152.37,156.43083333333334,163.4923076923077,,,2022-09-15 00:00:00+00:00
30,150.7,155.74666666666667,162.77923076923076,,,2022-09-16 00:00:00+00:00
31,154.48,155.51833333333335,162.2403846153846,,,2022-09-19 00:00:00+00:00
32,156.9,155.42999999999998,161.65576923076924,,,2022-09-20 00:00:00+00:00
33,153.72,155.25583333333333,160.90692307692308,,,2022-09-21 00:00:00+00:00
34,152.74,155.10666666666665,160.12653846153847,,,2022-09-22 00:00:00+00:00
35,150.43,154.64583333333334,159.19884615384615,,,2022-09-23 00:00:00+00:00
36,150.77,154.33833333333334,158.29961538461538,,,2022-09-26 00:00:00+00:00
37,151.76,153.87083333333334,157.5396153846154,,,2022-09-27 00:00:00+00:00
38,149.84,152.73833333333334,156.8576923076923,,,2022-09-28 00:00:00+00:00
39,142.48,151.79166666666666,155.90576923076924,,,2022-09-29 00:00:00+00:00
40,138.2,150.3658333333333,154.7776923076923,,,2022-09-30 00:00:00+00:00
41,142.45,149.53916666666666,153.71692307692308,,,2022-10-03 00:00:00+00:00
42,146.1,149.15583333333333,153.04307692307694,,,2022-10-04 00:00:00+00:00
43,146.4,148.4825,152.46692307692308,,,2022-10-05 00:00:00+00:00
44,145.43,147.52666666666667,151.94846153846154,,,2022-10-06 00:00:00+00:00
45,140.09,146.39083333333335,151.2896153846154,,,2022-10-07 00:00:00+00:00
46,140.42,145.36416666666668,150.61499999999998,,,2022-10-10 00:00:00+00:00
47,138.98,144.41,149.9676923076923,,,2022-10-11 00:00:00+00:00
48,138.34,143.37416666666667,149.345,,,2022-10-12 00:00:00+00:00
49,142.99,142.64333333333335,148.84615384615384,156.8994,,2022-10-13 00:00:00+00:00
50,138.38,141.6883333333333,148.2276923076923,156.3508,,2022-10-14 00:00:00+00:00
51,142.41,141.68249999999998,147.6523076923077,155.892,,2022-10-17 00:00:00+00:00
52,143.75,142.145,146.89538461538461,155.4696,,2022-10-18 00:00:00+00:00
53,143.86,142.26250000000002,146.51153846153846,155.04840000000002,,2022-10-19 00:00:00+00:00
54,143.39,142.03666666666666,146.05307692307693,154.53140000000002,,2022-10-20 00:00:00+00:00
55,147.27,142.10916666666665,145.8569230769231,154.107,,2022-10-21 00:00:00+00:00
56,149.45,142.44416666666666,145.80884615384613,153.65400000000002,,2022-10-24 00:00:00+00:00
57,152.34,143.465,145.72653846153847,153.237,,2022-10-25 00:00:00+00:00
58,149.35,144.20916666666668,145.43615384615384,152.7634,,2022-10-26 00:00:00+00:00
59,144.8,144.69416666666666,145.09307692307692,152.1684,,2022-10-27 00:00:00+00:00
60,155.74,146.14416666666668,145.20846153846153,151.80020000000002,,2022-10-28 00:00:00+00:00
61,153.34,147.00666666666666,145.32038461538463,151.4366,,2022-10-31 00:00:00+00:00
62,150.65,148.02916666666667,145.31576923076923,151.0982,,2022-11-01 00:00:00+00:00
63,145.03,148.2475,145.05692307692308,150.6542,,2022-11-02 00:00:00+00:00
64,138.88,147.84166666666667,144.63538461538462,150.0812,,2022-11-03 00:00:00+00:00
65,138.38,147.385,144.4776923076923,149.44819999999999,,2022-11-04 00:00:00+00:00
66,138.92,147.01250000000002,144.5053846153846,148.95420000000001,,2022-11-07 00:00:00+00:00
67,139.5,146.365,144.39192307692306,148.5166,,2022-11-08 00:00:00+00:00
68,134.87,145.15,143.96,148.0358,,2022-11-09 00:00:00+00:00
69,146.87,144.6941666666667,143.97807692307694,147.8288,,2022-11-10 00:00:00+00:00
70,149.7,144.72333333333333,144.1423076923077,147.6636,,2022-11-11 00:00:00+00:00
71,148.28,145.01333333333335,144.4573076923077,147.513,,2022-11-14 00:00:00+00:00
72,150.04,144.53833333333333,144.8273076923077,147.4232,,2022-11-15 00:00:00+00:00
73,148.79,144.15916666666666,145.20461538461538,147.2798,,2022-11-16 00:00:00+00:00
74,150.72,144.165,145.68076923076922,147.205,,2022-11-17 00:00:00+00:00
75,151.29,144.68666666666667,146.0,147.0834,,2022-11-18 00:00:00+00:00
76,148.01,145.4475,146.3703846153846,146.77499999999998,,2022-11-21 00:00:00+00:00
77,150.18,146.43083333333334,146.66923076923075,146.7018,,2022-11-22 00:00:00+00:00
78,151.07,147.44333333333333,146.95076923076923,146.617,,2022-11-23 00:00:00+00:00
79,148.11,148.16083333333333,147.11423076923077,146.5318,,2022-11-25 00:00:00+00:00
80,144.22,148.94,147.14615384615382,146.40220000000002,,2022-11-28 00:00:00+00:00
81,141.17,148.465,146.91153846153844,146.136,,2022-11-29 00:00:00+00:00
82,148.03,148.32583333333335,146.85692307692307,145.95860000000002,,2022-11-30 00:00:00+00:00
83,148.31,148.32833333333332,146.70192307692307,145.85039999999998,,2022-12-01 00:00:00+00:00
84,147.81,148.1425,146.6426923076923,145.7518,,2022-12-02 00:00:00+00:00
85,146.63,147.9625,146.71307692307693,145.6758,,2022-12-05 00:00:00+00:00
86,142.91,147.31166666666667,146.2196153846154,145.5186,,2022-12-06 00:00:00+00:00
87,140.94,146.44916666666666,145.7426923076923,145.3022,,2022-12-07 00:00:00+00:00
88,142.65,146.0025,145.43499999999997,145.1584,,2022-12-08 00:00:00+00:00
89,142.16,145.33416666666668,145.32461538461538,145.15200000000002,,2022-12-09 00:00:00+00:00
90,144.49,144.78583333333333,145.5403846153846,145.27779999999998,,2022-12-12 00:00:00+00:00
91,145.47,144.56583333333333,145.81307692307692,145.3382,,2022-12-13 00:00:00+00:00
92,143.21,144.48166666666665,145.97807692307694,145.28040000000001,,2022-12-14 00:00:00+00:00
93,136.5,144.0925,145.86269230769233,145.0824,,2022-12-15 00:00:00+00:00
94,134.51,142.96583333333334,145.84884615384615,144.864,,2022-12-16 00:00:00+00:00
95,132.37,141.63750000000002,145.29115384615383,144.70960000000002,,2022-12-19 00:00:00+00:00
96,132.3,140.345,144.62192307692308,144.5472,,2022-12-20 00:00:00+00:00
97,135.45,139.41333333333333,144.12846153846152,144.4766,,2022-12-21 00:00:00+00:00
98,132.23,138.52333333333334,143.44346153846152,144.3544,,2022-12-22 00:00:00+00:00
99,131.86,137.76666666666668,142.7923076923077,144.1318,,2022-12-23 00:00:00+00:00
100,130.03,136.715,141.99653846153848,143.9648,,2022-12-27 00:00:00+00:00
101,126.04,135.37166666666667,141.02538461538464,143.63739999999999,,2022-12-28 00:00:00+00:00
102,129.61,134.13166666666666,140.3176923076923,143.3546,,2022-12-29 00:00:00+00:00
103,129.93,132.83666666666667,139.53884615384615,143.076,,2022-12-30 00:00:00+00:00
104,125.07,131.32500000000002,138.53884615384615,142.7096,,2023-01-03 00:00:00+00:00
105,126.36,130.48,137.70230769230767,142.2914,,2023-01-04 00:00:00+00:00
106,125.02,129.68916666666667,136.96384615384616,141.80280000000002,,2023-01-05 00:00:00+00:00
107,129.62,129.46,136.5196153846154,141.3484,,2023-01-06 00:00:00+00:00
108,130.15,129.28083333333333,135.8319230769231,140.9644,,2023-01-09 00:00:00+00:00
109,130.73,128.88750000000002,135.1557692307692,140.683,,2023-01-10 00:00:00+00:00
110,133.49,128.99249999999998,134.605,140.238,,2023-01-11 00:00:00+00:00
111,133.41,129.12166666666667,134.09653846153847,139.8394,,2023-01-12 00:00:00+00:00
112,134.76,129.51583333333335,133.78307692307692,139.5216,,2023-01-13 00:00:00+00:00
113,135.94,130.34083333333334,133.5907692307692,139.3398,,2023-01-17 00:00:00+00:00
114,135.21,130.8075,133.30461538461537,139.2664,,2023-01-18 00:00:00+00:00
115,135.27,131.2525,133.0396153846154,139.20420000000001,,2023-01-19 00:00:00+00:00
116,137.87,132.31916666666666,132.78500000000003,139.1832,,2023-01-20 00:00:00+00:00
117,141.11,133.54833333333335,132.6173076923077,139.21540000000002,,2023-01-23 00:00:00+00:00
118,142.53,135.0075,132.59115384615384,139.36860000000001,,2023-01-24 00:00:00+00:00
119,141.86,136.0275,132.7973076923077,139.2684,,2023-01-25 00:00:00+00:00
120,143.96,137.1783333333333,133.16076923076923,139.15359999999998,,2023-01-26 00:00:00+00:00
121,145.93,138.445,133.6823076923077,139.1066,,2023-01-27 00:00:00+00:00
122,143.0,139.23749999999998,134.09384615384616,138.9658,,2023-01-30 00:00:00+00:00
123,144.29,140.14416666666668,134.43384615384616,138.8758,,2023-01-31 00:00:00+00:00
124,145.43,141.03333333333333,134.94153846153847,138.77,,2023-02-01 00:00:00+00:00
125,150.82,142.27333333333334,135.67076923076922,138.76059999999998,,2023-02-02 00:00:00+00:00
126,154.5,143.88083333333333,136.61192307692306,138.8904,,2023-02-03 00:00:00+00:00
127,151.73,145.2525,137.6,138.9214,,2023-02-06 00:00:00+00:00
128,154.65,146.65083333333334,138.56307692307692,138.99300000000002,,2023-02-07 00:00:00+00:00
129,151.92,147.55166666666665,139.40884615384616,139.0692,,2023-02-08 00:00:00+00:00
130,150.87,148.24666666666667,140.40115384615385,139.2022,,2023-02-09 00:00:00+00:00
131,151.01,149.00916666666666,141.34923076923076,139.399,,2023-02-10 00:00:00+00:00
132,153.85,149.83333333333334,142.45807692307693,139.5154,,2023-02-13 00:00:00+00:00
133,153.2,150.43916666666667,143.36499999999998,139.6132,,2023-02-14 00:00:00+00:00
134,155.33,151.46666666666667,144.33346153846153,139.7636,,2023-02-15 00:00:00+00:00
135,153.71,152.25166666666667,145.21730769230768,139.9052,,2023-02-16 00:00:00+00:00
136,152.55,152.845,145.95038461538462,140.09799999999998,,2023-02-17 00:00:00+00:00
137,148.48,152.65,146.53,140.24880000000002,,2023-02-21 00:00:00+00:00
138,148.91,152.18416666666667,147.07423076923075,140.374,,2023-02-22 00:00:00+00:00
139,149.4,151.99,147.59192307692308,140.5188,,2023-02-23 00:00:00+00:00
140,146.71,151.32833333333335,148.0342307692308,140.5632,,2023-02-24 00:00:00+00:00
141,147.92,150.995,148.52076923076925,140.6122,,2023-02-27 00:00:00+00:00
142,147.41,150.70666666666668,148.8876923076923,140.69619999999998,,2023-02-28 00:00:00+00:00
143,145.31,150.23166666666665,149.04923076923077,140.8724,,2023-03-01 00:00:00+00:00
144,145.91,149.57000000000002,149.17923076923077,141.10039999999998,,2023-03-02 00:00:00+00:00
145,151.03,149.38916666666668,149.53192307692308,141.47359999999998,,2023-03-03 00:00:00+00:00
146,153.83,149.26416666666668,149.91153846153844,141.9042,,2023-03-06 00:00:00+00:00
147,151.6,149.08833333333334,150.1296153846154,142.22719999999998,,2023-03-07 00:00:00+00:00
148,152.87,149.11499999999998,150.50923076923075,142.64,,2023-03-08 00:00:00+00:00
149,150.59,149.29083333333332,150.75153846153847,143.0146,,2023-03-09 00:00:00+00:00
150,148.5,149.25666666666666,150.86961538461537,143.384,,2023-03-10 00:00:00+00:00
151,150.47,149.34583333333333,150.85615384615386,143.8726,,2023-03-13 00:00:00+00:00
152,152.59,149.83583333333334,150.78269230769232,144.3322,,2023-03-14 00:00:00+00:00
153,152.99,150.25833333333335,150.83115384615385,144.7934,,2023-03-15 00:00:00+00:00
154,155.85,150.96166666666667,150.87730769230768,145.40900000000002,,2023-03-16 00:00:00+00:00
155,155.0,151.76916666666668,150.9957692307692,145.9818,,2023-03-17 00:00:00+00:00
156,157.4,152.72666666666666,151.24692307692308,146.6294,,2023-03-20 00:00:00+00:00
157,159.28,153.41416666666666,151.565,147.2226,,2023-03-21 00:00:00+00:00
158,157.83,153.7475,151.71807692307692,147.7762,,2023-03-22 00:00:00+00:00
159,158.93,154.35833333333332,151.93846153846155,148.3402,,2023-03-23 00:00:00+00:00
160,160.25,154.97333333333333,152.1276923076923,148.8754,,2023-03-24 00:00:00+00:00
161,158.28,155.61416666666668,152.30346153846156,149.37279999999998,,2023-03-27 00:00:00+00:00
162,157.65,156.3766666666667,152.49961538461537,149.8306,,2023-03-28 00:00:00+00:00
163,160.77,157.235,152.97230769230768,150.3272,,2023-03-29 00:00:00+00:00
164,162.36,158.04916666666665,153.48961538461538,150.8702,,2023-03-30 00:00:00+00:00
165,164.9,159.04166666666666,154.08576923076924,151.46280000000002,,2023-03-31 00:00:00+00:00
166,166.17,159.90166666666667,154.83423076923077,152.02880000000002,,2023-04-03 00:00:00+00:00
167,165.63,160.7875,155.5153846153846,152.5192,,2023-04-04 00:00:00+00:00
168,163.76,161.3175,156.14423076923077,152.9438,,2023-04-05 00:00:00+00:00
169,164.66,161.76583333333335,156.88846153846154,153.39980000000003,,2023-04-06 00:00:00+00:00
170,162.03,162.11583333333334,157.50846153846155,153.7612,,2023-04-10 00:00:00+00:00
171,160.8,162.27166666666668,157.88423076923075,154.0586,,2023-04-11 00:00:00+00:00
172,160.1,162.25916666666666,158.12538461538463,154.4006,,2023-04-12 00:00:00+00:00
173,165.56,162.86583333333334,158.6623076923077,154.826,,2023-04-13 00:00:00+00:00
174,165.21,163.4958333333333,159.1369230769231,155.2216,,2023-04-14 00:00:00+00:00
175,165.23,163.86749999999998,159.7,155.50979999999998,,2023-04-17 00:00:00+00:00
176,166.47,164.21,160.39115384615386,155.7492,,2023-04-18 00:00:00+00:00
177,167.63,164.4375,161.05115384615385,156.06719999999999,,2023-04-19 00:00:00+00:00
178,166.65,164.4775,161.59192307692308,156.3072,,2023-04-20 00:00:00+00:00
179,165.02,164.42666666666665,162.05461538461537,156.5692,,2023-04-21 00:00:00+00:00
180,165.33,164.5575,162.41923076923075,156.8584,,2023-04-24 00:00:00+00:00
181,163.77,164.48333333333332,162.75653846153847,157.11360000000002,,2023-04-25 00:00:00+00:00
182,163.76,164.6275,163.00115384615384,157.3118,,2023-04-26 00:00:00+00:00
183,168.41,165.26166666666668,163.35230769230768,157.61599999999999,,2023-04-27 00:00:00+00:00
184,169.68,166.06,163.80807692307692,157.903,,2023-04-28 00:00:00+00:00
185,169.59,166.39583333333334,164.21807692307692,158.2206,,2023-05-01 00:00:00+00:00
186,168.54,166.67333333333332,164.53692307692307,158.5404,,2023-05-02 00:00:00+00:00
187,167.46,166.85916666666668,164.89,158.92,,2023-05-03 00:00:00+00:00
188,165.79,166.8025,165.2030769230769,159.2576,,2023-05-04 00:00:00+00:00
189,173.57,167.29749999999999,165.69538461538463,159.741,,2023-05-05 00:00:00+00:00
190,173.5,167.86833333333334,166.12384615384616,160.2768,,2023-05-08 00:00:00+00:00
191,171.77,168.43083333333334,166.38807692307694,160.7538,,2023-05-09 00:00:00+00:00
192,173.555,169.11625,166.6721153846154,161.2767,,2023-05-10 00:00:00+00:00
193,173.75,169.94791666666666,166.9844230769231,161.8455,,2023-05-11 00:00:00+00:00
194,172.57,170.68208333333334,167.32326923076923,162.3787,,2023-05-12 00:00:00+00:00
195,172.07,170.98708333333332,167.60826923076925,162.7995,,2023-05-15 00:00:00+00:00
196,172.07,171.18625,167.99442307692308,163.1643,,2023-05-16 00:00:00+00:00
197,172.69,171.44458333333333,168.45173076923078,163.58610000000002,,2023-05-17 00:00:00+00:00
198,175.05,171.98708333333332,169.02673076923077,164.02970000000002,,2023-05-18 00:00:00+00:00
199,175.16,172.62875,169.39596153846153,164.52110000000002,152.141725,2023-05-19 00:00:00+00:00
200,174.2,173.32958333333332,169.7417307692308,165.03510000000003,152.183675,2023-05-22 00:00:00+00:00
201,171.56,173.16208333333336,169.9851923076923,165.4569,152.214725,2023-05-23 00:00:00+00:00
202,171.84,173.02374999999998,170.19173076923076,165.84189999999998,152.249575,2023-05-24 00:00:00+00:00
