,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,138.92,,,,,2022-08-04 00:00:00+00:00
1,138.04,,,,,2022-08-05 00:00:00+00:00
2,140.34,,,,,2022-08-08 00:00:00+00:00
3,140.25,,,,,2022-08-09 00:00:00+00:00
4,140.94,,,,,2022-08-10 00:00:00+00:00
5,142.08,,,,,2022-08-11 00:00:00+00:00
6,142.6,,,,,2022-08-12 00:00:00+00:00
7,142.29,,,,,2022-08-15 00:00:00+00:00
8,142.55,,,,,2022-08-16 00:00:00+00:00
9,141.44,,,,,2022-08-17 00:00:00+00:00
10,141.29,,,,,2022-08-18 00:00:00+00:00
11,141.85,141.04916666666665,,,,2022-08-19 00:00:00+00:00
12,140.34,141.1675,,,,2022-08-22 00:00:00+00:00
13,139.02,141.24916666666667,,,,2022-08-23 00:00:00+00:00
14,137.91,141.04666666666665,,,,2022-08-24 00:00:00+00:00
15,139.33,140.97,,,,2022-08-25 00:00:00+00:00
16,136.35,140.5875,,,,2022-08-26 00:00:00+00:00
17,135.71,140.05666666666667,,,,2022-08-29 00:00:00+00:00
18,135.55,139.46916666666667,,,,2022-08-30 00:00:00+00:00
19,134.46,138.81666666666666,,,,2022-08-31 00:00:00+00:00
20,138.45,138.475,,,,2022-09-01 00:00:00+00:00
21,136.28,138.045,,,,2022-09-02 00:00:00+00:00
22,137.59,137.73666666666665,,,,2022-09-06 00:00:00+00:00
23,138.71,137.475,,,,2022-09-07 00:00:00+00:00
24,140.52,137.48999999999998,,,,2022-09-08 00:00:00+00:00
25,141.42,137.69,139.39346153846154,,,2022-09-09 00:00:00+00:00
26,142.24,138.05083333333334,139.52115384615385,,,2022-09-12 00:00:00+00:00
27,138.53,137.98416666666665,139.54,,,2022-09-13 00:00:00+00:00
28,139.55,138.25083333333333,139.5096153846154,,,2022-09-14 00:00:00+00:00
29,142.51,138.8175,139.59653846153844,,,2022-09-15 00:00:00+00:00
30,144.06,139.52666666666667,139.71653846153848,,,2022-09-16 00:00:00+00:00
31,142.66,140.21,139.73884615384617,,,2022-09-19 00:00:00+00:00
32,141.77,140.48666666666665,139.7069230769231,,,2022-09-20 00:00:00+00:00
33,140.31,140.82250000000002,139.63076923076923,,,2022-09-21 00:00:00+00:00
34,143.01,141.27416666666667,139.64846153846153,,,2022-09-22 00:00:00+00:00
35,143.06,141.63666666666668,139.71076923076924,,,2022-09-23 00:00:00+00:00
36,141.21,141.6941666666667,139.7076923076923,,,2022-09-26 00:00:00+00:00
37,141.72,141.71916666666667,139.7026923076923,,,2022-09-27 00:00:00+00:00
