,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,119.22,,,,,2022-08-04 00:00:00+00:00
1,117.11,,,,,2022-08-05 00:00:00+00:00
2,115.82,,,,,2022-08-08 00:00:00+00:00
3,114.44,,,,,2022-08-09 00:00:00+00:00
4,118.73,,,,,2022-08-10 00:00:00+00:00
5,121.5,,,,,2022-08-11 00:00:00+00:00
6,124.51,,,,,2022-08-12 00:00:00+00:00
7,126.04,,,,,2022-08-15 00:00:00+00:00
8,124.18,,,,,2022-08-16 00:00:00+00:00
9,121.87,,,,,2022-08-17 00:00:00+00:00
10,121.27,,,,,2022-08-18 00:00:00+00:00
11,114.76,119.95416666666667,,,,2022-08-19 00:00:00+00:00
12,111.39,119.30166666666666,,,,2022-08-22 00:00:00+00:00
13,111.6,118.84250000000002,,,,2022-08-23 00:00:00+00:00
14,114.51,118.73333333333333,,,,2022-08-24 00:00:00+00:00
15,117.03,118.94916666666667,,,,2022-08-25 00:00:00+00:00
16,112.82,118.45666666666666,,,,2022-08-26 00:00:00+00:00
17,113.54,117.79333333333334,,,,2022-08-29 00:00:00+00:00
18,112.56,116.79750000000001,,,,2022-08-30 00:00:00+00:00
19,113.12,115.72083333333335,,,,2022-08-31 00:00:00+00:00
20,113.4,114.8225,,,,2022-09-01 00:00:00+00:00
21,113.64,114.13666666666666,,,,2022-09-02 00:00:00+00:00
22,113.7,113.50583333333333,,,,2022-09-06 00:00:00+00:00
23,116.07,113.615,,,,2022-09-07 00:00:00+00:00
24,118.58,114.21416666666669,,,,2022-09-08 00:00:00+00:00
25,123.48,115.20416666666667,117.11115384615384,,,2022-09-09 00:00:00+00:00
26,124.79,116.06083333333333,117.32538461538462,,,2022-09-12 00:00:00+00:00
27,121.54,116.43666666666667,117.49576923076924,,,2022-09-13 00:00:00+00:00
28,126.8,117.60166666666667,117.91807692307692,,,2022-09-14 00:00:00+00:00
29,125.04,118.56,118.32576923076923,,,2022-09-15 00:00:00+00:00
30,118.75,119.07583333333332,118.32653846153845,,,2022-09-16 00:00:00+00:00
31,118.78,119.54750000000001,118.22192307692308,,,2022-09-19 00:00:00+00:00
32,116.71,119.82333333333332,117.9219230769231,,,2022-09-20 00:00:00+00:00
33,114.01,119.85416666666667,117.45923076923077,,,2022-09-21 00:00:00+00:00
34,103.72,119.0225,116.6723076923077,,,2022-09-22 00:00:00+00:00
35,101.75,117.82916666666667,115.89846153846155,,,2022-09-23 00:00:00+00:00
36,103.23,116.55,115.2046153846154,,,2022-09-26 00:00:00+00:00
37,106.37,115.12416666666667,114.88192307692309,,,2022-09-27 00:00:00+00:00
38,110.69,113.94916666666666,114.855,,,2022-09-28 00:00:00+00:00
39,106.66,112.70916666666666,114.66499999999999,,,2022-09-29 00:00:00+00:00
40,105.04,110.89583333333333,114.30076923076923,,,2022-09-30 00:00:00+00:00
41,105.0,109.22583333333334,113.83807692307693,,,2022-10-03 00:00:00+00:00
42,110.81,108.56416666666668,113.76076923076923,,,2022-10-04 00:00:00+00:00
43,111.76,107.97916666666667,113.6923076923077,,,2022-10-05 00:00:00+00:00
44,111.58,107.55166666666668,113.65461538461538,,,2022-10-06 00:00:00+00:00
45,108.54,107.09583333333335,113.47846153846154,,,2022-10-07 00:00:00+00:00
46,110.99,107.70166666666667,113.38576923076924,,,2022-10-10 00:00:00+00:00
47,106.82,108.12416666666667,113.12346153846154,,,2022-10-11 00:00:00+00:00
48,112.35,108.88416666666667,113.07153846153845,,,2022-10-12 00:00:00+00:00
49,112.65,109.40749999999998,112.94,114.78540000000001,,2022-10-13 00:00:00+00:00
50,109.16,109.27999999999999,112.5776923076923,114.5842,,2022-10-14 00:00:00+00:00
51,116.5,110.10000000000001,112.30923076923077,114.572,,2022-10-17 00:00:00+00:00
52,117.94,111.17500000000001,112.04576923076924,114.6144,,2022-10-18 00:00:00+00:00
53,116.87,112.16416666666667,111.86615384615385,114.663,,2022-10-19 00:00:00+00:00
54,117.0,112.67999999999999,111.48923076923077,114.6284,,2022-10-20 00:00:00+00:00
55,119.95,113.3625,111.29346153846154,114.59740000000002,,2022-10-21 00:00:00+00:00
56,116.39,113.76333333333334,111.2026923076923,114.435,,2022-10-24 00:00:00+00:00
57,118.45,114.58916666666666,111.19,114.2832,,2022-10-25 00:00:00+00:00
58,115.31,114.94916666666667,111.13615384615385,114.1058,,2022-10-26 00:00:00+00:00
59,112.06,115.38583333333334,111.06115384615386,113.9096,,2022-10-27 00:00:00+00:00
60,115.21,115.62416666666667,111.50307692307692,113.7884,,2022-10-28 00:00:00+00:00
61,106.91,115.14583333333333,111.70153846153845,113.63140000000001,,2022-10-31 00:00:00+00:00
62,109.05,115.13666666666666,111.92538461538462,113.5846,,2022-11-01 00:00:00+00:00
63,94.41,113.29583333333333,111.46538461538461,113.24080000000002,,2022-11-02 00:00:00+00:00
64,92.02,111.13583333333332,110.74730769230769,112.791,,2022-11-03 00:00:00+00:00
65,96.09,109.40416666666668,110.34076923076924,112.3722,,2022-11-04 00:00:00+00:00
66,95.46,107.60916666666667,109.9723076923077,112.025,,2022-11-07 00:00:00+00:00
67,98.9,105.855,109.73769230769231,111.73219999999999,,2022-11-08 00:00:00+00:00
68,95.79,104.13833333333332,109.16000000000001,111.3968,,2022-11-09 00:00:00+00:00
69,102.4,102.80083333333334,108.79999999999998,111.1824,,2022-11-10 00:00:00+00:00
70,109.57,102.32249999999999,108.72269230769231,111.1058,,2022-11-11 00:00:00+00:00
71,105.16,101.7475,108.5926923076923,110.93619999999999,,2022-11-14 00:00:00+00:00
72,107.01,101.06416666666667,108.43961538461538,110.80239999999999,,2022-11-15 00:00:00+00:00
73,104.43,100.8575,108.34769230769231,110.56960000000001,,2022-11-16 00:00:00+00:00
74,99.3,100.045,107.84576923076924,110.184,,2022-11-17 00:00:00+00:00
75,97.77,100.325,107.27346153846155,109.6698,,2022-11-18 00:00:00+00:00
