,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,109.72,,,,,2022-08-04 00:00:00+00:00
1,109.25,,,,,2022-08-05 00:00:00+00:00
2,109.0,,,,,2022-08-08 00:00:00+00:00
3,107.91,,,,,2022-08-09 00:00:00+00:00
4,110.27,,,,,2022-08-10 00:00:00+00:00
5,110.49,,,,,2022-08-11 00:00:00+00:00
6,111.48,,,,,2022-08-12 00:00:00+00:00
7,111.9,,,,,2022-08-15 00:00:00+00:00
8,112.03,,,,,2022-08-16 00:00:00+00:00
9,110.55,,,,,2022-08-17 00:00:00+00:00
10,109.96,,,,,2022-08-18 00:00:00+00:00
11,110.06,110.21833333333332,,,,2022-08-19 00:00:00+00:00
12,107.45,110.02916666666665,,,,2022-08-22 00:00:00+00:00
13,106.01,109.75916666666666,,,,2022-08-23 00:00:00+00:00
14,105.44,109.46249999999999,,,,2022-08-24 00:00:00+00:00
15,105.89,109.29416666666667,,,,2022-08-25 00:00:00+00:00
16,101.9,108.59666666666665,,,,2022-08-26 00:00:00+00:00
17,101.84,107.87583333333335,,,,2022-08-29 00:00:00+00:00
18,102.2,107.1025,,,,2022-08-30 00:00:00+00:00
19,102.65,106.33166666666666,,,,2022-08-31 00:00:00+00:00
20,104.84,105.7325,,,,2022-09-01 00:00:00+00:00
21,102.5,105.06166666666667,,,,2022-09-02 00:00:00+00:00
22,102.71,104.4575,,,,2022-09-06 00:00:00+00:00
23,104.7,104.01083333333334,,,,2022-09-07 00:00:00+00:00
24,106.99,103.97250000000001,,,,2022-09-08 00:00:00+00:00
25,108.48,104.17833333333334,107.16230769230768,,,2022-09-09 00:00:00+00:00
26,109.29,104.49916666666667,107.14576923076925,,,2022-09-12 00:00:00+00:00
27,105.84,104.495,107.01461538461538,,,2022-09-13 00:00:00+00:00
28,105.78,104.81833333333334,106.89076923076924,,,2022-09-14 00:00:00+00:00
29,105.06,105.08666666666666,106.78115384615384,,,2022-09-15 00:00:00+00:00
30,104.0,105.23666666666668,106.53999999999999,,,2022-09-16 00:00:00+00:00
31,104.09,105.35666666666667,106.29384615384616,,,2022-09-19 00:00:00+00:00
32,102.31,105.14583333333333,105.94115384615385,,,2022-09-20 00:00:00+00:00
33,100.65,104.99166666666667,105.50846153846155,,,2022-09-21 00:00:00+00:00
34,101.07,104.855,105.08692307692307,,,2022-09-22 00:00:00+00:00
35,100.68,104.52,104.70730769230771,,,2022-09-23 00:00:00+00:00
36,99.84,103.92416666666668,104.31807692307692,,,2022-09-26 00:00:00+00:00
37,98.33,103.07833333333333,103.86692307692307,,,2022-09-27 00:00:00+00:00
38,98.72,102.1975,103.53115384615384,,,2022-09-28 00:00:00+00:00
39,98.29,101.56833333333334,103.23423076923078,,,2022-09-29 00:00:00+00:00
40,96.76,100.81666666666666,102.90038461538461,,,2022-09-30 00:00:00+00:00
41,99.52,100.355,102.65538461538462,,,2022-10-03 00:00:00+00:00
42,103.08,100.27833333333332,102.70076923076924,,,2022-10-04 00:00:00+00:00
43,103.38,100.21916666666668,102.75999999999999,,,2022-10-05 00:00:00+00:00
44,102.45,100.23083333333335,102.76961538461539,,,2022-10-06 00:00:00+00:00
45,101.79,100.32583333333334,102.73653846153846,,,2022-10-07 00:00:00+00:00
46,101.13,100.33083333333333,102.59384615384616,,,2022-10-10 00:00:00+00:00
47,101.75,100.42,102.565,,,2022-10-11 00:00:00+00:00
48,100.08,100.44,102.46384615384615,,,2022-10-12 00:00:00+00:00
49,102.47,100.78500000000001,102.37807692307692,104.6516,,2022-10-13 00:00:00+00:00
50,100.91,100.96749999999999,102.14423076923079,104.4754,,2022-10-14 00:00:00+00:00
51,103.52,101.40333333333332,101.95346153846155,104.3608,,2022-10-17 00:00:00+00:00
52,104.98,102.08833333333332,101.78769230769231,104.28039999999999,,2022-10-18 00:00:00+00:00
53,98.11,101.97083333333335,101.49038461538461,104.0844,,2022-10-19 00:00:00+00:00
54,95.21,101.315,101.08384615384615,103.78320000000002,,2022-10-20 00:00:00+00:00
55,95.06,100.62166666666667,100.69923076923077,103.4746,,2022-10-21 00:00:00+00:00
56,98.29,100.27499999999999,100.47961538461537,103.2108,,2022-10-24 00:00:00+00:00
57,97.95,99.955,100.24346153846153,102.93179999999998,,2022-10-25 00:00:00+00:00
58,98.42,99.72916666666667,100.09384615384616,102.6596,,2022-10-26 00:00:00+00:00
