,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,310.61,,,,,2022-08-04 00:00:00+00:00
1,309.35,,,,,2022-08-05 00:00:00+00:00
2,310.33,,,,,2022-08-08 00:00:00+00:00
3,309.79,,,,,2022-08-09 00:00:00+00:00
4,316.48,,,,,2022-08-10 00:00:00+00:00
5,314.42,,,,,2022-08-11 00:00:00+00:00
6,320.44,,,,,2022-08-12 00:00:00+00:00
7,320.33,,,,,2022-08-15 00:00:00+00:00
8,320.78,,,,,2022-08-16 00:00:00+00:00
9,318.45,,,,,2022-08-17 00:00:00+00:00
10,319.46,,,,,2022-08-18 00:00:00+00:00
11,315.29,315.4775,,,,2022-08-19 00:00:00+00:00
12,310.0,315.4266666666667,,,,2022-08-22 00:00:00+00:00
13,306.7,315.2058333333333,,,,2022-08-23 00:00:00+00:00
14,306.26,314.8666666666667,,,,2022-08-24 00:00:00+00:00
15,309.77,314.865,,,,2022-08-25 00:00:00+00:00
16,298.13,313.33583333333337,,,,2022-08-26 00:00:00+00:00
17,295.14,311.7291666666667,,,,2022-08-29 00:00:00+00:00
18,292.5,309.4008333333333,,,,2022-08-30 00:00:00+00:00
19,288.46,306.745,,,,2022-08-31 00:00:00+00:00
20,288.79,304.07916666666665,,,,2022-09-01 00:00:00+00:00
21,284.07,301.21416666666664,,,,2022-09-02 00:00:00+00:00
22,283.46,298.21416666666664,,,,2022-09-06 00:00:00+00:00
23,286.76,295.83666666666664,,,,2022-09-07 00:00:00+00:00
24,287.96,294.0,,,,2022-09-08 00:00:00+00:00
25,290.55,292.65416666666664,304.3953846153846,,,2022-09-09 00:00:00+00:00
26,295.26,291.7375,303.805,,,2022-09-12 00:00:00+00:00
27,281.52,289.3833333333333,302.7346153846154,,,2022-09-13 00:00:00+00:00
28,278.53,287.74999999999994,301.51153846153846,,,2022-09-14 00:00:00+00:00
29,273.86,285.97666666666663,300.12961538461536,,,2022-09-15 00:00:00+00:00
30,272.68,284.325,298.445,,,2022-09-16 00:00:00+00:00
31,274.98,283.20166666666665,296.9280769230769,,,2022-09-19 00:00:00+00:00
32,270.24,281.6558333333333,294.9973076923077,,,2022-09-20 00:00:00+00:00
33,265.42,280.1016666666667,292.8853846153846,,,2022-09-21 00:00:00+00:00
