,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,430.59,,,,,2022-08-04 00:00:00+00:00
1,433.43,,,,,2022-08-05 00:00:00+00:00
2,434.34,,,,,2022-08-08 00:00:00+00:00
3,426.57,,,,,2022-08-09 00:00:00+00:00
4,438.4,,,,,2022-08-10 00:00:00+00:00
5,434.89,,,,,2022-08-11 00:00:00+00:00
6,445.67,,,,,2022-08-12 00:00:00+00:00
7,451.02,,,,,2022-08-15 00:00:00+00:00
8,447.56,,,,,2022-08-16 00:00:00+00:00
9,437.82,,,,,2022-08-17 00:00:00+00:00
10,439.03,,,,,2022-08-18 00:00:00+00:00
11,425.055,437.03125,,,,2022-08-19 00:00:00+00:00
12,411.35,435.4279166666667,,,,2022-08-22 00:00:00+00:00
13,410.41,433.5095833333333,,,,2022-08-23 00:00:00+00:00
14,405.65,431.11875000000003,,,,2022-08-24 00:00:00+00:00
15,403.93,429.2320833333333,,,,2022-08-25 00:00:00+00:00
16,381.02,424.4504166666666,,,,2022-08-26 00:00:00+00:00
17,375.26,419.48125,,,,2022-08-29 00:00:00+00:00
18,375.07,413.5979166666666,,,,2022-08-30 00:00:00+00:00
19,373.44,407.1329166666667,,,,2022-08-31 00:00:00+00:00
20,370.53,400.71374999999995,,,,2022-09-01 00:00:00+00:00
21,368.14,394.90708333333333,,,,2022-09-02 00:00:00+00:00
22,368.3,389.0129166666666,,,,2022-09-06 00:00:00+00:00
23,379.72,385.23499999999996,,,,2022-09-07 00:00:00+00:00
24,383.63,382.92499999999995,,,,2022-09-08 00:00:00+00:00
25,394.78,381.62249999999995,409.44634615384615,,,2022-09-09 00:00:00+00:00
26,396.36,380.84833333333336,408.1298076923077,,,2022-09-12 00:00:00+00:00
27,368.39,377.8866666666666,405.6282692307692,,,2022-09-13 00:00:00+00:00
28,371.52,377.095,403.21211538461534,,,2022-09-14 00:00:00+00:00
29,309.13,371.5841666666667,398.69519230769225,,,2022-09-15 00:00:00+00:00
30,299.5,365.28666666666663,393.3528846153846,,,2022-09-16 00:00:00+00:00
31,296.06,358.83833333333337,388.01326923076925,,,2022-09-19 00:00:00+00:00
32,291.06,352.21583333333336,382.0667307692308,,,2022-09-20 00:00:00+00:00
33,286.3,345.3958333333333,375.7313461538461,,,2022-09-21 00:00:00+00:00
34,287.06,338.62583333333333,369.55826923076927,,,2022-09-22 00:00:00+00:00
35,284.56,330.6958333333334,363.66365384615386,,,2022-09-23 00:00:00+00:00
36,276.96,321.8066666666667,357.43019230769227,,,2022-09-26 00:00:00+00:00
37,277.57,312.03916666666663,351.7576923076923,,,2022-09-27 00:00:00+00:00
38,281.4,302.4591666666667,346.75961538461536,,,2022-09-28 00:00:00+00:00
39,278.25,294.9475,341.6765384615385,,,2022-09-29 00:00:00+00:00
40,275.2,286.9208333333333,336.65923076923076,,,2022-09-30 00:00:00+00:00
41,285.24,284.93,332.0942307692307,,,2022-10-03 00:00:00+00:00
42,294.97,284.5525,328.7846153846154,,,2022-10-04 00:00:00+00:00
43,297.38,284.66249999999997,325.7892307692308,,,2022-10-05 00:00:00+00:00
44,298.41,285.275,322.84076923076924,,,2022-10-06 00:00:00+00:00
45,288.77,285.48083333333335,319.58423076923077,,,2022-10-07 00:00:00+00:00
46,285.72,285.3691666666667,316.3223076923077,,,2022-10-10 00:00:00+00:00
47,284.83,285.39166666666665,313.1180769230769,,,2022-10-11 00:00:00+00:00
48,286.15,286.1575,309.95846153846156,,,2022-10-12 00:00:00+00:00
49,294.74,287.5883333333333,306.69,356.82269999999994,,2022-10-13 00:00:00+00:00
50,287.94,288.1333333333333,303.00961538461536,353.9697,,2022-10-14 00:00:00+00:00
51,293.5,289.40416666666664,299.1142307692308,351.1711,,2022-10-17 00:00:00+00:00
52,292.98,290.8858333333333,295.13807692307694,348.3439,,2022-10-18 00:00:00+00:00
53,299.83,292.10166666666663,292.5011538461539,345.80909999999994,,2022-10-19 00:00:00+00:00
54,302.38,292.7191666666667,289.8419230769231,343.0887,,2022-10-20 00:00:00+00:00
55,306.37,293.4683333333333,289.7357692307692,340.51829999999995,,2022-10-21 00:00:00+00:00
56,316.22,294.95250000000004,290.37884615384615,337.9293,,2022-10-24 00:00:00+00:00
57,323.79,297.87083333333334,291.4453846153846,335.3847,,2022-10-25 00:00:00+00:00
