,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,176.96,,,,,2022-08-04 00:00:00+00:00
1,177.25,,,,,2022-08-05 00:00:00+00:00
2,175.86,,,,,2022-08-08 00:00:00+00:00
3,170.37,,,,,2022-08-09 00:00:00+00:00
4,175.08,,,,,2022-08-10 00:00:00+00:00
5,174.55,,,,,2022-08-11 00:00:00+00:00
6,179.26,,,,,2022-08-12 00:00:00+00:00
7,179.89,,,,,2022-08-15 00:00:00+00:00
8,179.04,,,,,2022-08-16 00:00:00+00:00
9,170.13,,,,,2022-08-17 00:00:00+00:00
10,170.13,,,,,2022-08-18 00:00:00+00:00
11,168.0,174.71,,,,2022-08-19 00:00:00+00:00
12,163.84,173.61666666666667,,,,2022-08-22 00:00:00+00:00
13,164.41,172.54666666666665,,,,2022-08-23 00:00:00+00:00
14,163.65,171.52916666666667,,,,2022-08-24 00:00:00+00:00
15,167.07,171.2541666666667,,,,2022-08-25 00:00:00+00:00
16,158.67,169.88666666666668,,,,2022-08-26 00:00:00+00:00
17,155.19,168.27333333333334,,,,2022-08-29 00:00:00+00:00
18,152.73,166.0625,,,,2022-08-30 00:00:00+00:00
19,151.53,163.69916666666666,,,,2022-08-31 00:00:00+00:00
20,150.69,161.33666666666667,,,,2022-09-01 00:00:00+00:00
21,148.63,159.545,,,,2022-09-02 00:00:00+00:00
22,148.23,157.72,,,,2022-09-06 00:00:00+00:00
23,150.7,156.27833333333334,,,,2022-09-07 00:00:00+00:00
24,152.13,155.3025,,,,2022-09-08 00:00:00+00:00
25,154.18,154.45000000000002,164.54500000000002,,,2022-09-09 00:00:00+00:00
26,155.65,153.78333333333333,163.7253846153846,,,2022-09-12 00:00:00+00:00
27,148.25,152.215,162.60999999999999,,,2022-09-13 00:00:00+00:00
28,150.25,151.51333333333332,161.625,,,2022-09-14 00:00:00+00:00
29,147.87,150.90333333333334,160.7596153846154,,,2022-09-15 00:00:00+00:00
30,149.31,150.61833333333334,159.7684615384615,,,2022-09-16 00:00:00+00:00
31,149.61,150.45833333333334,158.80923076923077,,,2022-09-19 00:00:00+00:00
32,149.78,150.38250000000002,157.67538461538464,,,2022-09-20 00:00:00+00:00
33,148.44,150.36666666666665,156.4657692307692,,,2022-09-21 00:00:00+00:00
34,145.34,150.12583333333336,155.16961538461538,,,2022-09-22 00:00:00+00:00
35,141.92,149.39416666666668,154.0846153846154,,,2022-09-23 00:00:00+00:00
36,140.82,148.45166666666668,152.9573076923077,,,2022-09-26 00:00:00+00:00
37,141.81,147.42083333333335,151.95,,,2022-09-27 00:00:00+00:00
38,144.58,146.49833333333333,151.20923076923077,,,2022-09-28 00:00:00+00:00
39,141.99,145.97666666666666,150.34692307692308,,,2022-09-29 00:00:00+00:00
40,139.34,145.0675,149.41192307692307,,,2022-09-30 00:00:00+00:00
41,145.13,144.83916666666667,148.56807692307694,,,2022-10-03 00:00:00+00:00
42,150.85,144.9675,148.2673076923077,,,2022-10-04 00:00:00+00:00
43,151.89,145.1575,148.14038461538462,,,2022-10-05 00:00:00+00:00
44,150.97,145.2566666666667,148.0726923076923,,,2022-10-06 00:00:00+00:00
45,144.92,144.96333333333334,147.81846153846152,,,2022-10-07 00:00:00+00:00
46,140.9,144.59333333333333,147.44192307692308,,,2022-10-10 00:00:00+00:00
47,138.8,144.33333333333334,147.06384615384616,,,2022-10-11 00:00:00+00:00
48,138.59,144.1475,146.69307692307692,,,2022-10-12 00:00:00+00:00
49,142.75,144.22583333333333,146.38730769230767,155.5586,,2022-10-13 00:00:00+00:00
50,136.73,143.5716666666667,145.79500000000002,154.754,,2022-10-14 00:00:00+00:00
51,139.12,143.3325,145.2157692307692,153.9914,,2022-10-17 00:00:00+00:00
52,141.1,143.47916666666666,144.65615384615384,153.2962,,2022-10-18 00:00:00+00:00
53,141.33,143.1625,144.39,152.71540000000002,,2022-10-19 00:00:00+00:00
54,142.08,142.43166666666667,144.07576923076923,152.0554,,2022-10-20 00:00:00+00:00
55,146.59,141.99,144.02653846153845,151.49620000000002,,2022-10-21 00:00:00+00:00
56,144.53,141.45333333333335,143.8426923076923,150.8016,,2022-10-24 00:00:00+00:00
57,146.37,141.57416666666668,143.71807692307692,150.13119999999998,,2022-10-25 00:00:00+00:00
58,141.38,141.61416666666668,143.395,149.378,,2022-10-26 00:00:00+00:00
59,140.68,141.77083333333334,143.09653846153847,148.789,,2022-10-27 00:00:00+00:00
60,144.88,142.295,143.07884615384614,148.284,,2022-10-28 00:00:00+00:00
61,142.62,142.28416666666666,143.10576923076923,147.7764,,2022-10-31 00:00:00+00:00
62,144.7,142.94833333333332,143.255,147.3936,,2022-11-01 00:00:00+00:00
63,141.24,143.125,143.23307692307694,146.93019999999999,,2022-11-02 00:00:00+00:00
64,138.02,142.86833333333334,142.98076923076923,146.4176,,2022-11-03 00:00:00+00:00
65,144.29,143.11499999999998,143.06923076923078,145.96200000000002,,2022-11-04 00:00:00+00:00
66,148.93,143.68583333333333,143.43807692307692,145.7672,,2022-11-07 00:00:00+00:00
67,151.04,144.05666666666664,143.66538461538462,145.6842,,2022-11-08 00:00:00+00:00
68,148.23,144.36499999999998,143.56461538461537,145.5942,,2022-11-09 00:00:00+00:00
69,160.37,145.53166666666667,143.89076923076922,145.77100000000002,,2022-11-10 00:00:00+00:00
70,164.06,147.42166666666665,144.39423076923077,146.0384,,2022-11-11 00:00:00+00:00
71,161.26,149.13666666666668,145.02269230769232,146.291,,2022-11-14 00:00:00+00:00
72,165.17,150.8275,145.95615384615385,146.6298,,2022-11-15 00:00:00+00:00
73,161.27,152.3816666666667,146.82038461538463,146.84120000000001,,2022-11-16 00:00:00+00:00
74,161.47,153.77916666666667,147.70038461538462,147.02800000000002,,2022-11-17 00:00:00+00:00
75,161.85,155.49666666666667,148.435,147.1814,,2022-11-18 00:00:00+00:00
76,159.24,157.26500000000001,149.30076923076925,147.2532,,2022-11-21 00:00:00+00:00
77,168.43,159.27666666666667,150.4280769230769,147.6568,,2022-11-22 00:00:00+00:00
78,169.2,160.96583333333334,151.50884615384615,148.0358,,2022-11-23 00:00:00+00:00
79,167.09,162.30333333333334,152.49961538461537,148.4202,,2022-11-25 00:00:00+00:00
80,164.01,163.61833333333334,153.34307692307692,148.7142,,2022-11-28 00:00:00+00:00
81,163.89,163.91166666666666,154.00846153846152,148.99980000000002,,2022-11-29 00:00:00+00:00
82,171.91,164.56583333333333,155.06153846153845,149.4424,,2022-11-30 00:00:00+00:00
83,171.48,165.4175,156.0273076923077,149.9032,,2022-12-01 00:00:00+00:00
84,168.63,165.70583333333335,157.07538461538462,150.369,,2022-12-02 00:00:00+00:00
85,167.84,166.25333333333333,158.12,150.88739999999999,,2022-12-05 00:00:00+00:00
86,166.51,166.67333333333335,158.95192307692307,151.40120000000002,,2022-12-06 00:00:00+00:00
87,166.01,167.02,159.85153846153844,151.8852,,2022-12-07 00:00:00+00:00
88,169.65,167.8875,160.81115384615384,152.3866,,2022-12-08 00:00:00+00:00
89,168.68,167.90833333333333,161.86653846153845,152.9204,,2022-12-09 00:00:00+00:00
90,172.26,168.16333333333333,163.18346153846153,153.5788,,2022-12-12 00:00:00+00:00
91,175.49,168.86333333333332,164.38346153846152,154.18599999999998,,2022-12-13 00:00:00+00:00
92,171.68,169.5025,165.25846153846152,154.6026,,2022-12-14 00:00:00+00:00
93,166.09,169.68583333333333,165.83730769230766,154.8866,,2022-12-15 00:00:00+00:00
94,166.82,169.26166666666666,166.5523076923077,155.2036,,2022-12-16 00:00:00+00:00
95,165.14,168.73333333333332,166.73576923076922,155.608,,2022-12-19 00:00:00+00:00
96,164.33,168.375,166.74615384615385,156.07659999999998,,2022-12-20 00:00:00+00:00
97,167.41,168.33916666666667,166.9826923076923,156.6488,,2022-12-21 00:00:00+00:00
98,163.75,168.10916666666665,166.92807692307693,157.152,,2022-12-22 00:00:00+00:00
99,163.84,167.9283333333333,167.02692307692308,157.5738,,2022-12-23 00:00:00+00:00
100,162.2,167.3075,167.05499999999998,158.0832,,2022-12-27 00:00:00+00:00
101,160.28,166.6075,166.9946153846154,158.5064,,2022-12-28 00:00:00+00:00
102,163.98,165.9175,167.1769230769231,158.964,,2022-12-29 00:00:00+00:00
103,164.03,164.9625,167.0076923076923,159.418,,2022-12-30 00:00:00+00:00
104,162.45,164.19333333333333,166.74807692307692,159.8254,,2023-01-03 00:00:00+00:00
105,165.91,164.1783333333333,166.70269230769233,160.2118,,2023-01-04 00:00:00+00:00
106,159.69,163.58416666666668,166.53653846153844,160.515,,2023-01-05 00:00:00+00:00
107,165.52,163.6158333333333,166.59923076923076,160.89800000000002,,2023-01-06 00:00:00+00:00
