,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,243.99,,,,,2022-08-04 00:00:00+00:00
1,247.2,,,,,2022-08-05 00:00:00+00:00
2,248.61,,,,,2022-08-08 00:00:00+00:00
3,249.8,,,,,2022-08-09 00:00:00+00:00
4,252.47,,,,,2022-08-10 00:00:00+00:00
5,250.23,,,,,2022-08-11 00:00:00+00:00
6,256.78,,,,,2022-08-12 00:00:00+00:00
7,259.71,,,,,2022-08-15 00:00:00+00:00
8,260.04,,,,,2022-08-16 00:00:00+00:00
9,260.69,,,,,2022-08-17 00:00:00+00:00
10,260.94,,,,,2022-08-18 00:00:00+00:00
11,259.82,254.18999999999997,,,,2022-08-19 00:00:00+00:00
12,256.38,255.2225,,,,2022-08-22 00:00:00+00:00
13,255.77,255.93666666666664,,,,2022-08-23 00:00:00+00:00
14,256.14,256.5641666666666,,,,2022-08-24 00:00:00+00:00
15,258.21,257.265,,,,2022-08-25 00:00:00+00:00
16,250.48,257.09916666666663,,,,2022-08-26 00:00:00+00:00
17,248.88,256.9866666666666,,,,2022-08-29 00:00:00+00:00
18,245.59,256.0541666666667,,,,2022-08-30 00:00:00+00:00
19,244.41,254.77916666666667,,,,2022-08-31 00:00:00+00:00
20,245.96,253.60583333333332,,,,2022-09-01 00:00:00+00:00
21,238.48,251.755,,,,2022-09-02 00:00:00+00:00
22,238.14,249.855,,,,2022-09-06 00:00:00+00:00
23,241.72,248.34666666666666,,,,2022-09-07 00:00:00+00:00
24,241.94,247.14333333333335,,,,2022-09-08 00:00:00+00:00
25,244.3,246.1875,250.64153846153846,,,2022-09-09 00:00:00+00:00
26,243.95,245.17166666666662,250.64000000000001,,,2022-09-12 00:00:00+00:00
27,235.06,243.24250000000004,250.17307692307693,,,2022-09-13 00:00:00+00:00
28,234.48,241.9091666666667,249.6296153846154,,,2022-09-14 00:00:00+00:00
29,230.71,240.39499999999998,248.89538461538461,,,2022-09-15 00:00:00+00:00
30,233.64,239.39916666666667,248.17115384615383,,,2022-09-16 00:00:00+00:00
31,235.72,238.67499999999998,247.6130769230769,,,2022-09-19 00:00:00+00:00
32,233.54,237.64,246.71923076923076,,,2022-09-20 00:00:00+00:00
33,230.42,236.96833333333333,245.5926923076923,,,2022-09-21 00:00:00+00:00
34,230.47,236.32916666666665,244.45538461538462,,,2022-09-22 00:00:00+00:00
