,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,99.95,,,,,2022-08-04 00:00:00+00:00
1,99.46,,,,,2022-08-05 00:00:00+00:00
2,100.08,,,,,2022-08-08 00:00:00+00:00
3,100.57,,,,,2022-08-09 00:00:00+00:00
4,101.34,,,,,2022-08-10 00:00:00+00:00
5,101.2,,,,,2022-08-11 00:00:00+00:00
6,103.78,,,,,2022-08-12 00:00:00+00:00
7,104.56,,,,,2022-08-15 00:00:00+00:00
8,104.46,,,,,2022-08-16 00:00:00+00:00
9,104.33,,,,,2022-08-17 00:00:00+00:00
10,104.37,,,,,2022-08-18 00:00:00+00:00
11,104.94,102.42,,,,2022-08-19 00:00:00+00:00
12,103.41,102.70833333333333,,,,2022-08-22 00:00:00+00:00
13,102.7,102.97833333333334,,,,2022-08-23 00:00:00+00:00
14,102.66,103.19333333333333,,,,2022-08-24 00:00:00+00:00
15,103.38,103.42750000000001,,,,2022-08-25 00:00:00+00:00
16,101.82,103.46749999999999,,,,2022-08-26 00:00:00+00:00
17,102.93,103.61166666666668,,,,2022-08-29 00:00:00+00:00
18,101.34,103.40833333333332,,,,2022-08-30 00:00:00+00:00
19,100.2,103.045,,,,2022-08-31 00:00:00+00:00
20,102.38,102.87166666666666,,,,2022-09-01 00:00:00+00:00
21,101.09,102.60166666666667,,,,2022-09-02 00:00:00+00:00
22,101.56,102.3675,,,,2022-09-06 00:00:00+00:00
23,104.74,102.35083333333334,,,,2022-09-07 00:00:00+00:00
24,103.98,102.39833333333333,,,,2022-09-08 00:00:00+00:00
25,104.71,102.56583333333333,102.53615384615385,,,2022-09-09 00:00:00+00:00
26,105.18,102.77583333333332,102.7373076923077,,,2022-09-12 00:00:00+00:00
27,102.2,102.6775,102.84269230769232,,,2022-09-13 00:00:00+00:00
28,103.32,102.80250000000001,102.9673076923077,,,2022-09-14 00:00:00+00:00
29,100.19,102.57416666666666,102.9526923076923,,,2022-09-15 00:00:00+00:00
30,100.36,102.4925,102.91499999999999,,,2022-09-16 00:00:00+00:00
31,101.11,102.56833333333333,102.91153846153847,,,2022-09-19 00:00:00+00:00
32,99.76,102.35000000000001,102.75692307692307,,,2022-09-20 00:00:00+00:00
33,98.57,102.13999999999999,102.52653846153846,,,2022-09-21 00:00:00+00:00
34,98.88,101.91666666666667,102.31192307692307,,,2022-09-22 00:00:00+00:00
35,97.74,101.33333333333333,102.05846153846154,,,2022-09-23 00:00:00+00:00
36,95.63,100.63749999999999,101.7223076923077,,,2022-09-26 00:00:00+00:00
37,92.86,99.64999999999999,101.2576923076923,,,2022-09-27 00:00:00+00:00
38,93.56,98.68166666666667,100.87884615384617,,,2022-09-28 00:00:00+00:00
39,89.07,97.58749999999999,100.35461538461537,,,2022-09-29 00:00:00+00:00
40,86.45,96.18166666666667,99.73115384615386,,,2022-09-30 00:00:00+00:00
41,88.23,95.185,99.14846153846155,,,2022-10-03 00:00:00+00:00
42,90.66,94.37666666666667,98.71923076923078,,,2022-10-04 00:00:00+00:00
43,87.7,93.25916666666667,98.13346153846153,,,2022-10-05 00:00:00+00:00
44,84.51,91.98833333333334,97.48615384615384,,,2022-10-06 00:00:00+00:00
45,82.99,90.69,96.82423076923077,,,2022-10-07 00:00:00+00:00
46,84.45,89.4875,96.13461538461539,,,2022-10-10 00:00:00+00:00
47,84.87,88.415,95.51076923076924,,,2022-10-11 00:00:00+00:00
48,81.74,87.2575,94.74846153846154,,,2022-10-12 00:00:00+00:00
49,84.78,86.58416666666666,93.98076923076923,98.015,,2022-10-13 00:00:00+00:00
50,83.52,85.7475,93.19384615384615,97.68639999999999,,2022-10-14 00:00:00+00:00
51,85.05,85.41250000000001,92.43769230769232,97.3982,,2022-10-17 00:00:00+00:00
52,86.58,85.42333333333333,91.7223076923077,97.12819999999999,,2022-10-18 00:00:00+00:00
53,85.9,85.22916666666667,91.09538461538462,96.8348,,2022-10-19 00:00:00+00:00
54,83.93,84.66833333333334,90.34961538461539,96.4866,,2022-10-20 00:00:00+00:00
55,85.63,84.49583333333334,89.78961538461539,96.17519999999999,,2022-10-21 00:00:00+00:00
56,86.0,84.62,89.2373076923077,95.8196,,2022-10-24 00:00:00+00:00
57,87.42,84.98916666666666,88.71076923076922,95.4768,,2022-10-25 00:00:00+00:00
58,87.45,85.23916666666666,88.2373076923077,95.1366,,2022-10-26 00:00:00+00:00
59,87.18,85.43166666666667,87.79923076923076,94.79360000000001,,2022-10-27 00:00:00+00:00
60,89.4,86.07,87.4346153846154,94.4942,,2022-10-28 00:00:00+00:00
