,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,59.17,,,,,2022-08-04 00:00:00+00:00
1,59.43,,,,,2022-08-05 00:00:00+00:00
2,59.58,,,,,2022-08-08 00:00:00+00:00
3,60.42,,,,,2022-08-09 00:00:00+00:00
4,61.71,,,,,2022-08-10 00:00:00+00:00
5,62.64,,,,,2022-08-11 00:00:00+00:00
6,64.03,,,,,2022-08-12 00:00:00+00:00
7,64.07,,,,,2022-08-15 00:00:00+00:00
8,63.99,,,,,2022-08-16 00:00:00+00:00
9,63.9,,,,,2022-08-17 00:00:00+00:00
10,64.55,,,,,2022-08-18 00:00:00+00:00
11,63.68,62.26416666666666,,,,2022-08-19 00:00:00+00:00
12,62.21,62.517500000000005,,,,2022-08-22 00:00:00+00:00
13,61.59,62.6975,,,,2022-08-23 00:00:00+00:00
14,61.55,62.86166666666667,,,,2022-08-24 00:00:00+00:00
15,62.24,63.01333333333333,,,,2022-08-25 00:00:00+00:00
16,60.87,62.943333333333335,,,,2022-08-26 00:00:00+00:00
17,60.82,62.791666666666664,,,,2022-08-29 00:00:00+00:00
18,60.13,62.46666666666667,,,,2022-08-30 00:00:00+00:00
19,59.42,62.07916666666667,,,,2022-08-31 00:00:00+00:00
20,59.52,61.70666666666667,,,,2022-09-01 00:00:00+00:00
21,59.4,61.331666666666656,,,,2022-09-02 00:00:00+00:00
22,59.53,60.913333333333334,,,,2022-09-06 00:00:00+00:00
23,60.86,60.67833333333334,,,,2022-09-07 00:00:00+00:00
24,61.67,60.63333333333333,,,,2022-09-08 00:00:00+00:00
25,61.88,60.6575,61.49461538461538,,,2022-09-09 00:00:00+00:00
26,62.5,60.73666666666667,61.622692307692304,,,2022-09-12 00:00:00+00:00
27,60.79,60.615833333333335,61.675000000000004,,,2022-09-13 00:00:00+00:00
28,60.13,60.55416666666667,61.69615384615384,,,2022-09-14 00:00:00+00:00
29,59.56,60.44916666666666,61.66307692307692,,,2022-09-15 00:00:00+00:00
30,59.5,60.39666666666667,61.57807692307692,,,2022-09-16 00:00:00+00:00
31,60.37,60.475833333333334,61.49076923076923,,,2022-09-19 00:00:00+00:00
32,60.53,60.56,61.356153846153845,,,2022-09-20 00:00:00+00:00
33,59.79,60.5925,61.191538461538464,,,2022-09-21 00:00:00+00:00
