,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,103.91,,,,,2022-08-04 00:00:00+00:00
1,102.31,,,,,2022-08-05 00:00:00+00:00
2,100.07,,,,,2022-08-08 00:00:00+00:00
3,95.54,,,,,2022-08-09 00:00:00+00:00
4,99.05,,,,,2022-08-10 00:00:00+00:00
5,98.12,,,,,2022-08-11 00:00:00+00:00
6,100.83,,,,,2022-08-12 00:00:00+00:00
7,101.01,,,,,2022-08-15 00:00:00+00:00
8,100.2,,,,,2022-08-16 00:00:00+00:00
9,98.27,,,,,2022-08-17 00:00:00+00:00
10,100.44,,,,,2022-08-18 00:00:00+00:00
11,95.95,99.64166666666667,,,,2022-08-19 00:00:00+00:00
12,92.84,98.71916666666665,,,,2022-08-22 00:00:00+00:00
13,92.49,97.90083333333332,,,,2022-08-23 00:00:00+00:00
14,92.73,97.28916666666667,,,,2022-08-24 00:00:00+00:00
15,97.18,97.42583333333334,,,,2022-08-25 00:00:00+00:00
16,91.18,96.77,,,,2022-08-26 00:00:00+00:00
17,88.49,95.96750000000002,,,,2022-08-29 00:00:00+00:00
18,86.94,94.81,,,,2022-08-30 00:00:00+00:00
19,84.87,93.46500000000002,,,,2022-08-31 00:00:00+00:00
20,82.33,91.97583333333334,,,,2022-09-01 00:00:00+00:00
21,80.24,90.47333333333334,,,,2022-09-02 00:00:00+00:00
22,78.72,88.66333333333334,,,,2022-09-06 00:00:00+00:00
23,79.61,87.30166666666666,,,,2022-09-07 00:00:00+00:00
24,82.78,86.46333333333332,,,,2022-09-08 00:00:00+00:00
25,85.45,85.87666666666667,92.75192307692308,,,2022-09-09 00:00:00+00:00
26,84.64,85.2025,92.01076923076924,,,2022-09-12 00:00:00+00:00
27,77.03,83.52333333333333,91.03846153846153,,,2022-09-13 00:00:00+00:00
28,77.45,82.37916666666666,90.16846153846154,,,2022-09-14 00:00:00+00:00
29,76.66,81.39333333333333,89.4423076923077,,,2022-09-15 00:00:00+00:00
30,76.51,80.52416666666666,88.57538461538462,,,2022-09-16 00:00:00+00:00
31,76.77,79.84916666666668,87.75423076923077,,,2022-09-19 00:00:00+00:00
32,75.25,79.25916666666667,86.77038461538463,,,2022-09-20 00:00:00+00:00
33,74.48,78.77916666666667,85.75,,,2022-09-21 00:00:00+00:00
34,69.5,78.01083333333334,84.56923076923077,,,2022-09-22 00:00:00+00:00
35,67.96,77.04,83.40346153846154,,,2022-09-23 00:00:00+00:00
36,66.3,75.66666666666667,82.09038461538461,,,2022-09-26 00:00:00+00:00
37,67.17,74.14333333333333,80.98346153846154,,,2022-09-27 00:00:00+00:00
38,68.36,72.78666666666666,80.04192307692308,,,2022-09-28 00:00:00+00:00
39,64.14,71.71249999999999,78.95153846153848,,,2022-09-29 00:00:00+00:00
40,63.36,70.53833333333333,77.82192307692308,,,2022-09-30 00:00:00+00:00
41,66.11,69.65916666666666,76.62692307692308,,,2022-10-03 00:00:00+00:00
42,67.9,68.94166666666666,75.73153846153846,,,2022-10-04 00:00:00+00:00
43,67.94,68.20583333333333,74.94115384615385,,,2022-10-05 00:00:00+00:00
44,67.85,67.58916666666666,74.20692307692308,,,2022-10-06 00:00:00+00:00
45,58.44,66.2525,73.1903846153846,,,2022-10-07 00:00:00+00:00
46,57.81,65.27833333333332,72.2473076923077,,,2022-10-10 00:00:00+00:00
47,57.63,64.4175,71.3776923076923,,,2022-10-11 00:00:00+00:00
48,57.85,63.71333333333333,70.575,,,2022-10-12 00:00:00+00:00
49,58.94,63.0275,69.78,81.152,,2022-10-13 00:00:00+00:00
50,55.94,61.9925,68.7476923076923,80.1926,,2022-10-14 00:00:00+00:00
51,57.96,61.4775,67.69038461538462,79.3056,,2022-10-17 00:00:00+00:00
52,57.92,61.024166666666666,66.66269230769231,78.46260000000001,,2022-10-18 00:00:00+00:00
53,57.23,60.284166666666664,65.90115384615385,77.6964,,2022-10-19 00:00:00+00:00
