,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,246.98,,,,,2022-08-04 00:00:00+00:00
1,246.25,,,,,2022-08-05 00:00:00+00:00
2,247.29,,,,,2022-08-08 00:00:00+00:00
3,248.36,,,,,2022-08-09 00:00:00+00:00
4,252.09,,,,,2022-08-10 00:00:00+00:00
5,248.35,,,,,2022-08-11 00:00:00+00:00
6,248.39,,,,,2022-08-12 00:00:00+00:00
7,251.08,,,,,2022-08-15 00:00:00+00:00
8,253.15,,,,,2022-08-16 00:00:00+00:00
9,250.58,,,,,2022-08-17 00:00:00+00:00
10,249.7,,,,,2022-08-18 00:00:00+00:00
11,250.86,249.42333333333332,,,,2022-08-19 00:00:00+00:00
12,246.9,249.41666666666666,,,,2022-08-22 00:00:00+00:00
13,244.47,249.26833333333332,,,,2022-08-23 00:00:00+00:00
14,244.49,249.035,,,,2022-08-24 00:00:00+00:00
15,245.68,248.81166666666664,,,,2022-08-25 00:00:00+00:00
16,240.65,247.85833333333335,,,,2022-08-26 00:00:00+00:00
17,239.38,247.11083333333332,,,,2022-08-29 00:00:00+00:00
18,239.12,246.33833333333334,,,,2022-08-30 00:00:00+00:00
19,240.3,245.44000000000003,,,,2022-08-31 00:00:00+00:00
20,245.5,244.8025,,,,2022-09-01 00:00:00+00:00
21,242.37,244.11833333333334,,,,2022-09-02 00:00:00+00:00
22,242.22,243.495,,,,2022-09-06 00:00:00+00:00
23,244.79,242.98916666666665,,,,2022-09-07 00:00:00+00:00
24,245.45,242.86833333333334,,,,2022-09-08 00:00:00+00:00
25,247.69,243.13666666666668,246.23423076923078,,,2022-09-09 00:00:00+00:00
26,237.62,242.56416666666667,245.8742307692308,,,2022-09-12 00:00:00+00:00
27,226.86,240.99583333333337,245.12846153846155,,,2022-09-13 00:00:00+00:00
28,228.12,239.95166666666668,244.39115384615386,,,2022-09-14 00:00:00+00:00
29,227.66,238.975,243.595,,,2022-09-15 00:00:00+00:00
30,231.14,238.31000000000003,242.78923076923076,,,2022-09-16 00:00:00+00:00
31,230.76,237.515,242.11269230769233,,,2022-09-19 00:00:00+00:00
32,227.71,236.0325,241.31730769230768,,,2022-09-20 00:00:00+00:00
33,224.46,234.54,240.29346153846154,,,2022-09-21 00:00:00+00:00
34,227.75,233.33416666666668,239.31653846153847,,,2022-09-22 00:00:00+00:00
35,226.97,231.84916666666666,238.40846153846152,,,2022-09-23 00:00:00+00:00
36,226.87,230.30083333333334,237.5303846153846,,,2022-09-26 00:00:00+00:00
37,225.99,228.49249999999998,236.57384615384615,,,2022-09-27 00:00:00+00:00
38,230.98,227.93916666666667,235.9615384615385,,,2022-09-28 00:00:00+00:00
39,228.41,228.0683333333333,235.3438461538462,,,2022-09-29 00:00:00+00:00
40,225.4,227.84166666666667,234.6096153846154,,,2022-09-30 00:00:00+00:00
41,230.44,228.07333333333335,234.02346153846156,,,2022-10-03 00:00:00+00:00
42,233.02,228.23,233.73,,,2022-10-04 00:00:00+00:00
43,233.82,228.485,233.51615384615386,,,2022-10-05 00:00:00+00:00
