,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,271.27,,,,,2022-08-04 00:00:00+00:00
1,272.19,,,,,2022-08-05 00:00:00+00:00
2,273.0,,,,,2022-08-08 00:00:00+00:00
3,276.18,,,,,2022-08-09 00:00:00+00:00
4,277.79,,,,,2022-08-10 00:00:00+00:00
5,273.95,,,,,2022-08-11 00:00:00+00:00
6,277.72,,,,,2022-08-12 00:00:00+00:00
7,281.52,,,,,2022-08-15 00:00:00+00:00
8,278.45,,,,,2022-08-16 00:00:00+00:00
9,277.46,,,,,2022-08-17 00:00:00+00:00
10,275.49,,,,,2022-08-18 00:00:00+00:00
11,274.41,275.7858333333333,,,,2022-08-19 00:00:00+00:00
12,269.75,275.65916666666664,,,,2022-08-22 00:00:00+00:00
13,265.23,275.07916666666665,,,,2022-08-23 00:00:00+00:00
14,264.48,274.3691666666667,,,,2022-08-24 00:00:00+00:00
15,268.24,273.70750000000004,,,,2022-08-25 00:00:00+00:00
16,261.19,272.3241666666667,,,,2022-08-26 00:00:00+00:00
17,259.72,271.1383333333333,,,,2022-08-29 00:00:00+00:00
18,253.4,269.1116666666667,,,,2022-08-30 00:00:00+00:00
19,254.05,266.82250000000005,,,,2022-08-31 00:00:00+00:00
20,257.64,265.0883333333333,,,,2022-09-01 00:00:00+00:00
21,250.85,262.87083333333334,,,,2022-09-02 00:00:00+00:00
22,254.18,261.095,,,,2022-09-06 00:00:00+00:00
23,259.5,259.8525,,,,2022-09-07 00:00:00+00:00
24,261.67,259.1791666666667,,,,2022-09-08 00:00:00+00:00
25,261.59,258.87583333333333,267.3430769230769,,,2022-09-09 00:00:00+00:00
26,265.09,258.9266666666667,267.1053846153846,,,2022-09-12 00:00:00+00:00
27,254.63,257.79249999999996,266.43,,,2022-09-13 00:00:00+00:00
28,251.82,257.01166666666666,265.61538461538464,,,2022-09-14 00:00:00+00:00
29,245.06,255.79,264.41846153846154,,,2022-09-15 00:00:00+00:00
30,245.89,255.16416666666666,263.19153846153847,,,2022-09-16 00:00:00+00:00
31,247.5,254.6183333333333,262.17423076923075,,,2022-09-19 00:00:00+00:00
32,237.9,252.97333333333333,260.6426923076923,,,2022-09-20 00:00:00+00:00
33,234.15,251.58166666666668,258.82076923076926,,,2022-09-21 00:00:00+00:00
34,232.78,249.79833333333332,257.0642307692308,,,2022-09-22 00:00:00+00:00
35,228.81,247.2408333333333,255.19307692307694,,,2022-09-23 00:00:00+00:00
36,221.37,243.88250000000002,253.1115384615385,,,2022-09-26 00:00:00+00:00
37,220.6,240.46666666666667,251.04192307692307,,,2022-09-27 00:00:00+00:00
38,221.06,236.79749999999999,249.16923076923075,,,2022-09-28 00:00:00+00:00
39,213.72,233.38833333333335,247.18807692307695,,,2022-09-29 00:00:00+00:00
40,214.7,230.295,245.27346153846153,,,2022-09-30 00:00:00+00:00
41,217.17,227.97083333333333,243.30923076923077,,,2022-10-03 00:00:00+00:00
42,220.08,225.82000000000002,241.72807692307694,,,2022-10-04 00:00:00+00:00
43,214.14,223.04,239.97500000000002,,,2022-10-05 00:00:00+00:00
44,203.07,220.13750000000002,238.03923076923076,,,2022-10-06 00:00:00+00:00
45,194.63,216.84416666666667,235.75384615384615,,,2022-10-07 00:00:00+00:00
