,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,142.57,,,,,2022-08-04 00:00:00+00:00
1,140.8,,,,,2022-08-05 00:00:00+00:00
2,139.41,,,,,2022-08-08 00:00:00+00:00
3,137.83,,,,,2022-08-09 00:00:00+00:00
4,142.69,,,,,2022-08-10 00:00:00+00:00
5,140.64,,,,,2022-08-11 00:00:00+00:00
6,143.55,,,,,2022-08-12 00:00:00+00:00
7,143.18,,,,,2022-08-15 00:00:00+00:00
8,144.78,,,,,2022-08-16 00:00:00+00:00
9,142.1,,,,,2022-08-17 00:00:00+00:00
10,142.3,,,,,2022-08-18 00:00:00+00:00
11,138.23,141.50666666666666,,,,2022-08-19 00:00:00+00:00
12,133.22,140.7275,,,,2022-08-22 00:00:00+00:00
13,133.62,140.12916666666666,,,,2022-08-23 00:00:00+00:00
14,133.8,139.66166666666666,,,,2022-08-24 00:00:00+00:00
15,137.28,139.61583333333334,,,,2022-08-25 00:00:00+00:00
16,130.75,138.62083333333334,,,,2022-08-26 00:00:00+00:00
17,129.79,137.71666666666667,,,,2022-08-29 00:00:00+00:00
18,128.73,136.48166666666665,,,,2022-08-30 00:00:00+00:00
19,126.77,135.11416666666665,,,,2022-08-31 00:00:00+00:00
20,127.82,133.70083333333332,,,,2022-09-01 00:00:00+00:00
21,127.51,132.485,,,,2022-09-02 00:00:00+00:00
22,126.11,131.13583333333332,,,,2022-09-06 00:00:00+00:00
23,129.48,130.40666666666667,,,,2022-09-07 00:00:00+00:00
24,129.82,130.12333333333333,,,,2022-09-08 00:00:00+00:00
25,133.27,130.09416666666667,135.6173076923077,,,2022-09-09 00:00:00+00:00
26,136.45,130.315,135.38192307692307,,,2022-09-12 00:00:00+00:00
27,126.82,129.44333333333333,134.8442307692308,,,2022-09-13 00:00:00+00:00
28,128.55,129.26,134.42653846153846,,,2022-09-14 00:00:00+00:00
29,126.28,128.9675,133.9823076923077,,,2022-09-15 00:00:00+00:00
30,123.53,128.53416666666666,133.2453846153846,,,2022-09-16 00:00:00+00:00
31,124.66,128.35833333333332,132.63076923076923,,,2022-09-19 00:00:00+00:00
32,122.19,127.88916666666667,131.80923076923077,,,2022-09-20 00:00:00+00:00
33,118.54,127.14166666666665,130.86153846153846,,,2022-09-21 00:00:00+00:00
34,117.31,126.40833333333332,129.805,,,2022-09-22 00:00:00+00:00
35,113.78,125.10000000000001,128.7157692307692,,,2022-09-23 00:00:00+00:00
36,115.15,123.8775,127.67153846153846,,,2022-09-26 00:00:00+00:00
37,114.41,122.30583333333334,126.75538461538461,,,2022-09-27 00:00:00+00:00
38,118.01,120.76916666666666,126.1703846153846,,,2022-09-28 00:00:00+00:00
39,114.8,119.7675,125.44653846153847,,,2022-09-29 00:00:00+00:00
40,113.0,118.47166666666668,124.64653846153848,,,2022-09-30 00:00:00+00:00
41,115.88,117.60500000000002,123.82346153846153,,,2022-10-03 00:00:00+00:00
42,121.09,117.40166666666666,123.45192307692308,,,2022-10-04 00:00:00+00:00
43,120.95,117.09250000000002,123.11192307692308,,,2022-10-05 00:00:00+00:00
44,120.3,116.935,122.78769230769231,,,2022-10-06 00:00:00+00:00
45,114.56,116.60333333333334,122.31807692307692,,,2022-10-07 00:00:00+00:00
46,113.67,116.30000000000001,121.77384615384615,,,2022-10-10 00:00:00+00:00
47,112.21,116.16916666666667,121.18538461538462,,,2022-10-11 00:00:00+00:00
48,112.9,115.98166666666667,120.67730769230769,,,2022-10-12 00:00:00+00:00
49,112.53,115.82499999999999,120.02538461538461,127.6724,,2022-10-13 00:00:00+00:00
50,106.9,114.89916666666666,119.14384615384617,126.95900000000002,,2022-10-14 00:00:00+00:00
51,113.79,114.815,118.39461538461538,126.4188,,2022-10-17 00:00:00+00:00
52,116.36,115.09500000000001,117.62192307692308,125.9578,,2022-10-18 00:00:00+00:00
53,115.07,115.02749999999999,117.16999999999999,125.5026,,2022-10-19 00:00:00+00:00
54,115.25,114.54083333333334,116.65846153846154,124.95379999999999,,2022-10-20 00:00:00+00:00
55,119.32,114.40499999999999,116.39076923076922,124.52740000000001,,2022-10-21 00:00:00+00:00
56,119.82,114.365,116.24807692307694,124.0528,,2022-10-24 00:00:00+00:00
57,120.6,114.86833333333334,116.09192307692307,123.60119999999999,,2022-10-25 00:00:00+00:00
58,115.66,115.03416666666665,115.84076923076921,123.01880000000001,,2022-10-26 00:00:00+00:00
59,110.96,114.92999999999999,115.54923076923076,122.396,,2022-10-27 00:00:00+00:00
60,103.41,114.13916666666667,115.01461538461537,121.6182,,2022-10-28 00:00:00+00:00
61,102.44,113.29833333333335,114.57846153846154,120.9024,,2022-10-31 00:00:00+00:00
62,96.79,112.45583333333333,113.87230769230769,120.17379999999999,,2022-11-01 00:00:00+00:00
63,92.12,110.64999999999999,113.01500000000001,119.34379999999999,,2022-11-02 00:00:00+00:00
64,89.3,108.39499999999998,111.91076923076922,118.45379999999999,,2022-11-03 00:00:00+00:00
65,90.98,106.38749999999999,110.99461538461537,117.52780000000001,,2022-11-04 00:00:00+00:00
66,90.53,104.3275,110.13038461538461,116.7234,,2022-11-07 00:00:00+00:00
67,89.98,101.88250000000001,109.13423076923078,115.9272,,2022-11-08 00:00:00+00:00
68,86.14,99.07583333333334,107.78999999999999,115.07539999999999,,2022-11-09 00:00:00+00:00
69,96.63,97.07833333333333,106.8546153846154,114.4726,,2022-11-10 00:00:00+00:00
70,100.79,95.83916666666669,106.10423076923077,113.932,,2022-11-11 00:00:00+00:00
71,98.49,94.80000000000001,105.48615384615384,113.3516,,2022-11-14 00:00:00+00:00
72,98.94,94.4275,104.91961538461538,112.80820000000001,,2022-11-15 00:00:00+00:00
73,97.12,93.98416666666667,104.33923076923075,112.161,,2022-11-16 00:00:00+00:00
74,94.85,93.82249999999999,103.645,111.4616,,2022-11-17 00:00:00+00:00
75,94.14,93.99083333333334,102.93769230769232,110.679,,2022-11-18 00:00:00+00:00
76,92.46,94.25416666666668,102.38230769230769,109.7992,,2022-11-21 00:00:00+00:00
77,93.2,94.43916666666667,101.59038461538461,109.1268,,2022-11-22 00:00:00+00:00
78,94.13,94.73916666666666,100.73538461538462,108.4384,,2022-11-23 00:00:00+00:00
79,93.41,95.02499999999999,99.90230769230769,107.781,,2022-11-25 00:00:00+00:00
80,93.95,95.67583333333333,99.08307692307693,107.18939999999999,,2022-11-28 00:00:00+00:00
81,92.42,95.32499999999999,98.04846153846155,106.54459999999999,,2022-11-29 00:00:00+00:00
82,96.54,94.97083333333332,97.15307692307692,106.0316,,2022-11-30 00:00:00+00:00
83,95.5,94.72166666666665,96.18769230769232,105.5708,,2022-12-01 00:00:00+00:00
84,94.13,94.32083333333334,95.35961538461538,105.10719999999999,,2022-12-02 00:00:00+00:00
85,91.01,93.81166666666667,94.5923076923077,104.65180000000001,,2022-12-05 00:00:00+00:00
86,88.25,93.26166666666667,94.00923076923078,104.1138,,2022-12-06 00:00:00+00:00
87,88.46,92.78833333333334,93.47153846153847,103.59479999999999,,2022-12-07 00:00:00+00:00
88,90.35,92.61250000000001,93.22384615384615,103.04160000000002,,2022-12-08 00:00:00+00:00
89,89.09,92.27,93.10730769230769,102.5274,,2022-12-09 00:00:00+00:00
90,90.55,91.97166666666668,93.15538461538462,102.0784,,2022-12-12 00:00:00+00:00
91,92.49,91.895,93.21346153846154,101.61059999999999,,2022-12-13 00:00:00+00:00
92,91.58,91.69749999999999,93.25384615384615,101.0204,,2022-12-14 00:00:00+00:00
93,88.45,91.36666666666667,93.195,100.3704,,2022-12-15 00:00:00+00:00
94,87.86,90.64333333333333,93.26115384615385,99.7216,,2022-12-16 00:00:00+00:00
95,84.92,89.76166666666666,92.81076923076922,99.1288,,2022-12-19 00:00:00+00:00
96,85.19,89.01666666666667,92.21076923076923,98.5592,,2022-12-20 00:00:00+00:00
97,86.77,88.66333333333334,91.76,98.05040000000001,,2022-12-21 00:00:00+00:00
98,83.79,88.29166666666667,91.17730769230769,97.4682,,2022-12-22 00:00:00+00:00
99,85.25,88.02416666666666,90.72076923076924,96.9226,,2022-12-23 00:00:00+00:00
100,83.04,87.415,90.26653846153846,96.44539999999999,,2022-12-27 00:00:00+00:00
101,81.82,86.80916666666667,89.7926923076923,95.80599999999998,,2022-12-28 00:00:00+00:00
102,84.18,86.27833333333335,89.47423076923077,95.16239999999999,,2022-12-29 00:00:00+00:00
103,84.0,85.57083333333333,89.12038461538462,94.541,,2022-12-30 00:00:00+00:00
104,85.82,85.09083333333332,88.80076923076923,93.9524,,2023-01-03 00:00:00+00:00
105,85.14,84.81500000000001,88.48269230769232,93.2688,,2023-01-04 00:00:00+00:00
106,83.12,84.42,88.06615384615384,92.53479999999999,,2023-01-05 00:00:00+00:00
107,86.08,84.51666666666667,87.82230769230767,91.84440000000001,,2023-01-06 00:00:00+00:00
108,87.36,84.6975,87.46923076923076,91.2784,,2023-01-09 00:00:00+00:00
109,89.87,84.95583333333333,87.2526923076923,90.8566,,2023-01-10 00:00:00+00:00
110,95.09,85.8975,87.28961538461539,90.69019999999999,,2023-01-11 00:00:00+00:00
111,95.27,86.7325,87.45346153846154,90.5468,,2023-01-12 00:00:00+00:00
112,98.12,87.98916666666666,87.83307692307692,90.5734,,2023-01-13 00:00:00+00:00
113,96.05,89.17500000000001,88.125,90.652,,2023-01-17 00:00:00+00:00
114,95.46,90.11500000000001,88.32153846153847,90.7752,,2023-01-18 00:00:00+00:00
115,93.68,90.92166666666667,88.49807692307692,90.8292,,2023-01-19 00:00:00+00:00
116,97.25,91.87416666666667,88.75576923076923,90.9636,,2023-01-20 00:00:00+00:00
117,97.52,92.90583333333332,88.94923076923077,91.1144,,2023-01-23 00:00:00+00:00
118,96.32,94.00583333333334,89.13153846153847,91.318,,2023-01-24 00:00:00+00:00
119,97.18,94.93083333333333,89.4673076923077,91.329,,2023-01-25 00:00:00+00:00
120,99.22,95.91916666666667,89.90423076923078,91.2976,,2023-01-26 00:00:00+00:00
121,102.24,96.94999999999999,90.57038461538461,91.3726,,2023-01-27 00:00:00+00:00
122,100.55,97.40499999999999,91.16115384615385,91.4048,,2023-01-30 00:00:00+00:00
123,103.13,98.06,91.79038461538461,91.525,,2023-01-31 00:00:00+00:00
124,105.15,98.64583333333331,92.61192307692308,91.73100000000001,,2023-02-01 00:00:00+00:00
125,112.91,100.05083333333333,93.67576923076923,92.1064,,2023-02-02 00:00:00+00:00
126,103.39,100.71166666666669,94.45846153846153,92.325,,2023-02-03 00:00:00+00:00
