,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,285.75,,,,,2022-08-04 00:00:00+00:00
1,287.53,,,,,2022-08-05 00:00:00+00:00
2,289.83,,,,,2022-08-08 00:00:00+00:00
3,293.42,,,,,2022-08-09 00:00:00+00:00
4,297.72,,,,,2022-08-10 00:00:00+00:00
5,296.69,,,,,2022-08-11 00:00:00+00:00
6,301.48,,,,,2022-08-12 00:00:00+00:00
7,300.68,,,,,2022-08-15 00:00:00+00:00
8,301.0,,,,,2022-08-16 00:00:00+00:00
9,300.4,,,,,2022-08-17 00:00:00+00:00
10,302.57,,,,,2022-08-18 00:00:00+00:00
11,299.87,296.4116666666667,,,,2022-08-19 00:00:00+00:00
12,292.75,296.995,,,,2022-08-22 00:00:00+00:00
13,286.69,296.925,,,,2022-08-23 00:00:00+00:00
14,287.32,296.7158333333333,,,,2022-08-24 00:00:00+00:00
15,290.24,296.4508333333334,,,,2022-08-25 00:00:00+00:00
16,285.87,295.4633333333333,,,,2022-08-26 00:00:00+00:00
17,282.9,294.31416666666667,,,,2022-08-29 00:00:00+00:00
18,282.12,292.7008333333333,,,,2022-08-30 00:00:00+00:00
19,279.26,290.91583333333335,,,,2022-08-31 00:00:00+00:00
20,280.78,289.23083333333335,,,,2022-09-01 00:00:00+00:00
21,278.34,287.3925,,,,2022-09-02 00:00:00+00:00
22,281.23,285.6141666666667,,,,2022-09-06 00:00:00+00:00
23,288.57,284.67249999999996,,,,2022-09-07 00:00:00+00:00
24,290.95,284.5225,,,,2022-09-08 00:00:00+00:00
25,292.09,284.97249999999997,290.6173076923077,,,2022-09-09 00:00:00+00:00
26,294.01,285.53000000000003,290.935,,,2022-09-12 00:00:00+00:00
27,284.04,285.0133333333333,290.8007692307692,,,2022-09-13 00:00:00+00:00
28,283.77,284.8383333333333,290.5676923076923,,,2022-09-14 00:00:00+00:00
29,280.13,284.6075,290.0565384615385,,,2022-09-15 00:00:00+00:00
30,277.12,284.19083333333333,289.2642307692308,,,2022-09-16 00:00:00+00:00
31,278.71,284.145,288.5726923076923,,,2022-09-19 00:00:00+00:00
32,276.22,283.765,287.60115384615386,,,2022-09-20 00:00:00+00:00
33,272.99,283.31916666666666,286.5361538461538,,,2022-09-21 00:00:00+00:00
34,272.22,282.5683333333333,285.42923076923074,,,2022-09-22 00:00:00+00:00
35,273.92,281.3475,284.41076923076923,,,2022-09-23 00:00:00+00:00
36,269.83,279.5875,283.1515384615385,,,2022-09-26 00:00:00+00:00
37,270.97,277.82750000000004,282.04,,,2022-09-27 00:00:00+00:00
38,275.27,276.2658333333333,281.3676923076923,,,2022-09-28 00:00:00+00:00
39,270.95,275.175,280.7623076923077,,,2022-09-29 00:00:00+00:00
40,267.87,273.84999999999997,280.0142307692308,,,2022-09-30 00:00:00+00:00
41,275.59,273.47166666666664,279.45076923076925,,,2022-10-03 00:00:00+00:00
42,284.32,274.07166666666666,279.3911538461538,,,2022-10-04 00:00:00+00:00
43,282.78,274.4108333333333,279.38653846153846,,,2022-10-05 00:00:00+00:00
44,280.72,274.78583333333336,279.3326923076923,,,2022-10-06 00:00:00+00:00
45,273.11,274.79583333333335,279.09615384615387,,,2022-10-07 00:00:00+00:00
46,279.59,275.41,279.05038461538464,,,2022-10-10 00:00:00+00:00
47,276.23,275.6025,278.96923076923076,,,2022-10-11 00:00:00+00:00
48,273.87,275.93916666666667,278.68615384615384,,,2022-10-12 00:00:00+00:00
49,281.5,276.81666666666666,278.41423076923076,284.23560000000003,,2022-10-13 00:00:00+00:00
50,270.81,276.445,277.6396153846154,283.9368,,2022-10-14 00:00:00+00:00
51,277.51,276.9916666666667,277.07884615384614,283.7364,,2022-10-17 00:00:00+00:00
52,280.33,278.03,276.5526923076923,283.5464,,2022-10-18 00:00:00+00:00
53,280.93,278.47499999999997,276.4330769230769,283.2966,,2022-10-19 00:00:00+00:00
54,273.72,277.59166666666664,276.0465384615385,282.8166,,2022-10-20 00:00:00+00:00
55,280.12,277.37,276.04615384615386,282.4852,,2022-10-21 00:00:00+00:00
56,284.51,277.68583333333333,276.3303846153846,282.1458,,2022-10-24 00:00:00+00:00
57,280.0,278.26,276.38,281.7322,,2022-10-25 00:00:00+00:00
58,277.13,278.055,276.415,281.2548,,2022-10-26 00:00:00+00:00
59,282.32,278.5625,276.77384615384614,280.8932,,2022-10-27 00:00:00+00:00
60,289.2,279.84,277.42692307692306,280.6258,,2022-10-28 00:00:00+00:00
61,281.49,279.8391666666667,277.7180769230769,280.2582,,2022-10-31 00:00:00+00:00
62,284.49,280.9791666666667,278.2819230769231,280.093,,2022-11-01 00:00:00+00:00
63,279.13,281.1141666666667,278.59576923076924,279.9418,,2022-11-02 00:00:00+00:00
64,276.39,280.78583333333336,278.63884615384615,279.7232,,2022-11-03 00:00:00+00:00
65,279.71,280.6841666666666,278.97576923076923,279.51259999999996,,2022-11-04 00:00:00+00:00
66,287.1,281.7991666666667,279.7153846153846,279.5372,,2022-11-07 00:00:00+00:00
67,286.78,282.3541666666667,280.14576923076925,279.61480000000006,,2022-11-08 00:00:00+00:00
68,281.1,282.07,280.0219230769231,279.5944,,2022-11-09 00:00:00+00:00
69,296.38,283.435,280.545,279.9368,,2022-11-10 00:00:00+00:00
70,293.0,284.7575,281.0173076923077,280.1812,,2022-11-11 00:00:00+00:00
71,291.32,285.5075,281.7176923076923,280.4408,,2022-11-14 00:00:00+00:00
72,291.89,285.7316666666667,282.1907692307692,280.654,,2022-11-15 00:00:00+00:00
73,293.46,286.7291666666667,282.85346153846154,280.7518,,2022-11-16 00:00:00+00:00
74,295.78,287.67,283.69615384615383,280.8484,,2022-11-17 00:00:00+00:00
75,301.32,289.51916666666665,284.45846153846156,281.033,,2022-11-18 00:00:00+00:00
76,301.7,291.62833333333333,285.64653846153846,281.1868,,2022-11-21 00:00:00+00:00
77,303.79,293.635,286.65730769230765,281.5818,,2022-11-22 00:00:00+00:00
78,304.24,295.06333333333333,287.5769230769231,281.9912,,2022-11-23 00:00:00+00:00
79,307.08,296.755,288.58269230769235,282.5302,,2022-11-25 00:00:00+00:00
80,305.27,298.76916666666665,289.79615384615386,283.0932,,2022-11-28 00:00:00+00:00
81,302.73,299.29833333333335,290.66576923076923,283.5736,,2022-11-29 00:00:00+00:00
82,308.28,300.57166666666666,291.58,284.21479999999997,,2022-11-30 00:00:00+00:00
83,303.07,301.5508333333333,292.46730769230766,284.81640000000004,,2022-12-01 00:00:00+00:00
84,306.78,302.7916666666667,293.6076923076923,285.50759999999997,,2022-12-02 00:00:00+00:00
85,308.74,304.065,294.62384615384616,286.20399999999995,,2022-12-05 00:00:00+00:00
86,307.96,305.08,295.34538461538466,286.96659999999997,,2022-12-06 00:00:00+00:00
87,304.14,305.315,296.21653846153845,287.63,,2022-12-07 00:00:00+00:00
88,306.57,305.72083333333336,297.0657692307692,288.256,,2022-12-08 00:00:00+00:00
89,305.68,305.8783333333333,298.08692307692303,288.95059999999995,,2022-12-09 00:00:00+00:00
90,307.6,306.15833333333336,299.2873076923077,289.7452,,2022-12-12 00:00:00+00:00
91,309.99,306.4008333333333,300.4519230769231,290.4332,,2022-12-13 00:00:00+00:00
92,306.14,306.4733333333333,301.1842307692308,290.8696,,2022-12-14 00:00:00+00:00
93,303.66,306.55083333333334,301.83346153846156,291.2872,,2022-12-15 00:00:00+00:00
94,298.76,305.7575,302.5126923076923,291.64799999999997,,2022-12-16 00:00:00+00:00
95,297.06,305.25666666666666,302.5388461538461,292.127,,2022-12-19 00:00:00+00:00
96,297.81,304.50916666666666,302.7238461538461,292.4914,,2022-12-20 00:00:00+00:00
