,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,257.73,,,,,2022-08-04 00:00:00+00:00
1,262.64,,,,,2022-08-05 00:00:00+00:00
2,261.77,,,,,2022-08-08 00:00:00+00:00
3,258.76,,,,,2022-08-09 00:00:00+00:00
4,265.63,,,,,2022-08-10 00:00:00+00:00
5,264.81,,,,,2022-08-11 00:00:00+00:00
6,270.88,,,,,2022-08-12 00:00:00+00:00
7,274.11,,,,,2022-08-15 00:00:00+00:00
8,273.54,,,,,2022-08-16 00:00:00+00:00
9,268.0,,,,,2022-08-17 00:00:00+00:00
10,267.6,,,,,2022-08-18 00:00:00+00:00
11,263.7,265.76416666666665,,,,2022-08-19 00:00:00+00:00
12,260.91,266.02916666666664,,,,2022-08-22 00:00:00+00:00
13,261.32,265.9191666666667,,,,2022-08-23 00:00:00+00:00
14,262.72,265.99833333333333,,,,2022-08-24 00:00:00+00:00
15,266.59,266.6508333333333,,,,2022-08-25 00:00:00+00:00
16,262.23,266.3675,,,,2022-08-26 00:00:00+00:00
17,260.7,266.025,,,,2022-08-29 00:00:00+00:00
18,255.85,264.77250000000004,,,,2022-08-30 00:00:00+00:00
19,252.45,262.96750000000003,,,,2022-08-31 00:00:00+00:00
20,250.0,261.0058333333333,,,,2022-09-01 00:00:00+00:00
21,246.53,259.2166666666667,,,,2022-09-02 00:00:00+00:00
22,246.17,257.4308333333333,,,,2022-09-06 00:00:00+00:00
23,253.78,256.6041666666667,,,,2022-09-07 00:00:00+00:00
24,253.83,256.01416666666665,,,,2022-09-08 00:00:00+00:00
25,256.97,255.65166666666664,260.7392307692308,,,2022-09-09 00:00:00+00:00
26,263.5,255.7166666666667,260.9611538461538,,,2022-09-12 00:00:00+00:00
27,256.08,254.84083333333334,260.70884615384614,,,2022-09-13 00:00:00+00:00
28,255.18,254.25333333333333,260.4553846153846,,,2022-09-14 00:00:00+00:00
29,248.47,253.23416666666665,260.05961538461537,,,2022-09-15 00:00:00+00:00
30,247.36,252.52666666666664,259.3569230769231,,,2022-09-16 00:00:00+00:00
31,249.38,252.27083333333334,258.7634615384615,,,2022-09-19 00:00:00+00:00
32,244.89,251.845,257.76384615384615,,,2022-09-20 00:00:00+00:00
33,241.46,251.42249999999999,256.50807692307694,,,2022-09-21 00:00:00+00:00
34,238.52,250.785,255.16115384615387,,,2022-09-22 00:00:00+00:00
35,237.07,249.3925,253.97153846153847,,,2022-09-23 00:00:00+00:00
36,231.5,247.53166666666667,252.58307692307693,,,2022-09-26 00:00:00+00:00
37,230.76,245.34749999999997,251.31615384615387,,,2022-09-27 00:00:00+00:00
38,234.97,242.97000000000003,250.31846153846152,,,2022-09-28 00:00:00+00:00
39,231.76,240.9433333333333,249.18153846153848,,,2022-09-29 00:00:00+00:00
40,232.73,239.0725,248.02807692307695,,,2022-09-30 00:00:00+00:00
41,238.33,238.2275,246.94115384615387,,,2022-10-03 00:00:00+00:00
42,247.96,238.2775,246.3923076923077,,,2022-10-04 00:00:00+00:00
43,242.8,237.72916666666666,245.70384615384611,,,2022-10-05 00:00:00+00:00
44,238.59,237.20416666666668,245.04,,,2022-10-06 00:00:00+00:00
45,231.75,236.395,244.24384615384616,,,2022-10-07 00:00:00+00:00
46,232.44,235.88833333333332,243.56846153846158,,,2022-10-10 00:00:00+00:00
47,231.21,235.39999999999998,242.97923076923078,,,2022-10-11 00:00:00+00:00
48,229.32,235.21833333333333,242.33115384615382,,,2022-10-12 00:00:00+00:00
49,237.99,235.82083333333335,241.72384615384615,251.0648,,2022-10-13 00:00:00+00:00
50,232.53,235.61749999999998,240.9046153846154,250.56080000000003,,2022-10-14 00:00:00+00:00
51,237.36,236.08416666666668,240.1503846153846,250.05519999999996,,2022-10-17 00:00:00+00:00
52,242.37,236.88750000000002,239.3376923076923,249.6672,,2022-10-18 00:00:00+00:00
53,241.45,237.14750000000004,238.77499999999998,249.32100000000003,,2022-10-19 00:00:00+00:00
54,238.32,236.34416666666667,238.12653846153847,248.7748,,2022-10-20 00:00:00+00:00
55,241.29,236.21833333333333,237.85038461538463,248.3044,,2022-10-21 00:00:00+00:00
56,243.92,236.6625,237.71807692307692,247.7652,,2022-10-24 00:00:00+00:00
57,251.56,238.3133333333333,237.8019230769231,247.31420000000003,,2022-10-25 00:00:00+00:00
58,252.02,239.94499999999996,238.07615384615386,246.88379999999998,,2022-10-26 00:00:00+00:00
59,249.06,241.4325,238.36846153846153,246.505,,2022-10-27 00:00:00+00:00
60,254.44,243.52583333333334,238.98076923076923,246.2418,,2022-10-28 00:00:00+00:00
61,250.4,244.55999999999997,239.49346153846153,245.97580000000002,,2022-10-31 00:00:00+00:00
62,252.12,246.1925,240.28653846153844,245.8,,2022-11-01 00:00:00+00:00
63,245.17,246.84333333333333,240.8407692307692,245.477,,2022-11-02 00:00:00+00:00
64,264.02,248.6475,241.95807692307693,245.503,,2022-11-03 00:00:00+00:00
65,276.06,251.53166666666664,243.66192307692307,245.69240000000002,,2022-11-04 00:00:00+00:00
66,277.63,254.8075,245.38884615384615,246.00039999999998,,2022-11-07 00:00:00+00:00
67,283.0,258.28333333333336,247.10692307692307,246.44639999999998,,2022-11-08 00:00:00+00:00
68,280.13,261.30083333333334,248.34423076923076,246.93200000000002,,2022-11-09 00:00:00+00:00
69,289.59,264.46999999999997,250.14384615384617,247.6748,,2022-11-10 00:00:00+00:00
70,288.46,267.50666666666666,252.0619230769231,248.444,,2022-11-11 00:00:00+00:00
71,294.89,271.3258333333333,254.4903846153846,249.41120000000004,,2022-11-14 00:00:00+00:00
72,294.54,274.6675,256.87884615384615,250.3786,,2022-11-15 00:00:00+00:00
73,295.12,278.39416666666665,259.33692307692303,251.2054,,2022-11-16 00:00:00+00:00
74,293.3,281.8258333333333,261.7976923076923,251.9948,,2022-11-17 00:00:00+00:00
75,296.48,286.10166666666663,264.0473076923077,252.785,,2022-11-18 00:00:00+00:00
76,296.41,288.80083333333334,266.50423076923073,253.4432,,2022-11-21 00:00:00+00:00
77,309.16,291.55916666666667,269.26576923076925,254.50480000000005,,2022-11-22 00:00:00+00:00
78,308.15,294.1025,271.7957692307692,255.56420000000003,,2022-11-23 00:00:00+00:00
79,309.91,296.34499999999997,274.42884615384617,256.793,,2022-11-25 00:00:00+00:00
80,304.46,298.3725,276.9726923076923,257.935,,2022-11-28 00:00:00+00:00
81,302.18,299.4216666666667,279.31461538461537,258.991,,2022-11-29 00:00:00+00:00
82,310.16,301.23,281.8623076923077,260.2964,,2022-11-30 00:00:00+00:00
83,312.04,302.6591666666667,284.1884615384615,261.70799999999997,,2022-12-01 00:00:00+00:00
84,318.44,304.6508333333333,286.7430769230769,263.3064,,2022-12-02 00:00:00+00:00
85,314.97,306.305,289.2780769230769,264.86440000000005,,2022-12-05 00:00:00+00:00
86,312.1,307.8716666666667,291.4957692307692,266.4764,,2022-12-06 00:00:00+00:00
87,315.58,309.46333333333337,294.0026923076923,268.17280000000005,,2022-12-07 00:00:00+00:00
88,319.86,311.4175,296.60807692307696,269.87059999999997,,2022-12-08 00:00:00+00:00
89,314.41,311.855,299.2711538461539,271.5236,,2022-12-09 00:00:00+00:00
90,319.51,312.8016666666667,301.40538461538466,273.25919999999996,,2022-12-12 00:00:00+00:00
91,325.25,314.08,303.2973076923077,274.9976,,2022-12-13 00:00:00+00:00
92,325.12,315.8016666666667,305.12384615384616,276.5408,,2022-12-14 00:00:00+00:00
93,316.24,316.97333333333336,306.4023076923077,278.0096,,2022-12-15 00:00:00+00:00
94,316.42,317.495,307.7980769230769,279.5662,,2022-12-16 00:00:00+00:00
95,313.72,317.635,308.72615384615386,281.2056,,2022-12-19 00:00:00+00:00
96,312.54,317.1433333333334,309.6523076923077,282.80760000000004,,2022-12-20 00:00:00+00:00
97,314.49,317.10333333333335,310.40615384615387,284.4732,,2022-12-21 00:00:00+00:00
98,312.6,317.145,311.1007692307693,286.1388,,2022-12-22 00:00:00+00:00
99,312.04,316.84999999999997,311.7515384615385,287.6198,,2022-12-23 00:00:00+00:00
100,312.2,316.2116666666667,312.47846153846154,289.2132,,2022-12-27 00:00:00+00:00
101,309.64,315.81416666666667,312.9846153846154,290.6588,,2022-12-28 00:00:00+00:00
102,311.41,315.13916666666665,313.5615384615385,292.0396,,2022-12-29 00:00:00+00:00
103,308.26,313.72333333333336,313.5269230769231,293.37579999999997,,2022-12-30 00:00:00+00:00
104,306.57,312.1775,313.4661538461539,294.7408,,2023-01-03 00:00:00+00:00
105,306.59,311.37333333333333,313.33846153846156,296.0468,,2023-01-04 00:00:00+00:00
106,301.82,310.1566666666667,313.23692307692306,297.2048,,2023-01-05 00:00:00+00:00
107,310.18,309.8616666666666,313.54461538461544,298.37719999999996,,2023-01-06 00:00:00+00:00
108,311.67,309.78916666666663,313.60269230769234,299.5702,,2023-01-09 00:00:00+00:00
109,312.67,309.6375,313.6269230769231,300.8424,,2023-01-10 00:00:00+00:00
110,312.77,309.6516666666667,313.4088461538462,302.009,,2023-01-11 00:00:00+00:00
111,310.21,309.49916666666667,313.22576923076923,303.2052,,2023-01-12 00:00:00+00:00
112,311.4,309.4325,313.19884615384615,304.3908,,2023-01-13 00:00:00+00:00
113,306.38,309.1608333333333,312.845,305.615,,2023-01-17 00:00:00+00:00
114,302.89,308.4508333333333,312.1923076923077,306.39239999999995,,2023-01-18 00:00:00+00:00
115,299.89,307.75333333333333,311.63384615384615,306.869,,2023-01-19 00:00:00+00:00
116,304.4,307.5725,311.0526923076923,307.4044,,2023-01-20 00:00:00+00:00
117,308.72,307.75,310.41692307692307,307.91880000000003,,2023-01-23 00:00:00+00:00
118,313.34,308.71,309.96384615384613,308.58299999999997,,2023-01-24 00:00:00+00:00
119,312.05,308.86583333333334,309.8026923076923,309.0322,,2023-01-25 00:00:00+00:00
120,316.61,309.2775,309.81,309.5952,,2023-01-26 00:00:00+00:00
121,314.15,309.4008333333333,309.82653846153846,309.9804,,2023-01-27 00:00:00+00:00
122,313.9,309.495,309.87884615384615,310.36760000000004,,2023-01-30 00:00:00+00:00
123,320.51,310.3533333333333,310.1103846153846,310.8754,,2023-01-31 00:00:00+00:00
124,318.13,310.91416666666663,310.3230769230769,311.372,,2023-02-01 00:00:00+00:00
125,295.5,310.0075,309.68692307692305,311.3524,,2023-02-02 00:00:00+00:00
126,285.02,308.5183333333333,308.64153846153846,311.12460000000004,,2023-02-03 00:00:00+00:00
127,283.03,307.1133333333333,307.6180769230769,310.602,,2023-02-06 00:00:00+00:00
128,285.07,305.5025,306.60499999999996,310.1404,,2023-02-07 00:00:00+00:00
129,287.24,303.71250000000003,305.79653846153843,309.687,,2023-02-08 00:00:00+00:00
130,286.89,301.5083333333333,305.0396153846154,309.3356,,2023-02-09 00:00:00+00:00
131,287.82,299.4891666666667,304.31769230769225,309.0484,,2023-02-10 00:00:00+00:00
132,286.7,296.99666666666667,303.7361538461538,308.5792,,2023-02-13 00:00:00+00:00
133,281.49,294.275,302.6326923076923,307.9682,,2023-02-14 00:00:00+00:00
134,284.46,291.82166666666666,301.5861538461538,307.28860000000003,,2023-02-15 00:00:00+00:00
135,280.73,288.50666666666666,300.3576923076923,306.60380000000004,,2023-02-16 00:00:00+00:00
136,279.71,285.305,299.0861538461538,305.95599999999996,,2023-02-17 00:00:00+00:00
137,277.51,283.80583333333334,297.8284615384615,305.1946,,2023-02-21 00:00:00+00:00
138,278.29,283.245,296.555,304.3632,,2023-02-22 00:00:00+00:00
139,279.72,282.9691666666667,295.5296153846154,303.6694,,2023-02-23 00:00:00+00:00
140,280.98,282.62833333333333,294.68692307692305,302.8988,,2023-02-24 00:00:00+00:00
141,285.42,282.4766666666667,294.1303846153846,302.10220000000004,,2023-02-27 00:00:00+00:00
142,285.98,282.4008333333333,293.42192307692306,301.3194,,2023-02-28 00:00:00+00:00
143,288.28,282.4391666666667,292.6357692307692,300.7602,,2023-03-01 00:00:00+00:00
144,292.03,282.8833333333333,291.81615384615384,300.2724,,2023-03-02 00:00:00+00:00
145,294.78,283.99083333333334,291.1519230769231,299.8936,,2023-03-03 00:00:00+00:00
146,293.12,284.71250000000003,290.2484615384615,299.5052,,2023-03-06 00:00:00+00:00
147,291.39,285.60083333333336,289.3730769230769,299.0432,,2023-03-07 00:00:00+00:00
148,290.04,286.46166666666664,288.4553846153846,298.592,,2023-03-08 00:00:00+00:00
149,284.08,287.00916666666666,287.05423076923074,298.0328,,2023-03-09 00:00:00+00:00
150,281.27,287.2575,285.63653846153846,297.4142,,2023-03-10 00:00:00+00:00
151,280.99,287.36333333333334,285.0784615384615,296.8412,,2023-03-13 00:00:00+00:00
152,285.9,287.7733333333333,285.1123076923077,296.331,,2023-03-14 00:00:00+00:00
153,277.04,287.075,284.88192307692304,295.7066,,2023-03-15 00:00:00+00:00
154,279.65,286.54749999999996,284.67346153846154,295.1682,,2023-03-16 00:00:00+00:00
155,274.74,285.4191666666667,284.1926923076923,294.5312,,2023-03-17 00:00:00+00:00
156,279.21,284.35083333333336,283.89730769230766,294.079,,2023-03-20 00:00:00+00:00
157,278.81,283.02000000000004,283.5507692307692,293.4516,,2023-03-21 00:00:00+00:00
158,275.36,281.54,283.1146153846154,292.72540000000004,,2023-03-22 00:00:00+00:00
159,266.94,279.5025,282.55499999999995,291.81080000000003,,2023-03-23 00:00:00+00:00
160,267.67,277.6383333333333,281.90923076923076,290.9088,,2023-03-24 00:00:00+00:00
161,270.19,276.48083333333335,281.50384615384615,290.1084,,2023-03-27 00:00:00+00:00
162,273.54,275.83666666666664,281.26653846153846,289.3512,,2023-03-28 00:00:00+00:00
163,276.33,275.4483333333333,281.22115384615387,288.7502,,2023-03-29 00:00:00+00:00
164,279.72,274.93333333333334,281.2761538461539,288.2868,,2023-03-30 00:00:00+00:00
165,287.21,275.7808333333333,281.56423076923073,288.0332,,2023-03-31 00:00:00+00:00
166,289.04,276.56333333333333,281.87423076923073,287.726,,2023-04-03 00:00:00+00:00
167,285.25,277.43916666666667,281.86769230769227,287.2566,,2023-04-04 00:00:00+00:00
168,283.88,277.8283333333333,281.7869230769231,286.66740000000004,,2023-04-05 00:00:00+00:00
169,282.0,278.0941666666667,281.5453846153846,286.0664,,2023-04-06 00:00:00+00:00
170,283.43,278.76666666666665,281.2146153846154,285.4028,,2023-04-10 00:00:00+00:00
171,285.33,280.2991666666667,280.85115384615386,284.82640000000004,,2023-04-11 00:00:00+00:00
172,287.17,281.9241666666667,280.6223076923077,284.2918,,2023-04-12 00:00:00+00:00
173,288.14,283.42,280.4973076923077,283.64439999999996,,2023-04-13 00:00:00+00:00
