,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,23.35,,,,,2022-08-04 00:00:00+00:00
1,24.62,,,,,2022-08-05 00:00:00+00:00
2,26.58,,,,,2022-08-08 00:00:00+00:00
3,24.67,,,,,2022-08-09 00:00:00+00:00
4,27.32,,,,,2022-08-10 00:00:00+00:00
5,27.29,,,,,2022-08-11 00:00:00+00:00
6,28.46,,,,,2022-08-12 00:00:00+00:00
7,27.67,,,,,2022-08-15 00:00:00+00:00
8,26.72,,,,,2022-08-16 00:00:00+00:00
9,25.25,,,,,2022-08-17 00:00:00+00:00
10,25.06,,,,,2022-08-18 00:00:00+00:00
11,21.97,25.746666666666666,,,,2022-08-19 00:00:00+00:00
12,20.06,25.472499999999997,,,,2022-08-22 00:00:00+00:00
13,19.67,25.06,,,,2022-08-23 00:00:00+00:00
14,19.65,24.482499999999998,,,,2022-08-24 00:00:00+00:00
15,19.93,24.087499999999995,,,,2022-08-25 00:00:00+00:00
16,19.76,23.4575,,,,2022-08-26 00:00:00+00:00
17,18.7,22.741666666666664,,,,2022-08-29 00:00:00+00:00
18,18.97,21.950833333333335,,,,2022-08-30 00:00:00+00:00
19,19.15,21.24083333333333,,,,2022-08-31 00:00:00+00:00
20,17.82,20.499166666666664,,,,2022-09-01 00:00:00+00:00
21,18.16,19.90833333333333,,,,2022-09-02 00:00:00+00:00
22,18.89,19.394166666666667,,,,2022-09-06 00:00:00+00:00
23,19.04,19.15,,,,2022-09-07 00:00:00+00:00
24,23.76,19.458333333333332,,,,2022-09-08 00:00:00+00:00
25,24.66,19.874166666666667,22.583846153846153,,,2022-09-09 00:00:00+00:00
26,28.71,20.629166666666666,22.79,,,2022-09-12 00:00:00+00:00
27,25.42,21.086666666666666,22.820769230769226,,,2022-09-13 00:00:00+00:00
28,25.18,21.53833333333333,22.766923076923078,,,2022-09-14 00:00:00+00:00
29,25.56,22.11,22.801153846153845,,,2022-09-15 00:00:00+00:00
30,24.03,22.531666666666666,22.674615384615386,,,2022-09-16 00:00:00+00:00
31,25.36,23.049166666666668,22.600384615384616,,,2022-09-19 00:00:00+00:00
32,23.84,23.550833333333333,22.42269230769231,,,2022-09-20 00:00:00+00:00
33,23.09,23.961666666666662,22.24653846153846,,,2022-09-21 00:00:00+00:00
34,21.93,24.215,22.06230769230769,,,2022-09-22 00:00:00+00:00
35,20.66,24.349999999999998,21.885769230769235,,,2022-09-23 00:00:00+00:00
36,20.45,24.074166666666667,21.70846153846154,,,2022-09-26 00:00:00+00:00
