,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,80.66,,,,,2022-08-04 00:00:00+00:00
1,80.49,,,,,2022-08-05 00:00:00+00:00
2,81.0,,,,,2022-08-08 00:00:00+00:00
3,80.59,,,,,2022-08-09 00:00:00+00:00
4,80.91,,,,,2022-08-10 00:00:00+00:00
5,80.51,,,,,2022-08-11 00:00:00+00:00
6,80.79,,,,,2022-08-12 00:00:00+00:00
7,80.73,,,,,2022-08-15 00:00:00+00:00
8,80.92,,,,,2022-08-16 00:00:00+00:00
9,80.53,,,,,2022-08-17 00:00:00+00:00
10,80.44,,,,,2022-08-18 00:00:00+00:00
11,80.27,80.65333333333334,,,,2022-08-19 00:00:00+00:00
12,79.76,80.57833333333333,,,,2022-08-22 00:00:00+00:00
13,79.34,80.4825,,,,2022-08-23 00:00:00+00:00
14,79.28,80.33916666666667,,,,2022-08-24 00:00:00+00:00
15,79.07,80.21249999999999,,,,2022-08-25 00:00:00+00:00
16,78.63,80.0225,,,,2022-08-26 00:00:00+00:00
17,78.75,79.87583333333333,,,,2022-08-29 00:00:00+00:00
18,78.62,79.695,,,,2022-08-30 00:00:00+00:00
19,78.49,79.50833333333333,,,,2022-08-31 00:00:00+00:00
20,78.55,79.31083333333333,,,,2022-09-01 00:00:00+00:00
21,77.53,79.06083333333333,,,,2022-09-02 00:00:00+00:00
22,76.84,78.76083333333334,,,,2022-09-06 00:00:00+00:00
23,77.72,78.54833333333333,,,,2022-09-07 00:00:00+00:00
24,77.39,78.35083333333334,,,,2022-09-08 00:00:00+00:00
25,78.51,78.28166666666667,79.47384615384615,,,2022-09-09 00:00:00+00:00
26,78.13,78.18583333333333,79.37653846153846,,,2022-09-12 00:00:00+00:00
27,76.76,77.99333333333334,79.23307692307692,,,2022-09-13 00:00:00+00:00
28,76.6,77.82416666666667,79.06384615384614,,,2022-09-14 00:00:00+00:00
29,76.83,77.66416666666667,78.91923076923078,,,2022-09-15 00:00:00+00:00
30,76.02,77.4475,78.73115384615384,,,2022-09-16 00:00:00+00:00
31,75.94,77.235,78.55538461538461,,,2022-09-19 00:00:00+00:00
32,75.04,76.9425,78.33423076923077,,,2022-09-20 00:00:00+00:00
33,75.32,76.75833333333334,78.12615384615384,,,2022-09-21 00:00:00+00:00
34,77.03,76.77416666666666,77.97653846153847,,,2022-09-22 00:00:00+00:00
35,74.95,76.54333333333334,77.76192307692307,,,2022-09-23 00:00:00+00:00
36,74.33,76.28833333333333,77.52692307692308,,,2022-09-26 00:00:00+00:00
37,74.86,75.98416666666667,77.31884615384615,,,2022-09-27 00:00:00+00:00
38,75.39,75.75583333333333,77.15076923076923,,,2022-09-28 00:00:00+00:00
39,74.87,75.59833333333333,76.97884615384615,,,2022-09-29 00:00:00+00:00
40,74.34,75.41,76.78884615384615,,,2022-09-30 00:00:00+00:00
41,74.36,75.20416666666667,76.6076923076923,,,2022-10-03 00:00:00+00:00
42,75.0,75.11916666666667,76.46807692307692,,,2022-10-04 00:00:00+00:00
43,74.11,74.96666666666667,76.28961538461539,,,2022-10-05 00:00:00+00:00
44,73.83,74.86583333333333,76.10538461538462,,,2022-10-06 00:00:00+00:00
45,73.35,74.70166666666667,75.9076923076923,,,2022-10-07 00:00:00+00:00
46,73.75,74.42833333333333,75.72307692307693,,,2022-10-10 00:00:00+00:00
47,73.55,74.31166666666667,75.57000000000001,,,2022-10-11 00:00:00+00:00
48,73.5,74.24249999999999,75.44153846153846,,,2022-10-12 00:00:00+00:00
49,73.12,74.0975,75.26461538461538,77.346,,2022-10-13 00:00:00+00:00
50,72.13,73.82583333333334,75.0623076923077,77.1754,,2022-10-14 00:00:00+00:00
51,71.76,73.56666666666666,74.80269230769231,77.0008,,2022-10-17 00:00:00+00:00
52,72.26,73.39333333333333,74.57692307692308,76.826,,2022-10-18 00:00:00+00:00
53,72.21,73.21416666666666,74.40192307692308,76.6584,,2022-10-19 00:00:00+00:00
54,73.31,73.07333333333334,74.27538461538462,76.5064,,2022-10-20 00:00:00+00:00
55,72.71,72.95666666666666,74.11692307692307,76.3504,,2022-10-21 00:00:00+00:00
56,72.51,72.84666666666668,73.98192307692308,76.18480000000001,,2022-10-24 00:00:00+00:00
57,72.5,72.77583333333332,73.84961538461539,76.0202,,2022-10-25 00:00:00+00:00
58,72.48,72.67,73.75115384615384,75.8514,,2022-10-26 00:00:00+00:00
59,72.5,72.5825,73.64269230769231,75.6908,,2022-10-27 00:00:00+00:00
60,72.85,72.52833333333334,73.48192307692308,75.539,,2022-10-28 00:00:00+00:00
61,72.8,72.50166666666667,73.39923076923077,75.3896,,2022-10-31 00:00:00+00:00
62,73.31,72.60000000000001,73.36,75.26060000000001,,2022-11-01 00:00:00+00:00
63,72.66,72.675,73.27538461538461,75.127,,2022-11-02 00:00:00+00:00
64,71.9,72.645,73.14115384615386,74.9794,,2022-11-03 00:00:00+00:00
65,71.96,72.62416666666667,73.02923076923076,74.8372,,2022-11-04 00:00:00+00:00
66,71.1,72.44,72.90461538461538,74.6866,,2022-11-07 00:00:00+00:00
67,72.0,72.38083333333334,72.81384615384616,74.5516,,2022-11-08 00:00:00+00:00
68,71.66,72.30999999999999,72.68538461538462,74.41239999999999,,2022-11-09 00:00:00+00:00
69,73.62,72.40333333333334,72.66653846153847,74.315,,2022-11-10 00:00:00+00:00
70,74.14,72.54166666666667,72.67846153846155,74.2268,,2022-11-11 00:00:00+00:00
71,73.96,72.66333333333334,72.70192307692307,74.1554,,2022-11-14 00:00:00+00:00
72,73.88,72.74916666666667,72.70692307692308,74.0962,,2022-11-15 00:00:00+00:00
73,74.35,72.87833333333334,72.7376923076923,74.0288,,2022-11-16 00:00:00+00:00
74,73.81,72.92,72.74961538461538,73.9572,,2022-11-17 00:00:00+00:00
75,74.1,73.04,72.78730769230769,73.869,,2022-11-18 00:00:00+00:00
76,74.8,73.28166666666665,72.89,73.8024,,2022-11-21 00:00:00+00:00
77,75.88,73.60833333333333,73.04846153846154,73.78479999999999,,2022-11-22 00:00:00+00:00
78,76.59,74.06583333333333,73.215,73.7846,,2022-11-23 00:00:00+00:00
79,73.47,74.18833333333333,73.26346153846154,73.7174,,2022-11-25 00:00:00+00:00
80,74.72,74.44333333333333,73.31769230769231,73.6914,,2022-11-28 00:00:00+00:00
81,74.34,74.50333333333333,73.38038461538461,73.6594,,2022-11-29 00:00:00+00:00
82,73.95,74.4875,73.43576923076922,73.6376,,2022-11-30 00:00:00+00:00
83,75.19,74.58999999999999,73.53923076923077,73.635,,2022-12-01 00:00:00+00:00
84,75.76,74.74666666666667,73.66538461538461,73.6096,,2022-12-02 00:00:00+00:00
85,76.33,74.91166666666666,73.8126923076923,73.6372,,2022-12-05 00:00:00+00:00
86,76.11,75.10333333333334,73.93807692307692,73.6728,,2022-12-06 00:00:00+00:00
87,75.93,75.25583333333333,74.05846153846154,73.6942,,2022-12-07 00:00:00+00:00
88,74.76,75.25250000000001,74.11423076923077,73.6816,,2022-12-08 00:00:00+00:00
89,75.16,75.19250000000001,74.21038461538461,73.6874,,2022-12-09 00:00:00+00:00
90,77.36,75.25666666666667,74.4203846153846,73.7478,,2022-12-12 00:00:00+00:00
91,76.73,75.52833333333334,74.60384615384615,73.7952,,2022-12-13 00:00:00+00:00
92,77.04,75.72166666666668,74.8323076923077,73.836,,2022-12-14 00:00:00+00:00
93,76.37,75.89083333333333,75.00038461538462,73.8812,,2022-12-15 00:00:00+00:00
94,76.08,76.06833333333334,75.1703846153846,73.9262,,2022-12-16 00:00:00+00:00
95,75.99,76.135,75.26153846153846,73.979,,2022-12-19 00:00:00+00:00
96,75.88,76.145,75.32846153846154,74.02159999999999,,2022-12-20 00:00:00+00:00
97,75.89,76.10833333333333,75.4026923076923,74.0684,,2022-12-21 00:00:00+00:00
98,75.7,76.07416666666667,75.47269230769231,74.11240000000001,,2022-12-22 00:00:00+00:00
99,75.95,76.07583333333334,75.53423076923077,74.169,,2022-12-23 00:00:00+00:00
100,75.79,76.16166666666666,75.61038461538462,74.2422,,2022-12-27 00:00:00+00:00
101,76.05,76.23583333333333,75.6853846153846,74.328,,2022-12-28 00:00:00+00:00
102,76.76,76.18583333333333,75.76076923076923,74.418,,2022-12-29 00:00:00+00:00
103,76.55,76.17083333333333,75.78653846153847,74.5048,,2022-12-30 00:00:00+00:00
104,76.88,76.1575,75.7976923076923,74.57620000000001,,2023-01-03 00:00:00+00:00
105,76.84,76.19666666666667,75.92730769230769,74.6588,,2023-01-04 00:00:00+00:00
106,76.96,76.27,76.01346153846154,74.7478,,2023-01-05 00:00:00+00:00
107,77.59,76.40333333333332,76.13846153846154,74.8496,,2023-01-06 00:00:00+00:00
108,77.22,76.515,76.26423076923076,74.9444,,2023-01-09 00:00:00+00:00
109,77.69,76.665,76.36038461538462,75.0482,,2023-01-10 00:00:00+00:00
110,77.0,76.77333333333333,76.40807692307692,75.13119999999999,,2023-01-11 00:00:00+00:00
111,76.9,76.8525,76.43,75.2132,,2023-01-12 00:00:00+00:00
112,76.66,76.925,76.45115384615384,75.2802,,2023-01-13 00:00:00+00:00
113,74.56,76.80083333333333,76.39846153846155,75.31819999999999,,2023-01-17 00:00:00+00:00
114,74.48,76.61083333333333,76.38769230769232,75.3698,,2023-01-18 00:00:00+00:00
115,73.76,76.37833333333333,76.33384615384615,75.4058,,2023-01-19 00:00:00+00:00
116,73.84,76.125,76.19846153846154,75.4606,,2023-01-20 00:00:00+00:00
117,75.22,75.99,76.14038461538462,75.525,,2023-01-23 00:00:00+00:00
118,75.11,75.83583333333334,76.06615384615385,75.59400000000001,,2023-01-24 00:00:00+00:00
119,74.64,75.59,75.99961538461538,75.61439999999999,,2023-01-25 00:00:00+00:00
120,75.6,75.455,75.98115384615384,75.64359999999999,,2023-01-26 00:00:00+00:00
121,76.61,75.365,76.00500000000001,75.6966,,2023-01-27 00:00:00+00:00
122,75.96,75.27833333333334,76.00807692307693,75.7382,,2023-01-30 00:00:00+00:00
123,76.57,75.25083333333333,76.03423076923077,75.78259999999999,,2023-01-31 00:00:00+00:00
124,76.7,75.25416666666666,76.07269230769231,75.8404,,2023-02-01 00:00:00+00:00
125,77.11,75.46666666666667,76.11730769230769,75.9006,,2023-02-02 00:00:00+00:00
126,75.24,75.53,76.09615384615384,75.90939999999999,,2023-02-03 00:00:00+00:00
127,71.58,75.34833333333333,75.92423076923077,75.8234,,2023-02-06 00:00:00+00:00
128,75.6,75.495,75.87961538461539,75.8036,,2023-02-07 00:00:00+00:00
129,72.89,75.30083333333333,75.73884615384614,75.792,,2023-02-08 00:00:00+00:00
130,75.26,75.31333333333333,75.67653846153846,75.80279999999999,,2023-02-09 00:00:00+00:00
131,75.45,75.38083333333333,75.62307692307692,75.825,,2023-02-10 00:00:00+00:00
132,76.59,75.46333333333332,75.60884615384616,75.8778,,2023-02-13 00:00:00+00:00
133,76.78,75.47749999999999,75.5776923076923,75.9096,,2023-02-14 00:00:00+00:00
134,77.7,75.6225,75.59615384615384,75.9484,,2023-02-15 00:00:00+00:00
135,77.51,75.70083333333334,75.58923076923078,75.972,,2023-02-16 00:00:00+00:00
136,77.57,75.77333333333334,75.61115384615385,76.0012,,2023-02-17 00:00:00+00:00
137,77.0,75.76416666666667,75.615,76.0226,,2023-02-21 00:00:00+00:00
138,77.12,75.92083333333333,75.6326923076923,76.0698,,2023-02-22 00:00:00+00:00
139,77.07,76.37833333333333,75.72923076923077,76.108,,2023-02-23 00:00:00+00:00
140,76.82,76.48,75.81923076923077,76.0972,,2023-02-24 00:00:00+00:00
141,76.74,76.80083333333333,75.93384615384615,76.0974,,2023-02-27 00:00:00+00:00
142,76.25,76.88333333333333,76.02653846153846,76.0816,,2023-02-28 00:00:00+00:00
143,75.72,76.90583333333333,76.04576923076924,76.0686,,2023-03-01 00:00:00+00:00
144,77.71,76.99916666666667,76.14576923076923,76.1012,,2023-03-02 00:00:00+00:00
145,79.39,77.21666666666667,76.32846153846154,76.1692,,2023-03-03 00:00:00+00:00
146,79.63,77.3775,76.48346153846154,76.2442,,2023-03-06 00:00:00+00:00
147,79.26,77.52333333333333,76.58538461538461,76.3116,,2023-03-07 00:00:00+00:00
148,79.48,77.68249999999999,76.72076923076922,76.38719999999999,,2023-03-08 00:00:00+00:00
149,78.37,77.79666666666667,76.78999999999999,76.4356,,2023-03-09 00:00:00+00:00
150,77.97,77.86749999999999,76.83884615384615,76.4792,,2023-03-10 00:00:00+00:00
151,78.14,77.95666666666666,76.87846153846154,76.521,,2023-03-13 00:00:00+00:00
152,79.09,78.14583333333333,77.02653846153846,76.5676,,2023-03-14 00:00:00+00:00
153,79.26,78.35583333333334,77.32192307692308,76.6218,,2023-03-15 00:00:00+00:00
154,79.87,78.6575,77.48615384615384,76.6816,,2023-03-16 00:00:00+00:00
155,78.99,78.93,77.72076923076924,76.7246,,2023-03-17 00:00:00+00:00
156,79.34,79.06583333333333,77.87769230769231,76.7722,,2023-03-20 00:00:00+00:00
157,79.75,79.09583333333333,78.04307692307692,76.8154,,2023-03-21 00:00:00+00:00
158,78.64,79.01333333333334,78.12192307692307,76.8438,,2023-03-22 00:00:00+00:00
159,79.68,79.04833333333333,78.23346153846154,76.8836,,2023-03-23 00:00:00+00:00
160,84.39,79.4575,78.49076923076923,77.0314,,2023-03-24 00:00:00+00:00
161,84.33,79.95416666666667,78.75307692307692,77.18,,2023-03-27 00:00:00+00:00
162,84.35,80.48583333333333,79.01384615384616,77.3338,,2023-03-28 00:00:00+00:00
163,84.54,81.01916666666666,79.30384615384615,77.5334,,2023-03-29 00:00:00+00:00
164,84.89,81.5025,79.60269230769231,77.7416,,2023-03-30 00:00:00+00:00
165,85.59,82.03,79.93038461538461,77.9782,,2023-03-31 00:00:00+00:00
166,85.33,82.485,80.2576923076923,78.208,,2023-04-03 00:00:00+00:00
167,85.11,82.99499999999999,80.5796153846154,78.4058,,2023-04-04 00:00:00+00:00
168,85.38,83.49833333333333,80.93076923076923,78.6112,,2023-04-05 00:00:00+00:00
169,85.22,83.95416666666667,81.29615384615384,78.8228,,2023-04-06 00:00:00+00:00
170,85.48,84.52416666666666,81.59500000000001,79.0204,,2023-04-10 00:00:00+00:00
171,85.09,84.97500000000001,81.81423076923078,79.19,,2023-04-11 00:00:00+00:00
172,84.95,85.02166666666666,82.01884615384614,79.3698,,2023-04-12 00:00:00+00:00
173,85.58,85.12583333333333,82.26192307692307,79.55,,2023-04-13 00:00:00+00:00
174,85.27,85.2025,82.4846153846154,79.72139999999999,,2023-04-14 00:00:00+00:00
175,85.5,85.2825,82.75884615384618,79.8892,,2023-04-17 00:00:00+00:00
176,85.55,85.33749999999999,83.05038461538462,80.0954,,2023-04-18 00:00:00+00:00
177,85.5,85.33,83.33346153846153,80.3738,,2023-04-19 00:00:00+00:00
178,85.57,85.35000000000001,83.58269230769231,80.5732,,2023-04-20 00:00:00+00:00
179,85.53,85.385,83.82384615384616,80.826,,2023-04-21 00:00:00+00:00
180,86.09,85.44416666666666,84.06307692307692,81.04260000000001,,2023-04-24 00:00:00+00:00
181,86.74,85.57083333333333,84.36115384615384,81.26839999999999,,2023-04-25 00:00:00+00:00
182,76.81,84.84833333333333,84.26384615384616,81.2728,,2023-04-26 00:00:00+00:00
183,77.61,84.225,84.18153846153845,81.2894,,2023-04-27 00:00:00+00:00
184,77.71,83.62166666666667,84.14576923076923,81.28960000000001,,2023-04-28 00:00:00+00:00
185,77.43,82.9425,84.05923076923077,81.288,,2023-05-01 00:00:00+00:00
186,76.0,82.17,83.73653846153846,81.2566,,2023-05-02 00:00:00+00:00
187,75.24,81.315,83.38692307692307,81.2214,,2023-05-03 00:00:00+00:00
188,74.59,80.40166666666667,83.01153846153846,81.1708,,2023-05-04 00:00:00+00:00
189,76.0,79.61,82.68307692307692,81.1494,,2023-05-05 00:00:00+00:00
190,75.55,78.77499999999999,82.32384615384613,81.124,,2023-05-08 00:00:00+00:00
191,75.51,77.94,81.93615384615386,81.0994,,2023-05-09 00:00:00+00:00
192,76.0,77.09916666666666,81.57730769230768,81.09440000000001,,2023-05-10 00:00:00+00:00
193,77.04,76.29083333333334,81.26692307692308,81.1208,,2023-05-11 00:00:00+00:00
194,77.37,76.3375,80.95884615384615,81.11399999999999,,2023-05-12 00:00:00+00:00
195,78.33,76.3975,80.69384615384615,81.0928,,2023-05-15 00:00:00+00:00
196,77.78,76.40333333333334,80.39769230769231,81.0558,,2023-05-16 00:00:00+00:00
197,77.89,76.44166666666668,80.12076923076923,81.0284,,2023-05-17 00:00:00+00:00
198,78.19,76.62416666666667,79.86076923076924,81.0026,,2023-05-18 00:00:00+00:00
199,78.59,76.90333333333334,79.59192307692307,81.007,77.23939999999999,2023-05-19 00:00:00+00:00
200,79.06,77.27583333333332,79.35307692307691,81.0288,77.23140000000001,2023-05-22 00:00:00+00:00
201,79.13,77.53666666666668,79.10807692307692,81.04860000000001,77.2246,2023-05-23 00:00:00+00:00
202,77.81,77.72500000000001,78.81038461538462,81.023,77.20864999999999,2023-05-24 00:00:00+00:00
203,77.14,77.86083333333333,78.48884615384615,80.98060000000001,77.1914,2023-05-25 00:00:00+00:00
204,78.66,78.0825,78.22307692307693,80.95639999999999,77.18015,2023-05-26 00:00:00+00:00
205,80.02,78.33083333333333,78.01115384615385,80.977,77.1777,2023-05-30 00:00:00+00:00
206,80.2,78.56666666666666,77.78461538461539,80.9942,77.17474999999999,2023-05-31 00:00:00+00:00
207,80.2,78.72250000000001,77.53307692307692,81.00319999999999,77.1721,2023-06-01 00:00:00+00:00
208,80.5,78.94916666666667,77.675,81.0404,77.17,2023-06-02 00:00:00+00:00
209,80.84,79.195,77.79923076923077,81.06360000000001,77.17155000000001,2023-06-05 00:00:00+00:00
210,80.88,79.41916666666667,77.92115384615384,80.99340000000001,77.17375,2023-06-06 00:00:00+00:00
211,80.5,79.57833333333333,78.03923076923077,80.91680000000001,77.1749,2023-06-07 00:00:00+00:00
212,80.02,79.65833333333335,78.19384615384615,80.8302,77.1762,2023-06-08 00:00:00+00:00
213,80.38,79.7625,78.39153846153846,80.747,77.1814,2023-06-09 00:00:00+00:00
214,79.77,79.92583333333333,78.59076923076924,80.6446,77.18385,2023-06-12 00:00:00+00:00
215,80.7,80.2225,78.77153846153846,80.5468,77.192,2023-06-13 00:00:00+00:00
216,81.23,80.43666666666667,78.99,80.46480000000001,77.205,2023-06-14 00:00:00+00:00
217,81.45,80.55583333333334,79.21846153846153,80.3916,77.2185,2023-06-15 00:00:00+00:00
218,81.97,80.70333333333333,79.44807692307693,80.3234,77.23525,2023-06-16 00:00:00+00:00
219,81.89,80.84416666666667,79.63461538461539,80.2568,77.25224999999999,2023-06-20 00:00:00+00:00
220,80.94,80.88083333333333,79.77192307692309,80.166,77.2642,2023-06-21 00:00:00+00:00
221,82.3,81.00250000000001,79.92461538461538,80.11019999999999,77.28805,2023-06-22 00:00:00+00:00
