,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,8.04,,,,,2022-08-04 00:00:00+00:00
1,7.98,,,,,2022-08-05 00:00:00+00:00
2,8.4,,,,,2022-08-08 00:00:00+00:00
3,8.4,,,,,2022-08-09 00:00:00+00:00
4,8.78,,,,,2022-08-10 00:00:00+00:00
5,8.55,,,,,2022-08-11 00:00:00+00:00
6,8.85,,,,,2022-08-12 00:00:00+00:00
7,9.07,,,,,2022-08-15 00:00:00+00:00
8,8.86,,,,,2022-08-16 00:00:00+00:00
9,8.64,,,,,2022-08-17 00:00:00+00:00
10,8.65,,,,,2022-08-18 00:00:00+00:00
11,8.42,8.553333333333333,,,,2022-08-19 00:00:00+00:00
12,8.05,8.554166666666665,,,,2022-08-22 00:00:00+00:00
13,7.88,8.545833333333334,,,,2022-08-23 00:00:00+00:00
14,8.18,8.5275,,,,2022-08-24 00:00:00+00:00
15,8.63,8.546666666666667,,,,2022-08-25 00:00:00+00:00
16,8.25,8.5025,,,,2022-08-26 00:00:00+00:00
17,8.02,8.458333333333334,,,,2022-08-29 00:00:00+00:00
18,7.88,8.3775,,,,2022-08-30 00:00:00+00:00
19,7.79,8.270833333333334,,,,2022-08-31 00:00:00+00:00
20,7.73,8.176666666666666,,,,2022-09-01 00:00:00+00:00
21,7.64,8.093333333333332,,,,2022-09-02 00:00:00+00:00
22,7.97,8.036666666666667,,,,2022-09-06 00:00:00+00:00
23,8.14,8.013333333333334,,,,2022-09-07 00:00:00+00:00
24,8.02,8.010833333333332,,,,2022-09-08 00:00:00+00:00
25,8.59,8.069999999999999,8.285,,,2022-09-09 00:00:00+00:00
26,9.0,8.138333333333334,8.321923076923078,,,2022-09-12 00:00:00+00:00
27,8.44,8.1225,8.339615384615383,,,2022-09-13 00:00:00+00:00
28,8.72,8.161666666666667,8.351923076923077,,,2022-09-14 00:00:00+00:00
29,8.65,8.214166666666666,8.361538461538462,,,2022-09-15 00:00:00+00:00
30,8.3,8.249166666666666,8.343076923076923,,,2022-09-16 00:00:00+00:00
31,8.26,8.288333333333332,8.331923076923077,,,2022-09-19 00:00:00+00:00
32,8.27,8.333333333333334,8.309615384615386,,,2022-09-20 00:00:00+00:00
33,8.08,8.37,8.271538461538462,,,2022-09-21 00:00:00+00:00
34,7.63,8.341666666666667,8.224230769230768,,,2022-09-22 00:00:00+00:00
35,7.49,8.2875,8.18,,,2022-09-23 00:00:00+00:00
36,7.3,8.227500000000001,8.128076923076923,,,2022-09-26 00:00:00+00:00
37,7.47,8.134166666666667,8.091538461538462,,,2022-09-27 00:00:00+00:00
38,8.23,8.07,8.098461538461539,,,2022-09-28 00:00:00+00:00
39,8.15,8.045833333333334,8.108846153846155,,,2022-09-29 00:00:00+00:00
40,8.42,8.020833333333334,8.118076923076924,,,2022-09-30 00:00:00+00:00
41,8.51,8.009166666666667,8.11346153846154,,,2022-10-03 00:00:00+00:00
42,8.69,8.041666666666666,8.130384615384616,,,2022-10-04 00:00:00+00:00
43,8.55,8.065833333333332,8.15076923076923,,,2022-10-05 00:00:00+00:00
44,8.49,8.084166666666667,8.17423076923077,,,2022-10-06 00:00:00+00:00
45,8.34,8.105833333333335,8.195384615384615,,,2022-10-07 00:00:00+00:00
46,8.27,8.159166666666666,8.216153846153846,,,2022-10-10 00:00:00+00:00
47,7.98,8.200000000000001,8.22923076923077,,,2022-10-11 00:00:00+00:00
48,8.14,8.270000000000001,8.23576923076923,,,2022-10-12 00:00:00+00:00
49,7.93,8.308333333333334,8.227692307692307,8.2544,,2022-10-13 00:00:00+00:00
50,7.87,8.278333333333334,8.221923076923078,8.251,,2022-10-14 00:00:00+00:00
51,8.16,8.279166666666667,8.205384615384615,8.2546,,2022-10-17 00:00:00+00:00
52,8.47,8.283333333333333,8.185,8.256,,2022-10-18 00:00:00+00:00
53,8.33,8.268333333333333,8.180769230769231,8.2546,,2022-10-19 00:00:00+00:00
54,8.24,8.230833333333335,8.162307692307692,8.2438,,2022-10-20 00:00:00+00:00
55,8.32,8.211666666666666,8.149615384615386,8.2392,,2022-10-21 00:00:00+00:00
