,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,552.8,,,,,2022-08-04 00:00:00+00:00
1,551.44,,,,,2022-08-05 00:00:00+00:00
2,545.53,,,,,2022-08-08 00:00:00+00:00
3,532.8,,,,,2022-08-09 00:00:00+00:00
4,550.41,,,,,2022-08-10 00:00:00+00:00
5,545.43,,,,,2022-08-11 00:00:00+00:00
6,558.23,,,,,2022-08-12 00:00:00+00:00
7,558.96,,,,,2022-08-15 00:00:00+00:00
8,551.65,,,,,2022-08-16 00:00:00+00:00
9,538.59,,,,,2022-08-17 00:00:00+00:00
10,558.45,,,,,2022-08-18 00:00:00+00:00
11,548.43,549.3933333333333,,,,2022-08-19 00:00:00+00:00
12,528.75,547.3891666666667,,,,2022-08-22 00:00:00+00:00
13,529.78,545.5841666666666,,,,2022-08-23 00:00:00+00:00
14,530.84,544.36,,,,2022-08-24 00:00:00+00:00
15,550.13,545.8041666666667,,,,2022-08-25 00:00:00+00:00
16,520.86,543.3416666666667,,,,2022-08-26 00:00:00+00:00
17,514.18,540.7375000000001,,,,2022-08-29 00:00:00+00:00
18,506.39,536.4175,,,,2022-08-30 00:00:00+00:00
19,499.11,531.43,,,,2022-08-31 00:00:00+00:00
20,492.01,526.4599999999999,,,,2022-09-01 00:00:00+00:00
21,500.22,523.2624999999999,,,,2022-09-02 00:00:00+00:00
22,498.2,518.2416666666667,,,,2022-09-06 00:00:00+00:00
23,505.13,514.6333333333333,,,,2022-09-07 00:00:00+00:00
24,511.93,513.2316666666667,,,,2022-09-08 00:00:00+00:00
25,522.4,512.6166666666667,530.8711538461538,,,2022-09-09 00:00:00+00:00
26,529.06,512.4683333333334,529.9580769230769,,,2022-09-12 00:00:00+00:00
27,503.65,508.59499999999997,528.12,,,2022-09-13 00:00:00+00:00
28,510.75,507.7525,526.7823076923077,,,2022-09-14 00:00:00+00:00
29,500.14,506.5825,525.5261538461539,,,2022-09-15 00:00:00+00:00
30,502.5,506.2583333333334,523.6834615384615,,,2022-09-16 00:00:00+00:00
31,501.84,506.48583333333335,522.006923076923,,,2022-09-19 00:00:00+00:00
32,493.06,506.5733333333333,519.5003846153846,,,2022-09-20 00:00:00+00:00
33,482.14,505.06666666666666,516.5457692307692,,,2022-09-21 00:00:00+00:00
34,477.61,503.35083333333336,513.6980769230769,,,2022-09-22 00:00:00+00:00
35,468.68,500.31333333333333,511.0092307692308,,,2022-09-23 00:00:00+00:00
36,462.26,496.1741666666667,507.3096153846154,,,2022-09-26 00:00:00+00:00
37,464.75,491.37000000000006,504.0911538461539,,,2022-09-27 00:00:00+00:00
38,465.96,486.1116666666667,501.67615384615385,,,2022-09-28 00:00:00+00:00
39,450.13,481.65166666666664,498.6126923076923,,,2022-09-29 00:00:00+00:00
40,444.01,476.09,495.2730769230769,,,2022-09-30 00:00:00+00:00
41,456.78,472.47666666666663,491.6826923076923,,,2022-10-03 00:00:00+00:00
42,479.86,470.59,490.1057692307692,,,2022-10-04 00:00:00+00:00
43,484.8,469.17,488.9757692307692,,,2022-10-05 00:00:00+00:00
44,479.5,468.04,487.94153846153847,,,2022-10-06 00:00:00+00:00
45,460.48,466.23499999999996,486.45576923076925,,,2022-10-07 00:00:00+00:00
46,437.7,462.90916666666664,484.36692307692306,,,2022-10-10 00:00:00+00:00
47,430.76,459.74916666666667,481.6953846153846,,,2022-10-11 00:00:00+00:00
48,430.57,457.1083333333333,479.0942307692307,,,2022-10-12 00:00:00+00:00
49,437.97,454.8766666666666,476.5111538461539,503.1522,,2022-10-13 00:00:00+00:00
50,427.1,451.6383333333333,473.2484615384615,500.6382,,2022-10-14 00:00:00+00:00
51,435.37,450.40833333333336,469.9011538461539,498.31679999999994,,2022-10-17 00:00:00+00:00
52,434.83,449.6433333333334,466.2769230769231,496.1028,,2022-10-18 00:00:00+00:00
53,435.3,447.8533333333334,463.64807692307687,494.1528,,2022-10-19 00:00:00+00:00
54,430.3,443.72333333333336,460.55384615384617,491.75059999999996,,2022-10-20 00:00:00+00:00
55,449.73,440.8008333333333,458.615,489.83660000000003,,2022-10-21 00:00:00+00:00
56,456.52,438.88583333333327,456.84653846153844,487.8024,,2022-10-24 00:00:00+00:00
57,460.07,438.8516666666667,455.24,485.8246,,2022-10-25 00:00:00+00:00
58,461.18,440.8083333333334,454.0138461538462,484.0152,,2022-10-26 00:00:00+00:00
59,455.4,442.8616666666667,452.98538461538465,482.3514,,2022-10-27 00:00:00+00:00
60,472.9,446.38916666666665,452.80423076923074,480.6404,,2022-10-28 00:00:00+00:00
61,470.12,449.0683333333333,452.8596153846154,479.07419999999996,,2022-10-31 00:00:00+00:00
62,467.9,452.4683333333333,453.07653846153846,477.8571999999999,,2022-11-01 00:00:00+00:00
63,456.03,454.19,452.74115384615385,476.3822,,2022-11-02 00:00:00+00:00
64,444.12,454.96416666666664,451.9011538461539,474.64779999999996,,2022-11-03 00:00:00+00:00
65,465.3,457.46416666666664,452.4846153846153,472.9512,,2022-11-04 00:00:00+00:00
66,475.22,461.20750000000004,453.685,472.03839999999997,,2022-11-07 00:00:00+00:00
67,482.11,463.9058333333333,454.6592307692308,471.39700000000005,,2022-11-08 00:00:00+00:00
68,469.47,464.98500000000007,454.25961538461536,470.6585999999999,,2022-11-09 00:00:00+00:00
69,506.57,468.85999999999996,455.0969230769231,470.80780000000004,,2022-11-10 00:00:00+00:00
70,518.09,473.60249999999996,456.5811538461539,471.3294,,2022-11-11 00:00:00+00:00
71,513.22,478.42083333333335,458.6096153846153,471.58939999999996,,2022-11-14 00:00:00+00:00
72,524.42,482.7141666666667,461.945,472.1138,,2022-11-15 00:00:00+00:00
73,511.73,486.1816666666667,465.0592307692308,472.24580000000003,,2022-11-16 00:00:00+00:00
74,512.11,489.8658333333333,468.1953846153846,472.24940000000004,,2022-11-17 00:00:00+00:00
75,515.16,494.79333333333335,471.1642307692307,472.1046,,2022-11-18 00:00:00+00:00
76,517.44,500.90333333333336,474.6388461538462,471.8722,,2022-11-21 00:00:00+00:00
77,530.05,506.2991666666667,478.2803846153846,472.4002,,2022-11-22 00:00:00+00:00
78,533.64,511.1675,482.08076923076925,472.85799999999995,,2022-11-23 00:00:00+00:00
79,529.91,515.1508333333334,485.7196153846154,473.4534,,2022-11-25 00:00:00+00:00
80,522.21,519.5458333333333,489.25461538461536,473.8476,,2022-11-28 00:00:00+00:00
81,521.39,520.7808333333334,492.01076923076926,474.2386,,2022-11-29 00:00:00+00:00
82,551.03,523.5258333333333,495.6457692307692,475.39799999999997,,2022-11-30 00:00:00+00:00
83,550.75,526.6533333333333,499.1334615384615,476.7702,,2022-12-01 00:00:00+00:00
84,540.8,528.0183333333333,502.19576923076926,478.03399999999993,,2022-12-02 00:00:00+00:00
85,530.64,529.5941666666666,505.0896153846154,479.2732,,2022-12-05 00:00:00+00:00
86,525.82,530.7366666666667,507.125,480.5444,,2022-12-06 00:00:00+00:00
87,518.5,531.015,508.9857692307692,481.61940000000004,,2022-12-07 00:00:00+00:00
88,531.08,532.1516666666666,511.41576923076923,482.9218,,2022-12-08 00:00:00+00:00
89,544.72,533.3741666666666,514.8269230769231,484.8136,,2022-12-09 00:00:00+00:00
90,556.63,535.2900000000001,519.1542307692308,487.06600000000003,,2022-12-12 00:00:00+00:00
91,571.04,538.7175,523.2211538461538,489.35119999999995,,2022-12-13 00:00:00+00:00
92,574.44,543.07,527.0373076923076,491.24280000000005,,2022-12-14 00:00:00+00:00
93,558.0,546.1208333333334,529.9561538461538,492.7068,,2022-12-15 00:00:00+00:00
94,555.91,546.5275,533.2807692307692,494.235,,2022-12-16 00:00:00+00:00
95,549.63,546.4341666666666,534.9369230769231,496.018,,2022-12-19 00:00:00+00:00
96,544.02,546.7025,535.9342307692308,498.14439999999996,,2022-12-20 00:00:00+00:00
97,561.23,549.2516666666667,537.7807692307692,500.75379999999996,,2022-12-21 00:00:00+00:00
98,553.09,551.5241666666667,538.8834615384616,503.20419999999996,,2022-12-22 00:00:00+00:00
99,552.43,554.3516666666667,540.448846153846,505.49339999999995,,2022-12-23 00:00:00+00:00
100,553.54,556.2233333333334,542.0423076923078,508.0222,,2022-12-27 00:00:00+00:00
101,544.89,556.2375000000001,543.1857692307692,510.2126,,2022-12-28 00:00:00+00:00
102,557.81,556.3358333333333,544.7384615384616,512.6722,,2022-12-29 00:00:00+00:00
103,559.13,555.3433333333334,545.8569230769231,515.1488,,2022-12-30 00:00:00+00:00
104,553.48,553.5966666666667,546.62,517.6124000000001,,2023-01-03 00:00:00+00:00
105,560.24,553.7833333333334,547.7865384615384,519.8226,,2023-01-04 00:00:00+00:00
106,555.02,553.7091666666666,549.0484615384615,521.7926,,2023-01-05 00:00:00+00:00
107,588.43,556.9425,551.626923076923,524.3598000000001,,2023-01-06 00:00:00+00:00
108,576.89,559.6816666666667,552.6215384615384,526.674,,2023-01-09 00:00:00+00:00
109,574.93,560.8233333333334,553.5515384615385,529.0646,,2023-01-10 00:00:00+00:00
