,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,156.87,,,,,2022-08-04 00:00:00+00:00
1,157.51,,,,,2022-08-05 00:00:00+00:00
2,157.28,,,,,2022-08-08 00:00:00+00:00
3,158.8,,,,,2022-08-09 00:00:00+00:00
4,162.44,,,,,2022-08-10 00:00:00+00:00
5,162.99,,,,,2022-08-11 00:00:00+00:00
6,165.84,,,,,2022-08-12 00:00:00+00:00
7,165.4,,,,,2022-08-15 00:00:00+00:00
8,165.35,,,,,2022-08-16 00:00:00+00:00
9,163.9,,,,,2022-08-17 00:00:00+00:00
10,164.65,,,,,2022-08-18 00:00:00+00:00
11,162.24,161.93916666666667,,,,2022-08-19 00:00:00+00:00
12,157.7,162.00833333333335,,,,2022-08-22 00:00:00+00:00
13,157.33,161.99333333333334,,,,2022-08-23 00:00:00+00:00
14,159.13,162.1475,,,,2022-08-24 00:00:00+00:00
15,162.23,162.43333333333334,,,,2022-08-25 00:00:00+00:00
16,157.31,162.00583333333333,,,,2022-08-26 00:00:00+00:00
17,154.54,161.30166666666665,,,,2022-08-29 00:00:00+00:00
18,154.66,160.37,,,,2022-08-30 00:00:00+00:00
19,152.0,159.25333333333333,,,,2022-08-31 00:00:00+00:00
20,151.11,158.06666666666666,,,,2022-09-01 00:00:00+00:00
21,149.79,156.89083333333332,,,,2022-09-02 00:00:00+00:00
22,148.6,155.55333333333334,,,,2022-09-06 00:00:00+00:00
23,152.25,154.72083333333333,,,,2022-09-07 00:00:00+00:00
24,153.52,154.3725,,,,2022-09-08 00:00:00+00:00
25,158.44,154.465,158.14923076923077,,,2022-09-09 00:00:00+00:00
26,162.45,154.74166666666665,158.36384615384617,,,2022-09-12 00:00:00+00:00
27,155.35,154.16833333333332,158.28076923076924,,,2022-09-13 00:00:00+00:00
28,156.3,154.08416666666668,158.2430769230769,,,2022-09-14 00:00:00+00:00
29,156.13,154.21666666666667,158.1403846153846,,,2022-09-15 00:00:00+00:00
30,153.08,154.085,157.7803846153846,,,2022-09-16 00:00:00+00:00
31,155.36,154.36499999999998,157.4869230769231,,,2022-09-19 00:00:00+00:00
32,153.48,154.5625,157.01153846153846,,,2022-09-20 00:00:00+00:00
33,148.71,154.4725,156.3696153846154,,,2022-09-21 00:00:00+00:00
34,143.03,154.00833333333333,155.51115384615383,,,2022-09-22 00:00:00+00:00
35,140.26,153.00916666666666,154.60192307692307,,,2022-09-23 00:00:00+00:00
36,137.45,151.67,153.55576923076922,,,2022-09-26 00:00:00+00:00
37,137.49,149.92416666666665,152.60384615384615,,,2022-09-27 00:00:00+00:00
38,140.56,148.1,151.9446153846154,,,2022-09-28 00:00:00+00:00
39,137.79,146.63666666666666,151.19307692307692,,,2022-09-29 00:00:00+00:00
40,134.91,144.85416666666666,150.26153846153846,,,2022-09-30 00:00:00+00:00
41,140.02,143.51166666666666,149.4073076923077,,,2022-10-03 00:00:00+00:00
42,145.46,142.87666666666667,148.95153846153846,,,2022-10-04 00:00:00+00:00
43,144.37,141.96083333333334,148.5603846153846,,,2022-10-05 00:00:00+00:00
44,142.38,141.03583333333333,148.08807692307693,,,2022-10-06 00:00:00+00:00
45,139.0,140.22666666666666,147.58807692307693,,,2022-10-07 00:00:00+00:00
46,137.51,139.76666666666668,147.065,,,2022-10-10 00:00:00+00:00
47,137.35,139.52416666666667,146.58653846153845,,,2022-10-11 00:00:00+00:00
48,136.74,139.465,146.1303846153846,,,2022-10-12 00:00:00+00:00
49,141.55,139.80333333333334,145.71884615384616,151.7722,,2022-10-13 00:00:00+00:00
50,136.81,139.49083333333334,145.07615384615386,151.371,,2022-10-14 00:00:00+00:00
51,141.54,139.80333333333334,144.42615384615385,151.0516,,2022-10-17 00:00:00+00:00
52,145.99,140.72666666666666,143.7930769230769,150.8258,,2022-10-18 00:00:00+00:00
53,143.97,141.05583333333334,143.35538461538462,150.5292,,2022-10-19 00:00:00+00:00
54,142.42,140.8025,142.82153846153847,150.1288,,2022-10-20 00:00:00+00:00
55,140.04,140.4416666666667,142.2026923076923,149.6698,,2022-10-21 00:00:00+00:00
56,141.63,140.37916666666666,141.7623076923077,149.1856,,2022-10-24 00:00:00+00:00
57,147.02,141.04749999999999,141.44153846153847,148.81799999999998,,2022-10-25 00:00:00+00:00
58,146.88,141.82833333333335,141.1876923076923,148.4486,,2022-10-26 00:00:00+00:00
59,146.97,142.63000000000002,141.1207692307692,148.11,,2022-10-27 00:00:00+00:00
60,150.44,143.77166666666668,141.40576923076924,147.8258,,2022-10-28 00:00:00+00:00
61,148.45,144.34666666666666,141.72076923076924,147.55,,2022-10-31 00:00:00+00:00
62,147.08,145.2025,142.09115384615384,147.3376,,2022-11-01 00:00:00+00:00
63,143.5,145.3658333333333,142.3223076923077,147.061,,2022-11-02 00:00:00+00:00
64,139.31,144.80916666666667,142.27423076923077,146.66459999999998,,2022-11-03 00:00:00+00:00
65,144.72,144.87166666666667,142.54076923076923,146.3144,,2022-11-04 00:00:00+00:00
66,146.98,145.25166666666667,143.005,146.1078,,2022-11-07 00:00:00+00:00
67,150.2,146.09833333333333,143.39653846153846,146.02100000000002,,2022-11-08 00:00:00+00:00
68,145.86,146.45083333333335,143.41192307692307,145.845,,2022-11-09 00:00:00+00:00
69,154.75,147.095,143.81115384615384,145.9,,2022-11-10 00:00:00+00:00
70,154.89,147.7625,144.2923076923077,145.97560000000001,,2022-11-11 00:00:00+00:00
71,154.13,148.35916666666665,144.87423076923076,146.0624,,2022-11-14 00:00:00+00:00
72,153.89,148.64666666666668,145.5042307692308,146.16819999999998,,2022-11-15 00:00:00+00:00
73,152.57,148.99,146.08961538461537,146.1746,,2022-11-16 00:00:00+00:00
74,150.64,149.28666666666666,146.62423076923076,146.11700000000002,,2022-11-17 00:00:00+00:00
75,152.5,150.03666666666666,147.04538461538462,145.9982,,2022-11-18 00:00:00+00:00
76,152.81,151.16166666666666,147.66076923076923,145.80540000000002,,2022-11-21 00:00:00+00:00
77,154.58,151.98333333333332,148.16230769230768,145.79,,2022-11-22 00:00:00+00:00
78,153.93,152.5625,148.4676923076923,145.7426,,2022-11-23 00:00:00+00:00
79,154.15,152.89166666666668,148.85923076923078,145.703,,2022-11-25 00:00:00+00:00
80,150.87,153.30916666666667,149.18423076923077,145.6588,,2022-11-28 00:00:00+00:00
81,154.42,153.28166666666667,149.7373076923077,145.64,,2022-11-29 00:00:00+00:00
82,157.59,153.50666666666666,150.35115384615384,145.72220000000002,,2022-11-30 00:00:00+00:00
83,157.5,153.7875,150.75423076923076,145.89800000000002,,2022-12-01 00:00:00+00:00
84,156.75,154.02583333333334,151.13384615384615,146.1724,,2022-12-02 00:00:00+00:00
85,156.08,154.31833333333333,151.48423076923075,146.4888,,2022-12-05 00:00:00+00:00
86,154.7,154.65666666666667,151.64807692307693,146.8338,,2022-12-06 00:00:00+00:00
87,154.77,154.84583333333333,151.89115384615386,147.1794,,2022-12-07 00:00:00+00:00
88,154.12,154.955,152.16192307692307,147.4506,,2022-12-08 00:00:00+00:00
89,153.9,154.89833333333334,152.56192307692308,147.77280000000002,,2022-12-09 00:00:00+00:00
90,157.31,155.18,153.2542307692308,148.2208,,2022-12-12 00:00:00+00:00
91,157.52,155.46083333333334,153.74653846153845,148.5708,,2022-12-13 00:00:00+00:00
92,154.11,155.73083333333332,154.02076923076922,148.7438,,2022-12-14 00:00:00+00:00
93,150.22,155.38083333333336,154.02153846153846,148.8608,,2022-12-15 00:00:00+00:00
94,146.3,154.44,154.03846153846155,148.9392,,2022-12-16 00:00:00+00:00
95,145.01,153.39916666666667,153.66384615384615,149.0594,,2022-12-19 00:00:00+00:00
96,145.7,152.47833333333332,153.31038461538463,149.2232,,2022-12-20 00:00:00+00:00
97,147.1,151.73,153.04,149.41819999999998,,2022-12-21 00:00:00+00:00
