,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,2164.13,,,,,2022-08-04 00:00:00+00:00
1,2195.19,,,,,2022-08-05 00:00:00+00:00
2,2218.67,,,,,2022-08-08 00:00:00+00:00
3,2222.51,,,,,2022-08-09 00:00:00+00:00
4,2223.27,,,,,2022-08-10 00:00:00+00:00
5,2230.83,,,,,2022-08-11 00:00:00+00:00
6,2259.18,,,,,2022-08-12 00:00:00+00:00
7,2285.96,,,,,2022-08-15 00:00:00+00:00
8,2329.52,,,,,2022-08-16 00:00:00+00:00
9,2328.6,,,,,2022-08-17 00:00:00+00:00
10,2320.09,,,,,2022-08-18 00:00:00+00:00
11,2332.09,2259.17,,,,2022-08-19 00:00:00+00:00
12,2310.67,2271.3816666666667,,,,2022-08-22 00:00:00+00:00
13,2291.49,2279.4066666666668,,,,2022-08-23 00:00:00+00:00
14,2231.81,2280.5016666666666,,,,2022-08-24 00:00:00+00:00
15,2223.6,2280.5925,,,,2022-08-25 00:00:00+00:00
16,2163.02,2275.5716666666667,,,,2022-08-26 00:00:00+00:00
17,2167.36,2270.2825,,,,2022-08-29 00:00:00+00:00
18,2137.02,2260.1025000000004,,,,2022-08-30 00:00:00+00:00
19,2119.21,2246.2066666666665,,,,2022-08-31 00:00:00+00:00
20,2145.59,2230.8791666666666,,,,2022-09-01 00:00:00+00:00
21,2120.88,2213.5691666666667,,,,2022-09-02 00:00:00+00:00
22,2130.86,2197.7999999999997,,,,2022-09-06 00:00:00+00:00
23,2197.06,2186.5475,,,,2022-09-07 00:00:00+00:00
24,2193.25,2176.7625000000003,,,,2022-09-08 00:00:00+00:00
25,2199.08,2169.0616666666665,2220.805384615385,,,2022-09-09 00:00:00+00:00
26,2220.38,2168.1091666666666,2222.9688461538462,,,2022-09-12 00:00:00+00:00
27,2138.36,2161.005833333333,2220.783076923077,,,2022-09-13 00:00:00+00:00
28,2133.01,2158.505,2217.4884615384617,,,2022-09-14 00:00:00+00:00
29,2144.94,2156.6366666666668,2214.505,,,2022-09-15 00:00:00+00:00
30,2165.65,2159.0225000000005,2212.288846153846,,,2022-09-16 00:00:00+00:00
31,2097.59,2157.2208333333333,2207.164230769231,,,2022-09-19 00:00:00+00:00
32,2131.47,2156.0441666666666,2202.252307692308,,,2022-09-20 00:00:00+00:00
33,2104.02,2154.639166666667,2195.2546153846156,,,2022-09-21 00:00:00+00:00
