,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,33.4,,,,,2022-08-04 00:00:00+00:00
1,33.96,,,,,2022-08-05 00:00:00+00:00
2,33.49,,,,,2022-08-08 00:00:00+00:00
3,33.92,,,,,2022-08-09 00:00:00+00:00
4,35.07,,,,,2022-08-10 00:00:00+00:00
5,35.91,,,,,2022-08-11 00:00:00+00:00
6,36.3,,,,,2022-08-12 00:00:00+00:00
7,36.25,,,,,2022-08-15 00:00:00+00:00
8,36.64,,,,,2022-08-16 00:00:00+00:00
9,36.41,,,,,2022-08-17 00:00:00+00:00
10,36.28,,,,,2022-08-18 00:00:00+00:00
11,35.48,35.259166666666665,,,,2022-08-19 00:00:00+00:00
12,34.72,35.369166666666665,,,,2022-08-22 00:00:00+00:00
13,34.41,35.406666666666666,,,,2022-08-23 00:00:00+00:00
14,34.52,35.4925,,,,2022-08-24 00:00:00+00:00
15,35.14,35.594166666666666,,,,2022-08-25 00:00:00+00:00
16,34.03,35.5075,,,,2022-08-26 00:00:00+00:00
17,33.9,35.339999999999996,,,,2022-08-29 00:00:00+00:00
18,34.09,35.155833333333334,,,,2022-08-30 00:00:00+00:00
19,33.61,34.93583333333333,,,,2022-08-31 00:00:00+00:00
20,33.47,34.67166666666667,,,,2022-09-01 00:00:00+00:00
21,33.43,34.42333333333333,,,,2022-09-02 00:00:00+00:00
22,33.06,34.155,,,,2022-09-06 00:00:00+00:00
23,33.57,33.99583333333333,,,,2022-09-07 00:00:00+00:00
24,34.65,33.99,,,,2022-09-08 00:00:00+00:00
25,34.94,34.034166666666664,34.64038461538461,,,2022-09-09 00:00:00+00:00
26,35.27,34.09666666666667,34.71230769230769,,,2022-09-12 00:00:00+00:00
27,34.0,34.00166666666667,34.71384615384615,,,2022-09-13 00:00:00+00:00
28,33.87,33.98833333333334,34.72846153846154,,,2022-09-14 00:00:00+00:00
29,34.51,34.03916666666667,34.75115384615385,,,2022-09-15 00:00:00+00:00
30,34.12,34.041666666666664,34.714615384615385,,,2022-09-16 00:00:00+00:00
31,34.69,34.13166666666667,34.667692307692306,,,2022-09-19 00:00:00+00:00
32,34.17,34.19,34.58576923076923,,,2022-09-20 00:00:00+00:00
33,33.15,34.166666666666664,34.46653846153846,,,2022-09-21 00:00:00+00:00
34,32.5,34.12,34.307307692307695,,,2022-09-22 00:00:00+00:00
35,31.73,33.96666666666666,34.12730769230769,,,2022-09-23 00:00:00+00:00
36,31.03,33.665,33.925384615384615,,,2022-09-26 00:00:00+00:00
37,30.57,33.30083333333334,33.73653846153846,,,2022-09-27 00:00:00+00:00
38,31.07,32.95083333333333,33.59615384615385,,,2022-09-28 00:00:00+00:00
39,30.66,32.6725,33.45192307692308,,,2022-09-29 00:00:00+00:00
40,30.2,32.36666666666667,33.285769230769226,,,2022-09-30 00:00:00+00:00
41,31.09,32.08166666666666,33.13,,,2022-10-03 00:00:00+00:00
42,32.38,31.936666666666667,33.066538461538464,,,2022-10-04 00:00:00+00:00
43,31.92,31.70583333333333,32.99038461538461,,,2022-10-05 00:00:00+00:00
44,31.46,31.48,32.88923076923077,,,2022-10-06 00:00:00+00:00
45,30.75,31.28,32.77923076923077,,,2022-10-07 00:00:00+00:00
46,30.66,31.126666666666665,32.67115384615385,,,2022-10-10 00:00:00+00:00
47,29.77,30.963333333333335,32.53038461538462,,,2022-10-11 00:00:00+00:00
48,29.86,30.86583333333333,32.4073076923077,,,2022-10-12 00:00:00+00:00
49,31.69,30.959166666666665,32.335,33.4354,,2022-10-13 00:00:00+00:00
50,31.7,31.011666666666667,32.22153846153846,33.401399999999995,,2022-10-14 00:00:00+00:00
51,33.62,31.25833333333333,32.17076923076923,33.3946,,2022-10-17 00:00:00+00:00
52,34.88,31.64833333333333,32.15576923076923,33.4224,,2022-10-18 00:00:00+00:00
53,33.92,31.88416666666667,32.152692307692305,33.4224,,2022-10-19 00:00:00+00:00
54,33.7,31.99416666666667,32.14615384615385,33.395,,2022-10-20 00:00:00+00:00
55,34.95,32.24666666666667,32.16307692307692,33.3758,,2022-10-21 00:00:00+00:00
56,35.07,32.5475,32.199615384615385,33.3512,,2022-10-24 00:00:00+00:00
57,35.39,32.93416666666667,32.22653846153846,33.334,,2022-10-25 00:00:00+00:00
58,35.7,33.354166666666664,32.285384615384615,33.3152,,2022-10-26 00:00:00+00:00
59,35.87,33.862500000000004,32.39,33.3044,,2022-10-27 00:00:00+00:00
60,36.18,34.38916666666667,32.53153846153846,33.302400000000006,,2022-10-28 00:00:00+00:00
61,36.04,34.75166666666667,32.69730769230769,33.3136,,2022-10-31 00:00:00+00:00
62,36.2,35.12666666666667,32.89615384615385,33.3432,,2022-11-01 00:00:00+00:00
63,36.09,35.3325,33.10846153846154,33.376799999999996,,2022-11-02 00:00:00+00:00
64,35.89,35.41666666666667,33.293846153846154,33.4042,,2022-11-03 00:00:00+00:00
65,36.79,35.655833333333334,33.52961538461538,33.4372,,2022-11-04 00:00:00+00:00
66,37.01,35.931666666666665,33.791538461538465,33.4968,,2022-11-07 00:00:00+00:00
67,37.11,36.111666666666665,34.02307692307692,33.56100000000001,,2022-11-08 00:00:00+00:00
68,36.52,36.232499999999995,34.182307692307695,33.6096,,2022-11-09 00:00:00+00:00
69,38.13,36.46083333333333,34.42115384615384,33.7,,2022-11-10 00:00:00+00:00
70,38.41,36.68666666666667,34.68846153846154,33.7988,,2022-11-11 00:00:00+00:00
71,37.76,36.844166666666666,34.95807692307692,33.8854,,2022-11-14 00:00:00+00:00
72,37.7,36.97083333333333,35.22884615384615,33.9782,,2022-11-15 00:00:00+00:00
73,37.36,37.08083333333333,35.52076923076923,34.054,,2022-11-16 00:00:00+00:00
74,37.17,37.16166666666667,35.801923076923075,34.1044,,2022-11-17 00:00:00+00:00
75,37.19,37.25333333333334,36.01346153846154,34.14939999999999,,2022-11-18 00:00:00+00:00
76,37.31,37.37166666666666,36.22923076923077,34.1902,,2022-11-21 00:00:00+00:00
77,37.49,37.43,36.37807692307692,34.26,,2022-11-22 00:00:00+00:00
78,37.61,37.480000000000004,36.48307692307692,34.3348,,2022-11-23 00:00:00+00:00
79,37.7,37.52916666666667,36.628461538461536,34.3986,,2022-11-25 00:00:00+00:00
80,36.86,37.557500000000005,36.75,34.453399999999995,,2022-11-28 00:00:00+00:00
81,37.0,37.46333333333333,36.82884615384616,34.4996,,2022-11-29 00:00:00+00:00
82,37.85,37.416666666666664,36.93576923076923,34.5732,,2022-11-30 00:00:00+00:00
83,36.55,37.31583333333334,36.980384615384615,34.6412,,2022-12-01 00:00:00+00:00
84,36.08,37.18083333333333,36.995,34.712799999999994,,2022-12-02 00:00:00+00:00
85,34.47,36.940000000000005,36.941153846153846,34.767599999999995,,2022-12-05 00:00:00+00:00
86,33.0,36.5925,36.81884615384615,34.806999999999995,,2022-12-06 00:00:00+00:00
87,32.74,36.22166666666667,36.691923076923075,34.8504,,2022-12-07 00:00:00+00:00
88,32.44,35.81583333333334,36.54730769230769,34.8778,,2022-12-08 00:00:00+00:00
89,32.38,35.39,36.40461538461538,34.9122,,2022-12-09 00:00:00+00:00
90,32.73,34.98333333333333,36.283076923076926,34.962799999999994,,2022-12-12 00:00:00+00:00
91,32.75,34.57083333333333,36.12769230769231,34.996,,2022-12-13 00:00:00+00:00
92,32.28,34.189166666666665,35.94576923076923,34.994,,2022-12-14 00:00:00+00:00
93,31.77,33.75333333333333,35.74038461538461,34.99100000000001,,2022-12-15 00:00:00+00:00
94,31.7,33.240833333333335,35.555,34.9958,,2022-12-16 00:00:00+00:00
95,32.06,32.86666666666667,35.32153846153846,35.022000000000006,,2022-12-19 00:00:00+00:00
96,32.19,32.5425,35.082307692307694,35.0526,,2022-12-20 00:00:00+00:00
97,32.68,32.39333333333333,34.886923076923075,35.1108,,2022-12-21 00:00:00+00:00
98,32.39,32.3425,34.68269230769231,35.1614,,2022-12-22 00:00:00+00:00
99,32.47,32.32,34.494615384615386,35.177,,2022-12-23 00:00:00+00:00
100,32.53,32.32749999999999,34.316153846153846,35.1936,,2022-12-27 00:00:00+00:00
101,32.77,32.36,34.146153846153844,35.1766,,2022-12-28 00:00:00+00:00
102,33.14,32.39416666666667,33.985769230769236,35.141799999999996,,2022-12-29 00:00:00+00:00
103,33.12,32.425000000000004,33.817692307692305,35.1258,,2022-12-30 00:00:00+00:00
104,33.51,32.527499999999996,33.660000000000004,35.122,,2023-01-03 00:00:00+00:00
105,34.14,32.725,33.52307692307692,35.1058,,2023-01-04 00:00:00+00:00
106,34.07,32.92250000000001,33.41576923076923,35.085800000000006,,2023-01-05 00:00:00+00:00
107,34.41,33.11833333333333,33.316153846153846,35.0662,,2023-01-06 00:00:00+00:00
108,33.89,33.26,33.16384615384615,35.03,,2023-01-09 00:00:00+00:00
109,34.12,33.38,33.07038461538462,34.995,,2023-01-10 00:00:00+00:00
110,34.38,33.54583333333333,33.005,34.959,,2023-01-11 00:00:00+00:00
111,34.47,33.7125,33.005,34.927600000000005,,2023-01-12 00:00:00+00:00
112,35.23,33.93749999999999,33.09076923076923,34.9082,,2023-01-13 00:00:00+00:00
113,34.52,34.083333333333336,33.15923076923077,34.8768,,2023-01-17 00:00:00+00:00
114,33.72,34.13166666666667,33.208461538461535,34.833400000000005,,2023-01-18 00:00:00+00:00
115,33.23,34.14083333333333,33.24115384615384,34.7622,,2023-01-19 00:00:00+00:00
116,33.85,34.16916666666666,33.28423076923077,34.699,,2023-01-20 00:00:00+00:00
117,34.32,34.18416666666667,33.34461538461538,34.6432,,2023-01-23 00:00:00+00:00
118,34.57,34.225833333333334,33.43269230769231,34.6042,,2023-01-24 00:00:00+00:00
119,34.87,34.26416666666667,33.551923076923075,34.539,,2023-01-25 00:00:00+00:00
120,35.34,34.385,33.691923076923075,34.477599999999995,,2023-01-26 00:00:00+00:00
121,35.45,34.49583333333333,33.82230769230769,34.4314,,2023-01-27 00:00:00+00:00
122,35.3,34.5725,33.941923076923075,34.383399999999995,,2023-01-30 00:00:00+00:00
123,35.48,34.656666666666666,34.049615384615386,34.3458,,2023-01-31 00:00:00+00:00
124,35.92,34.71416666666667,34.18538461538462,34.3208,,2023-02-01 00:00:00+00:00
125,36.13,34.848333333333336,34.326153846153844,34.2996,,2023-02-02 00:00:00+00:00
126,36.43,35.07416666666666,34.47615384615385,34.282,,2023-02-03 00:00:00+00:00
127,36.37,35.33583333333333,34.614615384615384,34.2596,,2023-02-06 00:00:00+00:00
128,36.77,35.579166666666666,34.754230769230766,34.2428,,2023-02-07 00:00:00+00:00
129,36.5,35.76083333333333,34.88423076923077,34.2188,,2023-02-08 00:00:00+00:00
130,35.72,35.85666666666666,34.96923076923077,34.196000000000005,,2023-02-09 00:00:00+00:00
131,35.58,35.91583333333333,35.02461538461539,34.1676,,2023-02-10 00:00:00+00:00
132,35.65,35.94166666666667,35.08538461538462,34.123599999999996,,2023-02-13 00:00:00+00:00
133,35.62,35.95583333333334,35.13192307692307,34.105,,2023-02-14 00:00:00+00:00
134,35.56,35.9775,35.19615384615384,34.0946,,2023-02-15 00:00:00+00:00
135,35.28,35.96083333333333,35.24076923076923,34.1108,,2023-02-16 00:00:00+00:00
136,35.35,35.913333333333334,35.27807692307692,34.1578,,2023-02-17 00:00:00+00:00
137,34.52,35.77916666666666,35.28,34.193400000000004,,2023-02-21 00:00:00+00:00
138,34.29,35.600833333333334,35.24384615384616,34.2304,,2023-02-22 00:00:00+00:00
139,34.26,35.425000000000004,35.23384615384616,34.268,,2023-02-23 00:00:00+00:00
140,34.21,35.211666666666666,35.25269230769231,34.2976,,2023-02-24 00:00:00+00:00
141,34.21,35.020833333333336,35.29038461538461,34.326800000000006,,2023-02-27 00:00:00+00:00
142,34.3,34.9025,35.30769230769231,34.367200000000004,,2023-02-28 00:00:00+00:00
143,34.14,34.7825,35.300769230769234,34.41459999999999,,2023-03-01 00:00:00+00:00
144,33.49,34.6025,35.25923076923077,34.4504,,2023-03-02 00:00:00+00:00
145,34.16,34.48083333333333,35.231923076923074,34.492399999999996,,2023-03-03 00:00:00+00:00
146,34.09,34.358333333333334,35.183846153846154,34.5304,,2023-03-06 00:00:00+00:00
147,33.0,34.16833333333334,35.089615384615385,34.5368,,2023-03-07 00:00:00+00:00
148,32.56,33.935833333333335,34.98423076923076,34.5402,,2023-03-08 00:00:00+00:00
149,30.54,33.604166666666664,34.79423076923077,34.501599999999996,,2023-03-09 00:00:00+00:00
150,30.27,33.26916666666667,34.57692307692308,34.4564,,2023-03-10 00:00:00+00:00
151,28.51,32.79,34.283846153846156,34.3712,,2023-03-13 00:00:00+00:00
152,28.76,32.33583333333333,33.988846153846154,34.2836,,2023-03-14 00:00:00+00:00
153,28.49,31.859166666666667,33.68576923076923,34.191,,2023-03-15 00:00:00+00:00
154,28.97,31.414999999999996,33.385769230769235,34.1002,,2023-03-16 00:00:00+00:00
155,27.82,30.888333333333332,33.051923076923075,33.973800000000004,,2023-03-17 00:00:00+00:00
156,27.75,30.409999999999997,32.745384615384616,33.8474,,2023-03-20 00:00:00+00:00
157,28.59,29.945833333333336,32.47653846153846,33.731,,2023-03-21 00:00:00+00:00
158,27.64,29.40833333333333,32.168461538461536,33.606,,2023-03-22 00:00:00+00:00
159,26.97,28.905833333333334,31.83576923076923,33.463,,2023-03-23 00:00:00+00:00
160,27.14,28.454166666666666,31.51192307692308,33.3182,,2023-03-24 00:00:00+00:00
161,28.49,28.283333333333335,31.25076923076923,33.1986,,2023-03-27 00:00:00+00:00
162,28.12,28.104166666666668,30.97269230769231,33.0564,,2023-03-28 00:00:00+00:00
163,28.67,28.117499999999996,30.747692307692304,32.9394,,2023-03-29 00:00:00+00:00
164,28.3,28.079166666666666,30.517307692307693,32.830999999999996,,2023-03-30 00:00:00+00:00
165,28.6,28.088333333333335,30.299615384615382,32.7384,,2023-03-31 00:00:00+00:00
166,28.59,28.05666666666667,30.08346153846154,32.6332,,2023-04-03 00:00:00+00:00
167,27.98,28.070000000000004,29.843846153846155,32.5064,,2023-04-04 00:00:00+00:00
168,27.64,28.060833333333335,29.587692307692308,32.3678,,2023-04-05 00:00:00+00:00
169,27.84,27.998333333333335,29.345384615384617,32.227199999999996,,2023-04-06 00:00:00+00:00
170,27.94,28.023333333333337,29.131923076923076,32.0792,,2023-04-10 00:00:00+00:00
171,28.71,28.168333333333333,28.922307692307694,31.9444,,2023-04-11 00:00:00+00:00
172,28.48,28.28,28.70653846153846,31.808000000000003,,2023-04-12 00:00:00+00:00
173,28.56,28.285833333333333,28.53576923076923,31.6696,,2023-04-13 00:00:00+00:00
174,29.52,28.4025,28.418846153846154,31.5416,,2023-04-14 00:00:00+00:00
175,30.37,28.54416666666667,28.41230769230769,31.426400000000005,,2023-04-17 00:00:00+00:00
176,30.56,28.7325,28.423461538461538,31.309,,2023-04-18 00:00:00+00:00
177,30.06,28.854166666666668,28.483076923076922,31.182799999999997,,2023-04-19 00:00:00+00:00
178,29.9,28.963333333333335,28.52692307692308,31.0454,,2023-04-20 00:00:00+00:00
179,29.87,29.120833333333334,28.580000000000002,30.912799999999997,,2023-04-21 00:00:00+00:00
180,29.76,29.2975,28.610384615384614,30.793599999999998,,2023-04-24 00:00:00+00:00
181,28.84,29.38083333333333,28.649615384615384,30.6588,,2023-04-25 00:00:00+00:00
182,28.44,29.4225,28.67615384615385,30.5146,,2023-04-26 00:00:00+00:00
183,28.89,29.4375,28.68769230769231,30.38,,2023-04-27 00:00:00+00:00
184,29.28,29.504166666666663,28.75076923076923,30.2544,,2023-04-28 00:00:00+00:00
185,29.04,29.544166666666666,28.830384615384617,30.1296,,2023-05-01 00:00:00+00:00
186,28.16,29.430833333333336,28.869615384615386,29.985799999999998,,2023-05-02 00:00:00+00:00
187,27.86,29.221666666666664,28.845384615384617,29.8526,,2023-05-03 00:00:00+00:00
188,26.99,28.924166666666665,28.801923076923078,29.706599999999998,,2023-05-04 00:00:00+00:00
189,27.71,28.728333333333335,28.765,29.575599999999998,,2023-05-05 00:00:00+00:00
190,27.69,28.54416666666667,28.74153846153846,29.4452,,2023-05-08 00:00:00+00:00
191,27.66,28.36,28.705384615384617,29.3142,,2023-05-09 00:00:00+00:00
192,27.32,28.156666666666666,28.656538461538464,29.1746,,2023-05-10 00:00:00+00:00
193,27.39,28.035833333333333,28.633846153846154,29.0396,,2023-05-11 00:00:00+00:00
194,27.09,27.923333333333332,28.61269230769231,28.911600000000004,,2023-05-12 00:00:00+00:00
195,27.65,27.819999999999997,28.605384615384615,28.781399999999998,,2023-05-15 00:00:00+00:00
196,27.36,27.659999999999997,28.583076923076927,28.646800000000002,,2023-05-16 00:00:00+00:00
197,28.57,27.620833333333334,28.577692307692306,28.558200000000003,,2023-05-17 00:00:00+00:00
198,28.47,27.646666666666665,28.57730769230769,28.476399999999998,,2023-05-18 00:00:00+00:00
199,28.11,27.667500000000004,28.560000000000002,28.427799999999998,32.88545,2023-05-19 00:00:00+00:00
200,28.34,27.78,28.51461538461539,28.389200000000002,32.860150000000004,2023-05-22 00:00:00+00:00
201,28.58,27.852499999999996,28.445769230769233,28.3906,32.83325,2023-05-23 00:00:00+00:00
202,28.1,27.886666666666667,28.351153846153846,28.377399999999998,32.80629999999999,2023-05-24 00:00:00+00:00
203,28.17,27.92916666666667,28.27846153846154,28.371,32.77755,2023-05-25 00:00:00+00:00
204,28.31,28.01166666666667,28.217307692307692,28.357799999999997,32.74375,2023-05-26 00:00:00+00:00
205,28.26,28.084166666666665,28.155384615384612,28.3666,32.7055,2023-05-30 00:00:00+00:00
206,27.79,28.1425,28.079615384615384,28.367400000000004,32.66295,2023-05-31 00:00:00+00:00
207,27.78,28.153333333333336,28.038846153846155,28.351200000000002,32.620599999999996,2023-06-01 00:00:00+00:00
208,28.71,28.265833333333333,28.049230769230768,28.372600000000002,32.58095,2023-06-02 00:00:00+00:00
209,28.54,28.263333333333335,28.03576923076923,28.404,32.541599999999995,2023-06-05 00:00:00+00:00
210,29.23,28.326666666666668,28.033846153846152,28.445800000000006,32.50635,2023-06-06 00:00:00+00:00
211,29.48,28.44083333333333,28.050769230769227,28.465600000000006,32.476350000000004,2023-06-07 00:00:00+00:00
212,29.23,28.515,28.091923076923077,28.487799999999996,32.4489,2023-06-08 00:00:00+00:00
213,29.27,28.5725,28.146153846153844,28.4998,32.4232,2023-06-09 00:00:00+00:00
214,29.13,28.65833333333333,28.228461538461538,28.516399999999997,32.39625,2023-06-12 00:00:00+00:00
215,29.4,28.760833333333334,28.29346153846154,28.532400000000003,32.36755,2023-06-13 00:00:00+00:00
