,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,252.51,,,,,2022-08-04 00:00:00+00:00
1,254.23,,,,,2022-08-05 00:00:00+00:00
2,255.97,,,,,2022-08-08 00:00:00+00:00
3,255.3,,,,,2022-08-09 00:00:00+00:00
4,258.56,,,,,2022-08-10 00:00:00+00:00
5,259.4,,,,,2022-08-11 00:00:00+00:00
6,263.69,,,,,2022-08-12 00:00:00+00:00
7,266.81,,,,,2022-08-15 00:00:00+00:00
8,267.78,,,,,2022-08-16 00:00:00+00:00
9,264.23,,,,,2022-08-17 00:00:00+00:00
10,263.71,,,,,2022-08-18 00:00:00+00:00
11,264.53,260.56,,,,2022-08-19 00:00:00+00:00
12,260.75,261.24666666666667,,,,2022-08-22 00:00:00+00:00
13,257.4,261.5108333333333,,,,2022-08-23 00:00:00+00:00
14,258.35,261.70916666666665,,,,2022-08-24 00:00:00+00:00
15,260.01,262.1016666666667,,,,2022-08-25 00:00:00+00:00
16,253.73,261.69916666666666,,,,2022-08-26 00:00:00+00:00
17,254.44,261.28583333333336,,,,2022-08-29 00:00:00+00:00
18,253.17,260.40916666666664,,,,2022-08-30 00:00:00+00:00
19,252.42,259.21,,,,2022-08-31 00:00:00+00:00
20,255.25,258.1658333333333,,,,2022-09-01 00:00:00+00:00
21,252.84,257.21666666666664,,,,2022-09-02 00:00:00+00:00
22,252.07,256.24666666666667,,,,2022-09-06 00:00:00+00:00
23,258.97,255.78333333333333,,,,2022-09-07 00:00:00+00:00
24,260.5,255.76250000000002,,,,2022-09-08 00:00:00+00:00
25,262.85,256.21666666666664,258.44115384615384,,,2022-09-09 00:00:00+00:00
26,264.23,256.70666666666665,258.89192307692304,,,2022-09-12 00:00:00+00:00
27,256.78,256.4375,258.99,,,2022-09-13 00:00:00+00:00
28,258.95,256.8725,259.1046153846154,,,2022-09-14 00:00:00+00:00
29,256.7,257.0608333333333,259.15846153846155,,,2022-09-15 00:00:00+00:00
30,254.32,257.1566666666667,258.99538461538464,,,2022-09-16 00:00:00+00:00
31,251.26,257.06,258.6823076923077,,,2022-09-19 00:00:00+00:00
32,244.11,256.13166666666666,257.92923076923074,,,2022-09-20 00:00:00+00:00
33,238.01,254.89583333333334,256.82153846153847,,,2022-09-21 00:00:00+00:00
34,237.19,253.65583333333336,255.64499999999998,,,2022-09-22 00:00:00+00:00
35,233.92,251.56833333333336,254.47923076923078,,,2022-09-23 00:00:00+00:00
36,231.64,249.16333333333333,253.24576923076924,,,2022-09-26 00:00:00+00:00
37,228.34,246.2875,251.85384615384615,,,2022-09-27 00:00:00+00:00
38,230.37,243.46583333333334,250.6853846153846,,,2022-09-28 00:00:00+00:00
39,226.12,240.91083333333333,249.4823076923077,,,2022-09-29 00:00:00+00:00
40,222.83,237.90083333333334,248.11615384615382,,,2022-09-30 00:00:00+00:00
41,230.78,235.7408333333333,246.9919230769231,,,2022-10-03 00:00:00+00:00
42,236.97,234.295,246.34730769230768,,,2022-10-04 00:00:00+00:00
43,236.83,233.09249999999997,245.67000000000002,,,2022-10-05 00:00:00+00:00
44,228.4,231.78333333333333,244.7173076923077,,,2022-10-06 00:00:00+00:00
45,222.67,230.505,243.5730769230769,,,2022-10-07 00:00:00+00:00
46,219.81,229.05666666666664,242.21,,,2022-10-10 00:00:00+00:00
47,222.65,228.11749999999998,241.04884615384614,,,2022-10-11 00:00:00+00:00
48,220.79,227.21333333333334,239.84576923076924,,,2022-10-12 00:00:00+00:00
49,226.53,227.06250000000003,238.59807692307692,247.9934,,2022-10-13 00:00:00+00:00
50,224.7,226.59,237.22115384615384,247.43719999999996,,2022-10-14 00:00:00+00:00
51,229.02,226.83166666666668,235.92000000000002,246.933,,2022-10-17 00:00:00+00:00
52,230.63,227.48166666666668,234.62769230769229,246.42620000000002,,2022-10-18 00:00:00+00:00
53,225.47,227.03916666666666,233.42346153846154,245.8296,,2022-10-19 00:00:00+00:00
54,222.58,225.84,232.02461538461537,245.11,,2022-10-20 00:00:00+00:00
55,223.6,224.73750000000004,230.75153846153847,244.394,,2022-10-21 00:00:00+00:00
56,225.21,224.47166666666666,229.6319230769231,243.62439999999998,,2022-10-24 00:00:00+00:00
57,225.7,224.72416666666666,228.64884615384614,242.8022,,2022-10-25 00:00:00+00:00
58,232.88,225.81333333333336,228.21692307692308,242.1042,,2022-10-26 00:00:00+00:00
59,231.17,226.5233333333333,227.95384615384617,241.44299999999998,,2022-10-27 00:00:00+00:00
60,235.26,227.72916666666666,227.8796153846154,240.87399999999997,,2022-10-28 00:00:00+00:00
61,235.97,228.5158333333333,227.95846153846153,240.30280000000002,,2022-10-31 00:00:00+00:00
62,233.88,229.28083333333333,228.04461538461538,239.7654,,2022-11-01 00:00:00+00:00
