,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,1947.25,,,,,2022-08-04 00:00:00+00:00
1,1924.97,,,,,2022-08-05 00:00:00+00:00
2,1955.8,,,,,2022-08-08 00:00:00+00:00
3,1957.21,,,,,2022-08-09 00:00:00+00:00
4,2023.69,,,,,2022-08-10 00:00:00+00:00
5,2063.76,,,,,2022-08-11 00:00:00+00:00
6,2120.98,,,,,2022-08-12 00:00:00+00:00
7,2129.76,,,,,2022-08-15 00:00:00+00:00
8,2151.34,,,,,2022-08-16 00:00:00+00:00
9,2129.65,,,,,2022-08-17 00:00:00+00:00
10,2144.73,,,,,2022-08-18 00:00:00+00:00
11,2086.92,2053.005,,,,2022-08-19 00:00:00+00:00
12,1972.67,2055.1233333333334,,,,2022-08-22 00:00:00+00:00
13,1992.83,2060.778333333333,,,,2022-08-23 00:00:00+00:00
14,1990.96,2063.7083333333335,,,,2022-08-24 00:00:00+00:00
15,2008.54,2067.9858333333336,,,,2022-08-25 00:00:00+00:00
16,1910.96,2058.5916666666667,,,,2022-08-26 00:00:00+00:00
17,1898.66,2044.8333333333333,,,,2022-08-29 00:00:00+00:00
18,1880.23,2024.7708333333333,,,,2022-08-30 00:00:00+00:00
19,1875.81,2003.6083333333333,,,,2022-08-31 00:00:00+00:00
20,1852.51,1978.7058333333332,,,,2022-09-01 00:00:00+00:00
21,1837.91,1954.3941666666667,,,,2022-09-02 00:00:00+00:00
22,1814.85,1926.904166666667,,,,2022-09-06 00:00:00+00:00
23,1872.45,1909.0316666666668,,,,2022-09-07 00:00:00+00:00
24,1906.02,1903.4775000000002,,,,2022-09-08 00:00:00+00:00
25,1981.03,1902.4941666666666,1978.1342307692307,,,2022-09-09 00:00:00+00:00
26,2013.32,1904.3575,1980.6753846153845,,,2022-09-12 00:00:00+00:00
27,1920.8,1897.0458333333333,1980.5149999999999,,,2022-09-13 00:00:00+00:00
28,1967.38,1901.7475000000002,1980.9603846153846,,,2022-09-14 00:00:00+00:00
