,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,696.01,,,,,2022-08-04 00:00:00+00:00
1,695.93,,,,,2022-08-05 00:00:00+00:00
2,696.27,,,,,2022-08-08 00:00:00+00:00
3,696.51,,,,,2022-08-09 00:00:00+00:00
4,725.21,,,,,2022-08-10 00:00:00+00:00
5,728.65,,,,,2022-08-11 00:00:00+00:00
6,751.83,,,,,2022-08-12 00:00:00+00:00
7,755.82,,,,,2022-08-15 00:00:00+00:00
8,757.07,,,,,2022-08-16 00:00:00+00:00
9,743.22,,,,,2022-08-17 00:00:00+00:00
10,745.22,,,,,2022-08-18 00:00:00+00:00
11,713.85,725.4658333333333,,,,2022-08-19 00:00:00+00:00
12,695.05,725.3858333333333,,,,2022-08-22 00:00:00+00:00
13,696.97,725.4725,,,,2022-08-23 00:00:00+00:00
14,700.42,725.8183333333333,,,,2022-08-24 00:00:00+00:00
15,710.6,726.9925,,,,2022-08-25 00:00:00+00:00
16,676.44,722.9283333333333,,,,2022-08-26 00:00:00+00:00
17,675.89,718.5316666666668,,,,2022-08-29 00:00:00+00:00
18,672.72,711.9391666666667,,,,2022-08-30 00:00:00+00:00
19,666.39,704.4866666666667,,,,2022-08-31 00:00:00+00:00
20,664.85,696.8016666666667,,,,2022-09-01 00:00:00+00:00
21,658.06,689.7049999999999,,,,2022-09-02 00:00:00+00:00
22,661.63,682.7391666666667,,,,2022-09-06 00:00:00+00:00
23,674.22,679.4366666666666,,,,2022-09-07 00:00:00+00:00
24,691.92,679.1758333333333,,,,2022-09-08 00:00:00+00:00
25,695.46,679.05,701.7773076923077,,,2022-09-09 00:00:00+00:00
26,696.81,678.7491666666667,701.808076923077,,,2022-09-12 00:00:00+00:00
27,644.91,673.275,699.8457692307693,,,2022-09-13 00:00:00+00:00
28,643.58,670.5366666666667,697.8192307692308,,,2022-09-14 00:00:00+00:00
29,632.34,666.9075,695.3511538461537,,,2022-09-15 00:00:00+00:00
30,626.74,663.0758333333333,691.5638461538462,,,2022-09-16 00:00:00+00:00
31,634.73,660.4375,687.9515384615386,,,2022-09-19 00:00:00+00:00
32,622.31,656.8925,682.97,,,2022-09-20 00:00:00+00:00
33,608.09,652.7283333333334,677.288076923077,,,2022-09-21 00:00:00+00:00
34,600.5,647.6341666666667,671.2661538461539,,,2022-09-22 00:00:00+00:00
35,591.39,640.7316666666667,665.4265384615385,,,2022-09-23 00:00:00+00:00
36,584.65,631.7925,659.2507692307692,,,2022-09-26 00:00:00+00:00
37,578.6,622.0541666666667,654.0488461538462,,,2022-09-27 00:00:00+00:00
38,585.43,612.7724999999999,649.8326923076924,,,2022-09-28 00:00:00+00:00
39,563.92,606.0233333333333,644.7153846153846,,,2022-09-29 00:00:00+00:00
40,550.28,598.2483333333333,638.9407692307692,,,2022-09-30 00:00:00+00:00
41,572.72,593.28,633.6376923076924,,,2022-10-03 00:00:00+00:00
42,591.3,590.3266666666667,630.3630769230768,,,2022-10-04 00:00:00+00:00
43,583.15,586.0283333333333,626.7961538461539,,,2022-10-05 00:00:00+00:00
44,571.61,581.8033333333333,622.9073076923077,,,2022-10-06 00:00:00+00:00
45,550.4,576.9958333333333,618.4461538461538,,,2022-10-07 00:00:00+00:00
46,545.54,572.4158333333334,613.8573076923077,,,2022-10-10 00:00:00+00:00
47,531.14,567.395,608.9757692307693,,,2022-10-11 00:00:00+00:00
48,531.1,562.9325,603.9553846153847,,,2022-10-12 00:00:00+00:00
49,566.03,561.885,599.7942307692308,649.0696,,2022-10-13 00:00:00+00:00
50,550.95,559.0116666666667,594.3723076923077,646.1684,,2022-10-14 00:00:00+00:00
51,569.25,559.4558333333333,589.5180769230769,643.6348,,2022-10-17 00:00:00+00:00
52,581.06,562.0208333333334,585.0661538461538,641.3306,,2022-10-18 00:00:00+00:00
53,577.9,562.4525,582.4888461538461,638.9584,,2022-10-19 00:00:00+00:00
54,572.36,560.8741666666666,579.7496153846154,635.9014,,2022-10-20 00:00:00+00:00
55,597.26,562.0500000000001,578.4003846153846,633.2736,,2022-10-21 00:00:00+00:00
56,611.44,565.3691666666666,577.8119230769231,630.4658000000001,,2022-10-24 00:00:00+00:00
57,635.94,572.4975000000001,577.8584615384615,628.0682,,2022-10-25 00:00:00+00:00
58,637.8,580.1858333333333,578.4542307692308,625.6828,,2022-10-26 00:00:00+00:00
59,648.98,590.0058333333334,580.0269230769231,623.798,,2022-10-27 00:00:00+00:00
60,663.75,601.0600000000001,582.4596153846154,622.1686,,2022-10-28 00:00:00+00:00
61,645.91,607.7166666666667,584.5565384615385,620.8098,,2022-10-31 00:00:00+00:00
62,652.0,616.1374999999999,587.146923076923,619.9488,,2022-11-01 00:00:00+00:00
63,638.81,621.9341666666666,589.4626923076922,618.7855999999999,,2022-11-02 00:00:00+00:00
64,633.81,626.33,591.3234615384615,617.4534,,2022-11-03 00:00:00+00:00
65,656.15,632.8508333333333,594.8707692307693,616.3643999999999,,2022-11-04 00:00:00+00:00
66,676.3,641.5124999999999,599.7176923076923,616.3616000000001,,2022-11-07 00:00:00+00:00
67,686.33,648.935,604.0873076923076,616.5704000000001,,2022-11-08 00:00:00+00:00
68,669.62,653.7833333333333,607.0996153846154,616.5083999999999,,2022-11-09 00:00:00+00:00
69,759.81,664.1058333333333,613.8942307692307,618.3768,,2022-11-10 00:00:00+00:00
70,774.75,675.5183333333333,621.7073076923077,620.5748,,2022-11-11 00:00:00+00:00
71,741.15,683.1991666666667,629.0438461538462,622.2366000000001,,2022-11-14 00:00:00+00:00
72,740.31,689.5791666666665,636.535,623.8102,,2022-11-15 00:00:00+00:00
73,727.03,696.3391666666666,644.0692307692308,624.8664,,2022-11-16 00:00:00+00:00
74,721.31,702.1149999999999,651.385,625.4542,,2022-11-17 00:00:00+00:00
75,720.61,708.9316666666667,657.3303846153847,625.9572000000001,,2022-11-18 00:00:00+00:00
76,723.7,716.4225,663.9746153846154,626.495,,2022-11-21 00:00:00+00:00
