,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,72.12,,,,,2022-08-04 00:00:00+00:00
1,72.12,,,,,2022-08-05 00:00:00+00:00
2,73.8,,,,,2022-08-08 00:00:00+00:00
3,74.96,,,,,2022-08-09 00:00:00+00:00
4,74.86,,,,,2022-08-10 00:00:00+00:00
5,74.46,,,,,2022-08-11 00:00:00+00:00
6,75.57,,,,,2022-08-12 00:00:00+00:00
7,74.53,,,,,2022-08-15 00:00:00+00:00
8,74.13,,,,,2022-08-16 00:00:00+00:00
9,74.56,,,,,2022-08-17 00:00:00+00:00
10,74.15,,,,,2022-08-18 00:00:00+00:00
11,75.33,74.21583333333334,,,,2022-08-19 00:00:00+00:00
12,74.55,74.41833333333334,,,,2022-08-22 00:00:00+00:00
13,72.77,74.4725,,,,2022-08-23 00:00:00+00:00
14,72.42,74.3575,,,,2022-08-24 00:00:00+00:00
15,71.5,74.06916666666666,,,,2022-08-25 00:00:00+00:00
16,71.19,73.76333333333334,,,,2022-08-26 00:00:00+00:00
17,66.75,73.12083333333334,,,,2022-08-29 00:00:00+00:00
18,67.2,72.42333333333333,,,,2022-08-30 00:00:00+00:00
19,67.41,71.83,,,,2022-08-31 00:00:00+00:00
20,69.09,71.41000000000001,,,,2022-09-01 00:00:00+00:00
21,68.61,70.91416666666667,,,,2022-09-02 00:00:00+00:00
22,68.65,70.45583333333333,,,,2022-09-06 00:00:00+00:00
23,68.76,69.90833333333333,,,,2022-09-07 00:00:00+00:00
24,69.38,69.4775,,,,2022-09-08 00:00:00+00:00
25,70.16,69.26,71.88576923076923,,,2022-09-09 00:00:00+00:00
26,72.36,69.25500000000001,71.895,,,2022-09-12 00:00:00+00:00
27,71.04,69.21666666666665,71.85346153846154,,,2022-09-13 00:00:00+00:00
28,70.47,69.15666666666667,71.72538461538463,,,2022-09-14 00:00:00+00:00
29,71.78,69.57583333333334,71.60307692307693,,,2022-09-15 00:00:00+00:00
30,71.52,69.93583333333333,71.47461538461539,,,2022-09-16 00:00:00+00:00
31,70.19,70.1675,71.31038461538462,,,2022-09-19 00:00:00+00:00
32,69.73,70.22083333333333,71.08576923076922,,,2022-09-20 00:00:00+00:00
33,69.46,70.29166666666667,70.89076923076922,,,2022-09-21 00:00:00+00:00
34,71.29,70.51166666666667,70.78153846153846,,,2022-09-22 00:00:00+00:00
35,70.71,70.67416666666666,70.63346153846155,,,2022-09-23 00:00:00+00:00
36,70.15,70.73833333333333,70.47961538461539,,,2022-09-26 00:00:00+00:00
37,70.36,70.75500000000001,70.28846153846153,,,2022-09-27 00:00:00+00:00
38,72.06,70.73,70.19269230769231,,,2022-09-28 00:00:00+00:00
39,71.71,70.78583333333334,70.15192307692307,,,2022-09-29 00:00:00+00:00
40,71.09,70.83749999999999,70.10076923076923,,,2022-09-30 00:00:00+00:00
41,70.53,70.73333333333333,70.06346153846154,,,2022-10-03 00:00:00+00:00
42,71.21,70.7075,70.06423076923078,,,2022-10-04 00:00:00+00:00
43,71.45,70.8125,70.24499999999999,,,2022-10-05 00:00:00+00:00
44,70.24,70.855,70.36192307692308,,,2022-10-06 00:00:00+00:00
45,69.7,70.875,70.45,,,2022-10-07 00:00:00+00:00
46,68.48,70.64083333333333,70.42653846153846,,,2022-10-10 00:00:00+00:00
47,69.65,70.55250000000001,70.46653846153846,,,2022-10-11 00:00:00+00:00
48,69.28,70.48,70.49076923076923,,,2022-10-12 00:00:00+00:00
49,70.77,70.51416666666667,70.56807692307692,71.2852,,2022-10-13 00:00:00+00:00
50,70.62,70.39416666666666,70.61576923076925,71.2552,,2022-10-14 00:00:00+00:00
51,71.38,70.36666666666666,70.66269230769231,71.24040000000001,,2022-10-17 00:00:00+00:00
52,71.74,70.42083333333333,70.63884615384615,71.1992,,2022-10-18 00:00:00+00:00
53,71.14,70.47166666666666,70.64269230769231,71.1228,,2022-10-19 00:00:00+00:00
54,70.35,70.4,70.63807692307692,71.03259999999999,,2022-10-20 00:00:00+00:00
55,72.21,70.46333333333332,70.65461538461538,70.98759999999999,,2022-10-21 00:00:00+00:00
56,72.99,70.6925,70.71115384615385,70.936,,2022-10-24 00:00:00+00:00
57,72.77,70.94833333333332,70.81038461538462,70.9008,,2022-10-25 00:00:00+00:00
58,74.45,71.44583333333334,70.99192307692307,70.90719999999999,,2022-10-26 00:00:00+00:00
59,74.6,71.85833333333333,71.1896153846154,70.90799999999999,,2022-10-27 00:00:00+00:00
60,76.83,72.4875,71.4026923076923,70.9616,,2022-10-28 00:00:00+00:00
61,77.47,73.04583333333333,71.66269230769231,71.00439999999999,,2022-10-31 00:00:00+00:00
62,77.7,73.63583333333334,71.95307692307692,71.06739999999999,,2022-11-01 00:00:00+00:00
63,77.45,74.14166666666667,72.22576923076923,71.161,,2022-11-02 00:00:00+00:00
64,78.48,74.70333333333333,72.47269230769231,71.2822,,2022-11-03 00:00:00+00:00
65,78.78,75.33999999999999,72.74461538461539,71.42779999999999,,2022-11-04 00:00:00+00:00
66,79.19,76.07666666666667,73.05615384615385,71.5878,,2022-11-07 00:00:00+00:00
67,79.98,76.72416666666668,73.41961538461538,71.8524,,2022-11-08 00:00:00+00:00
68,79.78,77.29,73.74923076923076,72.104,,2022-11-09 00:00:00+00:00
69,79.38,77.84083333333334,74.05423076923077,72.3434,,2022-11-10 00:00:00+00:00
70,75.96,77.96666666666667,74.27423076923077,72.4808,,2022-11-11 00:00:00+00:00
71,76.39,78.11583333333333,74.53153846153846,72.63640000000001,,2022-11-14 00:00:00+00:00
72,76.28,78.07000000000001,74.83153846153847,72.789,,2022-11-15 00:00:00+00:00
73,76.15,77.96,75.08153846153846,72.9368,,2022-11-16 00:00:00+00:00
74,77.16,77.915,75.38461538461539,73.0924,,2022-11-17 00:00:00+00:00
75,77.45,77.915,75.64153846153846,73.23819999999999,,2022-11-18 00:00:00+00:00
76,78.96,77.955,75.96230769230769,73.37020000000001,,2022-11-21 00:00:00+00:00
77,78.86,77.96166666666667,76.25,73.5266,,2022-11-22 00:00:00+00:00
78,79.14,77.9575,76.53461538461538,73.7,,2022-11-23 00:00:00+00:00
79,79.24,77.89583333333333,76.84615384615384,73.8492,,2022-11-25 00:00:00+00:00
80,79.14,77.8425,77.18423076923077,74.0016,,2022-11-28 00:00:00+00:00
81,79.03,77.81333333333333,77.44653846153845,74.1784,,2022-11-29 00:00:00+00:00
82,80.28,78.17333333333333,77.72692307692307,74.38940000000001,,2022-11-30 00:00:00+00:00
83,80.88,78.5475,78.03884615384615,74.6178,,2022-12-01 00:00:00+00:00
84,81.13,78.95166666666667,78.29576923076922,74.8146,,2022-12-02 00:00:00+00:00
85,80.7,79.33083333333333,78.53038461538462,75.01440000000001,,2022-12-05 00:00:00+00:00
86,79.92,79.56083333333332,78.64923076923077,75.2098,,2022-12-06 00:00:00+00:00
87,79.93,79.7675,78.74384615384615,75.4012,,2022-12-07 00:00:00+00:00
88,79.88,79.84416666666667,78.8276923076923,75.5576,,2022-12-08 00:00:00+00:00
89,78.83,79.84166666666665,78.88076923076923,75.7,,2022-12-09 00:00:00+00:00
90,78.89,79.82083333333334,78.89653846153846,75.85600000000001,,2022-12-12 00:00:00+00:00
91,77.35,79.66333333333333,78.84153846153846,75.9924,,2022-12-13 00:00:00+00:00
92,77.14,79.49666666666667,78.7626923076923,76.11099999999999,,2022-12-14 00:00:00+00:00
93,75.0,79.16083333333334,78.57115384615385,76.182,,2022-12-15 00:00:00+00:00
94,73.49,78.595,78.32923076923076,76.247,,2022-12-16 00:00:00+00:00
95,73.16,77.95166666666667,78.09,76.3162,,2022-12-19 00:00:00+00:00
96,72.65,77.245,77.96269230769231,76.3996,,2022-12-20 00:00:00+00:00
97,73.33,76.63083333333333,77.845,76.47319999999999,,2022-12-21 00:00:00+00:00
98,73.83,76.12333333333333,77.75076923076924,76.5642,,2022-12-22 00:00:00+00:00
99,72.89,75.53666666666666,77.62538461538462,76.6066,,2022-12-23 00:00:00+00:00
100,72.61,74.93083333333333,77.45038461538462,76.6464,,2022-12-27 00:00:00+00:00
101,71.99,74.36083333333333,77.24038461538461,76.65859999999999,,2022-12-28 00:00:00+00:00
102,72.1,73.795,76.97653846153847,76.6658,,2022-12-29 00:00:00+00:00
103,71.95,73.345,76.71076923076923,76.682,,2022-12-30 00:00:00+00:00
104,72.26,72.93833333333333,76.44615384615385,76.7202,,2023-01-03 00:00:00+00:00
105,72.62,72.74000000000001,76.19153846153846,76.72840000000001,,2023-01-04 00:00:00+00:00
106,71.92,72.60916666666667,75.91384615384615,76.707,,2023-01-05 00:00:00+00:00
107,73.0,72.59583333333333,75.68192307692308,76.7116,,2023-01-06 00:00:00+00:00
108,71.01,72.45916666666666,75.32538461538462,76.64280000000001,,2023-01-09 00:00:00+00:00
109,71.65,72.31916666666667,74.97038461538462,76.5838,,2023-01-10 00:00:00+00:00
110,71.94,72.16166666666668,74.61692307692307,76.48599999999999,,2023-01-11 00:00:00+00:00
111,71.6,72.05416666666667,74.26692307692308,76.3686,,2023-01-12 00:00:00+00:00
112,72.51,72.04583333333333,73.98192307692308,76.26480000000001,,2023-01-13 00:00:00+00:00
113,72.31,72.0725,73.68884615384616,76.16199999999999,,2023-01-17 00:00:00+00:00
114,72.14,72.07583333333334,73.39115384615386,76.03519999999999,,2023-01-18 00:00:00+00:00
115,73.75,72.22583333333334,73.19576923076923,75.9346,,2023-01-19 00:00:00+00:00
116,74.15,72.38333333333334,73.01346153846154,75.8338,,2023-01-20 00:00:00+00:00
117,73.26,72.43666666666667,72.85615384615384,75.69940000000001,,2023-01-23 00:00:00+00:00
118,72.34,72.47166666666666,72.67153846153846,75.55059999999999,,2023-01-24 00:00:00+00:00
119,73.17,72.48583333333333,72.60115384615384,75.4264,,2023-01-25 00:00:00+00:00
120,72.99,72.65083333333334,72.58192307692308,75.367,,2023-01-26 00:00:00+00:00
121,72.45,72.7175,72.55461538461539,75.2882,,2023-01-27 00:00:00+00:00
