,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,183.64,,,,,2022-08-04 00:00:00+00:00
1,185.39,,,,,2022-08-05 00:00:00+00:00
2,185.81,,,,,2022-08-08 00:00:00+00:00
3,186.03,,,,,2022-08-09 00:00:00+00:00
4,190.72,,,,,2022-08-10 00:00:00+00:00
5,194.0,,,,,2022-08-11 00:00:00+00:00
6,196.84,,,,,2022-08-12 00:00:00+00:00
7,195.95,,,,,2022-08-15 00:00:00+00:00
8,197.52,,,,,2022-08-16 00:00:00+00:00
9,195.93,,,,,2022-08-17 00:00:00+00:00
10,197.35,,,,,2022-08-18 00:00:00+00:00
11,195.6,192.06499999999997,,,,2022-08-19 00:00:00+00:00
12,191.76,192.74166666666667,,,,2022-08-22 00:00:00+00:00
13,197.21,193.7266666666667,,,,2022-08-23 00:00:00+00:00
14,194.16,194.42249999999999,,,,2022-08-24 00:00:00+00:00
15,198.88,195.49333333333334,,,,2022-08-25 00:00:00+00:00
16,191.92,195.59333333333333,,,,2022-08-26 00:00:00+00:00
17,191.78,195.4083333333333,,,,2022-08-29 00:00:00+00:00
18,186.94,194.58333333333334,,,,2022-08-30 00:00:00+00:00
19,184.71,193.64666666666665,,,,2022-08-31 00:00:00+00:00
20,182.44,192.39,,,,2022-09-01 00:00:00+00:00
21,180.83,191.13166666666666,,,,2022-09-02 00:00:00+00:00
22,180.66,189.74083333333337,,,,2022-09-06 00:00:00+00:00
23,180.86,188.51249999999996,,,,2022-09-07 00:00:00+00:00
24,183.15,187.795,,,,2022-09-08 00:00:00+00:00
25,189.49,187.15166666666667,189.98346153846154,,,2022-09-09 00:00:00+00:00
26,192.4,187.005,190.32038461538463,,,2022-09-12 00:00:00+00:00
27,184.31,185.79083333333335,190.27884615384616,,,2022-09-13 00:00:00+00:00
28,184.65,185.18499999999997,190.23423076923078,,,2022-09-14 00:00:00+00:00
29,182.49,184.41083333333333,190.09807692307692,,,2022-09-15 00:00:00+00:00
30,179.47,183.78833333333333,189.66538461538462,,,2022-09-16 00:00:00+00:00
31,182.11,183.5716666666667,189.20807692307693,,,2022-09-19 00:00:00+00:00
32,177.99,183.20083333333335,188.4830769230769,,,2022-09-20 00:00:00+00:00
33,171.95,182.46083333333334,187.55999999999997,,,2022-09-21 00:00:00+00:00
34,170.55,181.61833333333334,186.52269230769232,,,2022-09-22 00:00:00+00:00
35,164.24,180.23333333333335,185.30384615384617,,,2022-09-23 00:00:00+00:00
36,162.62,178.5225,183.96807692307692,,,2022-09-26 00:00:00+00:00
37,162.44,176.26833333333335,182.6926923076923,,,2022-09-27 00:00:00+00:00
38,167.76,174.215,181.7696153846154,,,2022-09-28 00:00:00+00:00
39,165.9,172.68083333333334,180.5653846153846,,,2022-09-29 00:00:00+00:00
40,164.08,170.96666666666667,179.40846153846152,,,2022-09-30 00:00:00+00:00
41,171.23,170.02833333333334,178.345,,,2022-10-03 00:00:00+00:00
42,179.63,170.04166666666666,177.87230769230771,,,2022-10-04 00:00:00+00:00
43,178.38,169.73083333333332,177.3569230769231,,,2022-10-05 00:00:00+00:00
44,178.81,169.79916666666668,177.04423076923075,,,2022-10-06 00:00:00+00:00
45,177.55,170.26583333333335,176.76884615384614,,,2022-10-07 00:00:00+00:00
46,178.67,170.9425,176.62384615384616,,,2022-10-10 00:00:00+00:00
47,179.75,172.235,176.5823076923077,,,2022-10-11 00:00:00+00:00
48,179.5,173.64166666666665,176.53769230769234,,,2022-10-12 00:00:00+00:00
49,183.14,175.36666666666667,176.62538461538458,183.18380000000002,,2022-10-13 00:00:00+00:00
50,178.19,176.23583333333332,176.4346153846154,183.07479999999998,,2022-10-14 00:00:00+00:00
51,180.8,177.4775,176.10038461538463,182.983,,2022-10-17 00:00:00+00:00
52,183.55,179.10000000000002,175.76000000000002,182.93779999999998,,2022-10-18 00:00:00+00:00
53,184.41,180.19833333333335,175.76384615384617,182.9054,,2022-10-19 00:00:00+00:00
54,180.54,180.27416666666667,175.60576923076923,182.7018,,2022-10-20 00:00:00+00:00
55,190.22,181.26083333333335,175.9030769230769,182.62619999999998,,2022-10-21 00:00:00+00:00
56,191.3,182.30166666666665,176.3580769230769,182.5154,,2022-10-24 00:00:00+00:00
57,194.84,183.74249999999998,176.8476923076923,182.49320000000003,,2022-10-25 00:00:00+00:00
58,196.96,185.26666666666668,177.5773076923077,182.482,,2022-10-26 00:00:00+00:00
