,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,185.09,,,,,2022-08-04 00:00:00+00:00
1,185.32,,,,,2022-08-05 00:00:00+00:00
2,186.56,,,,,2022-08-08 00:00:00+00:00
3,189.71,,,,,2022-08-09 00:00:00+00:00
4,191.6,,,,,2022-08-10 00:00:00+00:00
5,193.81,,,,,2022-08-11 00:00:00+00:00
6,197.55,,,,,2022-08-12 00:00:00+00:00
7,196.71,,,,,2022-08-15 00:00:00+00:00
8,199.05,,,,,2022-08-16 00:00:00+00:00
9,200.94,,,,,2022-08-17 00:00:00+00:00
10,202.41,,,,,2022-08-18 00:00:00+00:00
11,200.58,194.11083333333332,,,,2022-08-19 00:00:00+00:00
12,197.02,195.105,,,,2022-08-22 00:00:00+00:00
13,196.73,196.05583333333334,,,,2022-08-23 00:00:00+00:00
14,196.41,196.8766666666667,,,,2022-08-24 00:00:00+00:00
15,197.51,197.52666666666667,,,,2022-08-25 00:00:00+00:00
16,193.51,197.68583333333333,,,,2022-08-26 00:00:00+00:00
17,192.16,197.54833333333332,,,,2022-08-29 00:00:00+00:00
18,189.99,196.91833333333332,,,,2022-08-30 00:00:00+00:00
19,189.05,196.28,,,,2022-08-31 00:00:00+00:00
20,192.14,195.70416666666665,,,,2022-09-01 00:00:00+00:00
21,190.88,194.8658333333333,,,,2022-09-02 00:00:00+00:00
22,190.43,193.86749999999998,,,,2022-09-06 00:00:00+00:00
23,193.68,193.29250000000002,,,,2022-09-07 00:00:00+00:00
24,195.11,193.13333333333335,,,,2022-09-08 00:00:00+00:00
25,195.0,192.98916666666665,193.80576923076922,,,2022-09-09 00:00:00+00:00
26,196.98,193.03666666666663,194.26307692307694,,,2022-09-12 00:00:00+00:00
27,193.2,192.6775,194.56615384615387,,,2022-09-13 00:00:00+00:00
28,193.26,192.65666666666664,194.82384615384615,,,2022-09-14 00:00:00+00:00
29,192.16,192.65666666666667,194.9180769230769,,,2022-09-15 00:00:00+00:00
30,189.25,192.59500000000003,194.82769230769233,,,2022-09-16 00:00:00+00:00
31,191.88,192.83083333333332,194.75346153846155,,,2022-09-19 00:00:00+00:00
