,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,185.58,,,,,2022-08-04 00:00:00+00:00
1,186.55,,,,,2022-08-05 00:00:00+00:00
2,184.33,,,,,2022-08-08 00:00:00+00:00
3,184.61,,,,,2022-08-09 00:00:00+00:00
4,186.34,,,,,2022-08-10 00:00:00+00:00
5,186.35,,,,,2022-08-11 00:00:00+00:00
6,188.83,,,,,2022-08-12 00:00:00+00:00
7,193.09,,,,,2022-08-15 00:00:00+00:00
8,192.63,,,,,2022-08-16 00:00:00+00:00
9,191.0,,,,,2022-08-17 00:00:00+00:00
10,190.73,,,,,2022-08-18 00:00:00+00:00
11,188.04,188.17333333333332,,,,2022-08-19 00:00:00+00:00
12,184.9,188.11666666666667,,,,2022-08-22 00:00:00+00:00
13,183.25,187.84166666666667,,,,2022-08-23 00:00:00+00:00
14,182.99,187.73000000000002,,,,2022-08-24 00:00:00+00:00
15,184.8,187.7458333333333,,,,2022-08-25 00:00:00+00:00
16,177.83,187.03666666666666,,,,2022-08-26 00:00:00+00:00
17,174.83,186.07666666666668,,,,2022-08-29 00:00:00+00:00
18,174.23,184.85999999999999,,,,2022-08-30 00:00:00+00:00
19,173.77,183.25,,,,2022-08-31 00:00:00+00:00
20,170.04,181.36749999999998,,,,2022-09-01 00:00:00+00:00
21,168.17,179.465,,,,2022-09-02 00:00:00+00:00
22,167.82,177.55583333333334,,,,2022-09-06 00:00:00+00:00
23,170.89,176.12666666666667,,,,2022-09-07 00:00:00+00:00
24,171.84,175.03833333333333,,,,2022-09-08 00:00:00+00:00
25,174.68,174.32416666666666,181.46615384615384,,,2022-09-09 00:00:00+00:00
26,175.02,173.66,181.06,,,2022-09-12 00:00:00+00:00
27,166.92,172.17,180.305,,,2022-09-13 00:00:00+00:00
28,167.23,171.28666666666666,179.6473076923077,,,2022-09-14 00:00:00+00:00
29,163.05,170.305,178.81807692307694,,,2022-09-15 00:00:00+00:00
30,164.27,169.475,177.96923076923076,,,2022-09-16 00:00:00+00:00
31,167.19,168.92666666666665,177.2323076923077,,,2022-09-19 00:00:00+00:00
32,166.99,168.6725,176.3923076923077,,,2022-09-20 00:00:00+00:00
33,166.04,168.495,175.35192307692307,,,2022-09-21 00:00:00+00:00
34,162.32,168.03666666666666,174.18615384615381,,,2022-09-22 00:00:00+00:00
