,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,459.45,,,,,2022-08-04 00:00:00+00:00
1,462.98,,,,,2022-08-05 00:00:00+00:00
2,464.05,,,,,2022-08-08 00:00:00+00:00
3,452.5,,,,,2022-08-09 00:00:00+00:00
4,462.69,,,,,2022-08-10 00:00:00+00:00
5,466.19,,,,,2022-08-11 00:00:00+00:00
6,478.12,,,,,2022-08-12 00:00:00+00:00
7,480.92,,,,,2022-08-15 00:00:00+00:00
8,482.83,,,,,2022-08-16 00:00:00+00:00
9,465.28,,,,,2022-08-17 00:00:00+00:00
10,458.07,,,,,2022-08-18 00:00:00+00:00
11,454.46,465.62833333333333,,,,2022-08-19 00:00:00+00:00
12,438.51,463.8833333333334,,,,2022-08-22 00:00:00+00:00
13,432.06,461.3066666666666,,,,2022-08-23 00:00:00+00:00
14,429.18,458.4008333333333,,,,2022-08-24 00:00:00+00:00
15,438.54,457.23749999999995,,,,2022-08-25 00:00:00+00:00
16,425.77,454.16083333333336,,,,2022-08-26 00:00:00+00:00
17,418.3,450.17,,,,2022-08-29 00:00:00+00:00
18,409.51,444.45250000000004,,,,2022-08-30 00:00:00+00:00
19,412.63,438.7616666666667,,,,2022-08-31 00:00:00+00:00
20,420.33,433.5533333333333,,,,2022-09-01 00:00:00+00:00
21,407.14,428.7083333333333,,,,2022-09-02 00:00:00+00:00
22,397.0,423.6191666666667,,,,2022-09-06 00:00:00+00:00
23,402.55,419.29333333333335,,,,2022-09-07 00:00:00+00:00
24,395.91,415.74333333333334,,,,2022-09-08 00:00:00+00:00
25,405.91,413.5641666666667,439.26461538461535,,,2022-09-09 00:00:00+00:00
26,406.45,411.67,437.2261538461538,,,2022-09-12 00:00:00+00:00
27,386.89,407.36583333333334,434.2996153846153,,,2022-09-13 00:00:00+00:00
28,385.11,403.97749999999996,431.26346153846157,,,2022-09-14 00:00:00+00:00
29,376.0,400.45250000000004,428.32115384615383,,,2022-09-15 00:00:00+00:00
30,377.58,397.7916666666667,425.0476923076923,,,2022-09-16 00:00:00+00:00
31,372.13,394.4166666666667,421.43,,,2022-09-19 00:00:00+00:00
32,362.94,389.63416666666666,417.0,,,2022-09-20 00:00:00+00:00
33,353.03,385.125,412.0811538461539,,,2022-09-21 00:00:00+00:00
34,333.96,379.87166666666667,406.3553846153846,,,2022-09-22 00:00:00+00:00
35,321.66,373.1308333333333,400.8315384615384,,,2022-09-23 00:00:00+00:00
36,306.2,365.65500000000003,394.99038461538464,,,2022-09-26 00:00:00+00:00
37,306.89,357.40333333333336,389.3146153846154,,,2022-09-27 00:00:00+00:00
38,321.08,350.2891666666667,384.7980769230769,,,2022-09-28 00:00:00+00:00
39,312.59,344.0975,380.2030769230769,,,2022-09-29 00:00:00+00:00
40,303.35,337.28416666666664,375.3634615384615,,,2022-09-30 00:00:00+00:00
41,320.27,332.64,370.8146153846154,,,2022-10-03 00:00:00+00:00
42,328.54,328.55333333333334,367.07499999999993,,,2022-10-04 00:00:00+00:00
43,329.28,324.9825,363.6511538461539,,,2022-10-05 00:00:00+00:00
44,323.95,321.7333333333333,360.36038461538465,,,2022-10-06 00:00:00+00:00
45,312.53,318.35833333333335,356.5103846153846,,,2022-10-07 00:00:00+00:00
46,318.3,317.05333333333334,352.5861538461538,,,2022-10-10 00:00:00+00:00
47,308.44,315.95166666666665,348.78999999999996,,,2022-10-11 00:00:00+00:00
48,306.31,315.9608333333333,345.3019230769231,,,2022-10-12 00:00:00+00:00
49,325.94,317.54833333333335,342.3553846153846,390.406,,2022-10-13 00:00:00+00:00
50,323.31,317.7341666666667,339.56307692307695,387.6832,,2022-10-14 00:00:00+00:00
51,331.69,319.3258333333333,336.70846153846156,385.0574,,2022-10-17 00:00:00+00:00
52,328.87,321.45250000000004,333.7246153846154,382.3538,,2022-10-18 00:00:00+00:00
53,324.65,321.8175,331.33076923076925,379.7968,,2022-10-19 00:00:00+00:00
54,328.12,321.7825,329.1388461538462,377.10540000000003,,2022-10-20 00:00:00+00:00
55,330.4,321.87583333333333,327.385,374.3896,,2022-10-21 00:00:00+00:00
56,337.07,322.9691666666667,325.8269230769231,371.5686,,2022-10-24 00:00:00+00:00
57,346.71,325.8175,324.84923076923076,368.88439999999997,,2022-10-25 00:00:00+00:00
58,344.87,328.0316666666667,324.15423076923076,366.12520000000006,,2022-10-26 00:00:00+00:00
59,355.26,331.93333333333334,324.24,363.9248,,2022-10-27 00:00:00+00:00
