,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,80.89,,,,,2022-08-04 00:00:00+00:00
1,80.43,,,,,2022-08-05 00:00:00+00:00
2,80.81,,,,,2022-08-08 00:00:00+00:00
3,80.06,,,,,2022-08-09 00:00:00+00:00
4,80.34,,,,,2022-08-10 00:00:00+00:00
5,79.5,,,,,2022-08-11 00:00:00+00:00
6,80.29,,,,,2022-08-12 00:00:00+00:00
7,81.24,,,,,2022-08-15 00:00:00+00:00
8,82.18,,,,,2022-08-16 00:00:00+00:00
9,82.17,,,,,2022-08-17 00:00:00+00:00
10,82.85,,,,,2022-08-18 00:00:00+00:00
11,83.27,81.16916666666667,,,,2022-08-19 00:00:00+00:00
12,81.96,81.25833333333334,,,,2022-08-22 00:00:00+00:00
13,80.96,81.3025,,,,2022-08-23 00:00:00+00:00
14,81.0,81.31833333333334,,,,2022-08-24 00:00:00+00:00
15,80.92,81.39,,,,2022-08-25 00:00:00+00:00
16,79.21,81.29583333333333,,,,2022-08-26 00:00:00+00:00
17,79.59,81.30333333333333,,,,2022-08-29 00:00:00+00:00
18,79.0,81.19583333333333,,,,2022-08-30 00:00:00+00:00
19,78.21,80.94333333333333,,,,2022-08-31 00:00:00+00:00
20,79.8,80.74499999999999,,,,2022-09-01 00:00:00+00:00
21,78.17,80.41166666666668,,,,2022-09-02 00:00:00+00:00
22,77.77,79.98833333333333,,,,2022-09-06 00:00:00+00:00
23,78.55,79.595,,,,2022-09-07 00:00:00+00:00
24,77.84,79.25166666666667,,,,2022-09-08 00:00:00+00:00
25,78.03,79.0075,80.19384615384615,,,2022-09-09 00:00:00+00:00
26,77.9,78.74916666666667,80.07884615384614,,,2022-09-12 00:00:00+00:00
27,75.43,78.29166666666667,79.88653846153846,,,2022-09-13 00:00:00+00:00
28,76.06,78.02916666666665,79.70384615384614,,,2022-09-14 00:00:00+00:00
29,75.23,77.66583333333334,79.51807692307692,,,2022-09-15 00:00:00+00:00
30,75.69,77.39,79.33923076923078,,,2022-09-16 00:00:00+00:00
31,76.01,77.20666666666666,79.205,,,2022-09-19 00:00:00+00:00
32,75.16,76.82000000000001,79.00769230769232,,,2022-09-20 00:00:00+00:00
33,74.9,76.5475,78.76384615384616,,,2022-09-21 00:00:00+00:00
34,75.36,76.34666666666666,78.50153846153846,,,2022-09-22 00:00:00+00:00
35,75.53,76.09500000000001,78.24615384615385,,,2022-09-23 00:00:00+00:00
36,75.0,75.85833333333333,77.94423076923077,,,2022-09-26 00:00:00+00:00
37,72.58,75.40416666666667,77.53307692307693,,,2022-09-27 00:00:00+00:00
38,72.91,74.98833333333334,77.185,,,2022-09-28 00:00:00+00:00
39,71.77,74.68333333333334,76.83153846153846,,,2022-09-29 00:00:00+00:00
40,70.25,74.19916666666667,76.41807692307692,,,2022-09-30 00:00:00+00:00
41,71.11,73.85583333333334,76.04076923076923,,,2022-10-03 00:00:00+00:00
42,71.84,73.535,75.75730769230769,,,2022-10-04 00:00:00+00:00
43,71.11,73.12666666666667,75.43115384615385,,,2022-10-05 00:00:00+00:00
