,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,106.89,,,,,2022-08-04 00:00:00+00:00
1,106.33,,,,,2022-08-05 00:00:00+00:00
2,107.82,,,,,2022-08-08 00:00:00+00:00
3,106.38,,,,,2022-08-09 00:00:00+00:00
4,112.74,,,,,2022-08-10 00:00:00+00:00
5,115.27,,,,,2022-08-11 00:00:00+00:00
6,115.74,,,,,2022-08-12 00:00:00+00:00
7,113.66,,,,,2022-08-15 00:00:00+00:00
8,115.46,,,,,2022-08-16 00:00:00+00:00
9,113.61,,,,,2022-08-17 00:00:00+00:00
10,113.85,,,,,2022-08-18 00:00:00+00:00
11,112.21,111.66333333333334,,,,2022-08-19 00:00:00+00:00
12,109.0,111.83916666666666,,,,2022-08-22 00:00:00+00:00
13,109.81,112.12916666666666,,,,2022-08-23 00:00:00+00:00
14,110.36,112.34083333333332,,,,2022-08-24 00:00:00+00:00
15,113.66,112.94749999999999,,,,2022-08-25 00:00:00+00:00
16,109.82,112.70416666666665,,,,2022-08-26 00:00:00+00:00
17,107.2,112.03166666666665,,,,2022-08-29 00:00:00+00:00
18,106.83,111.28916666666665,,,,2022-08-30 00:00:00+00:00
19,105.82,110.63583333333334,,,,2022-08-31 00:00:00+00:00
20,104.81,109.74833333333333,,,,2022-09-01 00:00:00+00:00
21,104.22,108.96583333333335,,,,2022-09-02 00:00:00+00:00
22,102.17,107.99249999999999,,,,2022-09-06 00:00:00+00:00
23,104.89,107.3825,,,,2022-09-07 00:00:00+00:00
24,106.44,107.16916666666667,,,,2022-09-08 00:00:00+00:00
25,108.32,107.045,109.35807692307692,,,2022-09-09 00:00:00+00:00
26,109.79,106.9975,109.46961538461538,,,2022-09-12 00:00:00+00:00
27,101.04,105.94583333333333,109.26615384615386,,,2022-09-13 00:00:00+00:00
28,100.65,105.18166666666667,108.99038461538461,,,2022-09-14 00:00:00+00:00
29,102.77,104.8125,108.85153846153845,,,2022-09-15 00:00:00+00:00
30,101.68,104.38333333333334,108.42615384615384,,,2022-09-16 00:00:00+00:00
31,102.48,104.105,107.93423076923077,,,2022-09-19 00:00:00+00:00
32,101.37,103.81833333333333,107.38153846153847,,,2022-09-20 00:00:00+00:00
33,99.49,103.42416666666666,106.83653846153847,,,2022-09-21 00:00:00+00:00
34,95.47,102.86583333333334,106.06769230769231,,,2022-09-22 00:00:00+00:00
35,93.78,101.94,105.30499999999999,,,2022-09-23 00:00:00+00:00
36,91.3,100.67833333333333,104.43769230769232,,,2022-09-26 00:00:00+00:00
37,91.39,99.2675,103.63692307692307,,,2022-09-27 00:00:00+00:00
38,95.04,98.03833333333334,103.1,,,2022-09-28 00:00:00+00:00
39,93.68,97.42500000000001,102.47961538461537,,,2022-09-29 00:00:00+00:00
40,92.17,96.71833333333332,101.77999999999999,,,2022-09-30 00:00:00+00:00
41,95.57,96.11833333333334,101.08423076923077,,,2022-10-03 00:00:00+00:00
42,99.87,95.96749999999999,100.70153846153845,,,2022-10-04 00:00:00+00:00
43,98.94,95.6725,100.38384615384615,,,2022-10-05 00:00:00+00:00
44,96.73,95.28583333333334,99.99538461538462,,,2022-10-06 00:00:00+00:00
45,93.87,94.8175,99.53576923076922,,,2022-10-07 00:00:00+00:00
46,93.05,94.61583333333334,99.08346153846153,,,2022-10-10 00:00:00+00:00
47,93.76,94.61416666666668,98.68115384615385,,,2022-10-11 00:00:00+00:00
48,93.49,94.79666666666668,98.3473076923077,,,2022-10-12 00:00:00+00:00
49,97.82,95.3325,98.07538461538462,103.5702,,2022-10-13 00:00:00+00:00
50,95.39,95.36166666666666,97.65038461538462,103.34019999999998,,2022-10-14 00:00:00+00:00
51,97.47,95.6775,97.23307692307692,103.163,,2022-10-17 00:00:00+00:00
52,99.59,96.29583333333335,96.84076923076924,102.9984,,2022-10-18 00:00:00+00:00
53,95.23,96.2675,96.6173076923077,102.77539999999999,,2022-10-19 00:00:00+00:00
54,94.98,95.86000000000001,96.39923076923077,102.42020000000001,,2022-10-20 00:00:00+00:00
55,96.25,95.63583333333334,96.14846153846155,102.0398,,2022-10-21 00:00:00+00:00
56,97.56,95.705,95.99000000000001,101.6762,,2022-10-24 00:00:00+00:00
57,101.58,96.34750000000001,95.95538461538462,101.4346,,2022-10-25 00:00:00+00:00
58,101.92,97.08666666666666,95.97653846153845,101.1638,,2022-10-26 00:00:00+00:00
