,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,89.88,,,,,2022-08-04 00:00:00+00:00
1,92.85,,,,,2022-08-05 00:00:00+00:00
2,93.63,,,,,2022-08-08 00:00:00+00:00
3,95.51,,,,,2022-08-09 00:00:00+00:00
4,95.98,,,,,2022-08-10 00:00:00+00:00
5,100.36,,,,,2022-08-11 00:00:00+00:00
6,102.75,,,,,2022-08-12 00:00:00+00:00
7,100.77,,,,,2022-08-15 00:00:00+00:00
8,100.1,,,,,2022-08-16 00:00:00+00:00
9,101.36,,,,,2022-08-17 00:00:00+00:00
10,104.88,,,,,2022-08-18 00:00:00+00:00
11,105.14,98.60083333333334,,,,2022-08-19 00:00:00+00:00
12,105.24,99.88083333333333,,,,2022-08-22 00:00:00+00:00
13,108.45,101.18083333333334,,,,2022-08-23 00:00:00+00:00
14,110.52,102.58833333333335,,,,2022-08-24 00:00:00+00:00
15,112.08,103.96916666666668,,,,2022-08-25 00:00:00+00:00
16,112.12,105.31416666666667,,,,2022-08-26 00:00:00+00:00
17,113.42,106.40249999999999,,,,2022-08-29 00:00:00+00:00
18,110.5,107.04833333333333,,,,2022-08-30 00:00:00+00:00
19,109.45,107.77166666666666,,,,2022-08-31 00:00:00+00:00
20,107.53,108.39083333333333,,,,2022-09-01 00:00:00+00:00
21,110.26,109.1325,,,,2022-09-02 00:00:00+00:00
22,108.63,109.44500000000001,,,,2022-09-06 00:00:00+00:00
23,106.76,109.58,,,,2022-09-07 00:00:00+00:00
24,108.32,109.83666666666666,,,,2022-09-08 00:00:00+00:00
25,111.97,110.13000000000001,104.55615384615385,,,2022-09-09 00:00:00+00:00
26,114.39,110.45249999999999,105.49884615384615,,,2022-09-12 00:00:00+00:00
27,112.33,110.47333333333334,106.24807692307692,,,2022-09-13 00:00:00+00:00
28,117.71,110.93916666666667,107.17423076923076,,,2022-09-14 00:00:00+00:00
29,115.56,111.1175,107.94538461538461,,,2022-09-15 00:00:00+00:00
30,113.13,111.33666666666666,108.605,,,2022-09-16 00:00:00+00:00
31,112.87,111.62166666666667,109.08615384615383,,,2022-09-19 00:00:00+00:00
32,112.07,112.0,109.44461538461539,,,2022-09-20 00:00:00+00:00
33,111.09,112.06916666666666,109.84153846153846,,,2022-09-21 00:00:00+00:00
34,110.06,112.18833333333333,110.22461538461539,,,2022-09-22 00:00:00+00:00
35,100.59,111.67416666666666,110.195,,,2022-09-23 00:00:00+00:00
36,99.2,110.91416666666667,109.97653846153845,,,2022-09-26 00:00:00+00:00
