,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,543.28,,,,,2022-08-04 00:00:00+00:00
1,540.67,,,,,2022-08-05 00:00:00+00:00
2,541.9,,,,,2022-08-08 00:00:00+00:00
3,535.82,,,,,2022-08-09 00:00:00+00:00
4,539.82,,,,,2022-08-10 00:00:00+00:00
5,532.2,,,,,2022-08-11 00:00:00+00:00
6,537.21,,,,,2022-08-12 00:00:00+00:00
7,545.75,,,,,2022-08-15 00:00:00+00:00
8,553.02,,,,,2022-08-16 00:00:00+00:00
9,556.32,,,,,2022-08-17 00:00:00+00:00
10,560.96,,,,,2022-08-18 00:00:00+00:00
11,554.53,545.1233333333333,,,,2022-08-19 00:00:00+00:00
12,545.47,545.3058333333333,,,,2022-08-22 00:00:00+00:00
13,542.07,545.4225,,,,2022-08-23 00:00:00+00:00
14,543.22,545.5324999999999,,,,2022-08-24 00:00:00+00:00
15,550.77,546.7783333333333,,,,2022-08-25 00:00:00+00:00
16,531.82,546.1116666666667,,,,2022-08-26 00:00:00+00:00
17,531.06,546.0166666666667,,,,2022-08-29 00:00:00+00:00
18,524.14,544.9274999999999,,,,2022-08-30 00:00:00+00:00
19,522.1,542.9566666666666,,,,2022-08-31 00:00:00+00:00
20,529.17,540.9691666666666,,,,2022-09-01 00:00:00+00:00
21,519.11,537.8683333333333,,,,2022-09-02 00:00:00+00:00
22,518.9,534.3633333333333,,,,2022-09-06 00:00:00+00:00
23,529.64,532.2891666666666,,,,2022-09-07 00:00:00+00:00
24,529.12,530.9266666666667,,,,2022-09-08 00:00:00+00:00
25,536.58,530.4691666666666,538.2557692307693,,,2022-09-09 00:00:00+00:00
26,539.52,530.1608333333332,538.1111538461538,,,2022-09-12 00:00:00+00:00
27,510.3,526.7883333333333,536.9430769230769,,,2022-09-13 00:00:00+00:00
28,508.0,524.8033333333334,535.6392307692307,,,2022-09-14 00:00:00+00:00
29,503.5,522.5066666666667,534.3961538461538,,,2022-09-15 00:00:00+00:00
30,504.14,520.84,533.0238461538462,,,2022-09-16 00:00:00+00:00
31,506.57,519.5458333333333,532.0380769230769,,,2022-09-19 00:00:00+00:00
32,499.52,517.0749999999999,530.5884615384616,,,2022-09-20 00:00:00+00:00
33,493.07,514.9050000000001,528.5623076923077,,,2022-09-21 00:00:00+00:00
34,487.17,512.2608333333334,526.0296153846155,,,2022-09-22 00:00:00+00:00
35,466.4,506.99083333333334,522.5711538461538,,,2022-09-23 00:00:00+00:00
36,480.3,502.92250000000007,519.4688461538461,,,2022-09-26 00:00:00+00:00
37,478.3,498.06583333333333,516.5369230769231,,,2022-09-27 00:00:00+00:00
38,488.29,493.7966666666667,514.3376923076922,,,2022-09-28 00:00:00+00:00
39,478.98,491.18666666666667,511.91115384615387,,,2022-09-29 00:00:00+00:00
40,472.27,488.2091666666667,509.1823076923077,,,2022-09-30 00:00:00+00:00
41,477.73,486.06166666666667,506.37307692307695,,,2022-10-03 00:00:00+00:00
42,486.13,484.5608333333333,504.6157692307692,,,2022-10-04 00:00:00+00:00
43,480.32,482.3733333333333,502.6642307692308,,,2022-10-05 00:00:00+00:00
44,482.49,480.9541666666667,501.0623076923076,,,2022-10-06 00:00:00+00:00
45,468.15,478.8775,498.98730769230764,,,2022-10-07 00:00:00+00:00
46,466.31,477.13916666666665,496.5696153846154,,,2022-10-10 00:00:00+00:00
47,472.02,477.6075,494.7584615384616,,,2022-10-11 00:00:00+00:00
48,466.38,476.4475,492.7384615384616,,,2022-10-12 00:00:00+00:00
49,467.99,475.5883333333333,490.3673076923077,513.57,,2022-10-13 00:00:00+00:00
50,454.65,472.785,487.50307692307695,511.79740000000004,,2022-10-14 00:00:00+00:00
51,464.17,471.5508333333334,484.7180769230769,510.26739999999995,,2022-10-17 00:00:00+00:00
52,473.27,471.63416666666666,482.17,508.89480000000003,,2022-10-18 00:00:00+00:00
53,471.43,471.1091666666667,480.67500000000007,507.607,,2022-10-19 00:00:00+00:00
54,464.62,469.31666666666666,479.00653846153847,506.10299999999995,,2022-10-20 00:00:00+00:00
55,478.18,469.1383333333333,478.03269230769234,505.0226,,2022-10-21 00:00:00+00:00
56,496.97,470.34499999999997,477.7569230769231,504.2178,,2022-10-24 00:00:00+00:00
57,499.06,472.92083333333335,477.4680769230769,503.28399999999993,,2022-10-25 00:00:00+00:00
58,499.45,475.68249999999995,477.46538461538455,502.2126,,2022-10-26 00:00:00+00:00
59,496.54,477.72583333333336,477.5988461538461,501.017,,2022-10-27 00:00:00+00:00
60,510.87,481.43333333333334,478.5103846153846,500.0152,,2022-10-28 00:00:00+00:00
61,501.5,484.22583333333336,479.86038461538465,498.95459999999997,,2022-10-31 00:00:00+00:00
62,499.96,488.0016666666666,480.6165384615385,498.0444,,2022-11-01 00:00:00+00:00
63,483.51,489.6133333333334,480.81692307692305,496.8732,,2022-11-02 00:00:00+00:00
64,486.29,490.6983333333333,480.74,495.7346,,2022-11-03 00:00:00+00:00
65,486.41,491.94666666666666,481.02576923076924,494.44739999999996,,2022-11-04 00:00:00+00:00
66,488.55,493.94083333333333,481.6519230769231,493.582,,2022-11-07 00:00:00+00:00
67,492.76,495.1558333333334,482.22999999999996,492.816,,2022-11-08 00:00:00+00:00
68,489.97,494.5725,482.3776923076923,492.1326,,2022-11-09 00:00:00+00:00
69,513.13,495.74499999999995,483.6396153846154,491.9532,,2022-11-10 00:00:00+00:00
70,515.47,497.08,484.9080769230769,491.6792,,2022-11-11 00:00:00+00:00
71,509.68,498.175,486.50538461538457,491.4906,,2022-11-14 00:00:00+00:00
72,526.47,499.4750000000001,488.8192307692307,491.642,,2022-11-15 00:00:00+00:00
73,524.11,501.3591666666667,490.8226923076923,491.5314,,2022-11-16 00:00:00+00:00
74,521.32,503.13916666666665,492.9357692307692,491.3754,,2022-11-17 00:00:00+00:00
75,523.67,506.48583333333335,495.0773076923077,491.1172,,2022-11-18 00:00:00+00:00
76,523.37,509.5758333333333,497.72038461538466,490.7942,,2022-11-21 00:00:00+00:00
