,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,191.27,,,,,2022-08-04 00:00:00+00:00
1,190.17,,,,,2022-08-05 00:00:00+00:00
2,189.75,,,,,2022-08-08 00:00:00+00:00
3,182.24,,,,,2022-08-09 00:00:00+00:00
4,188.61,,,,,2022-08-10 00:00:00+00:00
5,186.73,,,,,2022-08-11 00:00:00+00:00
6,189.89,,,,,2022-08-12 00:00:00+00:00
7,191.06,,,,,2022-08-15 00:00:00+00:00
8,189.59,,,,,2022-08-16 00:00:00+00:00
9,187.96,,,,,2022-08-17 00:00:00+00:00
10,187.93,,,,,2022-08-18 00:00:00+00:00
11,183.77,188.24750000000003,,,,2022-08-19 00:00:00+00:00
12,176.98,187.05666666666664,,,,2022-08-22 00:00:00+00:00
13,176.0,185.8758333333333,,,,2022-08-23 00:00:00+00:00
14,180.01,185.06416666666667,,,,2022-08-24 00:00:00+00:00
15,173.91,184.37,,,,2022-08-25 00:00:00+00:00
16,165.23,182.42166666666665,,,,2022-08-26 00:00:00+00:00
17,160.21,180.21166666666667,,,,2022-08-29 00:00:00+00:00
18,159.67,177.6933333333333,,,,2022-08-30 00:00:00+00:00
19,156.12,174.78166666666667,,,,2022-08-31 00:00:00+00:00
20,153.53,171.77666666666667,,,,2022-09-01 00:00:00+00:00
21,153.69,168.92083333333332,,,,2022-09-02 00:00:00+00:00
22,151.72,165.90333333333334,,,,2022-09-06 00:00:00+00:00
23,153.28,163.36249999999998,,,,2022-09-07 00:00:00+00:00
24,156.9,161.68916666666667,,,,2022-09-08 00:00:00+00:00
25,162.59,160.57166666666666,174.5696153846154,,,2022-09-09 00:00:00+00:00
26,165.63,159.37333333333333,173.5834615384615,,,2022-09-12 00:00:00+00:00
27,158.1,158.05583333333334,172.35000000000002,,,2022-09-13 00:00:00+00:00
28,160.28,157.64333333333335,171.21653846153848,,,2022-09-14 00:00:00+00:00
29,154.78,157.19083333333333,170.16038461538463,,,2022-09-15 00:00:00+00:00
30,151.51,156.51083333333332,168.73346153846154,,,2022-09-16 00:00:00+00:00
31,152.83,156.23666666666668,167.42961538461535,,,2022-09-19 00:00:00+00:00
32,149.8,155.92583333333332,165.8876923076923,,,2022-09-20 00:00:00+00:00
33,147.63,155.42083333333335,164.21730769230768,,,2022-09-21 00:00:00+00:00
34,150.15,155.29,162.70038461538462,,,2022-09-22 00:00:00+00:00
35,147.01,154.7675,161.12538461538463,,,2022-09-23 00:00:00+00:00
36,146.32,153.88583333333332,159.52500000000003,,,2022-09-26 00:00:00+00:00
37,148.89,152.74416666666667,158.18346153846153,,,2022-09-27 00:00:00+00:00
38,150.17,151.45583333333332,157.1523076923077,,,2022-09-28 00:00:00+00:00
39,146.81,150.51500000000001,156.0296153846154,,,2022-09-29 00:00:00+00:00
40,143.84,149.145,154.63846153846154,,,2022-09-30 00:00:00+00:00
41,147.9,148.5716666666667,153.63807692307694,,,2022-10-03 00:00:00+00:00
42,155.73,148.92333333333335,153.27269230769232,,,2022-10-04 00:00:00+00:00
43,156.23,149.20666666666668,153.1196153846154,,,2022-10-05 00:00:00+00:00
44,155.46,149.6783333333333,152.9576923076923,,,2022-10-06 00:00:00+00:00
45,150.29,149.89999999999998,152.73346153846154,,,2022-10-07 00:00:00+00:00
