,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,32.83,,,,,2022-08-04 00:00:00+00:00
1,33.11,,,,,2022-08-05 00:00:00+00:00
2,32.82,,,,,2022-08-08 00:00:00+00:00
3,32.67,,,,,2022-08-09 00:00:00+00:00
4,34.06,,,,,2022-08-10 00:00:00+00:00
5,34.16,,,,,2022-08-11 00:00:00+00:00
6,34.35,,,,,2022-08-12 00:00:00+00:00
7,34.14,,,,,2022-08-15 00:00:00+00:00
8,34.44,,,,,2022-08-16 00:00:00+00:00
9,34.48,,,,,2022-08-17 00:00:00+00:00
10,34.35,,,,,2022-08-18 00:00:00+00:00
11,33.83,33.77,,,,2022-08-19 00:00:00+00:00
12,33.56,33.83083333333334,,,,2022-08-22 00:00:00+00:00
13,33.63,33.87416666666667,,,,2022-08-23 00:00:00+00:00
14,33.62,33.94083333333334,,,,2022-08-24 00:00:00+00:00
15,33.98,34.05,,,,2022-08-25 00:00:00+00:00
16,32.63,33.93083333333333,,,,2022-08-26 00:00:00+00:00
17,32.72,33.810833333333335,,,,2022-08-29 00:00:00+00:00
18,31.67,33.5875,,,,2022-08-30 00:00:00+00:00
19,31.65,33.38,,,,2022-08-31 00:00:00+00:00
20,31.61,33.14416666666667,,,,2022-09-01 00:00:00+00:00
21,31.24,32.87416666666667,,,,2022-09-02 00:00:00+00:00
22,31.49,32.63583333333333,,,,2022-09-06 00:00:00+00:00
23,31.89,32.47416666666667,,,,2022-09-07 00:00:00+00:00
24,32.21,32.361666666666665,,,,2022-09-08 00:00:00+00:00
25,32.63,32.27833333333333,33.06807692307692,,,2022-09-09 00:00:00+00:00
26,32.84,32.21333333333333,33.068461538461534,,,2022-09-12 00:00:00+00:00
27,31.56,32.01166666666667,33.00884615384616,,,2022-09-13 00:00:00+00:00
28,31.23,31.894999999999996,32.94769230769231,,,2022-09-14 00:00:00+00:00
29,30.17,31.6825,32.85153846153847,,,2022-09-15 00:00:00+00:00
30,29.49,31.500833333333333,32.67576923076923,,,2022-09-16 00:00:00+00:00
31,29.88,31.353333333333335,32.511153846153846,,,2022-09-19 00:00:00+00:00
32,29.47,31.175,32.32346153846154,,,2022-09-20 00:00:00+00:00
33,29.14,31.0,32.13115384615384,,,2022-09-21 00:00:00+00:00
34,28.57,30.756666666666664,31.905384615384612,,,2022-09-22 00:00:00+00:00
35,27.68,30.405833333333334,31.643846153846155,,,2022-09-23 00:00:00+00:00
36,27.43,30.007500000000004,31.37769230769231,,,2022-09-26 00:00:00+00:00
37,27.22,29.55666666666667,31.12346153846154,,,2022-09-27 00:00:00+00:00
38,27.63,29.1225,30.895384615384618,,,2022-09-28 00:00:00+00:00
39,27.19,28.75833333333333,30.64769230769231,,,2022-09-29 00:00:00+00:00
40,26.64,28.375833333333333,30.37923076923077,,,2022-09-30 00:00:00+00:00
41,27.42,28.146666666666665,30.12692307692308,,,2022-10-03 00:00:00+00:00
42,28.12,28.0325,29.953461538461543,,,2022-10-04 00:00:00+00:00
43,27.82,27.860833333333332,29.765,,,2022-10-05 00:00:00+00:00
44,27.36,27.685000000000002,29.599230769230772,,,2022-10-06 00:00:00+00:00
45,26.77,27.487499999999997,29.41153846153846,,,2022-10-07 00:00:00+00:00
46,26.59,27.3225,29.21846153846154,,,2022-10-10 00:00:00+00:00
47,26.51,27.224999999999998,29.036538461538463,,,2022-10-11 00:00:00+00:00
48,26.65,27.159999999999997,28.850384615384616,,,2022-10-12 00:00:00+00:00
49,27.5,27.183333333333334,28.681538461538462,30.813000000000002,,2022-10-13 00:00:00+00:00
50,27.31,27.156666666666666,28.493076923076924,30.702600000000004,,2022-10-14 00:00:00+00:00
51,28.15,27.236666666666668,28.320769230769233,30.603399999999997,,2022-10-17 00:00:00+00:00
52,28.41,27.38416666666667,28.150384615384613,30.5152,,2022-10-18 00:00:00+00:00
53,27.92,27.425833333333333,28.010384615384616,30.4202,,2022-10-19 00:00:00+00:00
54,27.08,27.339166666666667,27.85076923076923,30.2806,,2022-10-20 00:00:00+00:00
55,27.54,27.315833333333334,27.74961538461538,30.148199999999996,,2022-10-21 00:00:00+00:00
56,28.16,27.382499999999997,27.69846153846154,30.0244,,2022-10-24 00:00:00+00:00
57,28.76,27.548333333333336,27.655384615384612,29.9168,,2022-10-25 00:00:00+00:00
58,28.77,27.73,27.62846153846154,29.8034,,2022-10-26 00:00:00+00:00
59,28.81,27.921666666666667,27.61576923076923,29.69,,2022-10-27 00:00:00+00:00
60,29.22,28.135833333333334,27.64076923076923,29.5874,,2022-10-28 00:00:00+00:00
61,29.06,28.265833333333333,27.693846153846156,29.491999999999997,,2022-10-31 00:00:00+00:00
62,29.07,28.412499999999998,27.756923076923076,29.402200000000004,,2022-11-01 00:00:00+00:00
63,28.53,28.444166666666664,27.80730769230769,29.3002,,2022-11-02 00:00:00+00:00
64,29.0,28.493333333333336,27.859999999999996,29.207800000000002,,2022-11-03 00:00:00+00:00
65,29.63,28.635833333333334,27.95384615384615,29.1208,,2022-11-04 00:00:00+00:00
66,29.96,28.875833333333333,28.08153846153846,29.0674,,2022-11-07 00:00:00+00:00
67,29.98,29.079166666666666,28.18,29.012600000000003,,2022-11-08 00:00:00+00:00
68,29.43,29.185000000000002,28.23038461538461,28.9678,,2022-11-09 00:00:00+00:00
69,31.22,29.389999999999997,28.361153846153847,28.9592,,2022-11-10 00:00:00+00:00
70,31.94,29.65416666666667,28.537307692307692,28.965799999999998,,2022-11-11 00:00:00+00:00
71,31.8,29.903333333333332,28.73076923076923,28.977000000000004,,2022-11-14 00:00:00+00:00
72,31.31,30.0775,28.912307692307692,28.9734,,2022-11-15 00:00:00+00:00
73,31.24,30.25916666666667,29.09423076923077,28.9604,,2022-11-16 00:00:00+00:00
74,30.95,30.415833333333335,29.259615384615383,28.9352,,2022-11-17 00:00:00+00:00
75,30.88,30.611666666666665,29.389615384615386,28.900199999999998,,2022-11-18 00:00:00+00:00
76,31.29,30.8025,29.542692307692302,28.8692,,2022-11-21 00:00:00+00:00
77,31.92,30.993333333333336,29.68769230769231,28.8764,,2022-11-22 00:00:00+00:00
78,32.07,31.16916666666667,29.828461538461536,28.893199999999997,,2022-11-23 00:00:00+00:00
79,32.02,31.339166666666667,29.986153846153847,28.9302,,2022-11-25 00:00:00+00:00
80,31.7,31.528333333333332,30.163846153846155,28.9744,,2022-11-28 00:00:00+00:00
81,32.17,31.6075,30.34192307692308,29.0202,,2022-11-29 00:00:00+00:00
82,32.69,31.67,30.516153846153845,29.084600000000002,,2022-11-30 00:00:00+00:00
83,32.68,31.743333333333336,30.666923076923073,29.1554,,2022-12-01 00:00:00+00:00
84,32.05,31.805000000000003,30.793076923076924,29.225,,2022-12-02 00:00:00+00:00
85,31.35,31.814166666666665,30.890769230769234,29.2984,,2022-12-05 00:00:00+00:00
86,31.16,31.831666666666667,30.965384615384615,29.372999999999998,,2022-12-06 00:00:00+00:00
87,30.91,31.834166666666665,31.03653846153846,29.4468,,2022-12-07 00:00:00+00:00
88,31.52,31.853333333333335,31.13076923076923,29.5246,,2022-12-08 00:00:00+00:00
89,31.42,31.811666666666664,31.24192307692308,29.6092,,2022-12-09 00:00:00+00:00
90,32.22,31.824166666666667,31.36576923076923,29.7208,,2022-12-12 00:00:00+00:00
91,32.74,31.88416666666667,31.48538461538461,29.8272,,2022-12-13 00:00:00+00:00
92,32.67,31.965000000000003,31.589615384615385,29.9182,,2022-12-14 00:00:00+00:00
93,31.77,31.93166666666667,31.658461538461538,29.9972,,2022-12-15 00:00:00+00:00
