,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,427.19,,,,,2022-08-04 00:00:00+00:00
1,423.61,,,,,2022-08-05 00:00:00+00:00
2,425.61,,,,,2022-08-08 00:00:00+00:00
3,424.73,,,,,2022-08-09 00:00:00+00:00
4,431.78,,,,,2022-08-10 00:00:00+00:00
5,429.64,,,,,2022-08-11 00:00:00+00:00
6,434.24,,,,,2022-08-12 00:00:00+00:00
7,439.03,,,,,2022-08-15 00:00:00+00:00
8,437.81,,,,,2022-08-16 00:00:00+00:00
9,439.1,,,,,2022-08-17 00:00:00+00:00
10,440.44,,,,,2022-08-18 00:00:00+00:00
11,436.52,432.47499999999997,,,,2022-08-19 00:00:00+00:00
12,430.29,432.73333333333335,,,,2022-08-22 00:00:00+00:00
13,428.01,433.09999999999997,,,,2022-08-23 00:00:00+00:00
14,429.12,433.3925,,,,2022-08-24 00:00:00+00:00
15,433.33,434.1091666666666,,,,2022-08-25 00:00:00+00:00
16,420.02,433.12916666666666,,,,2022-08-26 00:00:00+00:00
17,416.0,431.9925,,,,2022-08-29 00:00:00+00:00
18,409.7,429.9475,,,,2022-08-30 00:00:00+00:00
19,406.84,427.26500000000004,,,,2022-08-31 00:00:00+00:00
20,407.54,424.7425,,,,2022-09-01 00:00:00+00:00
21,405.79,421.9666666666667,,,,2022-09-02 00:00:00+00:00
22,413.65,419.7341666666666,,,,2022-09-06 00:00:00+00:00
23,428.19,419.04,,,,2022-09-07 00:00:00+00:00
24,429.39,418.965,,,,2022-09-08 00:00:00+00:00
25,431.35,419.24333333333334,426.1123076923077,,,2022-09-09 00:00:00+00:00
26,428.91,419.22583333333336,426.17846153846153,,,2022-09-12 00:00:00+00:00
27,408.64,417.16833333333335,425.60269230769234,,,2022-09-13 00:00:00+00:00
28,402.89,415.7408333333333,424.7288461538462,,,2022-09-14 00:00:00+00:00
29,398.57,414.28833333333336,423.72269230769234,,,2022-09-15 00:00:00+00:00
30,404.33,413.84083333333336,422.66692307692307,,,2022-09-16 00:00:00+00:00
31,407.84,413.9241666666667,421.82846153846157,,,2022-09-19 00:00:00+00:00
32,406.0,413.7958333333333,420.74230769230775,,,2022-09-20 00:00:00+00:00
33,399.84,413.29999999999995,419.235,,,2022-09-21 00:00:00+00:00
34,388.77,411.2266666666667,417.3488461538461,,,2022-09-22 00:00:00+00:00
35,389.89,408.0349999999999,415.4561538461539,,,2022-09-23 00:00:00+00:00
36,387.15,404.51500000000004,413.40653846153845,,,2022-09-26 00:00:00+00:00
37,383.53,400.53,411.36846153846153,,,2022-09-27 00:00:00+00:00
38,394.55,397.6666666666667,409.99384615384616,,,2022-09-28 00:00:00+00:00
39,389.55,396.0758333333333,408.51461538461535,,,2022-09-29 00:00:00+00:00
40,388.19,394.85083333333336,406.9403846153846,,,2022-09-30 00:00:00+00:00
41,400.84,395.03999999999996,405.6907692307692,,,2022-10-03 00:00:00+00:00
42,411.02,395.5974999999999,405.3446153846154,,,2022-10-04 00:00:00+00:00
43,411.94,395.9391666666667,405.1884615384615,,,2022-10-05 00:00:00+00:00
44,410.61,396.3233333333333,405.2234615384615,,,2022-10-06 00:00:00+00:00
45,398.41,396.20416666666665,404.8992307692307,,,2022-10-07 00:00:00+00:00
46,397.71,396.9491666666666,404.5211538461539,,,2022-10-10 00:00:00+00:00
47,393.5,397.25,404.04846153846154,,,2022-10-11 00:00:00+00:00
48,387.48,397.2775,403.04192307692307,,,2022-10-12 00:00:00+00:00
49,392.82,398.0516666666667,401.6815384615384,413.23800000000006,,2022-10-13 00:00:00+00:00
50,381.36,396.95250000000004,399.83423076923077,412.3214,,2022-10-14 00:00:00+00:00
51,394.05,397.32749999999993,398.39961538461534,411.7302,,2022-10-17 00:00:00+00:00
52,402.08,398.48499999999996,397.36769230769227,411.2596,,2022-10-18 00:00:00+00:00
53,400.25,398.4358333333333,397.045,410.77,,2022-10-19 00:00:00+00:00
54,392.7,396.90916666666675,396.6530769230769,409.9884,,2022-10-20 00:00:00+00:00
55,399.94,395.90916666666664,396.70576923076925,409.39439999999996,,2022-10-21 00:00:00+00:00
56,406.32,395.5516666666667,396.7823076923077,408.836,,2022-10-24 00:00:00+00:00
57,410.39,396.55,396.88038461538457,408.2631999999999,,2022-10-25 00:00:00+00:00
58,411.9,397.7325,397.10730769230764,407.745,,2022-10-26 00:00:00+00:00
59,414.65,399.49500000000006,397.676923076923,407.256,,2022-10-27 00:00:00+00:00
60,427.64,402.84166666666664,399.1719230769231,407.0,,2022-10-28 00:00:00+00:00
61,427.55,405.73583333333335,400.6203846153846,406.82059999999996,,2022-10-31 00:00:00+00:00
62,428.27,409.645,402.2019230769231,406.7802,,2022-11-01 00:00:00+00:00
63,415.81,411.4583333333333,403.4434615384615,406.5362,,2022-11-02 00:00:00+00:00
64,410.94,412.1966666666667,404.07384615384615,406.17260000000005,,2022-11-03 00:00:00+00:00
65,410.64,413.0625,404.885,405.7188,,2022-11-04 00:00:00+00:00
66,419.86,415.3258333333333,406.1030769230769,405.7156,,2022-11-07 00:00:00+00:00
67,431.02,417.9158333333333,407.2638461538462,406.01599999999996,,2022-11-08 00:00:00+00:00
68,420.03,419.05833333333334,407.6103846153846,406.2226,,2022-11-09 00:00:00+00:00
69,444.51,421.90166666666664,408.86307692307696,406.97600000000006,,2022-11-10 00:00:00+00:00
70,443.86,424.56500000000005,410.1419230769231,407.70239999999995,,2022-11-11 00:00:00+00:00
71,443.88,427.0008333333333,411.89076923076925,408.4642,,2022-11-14 00:00:00+00:00
72,444.81,428.4316666666667,413.7023076923076,409.0874,,2022-11-15 00:00:00+00:00
73,445.71,429.945,415.7103846153846,409.4378,,2022-11-16 00:00:00+00:00
74,443.28,431.19583333333327,417.8565384615385,409.7156,,2022-11-17 00:00:00+00:00
75,449.37,433.9925,420.03153846153845,410.0760000000001,,2022-11-18 00:00:00+00:00
76,449.66,437.2191666666666,422.6584615384615,410.491,,2022-11-21 00:00:00+00:00
