,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,55.22,,,,,2022-08-04 00:00:00+00:00
1,57.9,,,,,2022-08-05 00:00:00+00:00
2,59.09,,,,,2022-08-08 00:00:00+00:00
3,59.72,,,,,2022-08-09 00:00:00+00:00
4,60.09,,,,,2022-08-10 00:00:00+00:00
5,60.27,,,,,2022-08-11 00:00:00+00:00
6,61.76,,,,,2022-08-12 00:00:00+00:00
7,61.61,,,,,2022-08-15 00:00:00+00:00
8,62.1,,,,,2022-08-16 00:00:00+00:00
9,61.87,,,,,2022-08-17 00:00:00+00:00
10,62.37,,,,,2022-08-18 00:00:00+00:00
11,61.33,60.2775,,,,2022-08-19 00:00:00+00:00
12,61.04,60.762499999999996,,,,2022-08-22 00:00:00+00:00
13,61.77,61.085,,,,2022-08-23 00:00:00+00:00
14,61.9,61.31916666666666,,,,2022-08-24 00:00:00+00:00
15,63.24,61.612500000000004,,,,2022-08-25 00:00:00+00:00
16,62.32,61.79833333333334,,,,2022-08-26 00:00:00+00:00
17,61.91,61.935,,,,2022-08-29 00:00:00+00:00
18,61.77,61.935833333333335,,,,2022-08-30 00:00:00+00:00
19,61.43,61.92083333333334,,,,2022-08-31 00:00:00+00:00
20,60.81,61.81333333333333,,,,2022-09-01 00:00:00+00:00
21,61.24,61.76083333333333,,,,2022-09-02 00:00:00+00:00
22,60.32,61.59,,,,2022-09-06 00:00:00+00:00
23,61.82,61.63083333333333,,,,2022-09-07 00:00:00+00:00
24,62.04,61.71416666666667,,,,2022-09-08 00:00:00+00:00
25,62.52,61.77666666666667,61.05615384615385,,,2022-09-09 00:00:00+00:00
26,62.11,61.794166666666676,61.32115384615384,,,2022-09-12 00:00:00+00:00
27,62.65,61.745000000000005,61.50384615384616,,,2022-09-13 00:00:00+00:00
28,63.81,61.869166666666665,61.68538461538461,,,2022-09-14 00:00:00+00:00
29,62.12,61.88666666666666,61.777692307692305,,,2022-09-15 00:00:00+00:00
30,61.35,61.85166666666667,61.826153846153844,,,2022-09-16 00:00:00+00:00
31,61.42,61.85083333333333,61.87038461538462,,,2022-09-19 00:00:00+00:00
32,61.4,61.900000000000006,61.85653846153846,,,2022-09-20 00:00:00+00:00
33,59.23,61.732499999999995,61.76499999999999,,,2022-09-21 00:00:00+00:00
34,59.76,61.685833333333335,61.675,,,2022-09-22 00:00:00+00:00
35,57.92,61.36083333333334,61.52307692307692,,,2022-09-23 00:00:00+00:00
36,57.61,60.99166666666667,61.339999999999996,,,2022-09-26 00:00:00+00:00
37,57.26,60.553333333333335,61.183461538461536,,,2022-09-27 00:00:00+00:00
38,58.38,60.2425,61.08115384615385,,,2022-09-28 00:00:00+00:00
39,57.21,59.78916666666667,60.90576923076923,,,2022-09-29 00:00:00+00:00
40,57.15,59.234166666666674,60.723076923076924,,,2022-09-30 00:00:00+00:00
41,59.18,58.98916666666667,60.566923076923075,,,2022-10-03 00:00:00+00:00
42,61.76,59.02333333333333,60.54538461538462,,,2022-10-04 00:00:00+00:00
43,61.52,59.031666666666666,60.53038461538461,,,2022-10-05 00:00:00+00:00
44,60.89,58.98916666666667,60.496538461538464,,,2022-10-06 00:00:00+00:00
45,60.83,59.1225,60.473461538461535,,,2022-10-07 00:00:00+00:00
46,61.05,59.23000000000001,60.482692307692304,,,2022-10-10 00:00:00+00:00
47,60.76,59.46666666666667,60.46423076923077,,,2022-10-11 00:00:00+00:00
48,60.79,59.73166666666666,60.48230769230769,,,2022-10-12 00:00:00+00:00
49,62.95,60.20583333333334,60.52576923076923,60.7314,,2022-10-13 00:00:00+00:00
50,58.73,60.23499999999999,60.39846153846153,60.80160000000001,,2022-10-14 00:00:00+00:00
51,60.36,60.497499999999995,60.315384615384616,60.8508,,2022-10-17 00:00:00+00:00
52,61.62,60.87,60.29653846153846,60.9014,,2022-10-18 00:00:00+00:00
53,61.8,61.08833333333334,60.26384615384615,60.943000000000005,,2022-10-19 00:00:00+00:00
54,61.93,61.1025,60.191538461538464,60.9798,,2022-10-20 00:00:00+00:00
55,62.88,61.215833333333336,60.22076923076923,61.032,,2022-10-21 00:00:00+00:00
56,63.36,61.42166666666666,60.29807692307692,61.06399999999999,,2022-10-24 00:00:00+00:00
57,64.96,61.76583333333334,60.434230769230766,61.131,,2022-10-25 00:00:00+00:00
58,65.87,62.1675,60.606153846153845,61.206399999999995,,2022-10-26 00:00:00+00:00
59,65.97,62.60166666666666,60.86538461538461,61.2884,,2022-10-27 00:00:00+00:00
60,66.02,63.037499999999994,61.106153846153845,61.3614,,2022-10-28 00:00:00+00:00
61,65.34,63.23666666666666,61.39153846153847,61.4416,,2022-10-31 00:00:00+00:00
62,67.11,63.935,61.75692307692308,61.563,,2022-11-01 00:00:00+00:00
63,66.91,64.48083333333334,62.12807692307693,61.6658,,2022-11-02 00:00:00+00:00
64,66.98,64.9275,62.45884615384615,61.767399999999995,,2022-11-03 00:00:00+00:00
65,65.37,65.225,62.7726923076923,61.81,,2022-11-04 00:00:00+00:00
66,66.04,65.5675,63.114615384615384,61.88440000000001,,2022-11-07 00:00:00+00:00
67,67.19,65.92666666666666,63.42269230769231,61.99,,2022-11-08 00:00:00+00:00
68,67.05,66.23416666666667,63.62615384615385,62.0956,,2022-11-09 00:00:00+00:00
69,67.21,66.42166666666667,63.845,62.2112,,2022-11-10 00:00:00+00:00
70,64.77,66.33,63.99423076923077,62.2904,,2022-11-11 00:00:00+00:00
71,66.73,66.39333333333333,64.22115384615384,62.4002,,2022-11-14 00:00:00+00:00
72,66.72,66.45166666666667,64.43923076923078,62.5282,,2022-11-15 00:00:00+00:00
73,65.35,66.4525,64.61576923076923,62.598800000000004,,2022-11-16 00:00:00+00:00
74,65.43,66.3125,64.79423076923078,62.666599999999995,,2022-11-17 00:00:00+00:00
75,65.2,66.17,64.88076923076923,62.7202,,2022-11-18 00:00:00+00:00
76,65.15,66.0175,65.1276923076923,62.78099999999999,,2022-11-21 00:00:00+00:00
77,66.09,66.0775,65.34807692307692,62.8498,,2022-11-22 00:00:00+00:00
78,65.8,66.0575,65.50884615384615,62.889599999999994,,2022-11-23 00:00:00+00:00
79,66.33,65.98583333333333,65.68307692307692,62.973800000000004,,2022-11-25 00:00:00+00:00
80,64.93,65.80916666666667,65.79846153846154,63.0454,,2022-11-28 00:00:00+00:00
81,65.57,65.6725,65.90192307692307,63.1284,,2022-11-29 00:00:00+00:00
82,67.16,65.87166666666667,66.04807692307692,63.243599999999994,,2022-11-30 00:00:00+00:00
83,66.25,65.83166666666666,66.09769230769231,63.38399999999999,,2022-12-01 00:00:00+00:00
