,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,101.87,,,,,2022-08-04 00:00:00+00:00
1,102.26,,,,,2022-08-05 00:00:00+00:00
2,102.0,,,,,2022-08-08 00:00:00+00:00
3,103.69,,,,,2022-08-09 00:00:00+00:00
4,104.05,,,,,2022-08-10 00:00:00+00:00
5,104.25,,,,,2022-08-11 00:00:00+00:00
6,106.39,,,,,2022-08-12 00:00:00+00:00
7,106.27,,,,,2022-08-15 00:00:00+00:00
8,106.43,,,,,2022-08-16 00:00:00+00:00
9,104.92,,,,,2022-08-17 00:00:00+00:00
10,103.64,,,,,2022-08-18 00:00:00+00:00
11,104.05,104.15166666666666,,,,2022-08-19 00:00:00+00:00
12,102.34,104.19083333333333,,,,2022-08-22 00:00:00+00:00
13,101.13,104.09666666666665,,,,2022-08-23 00:00:00+00:00
14,101.28,104.03666666666665,,,,2022-08-24 00:00:00+00:00
15,102.15,103.90833333333335,,,,2022-08-25 00:00:00+00:00
16,100.06,103.57583333333332,,,,2022-08-26 00:00:00+00:00
17,100.33,103.24916666666665,,,,2022-08-29 00:00:00+00:00
18,98.8,102.61666666666667,,,,2022-08-30 00:00:00+00:00
19,98.15,101.94,,,,2022-08-31 00:00:00+00:00
20,99.93,101.39833333333333,,,,2022-09-01 00:00:00+00:00
21,99.44,100.94166666666666,,,,2022-09-02 00:00:00+00:00
22,98.73,100.53250000000001,,,,2022-09-06 00:00:00+00:00
23,100.68,100.25166666666667,,,,2022-09-07 00:00:00+00:00
24,102.26,100.245,,,,2022-09-08 00:00:00+00:00
25,102.15,100.33,102.20192307692308,,,2022-09-09 00:00:00+00:00
26,103.04,100.47666666666667,102.24692307692308,,,2022-09-12 00:00:00+00:00
27,100.45,100.335,102.17730769230769,,,2022-09-13 00:00:00+00:00
28,101.05,100.4175,102.14076923076922,,,2022-09-14 00:00:00+00:00
29,102.31,100.5825,102.0876923076923,,,2022-09-15 00:00:00+00:00
30,102.06,100.85416666666667,102.01115384615385,,,2022-09-16 00:00:00+00:00
31,102.11,101.18416666666667,101.92884615384615,,,2022-09-19 00:00:00+00:00
32,101.34,101.30166666666668,101.73461538461538,,,2022-09-20 00:00:00+00:00
33,99.77,101.32916666666667,101.48461538461538,,,2022-09-21 00:00:00+00:00
34,99.83,101.42083333333333,101.23076923076923,,,2022-09-22 00:00:00+00:00
35,98.35,101.22666666666665,100.97807692307691,,,2022-09-23 00:00:00+00:00
36,97.74,100.84999999999998,100.75115384615385,,,2022-09-26 00:00:00+00:00
37,97.21,100.43833333333333,100.48807692307693,,,2022-09-27 00:00:00+00:00
38,98.16,100.03166666666668,100.3273076923077,,,2022-09-28 00:00:00+00:00
39,96.98,99.7425,100.1676923076923,,,2022-09-29 00:00:00+00:00
40,95.37,99.26916666666666,99.9403846153846,,,2022-09-30 00:00:00+00:00
41,97.76,98.88999999999999,99.77153846153848,,,2022-10-03 00:00:00+00:00
42,100.52,98.76166666666666,99.78923076923077,,,2022-10-04 00:00:00+00:00
43,100.45,98.62333333333333,99.79384615384615,,,2022-10-05 00:00:00+00:00
44,98.58,98.39333333333332,99.78538461538461,,,2022-10-06 00:00:00+00:00
45,88.25,97.43333333333332,99.40461538461538,,,2022-10-07 00:00:00+00:00
46,88.25,96.46833333333332,98.9553846153846,,,2022-10-10 00:00:00+00:00
47,88.5,95.6475,98.53461538461539,,,2022-10-11 00:00:00+00:00
48,87.84,94.8225,98.11576923076925,,,2022-10-12 00:00:00+00:00
49,90.1,94.23,97.70884615384615,99.86540000000001,,2022-10-13 00:00:00+00:00
50,89.3,93.49166666666666,97.21038461538463,99.61399999999999,,2022-10-14 00:00:00+00:00
51,90.89,92.98416666666667,96.77730769230769,99.3866,,2022-10-17 00:00:00+00:00
52,91.94,92.69833333333334,96.35038461538463,99.18539999999999,,2022-10-18 00:00:00+00:00
53,91.66,92.19,96.01230769230769,98.94480000000001,,2022-10-19 00:00:00+00:00
54,90.99,91.39583333333333,95.62538461538462,98.68360000000001,,2022-10-20 00:00:00+00:00
55,92.72,90.75166666666667,95.25653846153847,98.45300000000002,,2022-10-21 00:00:00+00:00
56,94.8,90.43666666666667,94.9773076923077,98.2212,,2022-10-24 00:00:00+00:00
