,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,151.14,,,,,2022-08-04 00:00:00+00:00
1,153.64,,,,,2022-08-05 00:00:00+00:00
2,153.41,,,,,2022-08-08 00:00:00+00:00
3,155.41,,,,,2022-08-09 00:00:00+00:00
4,155.82,,,,,2022-08-10 00:00:00+00:00
5,159.62,,,,,2022-08-11 00:00:00+00:00
6,159.85,,,,,2022-08-12 00:00:00+00:00
7,156.81,,,,,2022-08-15 00:00:00+00:00
8,156.41,,,,,2022-08-16 00:00:00+00:00
9,157.7,,,,,2022-08-17 00:00:00+00:00
10,159.02,,,,,2022-08-18 00:00:00+00:00
11,157.69,156.37666666666667,,,,2022-08-19 00:00:00+00:00
12,156.9,156.85666666666668,,,,2022-08-22 00:00:00+00:00
13,161.99,157.5525,,,,2022-08-23 00:00:00+00:00
14,163.19,158.36749999999998,,,,2022-08-24 00:00:00+00:00
15,164.62,159.13500000000002,,,,2022-08-25 00:00:00+00:00
16,163.41,159.7675,,,,2022-08-26 00:00:00+00:00
17,164.63,160.185,,,,2022-08-29 00:00:00+00:00
18,160.62,160.24916666666667,,,,2022-08-30 00:00:00+00:00
19,158.06,160.35333333333332,,,,2022-08-31 00:00:00+00:00
20,155.54,160.28083333333333,,,,2022-09-01 00:00:00+00:00
21,157.85,160.29333333333332,,,,2022-09-02 00:00:00+00:00
22,157.12,160.13500000000002,,,,2022-09-06 00:00:00+00:00
23,155.11,159.92,,,,2022-09-07 00:00:00+00:00
24,155.95,159.84083333333334,,,,2022-09-08 00:00:00+00:00
25,159.97,159.67249999999999,158.13384615384615,,,2022-09-09 00:00:00+00:00
26,162.5,159.615,158.57076923076923,,,2022-09-12 00:00:00+00:00
27,159.41,159.1808333333333,158.7926923076923,,,2022-09-13 00:00:00+00:00
28,163.27,159.16916666666668,159.1719230769231,,,2022-09-14 00:00:00+00:00
29,160.62,158.835,159.37230769230771,,,2022-09-15 00:00:00+00:00
30,156.45,158.4875,159.39653846153846,,,2022-09-16 00:00:00+00:00
31,156.9,158.39083333333332,159.29192307692307,,,2022-09-19 00:00:00+00:00
32,156.28,158.4525,159.1546153846154,,,2022-09-20 00:00:00+00:00
33,155.01,158.21583333333334,159.0853846153846,,,2022-09-21 00:00:00+00:00
34,154.89,158.03,159.02692307692308,,,2022-09-22 00:00:00+00:00
35,144.77,157.16833333333332,158.5296153846154,,,2022-09-23 00:00:00+00:00
