,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,342.38,,,,,2022-08-04 00:00:00+00:00
1,343.31,,,,,2022-08-05 00:00:00+00:00
2,343.71,,,,,2022-08-08 00:00:00+00:00
3,343.68,,,,,2022-08-09 00:00:00+00:00
4,352.36,,,,,2022-08-10 00:00:00+00:00
5,361.92,,,,,2022-08-11 00:00:00+00:00
6,368.16,,,,,2022-08-12 00:00:00+00:00
7,366.05,,,,,2022-08-15 00:00:00+00:00
8,369.98,,,,,2022-08-16 00:00:00+00:00
9,364.69,,,,,2022-08-17 00:00:00+00:00
10,367.99,,,,,2022-08-18 00:00:00+00:00
11,369.66,357.8241666666667,,,,2022-08-19 00:00:00+00:00
12,369.64,360.0958333333333,,,,2022-08-22 00:00:00+00:00
13,374.88,362.7266666666667,,,,2022-08-23 00:00:00+00:00
14,381.38,365.86583333333334,,,,2022-08-24 00:00:00+00:00
15,388.15,369.5716666666667,,,,2022-08-25 00:00:00+00:00
16,379.38,371.8233333333333,,,,2022-08-26 00:00:00+00:00
17,380.61,373.3808333333333,,,,2022-08-29 00:00:00+00:00
18,368.74,373.4291666666666,,,,2022-08-30 00:00:00+00:00
19,365.25,373.3625,,,,2022-08-31 00:00:00+00:00
20,363.77,372.845,,,,2022-09-01 00:00:00+00:00
21,362.22,372.63916666666665,,,,2022-09-02 00:00:00+00:00
22,361.06,372.06166666666667,,,,2022-09-06 00:00:00+00:00
23,365.94,371.7516666666667,,,,2022-09-07 00:00:00+00:00
24,368.48,371.655,,,,2022-09-08 00:00:00+00:00
25,372.25,371.4358333333333,365.2169230769231,,,2022-09-09 00:00:00+00:00
26,374.03,370.8233333333333,366.4342307692308,,,2022-09-12 00:00:00+00:00
27,363.3,368.7525,367.2030769230769,,,2022-09-13 00:00:00+00:00
28,360.9,367.21250000000003,367.8642307692308,,,2022-09-14 00:00:00+00:00
29,358.77,365.3925,368.44461538461536,,,2022-09-15 00:00:00+00:00
30,354.5,364.2058333333334,368.526923076923,,,2022-09-16 00:00:00+00:00
31,362.69,363.9925,368.5565384615384,,,2022-09-19 00:00:00+00:00
32,355.59,363.3108333333333,368.0730769230769,,,2022-09-20 00:00:00+00:00
33,349.81,362.27666666666664,367.4484615384615,,,2022-09-21 00:00:00+00:00
34,346.13,361.03249999999997,366.53115384615387,,,2022-09-22 00:00:00+00:00
35,334.22,358.38916666666665,365.35923076923075,,,2022-09-23 00:00:00+00:00
36,332.24,355.3691666666666,363.98423076923075,,,2022-09-26 00:00:00+00:00
37,335.68,352.32166666666666,362.6773076923077,,,2022-09-27 00:00:00+00:00
38,345.9,349.97749999999996,361.7642307692307,,,2022-09-28 00:00:00+00:00
39,341.0,348.1191666666666,360.4611538461538,,,2022-09-29 00:00:00+00:00
40,333.89,345.86833333333334,358.63461538461536,,,2022-09-30 00:00:00+00:00
41,344.05,344.64166666666665,356.9384615384615,,,2022-10-03 00:00:00+00:00
42,360.29,345.12416666666667,356.2042307692308,,,2022-10-04 00:00:00+00:00
43,355.77,344.54749999999996,355.2488461538461,,,2022-10-05 00:00:00+00:00
44,355.47,344.53749999999997,354.7384615384616,,,2022-10-06 00:00:00+00:00
45,356.15,345.06583333333333,354.38846153846157,,,2022-10-07 00:00:00+00:00
46,359.68,346.195,354.23115384615386,,,2022-10-10 00:00:00+00:00
47,363.33,348.62083333333334,354.2738461538462,,,2022-10-11 00:00:00+00:00
48,361.21,351.035,354.2796153846154,,,2022-10-12 00:00:00+00:00
49,367.17,353.65916666666664,354.3269230769231,359.3482,,2022-10-13 00:00:00+00:00
50,357.14,354.5958333333333,353.89076923076925,359.6434,,2022-10-14 00:00:00+00:00
51,362.59,356.395,353.5192307692308,360.029,,2022-10-17 00:00:00+00:00
52,371.31,359.5133333333333,353.4146153846154,360.58099999999996,,2022-10-18 00:00:00+00:00
53,371.32,361.78583333333336,353.723076923077,361.13379999999995,,2022-10-19 00:00:00+00:00
54,365.52,362.22166666666664,353.9007692307692,361.39700000000005,,2022-10-20 00:00:00+00:00
55,383.06,364.49583333333334,354.83500000000004,361.8198,,2022-10-21 00:00:00+00:00
56,385.89,367.0308333333333,356.0423076923077,362.17440000000005,,2022-10-24 00:00:00+00:00
57,391.63,369.9875,357.15538461538466,362.686,,2022-10-25 00:00:00+00:00
58,391.18,372.61249999999995,358.5242307692307,363.11,,2022-10-26 00:00:00+00:00
59,394.59,375.2175,360.2465384615385,363.70799999999997,,2022-10-27 00:00:00+00:00
60,396.85,378.1875,362.1973076923077,364.28520000000003,,2022-10-28 00:00:00+00:00
61,395.82,380.575,364.56653846153847,364.80840000000006,,2022-10-31 00:00:00+00:00
62,388.71,383.2058333333334,366.7384615384616,365.18980000000005,,2022-11-01 00:00:00+00:00
63,385.95,385.1525,368.67192307692306,365.4112,,2022-11-02 00:00:00+00:00
64,393.63,387.0125,370.5076923076923,365.65619999999996,,2022-11-03 00:00:00+00:00
65,395.09,388.99333333333334,372.588076923077,365.795,,2022-11-04 00:00:00+00:00
66,398.77,391.7641666666666,375.08346153846145,366.1828,,2022-11-07 00:00:00+00:00
67,404.57,393.5566666666667,377.41115384615387,366.662,,2022-11-08 00:00:00+00:00
68,397.09,394.48999999999995,378.82653846153846,367.22900000000004,,2022-11-09 00:00:00+00:00
69,407.61,395.82166666666666,380.8203846153846,368.0762,,2022-11-10 00:00:00+00:00
70,406.03,397.05916666666667,382.765,368.9214,,2022-11-11 00:00:00+00:00
71,406.94,398.0883333333333,384.71846153846155,369.8158,,2022-11-14 00:00:00+00:00
72,406.97,398.9316666666666,386.53730769230765,370.7339999999999,,2022-11-15 00:00:00+00:00
73,406.4,399.81333333333333,388.1938461538461,371.5432,,2022-11-16 00:00:00+00:00
74,412.99,401.83666666666664,390.1853846153846,372.43340000000006,,2022-11-17 00:00:00+00:00
75,414.26,404.1958333333334,391.9965384615385,373.2736,,2022-11-18 00:00:00+00:00
76,411.7,405.70166666666665,394.095,374.02700000000004,,2022-11-21 00:00:00+00:00
77,416.56,407.4908333333333,396.1707692307692,375.09219999999993,,2022-11-22 00:00:00+00:00
78,437.52,410.72,398.71730769230766,376.6246,,2022-11-23 00:00:00+00:00
79,441.47,413.795,401.4153846153846,378.2786,,2022-11-25 00:00:00+00:00
80,441.21,417.47166666666675,404.32653846153846,380.01279999999997,,2022-11-28 00:00:00+00:00
81,440.97,420.2516666666666,406.55384615384617,381.5784,,2022-11-29 00:00:00+00:00
82,441.0,423.1658333333333,408.67346153846154,383.2866,,2022-11-30 00:00:00+00:00
83,441.81,426.07166666666666,410.6034615384615,385.12660000000005,,2022-12-01 00:00:00+00:00
84,445.61,429.2916666666667,412.6969230769231,387.11619999999994,,2022-12-02 00:00:00+00:00
85,436.89,431.8325,414.32384615384615,389.1696,,2022-12-05 00:00:00+00:00
86,438.25,433.9375,415.91615384615386,391.2898,,2022-12-06 00:00:00+00:00
87,440.65,436.1366666666666,417.6403846153846,393.38919999999996,,2022-12-07 00:00:00+00:00
88,442.93,438.7391666666667,419.7257692307692,395.3298,,2022-12-08 00:00:00+00:00
89,434.81,440.26000000000005,421.60499999999996,397.20599999999996,,2022-12-09 00:00:00+00:00
90,437.05,440.2208333333333,423.275,399.26919999999996,,2022-12-12 00:00:00+00:00
91,437.19,439.8641666666667,424.8942307692308,401.13199999999995,,2022-12-13 00:00:00+00:00
