,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,76.7,,,,,2022-08-04 00:00:00+00:00
1,76.35,,,,,2022-08-05 00:00:00+00:00
2,77.26,,,,,2022-08-08 00:00:00+00:00
3,74.92,,,,,2022-08-09 00:00:00+00:00
4,78.42,,,,,2022-08-10 00:00:00+00:00
5,78.7,,,,,2022-08-11 00:00:00+00:00
6,79.72,,,,,2022-08-12 00:00:00+00:00
7,78.82,,,,,2022-08-15 00:00:00+00:00
8,78.61,,,,,2022-08-16 00:00:00+00:00
9,76.51,,,,,2022-08-17 00:00:00+00:00
10,76.83,,,,,2022-08-18 00:00:00+00:00
11,74.28,77.26,,,,2022-08-19 00:00:00+00:00
12,72.7,76.92666666666666,,,,2022-08-22 00:00:00+00:00
13,72.86,76.63583333333334,,,,2022-08-23 00:00:00+00:00
14,74.68,76.42083333333333,,,,2022-08-24 00:00:00+00:00
15,76.61,76.56166666666667,,,,2022-08-25 00:00:00+00:00
16,72.81,76.09416666666667,,,,2022-08-26 00:00:00+00:00
17,72.17,75.55,,,,2022-08-29 00:00:00+00:00
18,71.93,74.90083333333332,,,,2022-08-30 00:00:00+00:00
19,71.15,74.26166666666667,,,,2022-08-31 00:00:00+00:00
20,71.33,73.655,,,,2022-09-01 00:00:00+00:00
21,71.38,73.2275,,,,2022-09-02 00:00:00+00:00
22,69.99,72.6575,,,,2022-09-06 00:00:00+00:00
23,71.09,72.39166666666667,,,,2022-09-07 00:00:00+00:00
24,72.07,72.33916666666666,,,,2022-09-08 00:00:00+00:00
25,73.33,72.37833333333334,74.66230769230769,,,2022-09-09 00:00:00+00:00
26,74.06,72.32666666666667,74.56076923076922,,,2022-09-12 00:00:00+00:00
27,69.22,71.71083333333333,74.28653846153847,,,2022-09-13 00:00:00+00:00
28,69.0,71.39333333333333,73.96884615384616,,,2022-09-14 00:00:00+00:00
29,69.62,71.18083333333333,73.765,,,2022-09-15 00:00:00+00:00
30,71.12,71.11333333333333,73.48423076923076,,,2022-09-16 00:00:00+00:00
31,73.09,71.275,73.26846153846154,,,2022-09-19 00:00:00+00:00
32,71.93,71.325,72.96884615384616,,,2022-09-20 00:00:00+00:00
33,71.34,71.32166666666667,72.68115384615385,,,2022-09-21 00:00:00+00:00
34,70.95,71.40166666666667,72.38653846153846,,,2022-09-22 00:00:00+00:00
35,71.42,71.42916666666666,72.19076923076923,,,2022-09-23 00:00:00+00:00
36,68.24,71.11,71.86038461538462,,,2022-09-26 00:00:00+00:00
37,67.52,70.62583333333333,71.60038461538463,,,2022-09-27 00:00:00+00:00
38,71.33,70.39833333333334,71.5476923076923,,,2022-09-28 00:00:00+00:00
39,68.36,70.32666666666667,71.37461538461538,,,2022-09-29 00:00:00+00:00
40,67.35,70.18916666666667,71.0926923076923,,,2022-09-30 00:00:00+00:00
41,70.74,70.2825,70.86692307692307,,,2022-10-03 00:00:00+00:00
42,73.79,70.50500000000001,70.90461538461538,,,2022-10-04 00:00:00+00:00
43,72.81,70.48166666666667,70.92923076923077,,,2022-10-05 00:00:00+00:00
44,73.8,70.6375,71.00115384615384,,,2022-10-06 00:00:00+00:00
45,71.91,70.685,71.03038461538462,,,2022-10-07 00:00:00+00:00
46,72.21,70.78999999999999,71.06423076923076,,,2022-10-10 00:00:00+00:00
47,72.7,70.89666666666666,71.115,,,2022-10-11 00:00:00+00:00
48,71.25,71.1475,71.16346153846153,,,2022-10-12 00:00:00+00:00
49,70.65,71.40833333333333,71.14653846153847,72.9126,,2022-10-13 00:00:00+00:00
50,68.65,71.185,71.015,72.75160000000001,,2022-10-14 00:00:00+00:00
51,69.97,71.31916666666666,70.88576923076923,72.624,,2022-10-17 00:00:00+00:00
52,72.36,71.73666666666666,70.82038461538463,72.52600000000001,,2022-10-18 00:00:00+00:00
53,67.79,71.49083333333334,70.76538461538462,72.3834,,2022-10-19 00:00:00+00:00
54,67.14,70.93666666666667,70.69384615384615,72.1578,,2022-10-20 00:00:00+00:00
55,69.75,70.68166666666667,70.69884615384615,71.9788,,2022-10-21 00:00:00+00:00
56,71.17,70.4625,70.70076923076923,71.8078,,2022-10-24 00:00:00+00:00
57,75.41,70.75416666666666,70.79,71.7396,,2022-10-25 00:00:00+00:00
58,75.31,71.0125,70.92,71.6736,,2022-10-26 00:00:00+00:00
59,75.78,71.26916666666666,71.09076923076923,71.65899999999999,,2022-10-27 00:00:00+00:00
60,77.98,71.83,71.36115384615385,71.682,,2022-10-28 00:00:00+00:00
61,76.88,72.34916666666668,71.57115384615385,71.73400000000001,,2022-10-31 00:00:00+00:00
62,77.37,73.07583333333334,71.9223076923077,71.8274,,2022-11-01 00:00:00+00:00
63,75.17,73.50916666666667,72.21653846153846,71.87360000000001,,2022-11-02 00:00:00+00:00
64,73.63,73.615,72.305,71.8526,,2022-11-03 00:00:00+00:00
65,75.18,74.23083333333334,72.5673076923077,71.82400000000001,,2022-11-04 00:00:00+00:00
66,75.13,74.89666666666666,72.86653846153845,71.8704,,2022-11-07 00:00:00+00:00
67,73.26,75.18916666666667,72.96346153846153,71.8922,,2022-11-08 00:00:00+00:00
68,75.44,75.545,73.02692307692308,71.9624,,2022-11-09 00:00:00+00:00
69,83.92,76.25416666666668,73.45423076923076,72.2178,,2022-11-10 00:00:00+00:00
70,84.92,77.05499999999999,73.88192307692307,72.4896,,2022-11-11 00:00:00+00:00
71,81.49,77.53083333333333,74.25038461538462,72.6918,,2022-11-14 00:00:00+00:00
72,84.17,78.04666666666667,74.71038461538461,72.9754,,2022-11-15 00:00:00+00:00
73,83.12,78.56666666666666,75.11115384615385,73.216,,2022-11-16 00:00:00+00:00
74,81.59,78.91833333333334,75.50884615384615,73.4064,,2022-11-17 00:00:00+00:00
75,81.39,79.43666666666667,75.92192307692308,73.5676,,2022-11-18 00:00:00+00:00
76,80.63,80.02,76.38269230769231,73.699,,2022-11-21 00:00:00+00:00
77,82.66,80.64333333333333,76.87076923076924,73.9678,,2022-11-22 00:00:00+00:00
78,84.5,81.42416666666666,77.33769230769231,74.2778,,2022-11-23 00:00:00+00:00
79,83.89,82.31,77.95692307692308,74.56320000000001,,2022-11-25 00:00:00+00:00
80,83.31,82.96583333333334,78.57884615384616,74.807,,2022-11-28 00:00:00+00:00
81,84.22,82.99083333333333,79.13538461538461,75.0296,,2022-11-29 00:00:00+00:00
82,86.0,83.08083333333333,79.70576923076922,75.31099999999999,,2022-11-30 00:00:00+00:00
83,86.7,83.515,80.14,75.6182,,2022-12-01 00:00:00+00:00
84,86.33,83.69500000000001,80.56384615384614,75.9258,,2022-12-02 00:00:00+00:00
85,84.72,83.82833333333333,80.9076923076923,76.1918,,2022-12-05 00:00:00+00:00
86,83.91,84.02166666666666,81.13576923076924,76.5052,,2022-12-06 00:00:00+00:00
87,86.27,84.42833333333333,81.49692307692308,76.8802,,2022-12-07 00:00:00+00:00
88,85.93,84.87,81.82615384615384,77.1722,,2022-12-08 00:00:00+00:00
89,85.34,85.09333333333332,82.2173076923077,77.51180000000001,,2022-12-09 00:00:00+00:00
90,86.2,85.235,82.70076923076923,77.8888,,2022-12-12 00:00:00+00:00
91,87.29,85.51833333333333,83.16653846153847,78.21979999999999,,2022-12-13 00:00:00+00:00
92,87.4,85.85916666666667,83.63846153846154,78.492,,2022-12-14 00:00:00+00:00
93,90.45,86.37833333333333,84.29961538461538,78.84479999999999,,2022-12-15 00:00:00+00:00
94,89.38,86.66000000000001,84.83576923076923,79.1564,,2022-12-16 00:00:00+00:00
95,88.09,86.77583333333332,84.99615384615385,79.48,,2022-12-19 00:00:00+00:00
96,87.65,86.88583333333334,85.10115384615385,79.7888,,2022-12-20 00:00:00+00:00
97,89.75,87.305,85.41884615384616,80.1298,,2022-12-21 00:00:00+00:00
98,90.35,87.84166666666668,85.65653846153847,80.51180000000001,,2022-12-22 00:00:00+00:00
99,89.18,88.08416666666666,85.88961538461538,80.8824,,2022-12-23 00:00:00+00:00
100,89.27,88.3625,86.185,81.2948,,2022-12-27 00:00:00+00:00
101,87.77,88.565,86.43038461538461,81.6508,,2022-12-28 00:00:00+00:00
102,89.4,88.83166666666666,86.76769230769231,81.9916,,2022-12-29 00:00:00+00:00
103,89.14,88.98583333333335,87.01692307692308,82.41860000000001,,2022-12-30 00:00:00+00:00
104,90.68,89.25916666666666,87.25461538461539,82.88940000000001,,2023-01-03 00:00:00+00:00
