,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,288.95,,,,,2022-08-04 00:00:00+00:00
1,290.0,,,,,2022-08-05 00:00:00+00:00
2,286.99,,,,,2022-08-08 00:00:00+00:00
3,285.24,,,,,2022-08-09 00:00:00+00:00
4,291.14,,,,,2022-08-10 00:00:00+00:00
5,291.18,,,,,2022-08-11 00:00:00+00:00
6,297.75,,,,,2022-08-12 00:00:00+00:00
7,302.35,,,,,2022-08-15 00:00:00+00:00
8,300.48,,,,,2022-08-16 00:00:00+00:00
9,297.27,,,,,2022-08-17 00:00:00+00:00
10,294.27,,,,,2022-08-18 00:00:00+00:00
11,292.44,293.1716666666667,,,,2022-08-19 00:00:00+00:00
12,285.98,292.9241666666667,,,,2022-08-22 00:00:00+00:00
13,284.04,292.4275,,,,2022-08-23 00:00:00+00:00
14,284.94,292.25666666666666,,,,2022-08-24 00:00:00+00:00
15,290.97,292.7341666666667,,,,2022-08-25 00:00:00+00:00
16,280.33,291.8333333333333,,,,2022-08-26 00:00:00+00:00
17,276.69,290.62583333333333,,,,2022-08-29 00:00:00+00:00
18,273.37,288.5941666666667,,,,2022-08-30 00:00:00+00:00
19,269.91,285.8908333333333,,,,2022-08-31 00:00:00+00:00
20,273.86,283.6725,,,,2022-09-01 00:00:00+00:00
21,269.42,281.3516666666667,,,,2022-09-02 00:00:00+00:00
22,272.48,279.53583333333336,,,,2022-09-06 00:00:00+00:00
23,277.47,278.28833333333336,,,,2022-09-07 00:00:00+00:00
24,288.1,278.46500000000003,,,,2022-09-08 00:00:00+00:00
25,290.42,278.99666666666667,286.0015384615385,,,2022-09-09 00:00:00+00:00
26,293.51,279.71083333333337,286.1769230769231,,,2022-09-12 00:00:00+00:00
27,281.78,278.945,285.8607692307692,,,2022-09-13 00:00:00+00:00
28,281.73,279.06166666666667,285.65846153846155,,,2022-09-14 00:00:00+00:00
29,281.91,279.49666666666667,285.5303846153846,,,2022-09-15 00:00:00+00:00
30,277.06,279.8041666666667,284.98884615384617,,,2022-09-16 00:00:00+00:00
31,278.94,280.5566666666667,284.51807692307693,,,2022-09-19 00:00:00+00:00
32,274.37,280.5991666666667,283.61884615384616,,,2022-09-20 00:00:00+00:00
33,268.48,280.5208333333333,282.31615384615384,,,2022-09-21 00:00:00+00:00
34,266.43,280.01666666666665,281.00653846153847,,,2022-09-22 00:00:00+00:00
35,265.27,279.0,279.77576923076924,,,2022-09-23 00:00:00+00:00
36,262.66,276.88,278.56,,,2022-09-26 00:00:00+00:00
37,260.1,274.35333333333335,277.31615384615384,,,2022-09-27 00:00:00+00:00
38,266.24,272.0808333333334,276.5569230769231,,,2022-09-28 00:00:00+00:00
