,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,89.54,,,,,2022-08-04 00:00:00+00:00
1,89.09,,,,,2022-08-05 00:00:00+00:00
2,91.4,,,,,2022-08-08 00:00:00+00:00
3,85.12,,,,,2022-08-09 00:00:00+00:00
4,89.73,,,,,2022-08-10 00:00:00+00:00
5,88.24,,,,,2022-08-11 00:00:00+00:00
6,89.83,,,,,2022-08-12 00:00:00+00:00
7,92.295,,,,,2022-08-15 00:00:00+00:00
8,90.79,,,,,2022-08-16 00:00:00+00:00
9,88.14,,,,,2022-08-17 00:00:00+00:00
10,87.53,,,,,2022-08-18 00:00:00+00:00
11,85.11,88.90125,,,,2022-08-19 00:00:00+00:00
12,84.3,88.46458333333334,,,,2022-08-22 00:00:00+00:00
13,83.63,88.00958333333334,,,,2022-08-23 00:00:00+00:00
14,85.92,87.55291666666666,,,,2022-08-24 00:00:00+00:00
15,88.37,87.82375,,,,2022-08-25 00:00:00+00:00
16,84.49,87.38708333333334,,,,2022-08-26 00:00:00+00:00
17,83.38,86.98208333333334,,,,2022-08-29 00:00:00+00:00
18,82.74,86.39125,,,,2022-08-30 00:00:00+00:00
19,82.21,85.55083333333333,,,,2022-08-31 00:00:00+00:00
20,83.08,84.90833333333335,,,,2022-09-01 00:00:00+00:00
21,82.0,84.39666666666666,,,,2022-09-02 00:00:00+00:00
22,82.03,83.93833333333333,,,,2022-09-06 00:00:00+00:00
23,88.37,84.21,,,,2022-09-07 00:00:00+00:00
24,91.59,84.8175,,,,2022-09-08 00:00:00+00:00
25,92.89,85.58916666666666,86.99288461538461,,,2022-09-09 00:00:00+00:00
26,94.18,86.27749999999999,87.17134615384614,,,2022-09-12 00:00:00+00:00
27,89.17,86.34416666666668,87.17442307692308,,,2022-09-13 00:00:00+00:00
28,90.57,86.85083333333334,87.1425,,,2022-09-14 00:00:00+00:00
29,90.98,87.48416666666667,87.36788461538461,,,2022-09-15 00:00:00+00:00
30,90.09,88.09666666666668,87.38173076923076,,,2022-09-16 00:00:00+00:00
31,87.94,88.57416666666667,87.3701923076923,,,2022-09-19 00:00:00+00:00
32,87.37,88.93166666666667,87.27557692307694,,,2022-09-20 00:00:00+00:00
33,84.46,89.13666666666667,86.97423076923077,,,2022-09-21 00:00:00+00:00
34,80.96,89.0475,86.59615384615384,,,2022-09-22 00:00:00+00:00
35,80.66,88.40499999999999,86.30846153846154,,,2022-09-23 00:00:00+00:00
36,80.35,87.46833333333335,86.0323076923077,,,2022-09-26 00:00:00+00:00
37,79.64,86.36416666666666,85.82192307692307,,,2022-09-27 00:00:00+00:00
38,83.33,85.46,85.78461538461536,,,2022-09-28 00:00:00+00:00
39,82.1,84.87083333333332,85.72576923076923,,,2022-09-29 00:00:00+00:00
40,80.54,84.035,85.51884615384617,,,2022-09-30 00:00:00+00:00
41,84.98,83.535,85.38846153846156,,,2022-10-03 00:00:00+00:00
42,90.97,83.60833333333333,85.6376923076923,,,2022-10-04 00:00:00+00:00
43,91.08,83.87,85.93384615384615,,,2022-10-05 00:00:00+00:00
44,95.21,84.52333333333333,86.41346153846153,,,2022-10-06 00:00:00+00:00
45,102.14,85.99666666666667,87.17999999999999,,,2022-10-07 00:00:00+00:00
46,100.22,87.60166666666667,87.83923076923078,,,2022-10-10 00:00:00+00:00
47,99.68,89.18666666666667,88.51923076923077,,,2022-10-11 00:00:00+00:00
48,98.32,90.68416666666667,89.14576923076923,,,2022-10-12 00:00:00+00:00
49,101.72,92.52416666666666,89.65923076923076,88.16950000000001,,2022-10-13 00:00:00+00:00
50,97.41,93.69749999999999,89.88307692307693,88.32690000000001,,2022-10-14 00:00:00+00:00
51,99.73,95.16666666666667,90.14615384615384,88.5397,,2022-10-17 00:00:00+00:00
52,96.93,96.53249999999998,90.25192307692308,88.6503,,2022-10-18 00:00:00+00:00
53,96.84,97.52083333333333,90.5469230769231,88.88470000000001,,2022-10-19 00:00:00+00:00
54,94.36,97.80333333333334,90.6926923076923,88.9773,,2022-10-20 00:00:00+00:00
55,95.68,98.18666666666667,90.87346153846154,89.12610000000001,,2022-10-21 00:00:00+00:00
56,98.97,98.5,91.215,89.30890000000001,,2022-10-24 00:00:00+00:00
57,100.95,98.40083333333332,91.71538461538461,89.48200000000001,,2022-10-25 00:00:00+00:00
58,102.61,98.60000000000001,92.30153846153846,89.7184,,2022-10-26 00:00:00+00:00
59,101.25,98.73083333333334,92.9473076923077,89.9806,,2022-10-27 00:00:00+00:00
60,120.87,100.61,94.48230769230769,90.6474,,2022-10-28 00:00:00+00:00
61,120.78,102.19833333333334,96.02538461538461,91.36080000000001,,2022-10-31 00:00:00+00:00
62,119.04,104.00083333333335,97.51346153846154,92.05560000000001,,2022-11-01 00:00:00+00:00
63,115.95,105.3525,98.91,92.70200000000001,,2022-11-02 00:00:00+00:00
64,112.6,106.65833333333335,100.03576923076925,93.23559999999999,,2022-11-03 00:00:00+00:00
65,114.88,108.16166666666665,101.29653846153846,93.7658,,2022-11-04 00:00:00+00:00
66,115.33,109.90916666666668,102.63461538461539,94.3826,,2022-11-07 00:00:00+00:00
67,115.35,111.54833333333333,103.8026923076923,95.022,,2022-11-08 00:00:00+00:00
68,113.15,112.73,104.65576923076924,95.63019999999999,,2022-11-09 00:00:00+00:00
69,119.84,114.30416666666667,105.76192307692307,96.3828,,2022-11-10 00:00:00+00:00
70,115.96,115.41666666666667,106.56,97.04039999999999,,2022-11-11 00:00:00+00:00
71,112.99,116.395,106.9773076923077,97.66019999999999,,2022-11-14 00:00:00+00:00
72,116.31,116.015,107.59615384615384,98.3458,,2022-11-15 00:00:00+00:00
73,114.89,115.52416666666669,108.18115384615385,98.87620000000001,,2022-11-16 00:00:00+00:00
74,112.64,114.99083333333333,108.73192307692307,99.29719999999999,,2022-11-17 00:00:00+00:00
75,113.72,114.805,109.19346153846155,99.7138,,2022-11-18 00:00:00+00:00
76,112.66,114.81,109.77999999999999,100.0834,,2022-11-21 00:00:00+00:00
77,111.01,114.48750000000001,110.21384615384616,100.5202,,2022-11-22 00:00:00+00:00
78,112.92,114.28666666666665,110.82884615384614,100.9672,,2022-11-23 00:00:00+00:00
79,112.0,114.0075,111.41192307692306,101.3876,,2022-11-25 00:00:00+00:00
80,112.57,113.95916666666666,112.1123076923077,101.8372,,2022-11-28 00:00:00+00:00
81,110.39,113.17166666666667,112.67807692307692,102.28620000000001,,2022-11-29 00:00:00+00:00
82,116.28,113.19833333333332,113.34384615384616,102.8644,,2022-11-30 00:00:00+00:00
83,118.03,113.61833333333334,114.00076923076925,103.5358,,2022-12-01 00:00:00+00:00
