,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,166.82,,,,,2022-08-04 00:00:00+00:00
1,166.5,,,,,2022-08-05 00:00:00+00:00
2,164.71,,,,,2022-08-08 00:00:00+00:00
3,163.04,,,,,2022-08-09 00:00:00+00:00
4,170.7,,,,,2022-08-10 00:00:00+00:00
5,171.13,,,,,2022-08-11 00:00:00+00:00
6,174.09,,,,,2022-08-12 00:00:00+00:00
7,176.56,,,,,2022-08-15 00:00:00+00:00
8,177.02,,,,,2022-08-16 00:00:00+00:00
9,174.95,,,,,2022-08-17 00:00:00+00:00
10,175.38,,,,,2022-08-18 00:00:00+00:00
11,171.78,171.05666666666664,,,,2022-08-19 00:00:00+00:00
12,169.13,171.2491666666667,,,,2022-08-22 00:00:00+00:00
13,167.52,171.33416666666668,,,,2022-08-23 00:00:00+00:00
14,168.91,171.68416666666667,,,,2022-08-24 00:00:00+00:00
15,170.94,172.3425,,,,2022-08-25 00:00:00+00:00
16,165.26,171.88916666666668,,,,2022-08-26 00:00:00+00:00
17,164.93,171.37249999999997,,,,2022-08-29 00:00:00+00:00
18,165.39,170.6475,,,,2022-08-30 00:00:00+00:00
19,163.83,169.58666666666667,,,,2022-08-31 00:00:00+00:00
20,162.4,168.36833333333334,,,,2022-09-01 00:00:00+00:00
21,161.64,167.25916666666666,,,,2022-09-02 00:00:00+00:00
22,163.03,166.23000000000002,,,,2022-09-06 00:00:00+00:00
23,170.92,166.15833333333333,,,,2022-09-07 00:00:00+00:00
24,170.92,166.3075,,,,2022-09-08 00:00:00+00:00
25,172.64,166.73416666666665,168.85153846153847,,,2022-09-09 00:00:00+00:00
26,174.9,167.23333333333332,169.1623076923077,,,2022-09-12 00:00:00+00:00
27,166.3,166.84666666666666,169.1546153846154,,,2022-09-13 00:00:00+00:00
28,164.64,166.795,169.15192307692308,,,2022-09-14 00:00:00+00:00
29,161.81,166.535,169.10461538461539,,,2022-09-15 00:00:00+00:00
30,157.64,165.88916666666665,168.60230769230773,,,2022-09-16 00:00:00+00:00
31,159.8,165.55333333333334,168.16653846153847,,,2022-09-19 00:00:00+00:00
32,156.52,165.06333333333333,167.49076923076925,,,2022-09-20 00:00:00+00:00
33,151.8,164.24333333333334,166.53846153846155,,,2022-09-21 00:00:00+00:00
34,149.47,163.11333333333332,165.47884615384615,,,2022-09-22 00:00:00+00:00
35,149.26,161.30833333333334,164.49076923076925,,,2022-09-23 00:00:00+00:00
36,146.34,159.26,163.37384615384616,,,2022-09-26 00:00:00+00:00
37,144.03,156.87583333333333,162.30653846153848,,,2022-09-27 00:00:00+00:00
38,148.73,154.695,161.52192307692306,,,2022-09-28 00:00:00+00:00
