,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,474.9,,,,,2022-08-04 00:00:00+00:00
1,475.13,,,,,2022-08-05 00:00:00+00:00
2,475.72,,,,,2022-08-08 00:00:00+00:00
3,483.97,,,,,2022-08-09 00:00:00+00:00
4,481.33,,,,,2022-08-10 00:00:00+00:00
5,477.11,,,,,2022-08-11 00:00:00+00:00
6,491.7,,,,,2022-08-12 00:00:00+00:00
7,493.22,,,,,2022-08-15 00:00:00+00:00
8,492.28,,,,,2022-08-16 00:00:00+00:00
9,490.85,,,,,2022-08-17 00:00:00+00:00
10,491.77,,,,,2022-08-18 00:00:00+00:00
11,503.54,485.96000000000004,,,,2022-08-19 00:00:00+00:00
12,507.0,488.63500000000005,,,,2022-08-22 00:00:00+00:00
13,493.23,490.1433333333334,,,,2022-08-23 00:00:00+00:00
14,493.4,491.6166666666666,,,,2022-08-24 00:00:00+00:00
15,492.34,492.3141666666666,,,,2022-08-25 00:00:00+00:00
16,483.48,492.49333333333334,,,,2022-08-26 00:00:00+00:00
17,488.51,493.4433333333333,,,,2022-08-29 00:00:00+00:00
18,486.85,493.0391666666667,,,,2022-08-30 00:00:00+00:00
19,485.11,492.3633333333334,,,,2022-08-31 00:00:00+00:00
20,490.17,492.1875,,,,2022-09-01 00:00:00+00:00
21,481.99,491.4491666666667,,,,2022-09-02 00:00:00+00:00
22,477.0,490.2183333333334,,,,2022-09-06 00:00:00+00:00
23,485.02,488.67499999999995,,,,2022-09-07 00:00:00+00:00
24,489.35,487.20416666666665,,,,2022-09-08 00:00:00+00:00
25,493.6,487.23499999999996,487.6373076923077,,,2022-09-09 00:00:00+00:00
26,493.66,487.2566666666667,488.3588461538462,,,2022-09-12 00:00:00+00:00
27,480.56,486.27500000000003,488.5676923076923,,,2022-09-13 00:00:00+00:00
28,470.11,485.16083333333336,488.3519230769231,,,2022-09-14 00:00:00+00:00
29,485.33,484.8958333333333,488.40423076923076,,,2022-09-15 00:00:00+00:00
30,480.23,484.3441666666667,488.3619230769231,,,2022-09-16 00:00:00+00:00
31,479.99,483.9175,488.47269230769234,,,2022-09-19 00:00:00+00:00
32,475.47,482.69250000000005,487.8484615384615,,,2022-09-20 00:00:00+00:00
33,465.74,481.3383333333333,486.79153846153844,,,2022-09-21 00:00:00+00:00
34,462.88,480.16166666666663,485.66076923076923,,,2022-09-22 00:00:00+00:00
35,453.85,477.5641666666667,484.2376923076923,,,2022-09-23 00:00:00+00:00
36,448.14,474.12999999999994,482.5596153846154,,,2022-09-26 00:00:00+00:00
37,445.98,470.1616666666667,480.34576923076924,,,2022-09-27 00:00:00+00:00
38,453.1,466.7816666666667,478.2726923076923,,,2022-09-28 00:00:00+00:00
39,456.79,464.8008333333334,476.87115384615385,,,2022-09-29 00:00:00+00:00
40,454.24,463.4783333333333,475.365,,,2022-09-30 00:00:00+00:00
41,470.06,462.20583333333326,474.50807692307694,,,2022-10-03 00:00:00+00:00
42,479.23,462.1225,474.3446153846154,,,2022-10-04 00:00:00+00:00
43,478.8,462.02333333333337,473.97115384615387,,,2022-10-05 00:00:00+00:00
44,477.95,462.23,473.62884615384615,,,2022-10-06 00:00:00+00:00
45,467.06,462.3400000000001,472.93461538461537,,,2022-10-07 00:00:00+00:00
46,467.15,462.6958333333334,472.04923076923075,,,2022-10-10 00:00:00+00:00
47,470.73,464.10249999999996,471.61615384615385,,,2022-10-11 00:00:00+00:00
48,465.23,465.5266666666667,471.16346153846155,,,2022-10-12 00:00:00+00:00
49,474.14,467.8733333333334,470.74499999999995,478.69980000000004,,2022-10-13 00:00:00+00:00
50,470.77,469.3458333333333,470.03038461538466,478.6172,,2022-10-14 00:00:00+00:00
51,477.08,471.03666666666663,469.39500000000004,478.6562,,2022-10-17 00:00:00+00:00
52,478.27,473.0391666666667,468.80307692307696,478.7072,,2022-10-18 00:00:00+00:00
53,487.81,474.51833333333326,469.08192307692303,478.784,,2022-10-19 00:00:00+00:00
54,502.22,476.43416666666667,470.31692307692305,479.2018,,2022-10-20 00:00:00+00:00
55,511.04,479.12083333333334,471.3057692307693,479.8804,,2022-10-21 00:00:00+00:00
56,526.5,483.1666666666667,473.0853846153846,480.5764,,2022-10-24 00:00:00+00:00
57,523.95,487.90749999999997,474.7761538461539,481.191,,2022-10-25 00:00:00+00:00
58,533.57,493.44250000000005,477.01076923076926,482.0168,,2022-10-26 00:00:00+00:00
59,531.62,498.5166666666667,479.5446153846154,482.8322,,2022-10-27 00:00:00+00:00
60,543.65,505.0516666666667,482.6511538461539,483.86980000000005,,2022-10-28 00:00:00+00:00
61,546.77,511.1041666666667,486.225,484.73440000000005,,2022-10-31 00:00:00+00:00
62,544.53,517.2508333333334,489.9323076923077,485.485,,2022-11-01 00:00:00+00:00
63,538.12,522.3375,493.47615384615386,486.3828,,2022-11-02 00:00:00+00:00
64,533.86,526.9699999999999,496.58230769230767,487.19199999999995,,2022-11-03 00:00:00+00:00
65,526.66,530.2075,499.2696153846154,487.87839999999994,,2022-11-04 00:00:00+00:00
66,528.46,532.3941666666666,502.12423076923085,488.77799999999996,,2022-11-07 00:00:00+00:00
67,530.31,534.0,504.44153846153847,489.61400000000003,,2022-11-08 00:00:00+00:00
68,520.0,533.4583333333334,506.00961538461536,490.277,,2022-11-09 00:00:00+00:00
69,521.88,533.2858333333334,507.66653846153844,491.01240000000007,,2022-11-10 00:00:00+00:00
70,491.36,529.7683333333333,508.1823076923077,491.0362,,2022-11-11 00:00:00+00:00
71,490.8,526.3666666666667,509.09538461538466,491.21240000000006,,2022-11-14 00:00:00+00:00
72,479.01,520.98,509.5515384615385,491.25260000000003,,2022-11-15 00:00:00+00:00
73,476.14,515.0941666666666,509.75961538461536,491.075,,2022-11-16 00:00:00+00:00
74,477.01,509.4675,510.21269230769235,490.8282,,2022-11-17 00:00:00+00:00
75,495.32,505.9008333333333,511.0273076923077,490.86260000000004,,2022-11-18 00:00:00+00:00
76,499.91,503.0716666666667,512.1480769230769,490.98760000000004,,2022-11-21 00:00:00+00:00
77,505.06,501.2716666666667,513.2242307692308,491.4776,,2022-11-22 00:00:00+00:00
78,507.16,499.4966666666666,514.3353846153846,492.2186,,2022-11-23 00:00:00+00:00
79,513.86,498.12583333333333,515.3373076923077,492.7892,,2022-11-25 00:00:00+00:00
80,512.78,497.52416666666664,515.7434615384616,493.44020000000006,,2022-11-28 00:00:00+00:00
81,515.36,496.9808333333333,515.9096153846153,494.1476,,2022-11-29 00:00:00+00:00
82,532.92,500.44416666666666,516.1565384615385,495.29659999999996,,2022-11-30 00:00:00+00:00
83,525.25,503.315,516.2065384615385,496.4868,,2022-12-01 00:00:00+00:00
84,523.6,507.0308333333333,515.8230769230769,497.7012,,2022-12-02 00:00:00+00:00
85,522.34,510.8808333333334,515.4661538461539,499.07099999999997,,2022-12-05 00:00:00+00:00
86,528.4,515.1633333333333,514.8796153846154,500.67620000000005,,2022-12-06 00:00:00+00:00
87,529.9,518.045,514.2307692307693,502.35460000000006,,2022-12-07 00:00:00+00:00
88,529.12,520.4791666666666,513.6380769230769,503.875,,2022-12-08 00:00:00+00:00
89,524.92,522.1341666666667,513.1303846153846,505.23759999999993,,2022-12-09 00:00:00+00:00
90,534.18,524.3858333333334,513.1426923076923,506.83639999999997,,2022-12-12 00:00:00+00:00
91,519.32,524.8408333333333,512.8603846153846,507.8216,,2022-12-13 00:00:00+00:00
92,520.15,525.455,512.5407692307692,508.64,,2022-12-14 00:00:00+00:00
93,508.98,524.9233333333333,511.7203846153846,509.2436,,2022-12-15 00:00:00+00:00
94,502.05,522.3508333333333,511.03000000000003,509.7256,,2022-12-16 00:00:00+00:00
95,502.89,520.4875000000001,510.29961538461544,510.44219999999996,,2022-12-19 00:00:00+00:00
96,504.65,518.9083333333333,510.8107692307692,511.1922,,2022-12-20 00:00:00+00:00
97,510.84,517.9499999999999,511.5815384615384,511.99440000000004,,2022-12-21 00:00:00+00:00
98,510.06,516.4216666666667,512.7757692307692,512.8910000000001,,2022-12-22 00:00:00+00:00
99,514.29,515.1208333333333,514.243076923077,513.694,,2022-12-23 00:00:00+00:00
100,514.21,513.8783333333332,515.6738461538461,514.5628,,2022-12-27 00:00:00+00:00
101,512.68,512.8583333333332,516.3415384615384,515.2748,,2022-12-28 00:00:00+00:00
102,512.88,511.0833333333333,516.8403846153846,515.967,,2022-12-29 00:00:00+00:00
103,512.97,510.55416666666673,517.1446153846153,516.4702,,2022-12-30 00:00:00+00:00
104,502.2,509.05833333333334,516.9538461538461,516.4698000000001,,2023-01-03 00:00:00+00:00
105,485.44,507.09666666666664,515.8607692307692,515.9578,,2023-01-04 00:00:00+00:00
106,473.0,504.6758333333333,514.3307692307692,514.8878,,2023-01-05 00:00:00+00:00
107,475.48,502.39166666666665,512.796923076923,513.9184,,2023-01-06 00:00:00+00:00
108,470.71,499.56333333333333,510.40423076923076,512.6612,,2023-01-09 00:00:00+00:00
109,470.68,496.2166666666667,508.30538461538464,511.44239999999996,,2023-01-10 00:00:00+00:00
110,480.54,493.75666666666666,506.6492307692307,510.18019999999996,,2023-01-11 00:00:00+00:00
111,477.08,490.6558333333334,504.9084615384615,508.7864,,2023-01-12 00:00:00+00:00
112,483.0,488.055,503.16230769230765,507.55580000000003,,2023-01-13 00:00:00+00:00
113,480.96,485.4116666666667,501.28000000000003,506.4126,,2023-01-17 00:00:00+00:00
114,471.71,481.98083333333335,499.07192307692304,505.1696,,2023-01-18 00:00:00+00:00
115,480.22,479.2516666666666,497.35269230769234,504.24080000000004,,2023-01-19 00:00:00+00:00
116,479.49,477.3591666666666,495.24923076923073,503.2614,,2023-01-20 00:00:00+00:00
117,477.94,476.7341666666667,493.65769230769223,502.214,,2023-01-23 00:00:00+00:00
118,478.52,477.19416666666666,492.0565384615384,501.3844,,2023-01-24 00:00:00+00:00
119,495.59,478.86999999999995,491.54153846153844,500.8586,,2023-01-25 00:00:00+00:00
120,502.19,481.49333333333334,491.54692307692306,501.0752,,2023-01-26 00:00:00+00:00
121,492.53,483.3141666666666,491.1484615384615,501.10979999999995,,2023-01-27 00:00:00+00:00
122,489.08,484.0258333333333,490.54961538461544,501.31120000000004,,2023-01-30 00:00:00+00:00
123,499.99,485.93499999999995,490.13230769230773,501.7882,,2023-01-31 00:00:00+00:00
