,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,273.31,,,,,2022-08-04 00:00:00+00:00
1,270.74,,,,,2022-08-05 00:00:00+00:00
2,270.16,,,,,2022-08-08 00:00:00+00:00
3,265.63,,,,,2022-08-09 00:00:00+00:00
4,272.5,,,,,2022-08-10 00:00:00+00:00
5,270.36,,,,,2022-08-11 00:00:00+00:00
6,275.38,,,,,2022-08-12 00:00:00+00:00
7,276.37,,,,,2022-08-15 00:00:00+00:00
8,276.11,,,,,2022-08-16 00:00:00+00:00
9,276.52,,,,,2022-08-17 00:00:00+00:00
10,281.62,,,,,2022-08-18 00:00:00+00:00
11,273.28,273.49833333333333,,,,2022-08-19 00:00:00+00:00
12,265.27,272.8283333333333,,,,2022-08-22 00:00:00+00:00
13,265.56,272.39666666666665,,,,2022-08-23 00:00:00+00:00
14,265.43,272.0025,,,,2022-08-24 00:00:00+00:00
15,277.32,272.97666666666663,,,,2022-08-25 00:00:00+00:00
16,261.88,272.09166666666664,,,,2022-08-26 00:00:00+00:00
17,259.84,271.215,,,,2022-08-29 00:00:00+00:00
18,257.11,269.6925,,,,2022-08-30 00:00:00+00:00
19,254.38,267.85999999999996,,,,2022-08-31 00:00:00+00:00
20,251.18,265.78249999999997,,,,2022-09-01 00:00:00+00:00
21,248.32,263.4325,,,,2022-09-02 00:00:00+00:00
22,246.15,260.47666666666663,,,,2022-09-06 00:00:00+00:00
23,247.99,258.3691666666667,,,,2022-09-07 00:00:00+00:00
24,247.94,256.925,,,,2022-09-08 00:00:00+00:00
25,252.9,255.87,264.74038461538464,,,2022-09-09 00:00:00+00:00
26,255.42,255.03583333333336,264.0523076923077,,,2022-09-12 00:00:00+00:00
27,245.26,252.36416666666665,263.0723076923077,,,2022-09-13 00:00:00+00:00
28,246.14,251.0525,262.1484615384615,,,2022-09-14 00:00:00+00:00
29,244.78,249.79749999999999,261.34653846153844,,,2022-09-15 00:00:00+00:00
30,239.38,248.32000000000002,260.0726923076923,,,2022-09-16 00:00:00+00:00
31,241.66,247.26,258.9688461538462,,,2022-09-19 00:00:00+00:00
32,239.5,246.28666666666666,257.5888461538462,,,2022-09-20 00:00:00+00:00
33,237.86,245.415,256.10769230769233,,,2022-09-21 00:00:00+00:00
34,234.91,244.47833333333332,254.5230769230769,,,2022-09-22 00:00:00+00:00
35,229.02,242.8975,252.69615384615386,,,2022-09-23 00:00:00+00:00
36,232.46,241.6075,250.80538461538464,,,2022-09-26 00:00:00+00:00
37,226.08,239.37249999999997,248.98999999999998,,,2022-09-27 00:00:00+00:00
38,228.14,237.09916666666666,247.56192307692305,,,2022-09-28 00:00:00+00:00
39,219.35,234.94000000000003,245.78461538461536,,,2022-09-29 00:00:00+00:00
