,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,99.82,,,,,2022-08-04 00:00:00+00:00
1,107.01,,,,,2022-08-05 00:00:00+00:00
2,107.19,,,,,2022-08-08 00:00:00+00:00
3,108.24,,,,,2022-08-09 00:00:00+00:00
4,108.99,,,,,2022-08-10 00:00:00+00:00
5,113.54,,,,,2022-08-11 00:00:00+00:00
6,114.49,,,,,2022-08-12 00:00:00+00:00
7,112.28,,,,,2022-08-15 00:00:00+00:00
8,112.41,,,,,2022-08-16 00:00:00+00:00
9,113.69,,,,,2022-08-17 00:00:00+00:00
10,118.99,,,,,2022-08-18 00:00:00+00:00
11,118.75,111.28333333333335,,,,2022-08-19 00:00:00+00:00
12,118.9,112.87333333333333,,,,2022-08-22 00:00:00+00:00
13,121.78,114.10416666666667,,,,2022-08-23 00:00:00+00:00
14,123.9,115.49666666666667,,,,2022-08-24 00:00:00+00:00
15,125.22,116.91166666666668,,,,2022-08-25 00:00:00+00:00
16,124.57,118.21,,,,2022-08-26 00:00:00+00:00
17,126.57,119.29583333333333,,,,2022-08-29 00:00:00+00:00
18,121.86,119.91000000000001,,,,2022-08-30 00:00:00+00:00
19,121.3,120.66166666666668,,,,2022-08-31 00:00:00+00:00
20,118.71,121.18666666666667,,,,2022-09-01 00:00:00+00:00
21,121.52,121.83916666666666,,,,2022-09-02 00:00:00+00:00
22,120.31,121.94916666666666,,,,2022-09-06 00:00:00+00:00
23,117.18,121.81833333333333,,,,2022-09-07 00:00:00+00:00
24,118.31,121.76916666666666,,,,2022-09-08 00:00:00+00:00
25,123.36,121.90083333333332,116.88038461538461,,,2022-09-09 00:00:00+00:00
26,126.41,122.11,117.90307692307692,,,2022-09-12 00:00:00+00:00
27,122.91,121.9175,118.51461538461538,,,2022-09-13 00:00:00+00:00
28,126.73,122.09750000000001,119.26615384615386,,,2022-09-14 00:00:00+00:00
29,122.56,121.76333333333334,119.81692307692309,,,2022-09-15 00:00:00+00:00
30,121.45,121.72916666666667,120.29615384615384,,,2022-09-16 00:00:00+00:00
31,120.43,121.65666666666665,120.56115384615386,,,2022-09-19 00:00:00+00:00
32,119.63,121.73333333333333,120.75884615384614,,,2022-09-20 00:00:00+00:00
33,118.24,121.46,120.98807692307693,,,2022-09-21 00:00:00+00:00
34,118.35,121.29666666666667,121.21653846153846,,,2022-09-22 00:00:00+00:00
35,109.12,120.625,121.04076923076923,,,2022-09-23 00:00:00+00:00
36,105.18,119.53083333333332,120.50961538461539,,,2022-09-26 00:00:00+00:00
37,105.45,118.03833333333334,119.99807692307692,,,2022-09-27 00:00:00+00:00
38,111.73,116.815,119.72230769230768,,,2022-09-28 00:00:00+00:00
39,112.97,115.98666666666666,119.38346153846155,,,2022-09-29 00:00:00+00:00
40,111.73,114.73666666666666,118.91538461538462,,,2022-09-30 00:00:00+00:00
41,119.93,114.5175,118.71192307692309,,,2022-10-03 00:00:00+00:00
42,125.17,114.82749999999999,118.735,,,2022-10-04 00:00:00+00:00
43,126.08,115.29833333333335,118.71615384615384,,,2022-10-05 00:00:00+00:00
44,127.53,115.95666666666666,118.93423076923077,,,2022-10-06 00:00:00+00:00
45,127.45,116.72416666666668,119.17076923076924,,,2022-10-07 00:00:00+00:00
46,123.7,117.17000000000002,119.3626923076923,,,2022-10-10 00:00:00+00:00
47,122.7,118.30166666666666,119.40807692307693,,,2022-10-11 00:00:00+00:00
