,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,697.0,,,,,2022-08-04 00:00:00+00:00
1,697.51,,,,,2022-08-05 00:00:00+00:00
2,697.02,,,,,2022-08-08 00:00:00+00:00
3,697.75,,,,,2022-08-09 00:00:00+00:00
4,709.46,,,,,2022-08-10 00:00:00+00:00
5,689.31,,,,,2022-08-11 00:00:00+00:00
6,704.56,,,,,2022-08-12 00:00:00+00:00
7,714.79,,,,,2022-08-15 00:00:00+00:00
8,712.04,,,,,2022-08-16 00:00:00+00:00
9,706.9,,,,,2022-08-17 00:00:00+00:00
10,701.42,,,,,2022-08-18 00:00:00+00:00
11,696.79,702.0458333333332,,,,2022-08-19 00:00:00+00:00
12,675.35,700.2416666666667,,,,2022-08-22 00:00:00+00:00
13,667.78,697.7641666666667,,,,2022-08-23 00:00:00+00:00
14,671.47,695.6350000000001,,,,2022-08-24 00:00:00+00:00
15,689.53,694.9499999999999,,,,2022-08-25 00:00:00+00:00
16,670.74,691.7233333333334,,,,2022-08-26 00:00:00+00:00
17,659.33,689.2249999999999,,,,2022-08-29 00:00:00+00:00
18,655.89,685.1691666666667,,,,2022-08-30 00:00:00+00:00
19,657.37,680.3841666666667,,,,2022-08-31 00:00:00+00:00
20,653.3,675.4891666666666,,,,2022-09-01 00:00:00+00:00
21,631.16,669.1774999999999,,,,2022-09-02 00:00:00+00:00
22,631.84,663.3791666666666,,,,2022-09-06 00:00:00+00:00
23,647.2,659.2466666666668,,,,2022-09-07 00:00:00+00:00
24,650.9,657.2091666666666,,,,2022-09-08 00:00:00+00:00
25,657.89,656.3850000000001,678.626923076923,,,2022-09-09 00:00:00+00:00
26,665.47,655.885,677.4142307692308,,,2022-09-12 00:00:00+00:00
27,636.27,651.4466666666667,675.0588461538463,,,2022-09-13 00:00:00+00:00
28,626.68,647.775,672.3534615384616,,,2022-09-14 00:00:00+00:00
29,616.32,644.1908333333333,669.2215384615386,,,2022-09-15 00:00:00+00:00
30,624.75,641.5958333333334,665.9634615384615,,,2022-09-16 00:00:00+00:00
31,625.96,638.9783333333334,663.5269230769231,,,2022-09-19 00:00:00+00:00
32,616.5,635.9116666666667,660.14,,,2022-09-20 00:00:00+00:00
