,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,148.71,,,,,2022-08-04 00:00:00+00:00
1,148.65,,,,,2022-08-05 00:00:00+00:00
2,147.93,,,,,2022-08-08 00:00:00+00:00
3,146.41,,,,,2022-08-09 00:00:00+00:00
4,149.34,,,,,2022-08-10 00:00:00+00:00
5,149.45,,,,,2022-08-11 00:00:00+00:00
6,152.44,,,,,2022-08-12 00:00:00+00:00
7,152.42,,,,,2022-08-15 00:00:00+00:00
8,153.1,,,,,2022-08-16 00:00:00+00:00
9,151.99,,,,,2022-08-17 00:00:00+00:00
10,153.35,,,,,2022-08-18 00:00:00+00:00
11,150.84,150.38583333333335,,,,2022-08-19 00:00:00+00:00
12,146.75,150.2225,,,,2022-08-22 00:00:00+00:00
13,146.31,150.0275,,,,2022-08-23 00:00:00+00:00
14,145.52,149.82666666666668,,,,2022-08-24 00:00:00+00:00
15,148.05,149.96333333333334,,,,2022-08-25 00:00:00+00:00
16,141.08,149.275,,,,2022-08-26 00:00:00+00:00
17,140.71,148.54666666666665,,,,2022-08-29 00:00:00+00:00
18,139.24,147.44666666666666,,,,2022-08-30 00:00:00+00:00
19,136.64,146.1316666666667,,,,2022-08-31 00:00:00+00:00
20,138.77,144.9375,,,,2022-09-01 00:00:00+00:00
21,137.3,143.71333333333334,,,,2022-09-02 00:00:00+00:00
22,138.46,142.4725,,,,2022-09-06 00:00:00+00:00
23,141.27,141.67499999999998,,,,2022-09-07 00:00:00+00:00
24,143.24,141.3825,,,,2022-09-08 00:00:00+00:00
25,145.71,141.3325,145.91076923076923,,,2022-09-09 00:00:00+00:00
26,147.61,141.5066666666667,145.86846153846153,,,2022-09-12 00:00:00+00:00
27,142.51,141.04500000000002,145.6323076923077,,,2022-09-13 00:00:00+00:00
28,143.1,141.21333333333334,145.44653846153847,,,2022-09-14 00:00:00+00:00
29,141.11,141.24666666666667,145.24269230769232,,,2022-09-15 00:00:00+00:00
30,138.27,141.16583333333335,144.81692307692308,,,2022-09-16 00:00:00+00:00
31,140.22,141.46416666666667,144.46192307692306,,,2022-09-19 00:00:00+00:00
32,139.18,141.49833333333333,143.9519230769231,,,2022-09-20 00:00:00+00:00
33,137.83,141.54250000000002,143.39076923076925,,,2022-09-21 00:00:00+00:00
34,135.13,141.26500000000001,142.6996153846154,,,2022-09-22 00:00:00+00:00
35,134.14,140.67083333333335,142.01307692307694,,,2022-09-23 00:00:00+00:00
36,133.53,139.86166666666668,141.25076923076924,,,2022-09-26 00:00:00+00:00
