,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,104.85,,,,,2022-08-04 00:00:00+00:00
1,106.12,,,,,2022-08-05 00:00:00+00:00
2,105.46,,,,,2022-08-08 00:00:00+00:00
3,101.44,,,,,2022-08-09 00:00:00+00:00
4,103.86,,,,,2022-08-10 00:00:00+00:00
5,103.92,,,,,2022-08-11 00:00:00+00:00
6,104.8,,,,,2022-08-12 00:00:00+00:00
7,104.74,,,,,2022-08-15 00:00:00+00:00
8,102.28,,,,,2022-08-16 00:00:00+00:00
9,100.53,,,,,2022-08-17 00:00:00+00:00
10,99.51,,,,,2022-08-18 00:00:00+00:00
11,98.55,103.005,,,,2022-08-19 00:00:00+00:00
12,95.87,102.25666666666667,,,,2022-08-22 00:00:00+00:00
13,94.15,101.25916666666666,,,,2022-08-23 00:00:00+00:00
14,94.96,100.38416666666666,,,,2022-08-24 00:00:00+00:00
15,96.65,99.98500000000001,,,,2022-08-25 00:00:00+00:00
16,91.24,98.93333333333334,,,,2022-08-26 00:00:00+00:00
17,90.36,97.80333333333333,,,,2022-08-29 00:00:00+00:00
18,90.43,96.60583333333334,,,,2022-08-30 00:00:00+00:00
19,90.1,95.38583333333332,,,,2022-08-31 00:00:00+00:00
20,90.12,94.3725,,,,2022-09-01 00:00:00+00:00
21,88.69,93.38583333333334,,,,2022-09-02 00:00:00+00:00
22,89.06,92.515,,,,2022-09-06 00:00:00+00:00
23,91.98,91.96750000000002,,,,2022-09-07 00:00:00+00:00
24,95.52,91.93833333333333,,,,2022-09-08 00:00:00+00:00
25,97.25,92.19666666666666,97.40153846153846,,,2022-09-09 00:00:00+00:00
26,97.36,92.39666666666666,97.11346153846155,,,2022-09-12 00:00:00+00:00
27,94.28,92.19916666666666,96.65807692307693,,,2022-09-13 00:00:00+00:00
28,94.12,92.43916666666667,96.22192307692308,,,2022-09-14 00:00:00+00:00
29,94.88,92.81583333333333,95.96961538461538,,,2022-09-15 00:00:00+00:00
30,93.35,93.05916666666667,95.5653846153846,,,2022-09-16 00:00:00+00:00
31,88.83,92.95333333333333,94.98499999999999,,,2022-09-19 00:00:00+00:00
32,87.19,92.70916666666666,94.3076923076923,,,2022-09-20 00:00:00+00:00
33,85.22,92.42,93.55692307692308,,,2022-09-21 00:00:00+00:00
34,84.17,92.0125,92.86038461538463,,,2022-09-22 00:00:00+00:00
35,84.74,91.40916666666668,92.25307692307692,,,2022-09-23 00:00:00+00:00
36,83.59,90.415,91.64076923076922,,,2022-09-26 00:00:00+00:00
37,82.37,89.17500000000001,91.01846153846154,,,2022-09-27 00:00:00+00:00
38,84.24,88.08166666666666,90.57115384615386,,,2022-09-28 00:00:00+00:00
39,83.83,87.21083333333333,90.17423076923077,,,2022-09-29 00:00:00+00:00
40,82.63,86.25333333333333,89.69999999999999,,,2022-09-30 00:00:00+00:00
41,85.46,85.46833333333332,89.26961538461538,,,2022-10-03 00:00:00+00:00
42,87.18,84.95416666666667,89.11346153846155,,,2022-10-04 00:00:00+00:00
43,87.44,84.83833333333332,89.00115384615385,,,2022-10-05 00:00:00+00:00
44,86.48,84.77916666666665,88.84923076923079,,,2022-10-06 00:00:00+00:00
45,84.23,84.69666666666667,88.62346153846154,,,2022-10-07 00:00:00+00:00
46,82.75,84.57833333333333,88.34,,,2022-10-10 00:00:00+00:00
47,82.15,84.3625,88.08846153846153,,,2022-10-11 00:00:00+00:00
48,82.65,84.28416666666668,87.84192307692307,,,2022-10-12 00:00:00+00:00
49,84.22,84.43833333333333,87.54346153846154,92.316,,2022-10-13 00:00:00+00:00
50,82.42,84.28666666666668,87.03961538461537,91.8674,,2022-10-14 00:00:00+00:00
