,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,45.06,,,,,2022-08-04 00:00:00+00:00
1,44.77,,,,,2022-08-05 00:00:00+00:00
2,44.98,,,,,2022-08-08 00:00:00+00:00
3,45.4,,,,,2022-08-09 00:00:00+00:00
4,45.53,,,,,2022-08-10 00:00:00+00:00
5,45.7,,,,,2022-08-11 00:00:00+00:00
6,46.17,,,,,2022-08-12 00:00:00+00:00
7,46.7,,,,,2022-08-15 00:00:00+00:00
8,46.69,,,,,2022-08-16 00:00:00+00:00
9,46.25,,,,,2022-08-17 00:00:00+00:00
10,46.31,,,,,2022-08-18 00:00:00+00:00
11,46.14,45.80833333333334,,,,2022-08-19 00:00:00+00:00
12,45.35,45.8325,,,,2022-08-22 00:00:00+00:00
13,45.07,45.85750000000001,,,,2022-08-23 00:00:00+00:00
14,45.49,45.9,,,,2022-08-24 00:00:00+00:00
15,45.82,45.935,,,,2022-08-25 00:00:00+00:00
16,44.71,45.86666666666667,,,,2022-08-26 00:00:00+00:00
17,45.0,45.80833333333334,,,,2022-08-29 00:00:00+00:00
18,44.06,45.6325,,,,2022-08-30 00:00:00+00:00
19,43.91,45.4,,,,2022-08-31 00:00:00+00:00
20,44.45,45.21333333333334,,,,2022-09-01 00:00:00+00:00
21,44.08,45.0325,,,,2022-09-02 00:00:00+00:00
22,43.89,44.83083333333334,,,,2022-09-06 00:00:00+00:00
23,45.11,44.745000000000005,,,,2022-09-07 00:00:00+00:00
24,45.37,44.74666666666667,,,,2022-09-08 00:00:00+00:00
25,45.84,44.810833333333335,45.301923076923075,,,2022-09-09 00:00:00+00:00
26,46.11,44.862500000000004,45.3423076923077,,,2022-09-12 00:00:00+00:00
27,44.02,44.7125,45.31346153846154,,,2022-09-13 00:00:00+00:00
28,44.35,44.6825,45.28923076923077,,,2022-09-14 00:00:00+00:00
29,43.24,44.53583333333333,45.20615384615384,,,2022-09-15 00:00:00+00:00
30,43.21,44.465,45.11692307692307,,,2022-09-16 00:00:00+00:00
31,43.39,44.421666666666674,45.028076923076924,,,2022-09-19 00:00:00+00:00
32,42.78,44.2825,44.89769230769231,,,2022-09-20 00:00:00+00:00
33,42.1,44.1175,44.72076923076923,,,2022-09-21 00:00:00+00:00
34,41.68,43.93333333333334,44.528076923076924,,,2022-09-22 00:00:00+00:00
35,41.67,43.64666666666667,44.35192307692308,,,2022-09-23 00:00:00+00:00
36,40.58,43.2475,44.13153846153846,,,2022-09-26 00:00:00+00:00
37,40.15,42.77333333333333,43.901153846153846,,,2022-09-27 00:00:00+00:00
38,39.68,42.2375,43.683076923076925,,,2022-09-28 00:00:00+00:00
39,37.75,41.714999999999996,43.40153846153846,,,2022-09-29 00:00:00+00:00
40,37.46,41.14083333333333,43.0926923076923,,,2022-09-30 00:00:00+00:00
41,38.48,40.744166666666665,42.81038461538461,,,2022-10-03 00:00:00+00:00
42,40.01,40.4775,42.62961538461538,,,2022-10-04 00:00:00+00:00
43,38.7,40.086666666666666,42.38730769230769,,,2022-10-05 00:00:00+00:00
44,37.76,39.66833333333333,42.144999999999996,,,2022-10-06 00:00:00+00:00
45,36.96,39.24,41.877692307692314,,,2022-10-07 00:00:00+00:00
46,37.81,38.9175,41.62230769230769,,,2022-10-10 00:00:00+00:00
47,37.47,38.5675,41.36807692307692,,,2022-10-11 00:00:00+00:00
48,35.96,38.1825,41.06307692307693,,,2022-10-12 00:00:00+00:00
49,37.23,37.939166666666665,40.76,42.928000000000004,,2022-10-13 00:00:00+00:00
50,36.59,37.681666666666665,40.42230769230769,42.75860000000001,,2022-10-14 00:00:00+00:00
51,37.1,37.627500000000005,40.08615384615385,42.6052,,2022-10-17 00:00:00+00:00
52,37.56,37.63583333333333,39.75730769230769,42.4568,,2022-10-18 00:00:00+00:00
53,36.85,37.5,39.48153846153846,42.2858,,2022-10-19 00:00:00+00:00
54,35.54,37.127500000000005,39.14269230769231,42.086000000000006,,2022-10-20 00:00:00+00:00
55,36.72,36.9625,38.89192307692308,41.906400000000005,,2022-10-21 00:00:00+00:00
56,36.87,36.88833333333333,38.64807692307692,41.7204,,2022-10-24 00:00:00+00:00
57,37.76,36.955000000000005,38.43153846153846,41.541599999999995,,2022-10-25 00:00:00+00:00
58,37.61,36.93833333333333,38.232692307692304,41.36,,2022-10-26 00:00:00+00:00
59,37.7,36.9575,38.06346153846154,41.18899999999999,,2022-10-27 00:00:00+00:00
60,38.76,37.19083333333334,37.951153846153844,41.038000000000004,,2022-10-28 00:00:00+00:00
61,38.59,37.30416666666667,37.83269230769231,40.887,,2022-10-31 00:00:00+00:00
62,38.76,37.485,37.76269230769231,40.7552,,2022-11-01 00:00:00+00:00
63,38.04,37.56333333333333,37.681538461538466,40.6146,,2022-11-02 00:00:00+00:00
64,36.96,37.51333333333333,37.57692307692308,40.444,,2022-11-03 00:00:00+00:00
65,37.18,37.54083333333333,37.555,40.2712,,2022-11-04 00:00:00+00:00
66,36.68,37.63583333333333,37.525000000000006,40.1106,,2022-11-07 00:00:00+00:00
67,37.71,37.718333333333334,37.495384615384616,39.9648,,2022-11-08 00:00:00+00:00
68,37.69,37.78666666666666,37.40615384615385,39.837399999999995,,2022-11-09 00:00:00+00:00
69,39.0,37.88999999999999,37.417692307692306,39.739200000000004,,2022-11-10 00:00:00+00:00
70,39.11,38.015,37.46961538461539,39.632400000000004,,2022-11-11 00:00:00+00:00
71,38.06,38.044999999999995,37.511923076923075,39.512,,2022-11-14 00:00:00+00:00
72,38.24,38.001666666666665,37.52846153846154,39.399,,2022-11-15 00:00:00+00:00
73,38.06,37.9575,37.551153846153845,39.257999999999996,,2022-11-16 00:00:00+00:00
74,37.48,37.850833333333334,37.60961538461538,39.1002,,2022-11-17 00:00:00+00:00
75,38.58,37.895833333333336,37.66153846153846,38.955,,2022-11-18 00:00:00+00:00
76,38.7,38.04083333333333,37.74269230769231,38.806799999999996,,2022-11-21 00:00:00+00:00
77,39.45,38.23,37.83307692307692,38.7154,,2022-11-22 00:00:00+00:00
78,39.87,38.49583333333333,37.92192307692308,38.625800000000005,,2022-11-23 00:00:00+00:00
79,40.07,38.6925,38.04576923076923,38.562400000000004,,2022-11-25 00:00:00+00:00
80,40.23,38.90416666666666,38.22615384615385,38.5028,,2022-11-28 00:00:00+00:00
81,40.0,38.987500000000004,38.3523076923077,38.435,,2022-11-29 00:00:00+00:00
82,41.37,39.17583333333334,38.52538461538462,38.4068,,2022-11-30 00:00:00+00:00
83,41.53,39.465,38.67038461538462,38.3954,,2022-12-01 00:00:00+00:00
84,41.45,39.7325,38.81807692307692,38.3908,,2022-12-02 00:00:00+00:00
85,41.75,40.04,38.973846153846154,38.392399999999995,,2022-12-05 00:00:00+00:00
86,42.87,40.48916666666667,39.13192307692307,38.4382,,2022-12-06 00:00:00+00:00
87,42.31,40.800000000000004,39.275,38.4814,,2022-12-07 00:00:00+00:00
88,41.77,41.05583333333333,39.39076923076922,38.5232,,2022-12-08 00:00:00+00:00
89,41.42,41.220000000000006,39.52076923076923,38.5966,,2022-12-09 00:00:00+00:00
90,42.5,41.43916666666667,39.73384615384615,38.6974,,2022-12-12 00:00:00+00:00
91,42.54,41.645,39.940000000000005,38.778600000000004,,2022-12-13 00:00:00+00:00
92,42.82,41.86083333333334,40.176153846153845,38.8348,,2022-12-14 00:00:00+00:00
93,42.38,42.05916666666667,40.35576923076923,38.9084,,2022-12-15 00:00:00+00:00
94,41.93,42.10583333333333,40.518846153846155,38.9918,,2022-12-16 00:00:00+00:00
95,41.77,42.12583333333334,40.62538461538462,39.087999999999994,,2022-12-19 00:00:00+00:00
96,42.06,42.17666666666667,40.738846153846154,39.173,,2022-12-20 00:00:00+00:00
97,42.63,42.25,40.91461538461538,39.276199999999996,,2022-12-21 00:00:00+00:00
98,42.52,42.22083333333333,41.07923076923077,39.407399999999996,,2022-12-22 00:00:00+00:00
99,43.04,42.281666666666666,41.27076923076923,39.523599999999995,,2022-12-23 00:00:00+00:00
100,43.15,42.39666666666667,41.488846153846154,39.6548,,2022-12-27 00:00:00+00:00
101,42.94,42.52333333333333,41.65653846153847,39.77160000000001,,2022-12-28 00:00:00+00:00
102,43.13,42.57583333333333,41.82692307692308,39.882999999999996,,2022-12-29 00:00:00+00:00
103,43.23,42.63333333333333,41.972307692307695,40.0106,,2022-12-30 00:00:00+00:00
104,43.16,42.66166666666667,42.098846153846154,40.163000000000004,,2023-01-03 00:00:00+00:00
105,43.73,42.774166666666666,42.239615384615384,40.303200000000004,,2023-01-04 00:00:00+00:00
106,42.78,42.845,42.33769230769231,40.4214,,2023-01-05 00:00:00+00:00
107,43.67,43.00333333333333,42.478846153846156,40.5396,,2023-01-06 00:00:00+00:00
108,44.15,43.1775,42.58576923076923,40.6704,,2023-01-09 00:00:00+00:00
109,43.69,43.265833333333326,42.66884615384616,40.7902,,2023-01-10 00:00:00+00:00
110,44.14,43.40083333333334,42.7723076923077,40.897800000000004,,2023-01-11 00:00:00+00:00
111,43.38,43.42916666666667,42.835,40.99360000000001,,2023-01-12 00:00:00+00:00
112,43.38,43.44833333333333,42.854615384615386,41.086000000000006,,2023-01-13 00:00:00+00:00
113,43.16,43.46666666666667,42.88730769230769,41.1884,,2023-01-17 00:00:00+00:00
114,42.23,43.39166666666667,42.905,41.293800000000005,,2023-01-18 00:00:00+00:00
115,42.04,43.2925,42.92884615384615,41.391000000000005,,2023-01-19 00:00:00+00:00
116,42.34,43.22416666666666,42.92269230769231,41.5042,,2023-01-20 00:00:00+00:00
117,41.82,43.065,42.894999999999996,41.5864,,2023-01-23 00:00:00+00:00
118,41.51,42.95916666666667,42.84461538461539,41.6628,,2023-01-24 00:00:00+00:00
119,41.42,42.77166666666667,42.80769230769231,41.7112,,2023-01-25 00:00:00+00:00
120,41.6,42.55916666666666,42.795,41.761,,2023-01-26 00:00:00+00:00
121,41.69,42.3925,42.791923076923084,41.8336,,2023-01-27 00:00:00+00:00
122,41.75,42.193333333333335,42.78,41.90379999999999,,2023-01-30 00:00:00+00:00
123,42.19,42.094166666666666,42.76307692307693,41.986399999999996,,2023-01-31 00:00:00+00:00
124,42.3,42.00416666666667,42.75461538461539,42.0828,,2023-02-01 00:00:00+00:00
125,41.89,41.89833333333333,42.710384615384605,42.148999999999994,,2023-02-02 00:00:00+00:00
126,40.9,41.7875,42.62384615384615,42.193000000000005,,2023-02-03 00:00:00+00:00
127,40.96,41.6975,42.54769230769231,42.2232,,2023-02-06 00:00:00+00:00
