,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,28.76,,,,,2022-08-04 00:00:00+00:00
1,30.27,,,,,2022-08-05 00:00:00+00:00
2,30.62,,,,,2022-08-08 00:00:00+00:00
3,30.05,,,,,2022-08-09 00:00:00+00:00
4,31.4,,,,,2022-08-10 00:00:00+00:00
5,31.67,,,,,2022-08-11 00:00:00+00:00
6,31.62,,,,,2022-08-12 00:00:00+00:00
7,30.5,,,,,2022-08-15 00:00:00+00:00
8,31.39,,,,,2022-08-16 00:00:00+00:00
9,30.25,,,,,2022-08-17 00:00:00+00:00
10,31.23,,,,,2022-08-18 00:00:00+00:00
11,30.45,30.684166666666666,,,,2022-08-19 00:00:00+00:00
12,29.86,30.775833333333335,,,,2022-08-22 00:00:00+00:00
13,31.79,30.9025,,,,2022-08-23 00:00:00+00:00
14,31.32,30.960833333333337,,,,2022-08-24 00:00:00+00:00
15,33.23,31.225833333333338,,,,2022-08-25 00:00:00+00:00
16,32.19,31.291666666666668,,,,2022-08-26 00:00:00+00:00
17,31.5,31.277500000000003,,,,2022-08-29 00:00:00+00:00
18,29.76,31.122500000000002,,,,2022-08-30 00:00:00+00:00
19,29.6,31.0475,,,,2022-08-31 00:00:00+00:00
20,28.09,30.772499999999997,,,,2022-09-01 00:00:00+00:00
21,28.3,30.61,,,,2022-09-02 00:00:00+00:00
22,28.12,30.350833333333338,,,,2022-09-06 00:00:00+00:00
23,28.38,30.178333333333338,,,,2022-09-07 00:00:00+00:00
24,30.62,30.241666666666664,,,,2022-09-08 00:00:00+00:00
25,32.17,30.27333333333333,30.505384615384614,,,2022-09-09 00:00:00+00:00
26,32.17,30.344166666666666,30.63653846153846,,,2022-09-12 00:00:00+00:00
27,31.05,30.162499999999998,30.66653846153846,,,2022-09-13 00:00:00+00:00
28,30.03,29.982499999999998,30.643846153846155,,,2022-09-14 00:00:00+00:00
29,29.78,29.839166666666667,30.633461538461535,,,2022-09-15 00:00:00+00:00
30,29.33,29.80333333333333,30.553846153846152,,,2022-09-16 00:00:00+00:00
31,30.49,29.8775,30.50846153846154,,,2022-09-19 00:00:00+00:00
32,29.72,30.013333333333332,30.435384615384617,,,2022-09-20 00:00:00+00:00
33,28.1,29.996666666666666,30.343076923076925,,,2022-09-21 00:00:00+00:00
34,28.35,30.015833333333337,30.226153846153846,,,2022-09-22 00:00:00+00:00
