,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,236.1,,,,,2022-08-04 00:00:00+00:00
1,234.89,,,,,2022-08-05 00:00:00+00:00
2,229.02,,,,,2022-08-08 00:00:00+00:00
3,224.97,,,,,2022-08-09 00:00:00+00:00
4,232.45,,,,,2022-08-10 00:00:00+00:00
5,229.24,,,,,2022-08-11 00:00:00+00:00
6,230.68,,,,,2022-08-12 00:00:00+00:00
7,233.21,,,,,2022-08-15 00:00:00+00:00
8,238.22,,,,,2022-08-16 00:00:00+00:00
9,233.42,,,,,2022-08-17 00:00:00+00:00
10,234.87,,,,,2022-08-18 00:00:00+00:00
11,231.73,232.4,,,,2022-08-19 00:00:00+00:00
12,223.57,231.35583333333332,,,,2022-08-22 00:00:00+00:00
13,225.26,230.55333333333337,,,,2022-08-23 00:00:00+00:00
14,226.06,230.30666666666664,,,,2022-08-24 00:00:00+00:00
15,228.03,230.56166666666664,,,,2022-08-25 00:00:00+00:00
16,218.16,229.37083333333337,,,,2022-08-26 00:00:00+00:00
17,216.73,228.32833333333335,,,,2022-08-29 00:00:00+00:00
18,213.48,226.895,,,,2022-08-30 00:00:00+00:00
19,210.81,225.02833333333334,,,,2022-08-31 00:00:00+00:00
20,211.86,222.83166666666662,,,,2022-09-01 00:00:00+00:00
21,208.72,220.77333333333334,,,,2022-09-02 00:00:00+00:00
22,204.17,218.215,,,,2022-09-06 00:00:00+00:00
23,201.62,215.70583333333332,,,,2022-09-07 00:00:00+00:00
24,202.87,213.98083333333332,,,,2022-09-08 00:00:00+00:00
25,209.07,212.63166666666666,222.66192307692307,,,2022-09-09 00:00:00+00:00
26,213.84,211.61333333333332,221.80576923076922,,,2022-09-12 00:00:00+00:00
27,205.34,209.7225,220.66923076923078,,,2022-09-13 00:00:00+00:00
28,205.01,208.62666666666667,219.7457692307692,,,2022-09-14 00:00:00+00:00
29,204.87,207.63833333333332,218.9726923076923,,,2022-09-15 00:00:00+00:00
30,161.02,203.26666666666665,216.2253846153846,,,2022-09-16 00:00:00+00:00
31,162.9,199.27416666666667,213.67384615384614,,,2022-09-19 00:00:00+00:00
32,157.4,194.73583333333337,210.8553846153846,,,2022-09-20 00:00:00+00:00
33,153.25,190.11333333333334,207.78,,,2022-09-21 00:00:00+00:00
34,154.54,185.9775,204.56153846153848,,,2022-09-22 00:00:00+00:00
35,149.33,181.62,201.3273076923077,,,2022-09-23 00:00:00+00:00
36,142.9,176.62250000000003,197.79,,,2022-09-26 00:00:00+00:00
37,144.95,171.27916666666667,194.4523076923077,,,2022-09-27 00:00:00+00:00
38,149.99,165.95833333333334,191.62230769230771,,,2022-09-28 00:00:00+00:00
39,152.31,161.53916666666666,188.81653846153844,,,2022-09-29 00:00:00+00:00
40,148.47,156.82750000000001,185.8323076923077,,,2022-09-30 00:00:00+00:00
41,151.46,152.37666666666667,182.88730769230767,,,2022-10-03 00:00:00+00:00
42,159.12,152.21833333333333,180.61653846153845,,,2022-10-04 00:00:00+00:00
43,156.87,151.71583333333334,178.31423076923076,,,2022-10-05 00:00:00+00:00
44,155.19,151.53166666666667,176.0723076923077,,,2022-10-06 00:00:00+00:00
45,154.41,151.62833333333333,173.90307692307695,,,2022-10-07 00:00:00+00:00
46,153.21,151.5175,171.6473076923077,,,2022-10-10 00:00:00+00:00
47,152.08,151.74666666666667,169.4688461538462,,,2022-10-11 00:00:00+00:00
48,152.89,152.57916666666668,167.49653846153848,,,2022-10-12 00:00:00+00:00
49,156.25,153.52083333333334,165.7515384615385,193.7362,,2022-10-13 00:00:00+00:00
50,156.96,154.10166666666666,163.98576923076922,192.1534,,2022-10-14 00:00:00+00:00
51,156.98,154.49083333333334,161.9823076923077,190.5952,,2022-10-17 00:00:00+00:00
52,156.3,155.14333333333335,159.76923076923077,189.14079999999998,,2022-10-18 00:00:00+00:00
53,152.96,155.26833333333335,157.7546153846154,187.7006,,2022-10-19 00:00:00+00:00
54,150.14,154.52,155.64423076923077,186.0544,,2022-10-20 00:00:00+00:00
55,153.23,154.21666666666667,153.65807692307692,184.53419999999997,,2022-10-21 00:00:00+00:00
56,154.76,154.18083333333334,153.4173076923077,183.01579999999998,,2022-10-24 00:00:00+00:00
57,155.8,154.29666666666668,153.14423076923077,181.46760000000003,,2022-10-25 00:00:00+00:00
58,157.96,154.69250000000002,153.16576923076923,179.86239999999998,,2022-10-26 00:00:00+00:00
59,156.91,155.095,153.30653846153845,178.33219999999997,,2022-10-27 00:00:00+00:00
60,160.37,155.71833333333333,153.5307692307692,176.84220000000002,,2022-10-28 00:00:00+00:00
61,160.28,156.05416666666667,153.95192307692307,175.4132,,2022-10-31 00:00:00+00:00
62,158.19,156.15666666666667,154.54,174.10559999999998,,2022-11-01 00:00:00+00:00
63,154.56,155.955,154.9096153846154,172.6916,,2022-11-02 00:00:00+00:00
64,154.92,155.84,155.09923076923076,171.26879999999997,,2022-11-03 00:00:00+00:00
65,156.66,156.14833333333334,155.26653846153846,169.84140000000002,,2022-11-04 00:00:00+00:00
66,159.24,156.90666666666667,155.68076923076924,168.66300000000004,,2022-11-07 00:00:00+00:00
67,159.54,157.4325,155.99153846153848,167.51919999999998,,2022-11-08 00:00:00+00:00
68,158.04,157.70583333333332,155.95000000000002,166.4104,,2022-11-09 00:00:00+00:00
69,166.0,158.5558333333333,156.30115384615385,165.51420000000002,,2022-11-10 00:00:00+00:00
70,175.61,160.02666666666667,157.08653846153845,164.7892,,2022-11-11 00:00:00+00:00
71,174.76,161.51416666666668,157.86923076923074,164.11,,2022-11-14 00:00:00+00:00
72,176.26,162.83833333333334,158.7557692307692,163.55180000000001,,2022-11-15 00:00:00+00:00
73,170.77,163.7125,159.4746153846154,162.93480000000002,,2022-11-16 00:00:00+00:00
74,171.54,164.825,160.19192307692308,162.3082,,2022-11-17 00:00:00+00:00
75,174.72,166.505,160.9023076923077,161.6212,,2022-11-18 00:00:00+00:00
76,173.64,168.06499999999997,161.54384615384618,160.81719999999999,,2022-11-21 00:00:00+00:00
77,175.67,169.64916666666667,162.2626923076923,160.22379999999998,,2022-11-22 00:00:00+00:00
78,176.36,171.07583333333332,163.03423076923076,159.6508,,2022-11-23 00:00:00+00:00
79,176.7,172.50583333333336,163.9473076923077,159.0874,,2022-11-25 00:00:00+00:00
80,173.21,173.77,164.8346153846154,159.3312,,2022-11-28 00:00:00+00:00
81,177.82,174.755,165.7803846153846,159.6296,,2022-11-29 00:00:00+00:00
82,182.22,175.30583333333334,166.83653846153845,160.126,,2022-11-30 00:00:00+00:00
83,180.45,175.78,167.7846153846154,160.67,,2022-12-01 00:00:00+00:00
84,181.41,176.20916666666665,168.68653846153848,161.2074,,2022-12-02 00:00:00+00:00
85,176.6,176.69500000000002,169.44384615384615,161.7528,,2022-12-05 00:00:00+00:00
86,173.05,176.82083333333333,169.93153846153842,162.3558,,2022-12-06 00:00:00+00:00
87,172.28,176.61749999999998,170.39307692307693,162.9024,,2022-12-07 00:00:00+00:00
88,171.91,176.47333333333336,170.92076923076925,163.3408,,2022-12-08 00:00:00+00:00
89,172.33,176.19500000000002,171.60423076923078,163.74120000000002,,2022-12-09 00:00:00+00:00
90,177.37,176.27916666666667,172.4676923076923,164.3192,,2022-12-12 00:00:00+00:00
91,176.88,176.29416666666668,173.2453846153846,164.8276,,2022-12-13 00:00:00+00:00
92,178.07,176.69916666666666,173.9696153846154,165.2066,,2022-12-14 00:00:00+00:00
93,173.17,176.31166666666664,174.49384615384616,165.53260000000003,,2022-12-15 00:00:00+00:00
94,171.72,175.4366666666667,175.02,165.8632,,2022-12-16 00:00:00+00:00
95,168.78,174.46416666666667,175.12692307692308,166.15060000000003,,2022-12-19 00:00:00+00:00
96,164.35,173.0425,174.69384615384615,166.3734,,2022-12-20 00:00:00+00:00
97,169.99,172.49166666666667,174.51038461538462,166.7316,,2022-12-21 00:00:00+00:00
98,175.69,172.71166666666667,174.48846153846154,167.18759999999997,,2022-12-22 00:00:00+00:00
99,175.93,173.01583333333335,174.68692307692305,167.5812,,2022-12-23 00:00:00+00:00
100,177.05,173.44416666666666,174.89884615384614,167.983,,2022-12-27 00:00:00+00:00
101,173.05,173.5041666666667,174.83461538461538,168.3044,,2022-12-28 00:00:00+00:00
102,175.55,173.3525,174.90807692307695,168.68939999999998,,2022-12-29 00:00:00+00:00
103,173.2,173.04583333333332,174.81307692307695,169.09420000000003,,2022-12-30 00:00:00+00:00
104,177.27,172.97916666666666,174.84807692307692,169.6368,,2023-01-03 00:00:00+00:00
105,181.45,173.66916666666668,175.0307692307692,170.2012,,2023-01-04 00:00:00+00:00
106,181.28,174.46583333333334,175.34115384615384,170.7316,,2023-01-05 00:00:00+00:00
107,185.77,175.88166666666666,175.64692307692306,171.33100000000002,,2023-01-06 00:00:00+00:00
108,189.74,177.99749999999997,175.93615384615381,171.9666,,2023-01-09 00:00:00+00:00
109,188.74,179.55999999999997,176.255,172.6032,,2023-01-10 00:00:00+00:00
110,192.2,180.93583333333333,176.67000000000002,173.2398,,2023-01-11 00:00:00+00:00
111,191.89,182.26583333333335,177.2580769230769,173.872,,2023-01-12 00:00:00+00:00
112,188.63,183.23083333333332,177.8573076923077,174.4808,,2023-01-13 00:00:00+00:00
113,188.13,184.48749999999998,178.46692307692305,175.15220000000002,,2023-01-17 00:00:00+00:00
114,187.67,185.49749999999997,179.0730769230769,175.80720000000002,,2023-01-18 00:00:00+00:00
115,184.23,186.41666666666666,179.53076923076924,176.3586,,2023-01-19 00:00:00+00:00
116,186.88,187.2175,179.89653846153848,176.9114,,2023-01-20 00:00:00+00:00
117,191.15,188.02583333333334,180.44538461538463,177.54359999999997,,2023-01-23 00:00:00+00:00
118,189.25,188.69000000000003,180.87538461538463,178.1678,,2023-01-24 00:00:00+00:00
119,187.81,188.86,181.43846153846152,178.604,,2023-01-25 00:00:00+00:00
120,190.14,188.89333333333332,182.14692307692306,178.8946,,2023-01-26 00:00:00+00:00
121,190.56,189.045,182.9846153846154,179.21059999999997,,2023-01-27 00:00:00+00:00
122,184.08,188.36833333333334,183.74346153846153,179.36699999999996,,2023-01-30 00:00:00+00:00
123,193.86,188.5325,184.66153846153844,179.8288,,2023-01-31 00:00:00+00:00
124,202.11,189.65583333333333,185.67769230769233,180.4402,,2023-02-01 00:00:00+00:00
125,214.5,191.85333333333332,187.16115384615387,181.2358,,2023-02-02 00:00:00+00:00
126,214.67,194.10333333333335,188.6080769230769,182.0564,,2023-02-03 00:00:00+00:00
127,210.59,196.30000000000004,190.05192307692306,182.7548,,2023-02-06 00:00:00+00:00
128,209.91,198.21916666666667,191.3734615384615,183.4258,,2023-02-07 00:00:00+00:00
129,209.48,199.74666666666667,192.76884615384614,184.0814,,2023-02-08 00:00:00+00:00
130,208.62,201.36083333333332,193.9746153846154,184.78960000000004,,2023-02-09 00:00:00+00:00
131,209.37,203.1575,195.04846153846154,185.4206,,2023-02-10 00:00:00+00:00
132,211.66,204.95083333333335,196.21692307692305,186.0094,,2023-02-13 00:00:00+00:00
133,212.67,206.79333333333332,197.25153846153847,186.65380000000002,,2023-02-14 00:00:00+00:00
134,213.04,209.20666666666662,198.14769230769232,187.28640000000004,,2023-02-15 00:00:00+00:00
135,211.67,210.69083333333333,199.02961538461537,187.98780000000002,,2023-02-16 00:00:00+00:00
136,210.3,211.37333333333333,199.72576923076923,188.7328,,2023-02-17 00:00:00+00:00
137,205.65,210.63583333333335,200.25499999999997,189.4002,,2023-02-21 00:00:00+00:00
138,202.83,209.64916666666667,200.80115384615385,190.0186,,2023-02-22 00:00:00+00:00
139,205.18,209.1983333333333,201.4569230769231,190.6756,,2023-02-23 00:00:00+00:00
140,203.28,208.64583333333334,202.0573076923077,191.1938,,2023-02-24 00:00:00+00:00
141,204.06,208.19416666666666,202.82,191.7374,,2023-02-27 00:00:00+00:00
142,203.22,207.74416666666664,203.44846153846154,192.24039999999997,,2023-02-28 00:00:00+00:00
143,204.33,207.32416666666668,203.95538461538462,192.86359999999996,,2023-03-01 00:00:00+00:00
144,206.93,206.92999999999998,204.63538461538462,193.56779999999998,,2023-03-02 00:00:00+00:00
145,209.08,206.63083333333336,205.45346153846157,194.37379999999996,,2023-03-03 00:00:00+00:00
146,210.13,206.38833333333332,206.22230769230768,195.28940000000003,,2023-03-06 00:00:00+00:00
147,206.32,205.94250000000002,206.82846153846154,196.01600000000002,,2023-03-07 00:00:00+00:00
148,209.54,205.8791666666667,207.80769230769232,196.69299999999998,,2023-03-08 00:00:00+00:00
149,207.83,206.06083333333333,208.345,197.331,,2023-03-09 00:00:00+00:00
150,201.19,205.92416666666668,208.30961538461537,197.81380000000001,,2023-03-10 00:00:00+00:00
151,197.39,205.275,207.65153846153845,198.30059999999997,,2023-03-13 00:00:00+00:00
152,197.89,204.82583333333332,207.00615384615386,198.74740000000003,,2023-03-14 00:00:00+00:00
153,195.3,204.09583333333333,206.4180769230769,199.18939999999998,,2023-03-15 00:00:00+00:00
154,204.05,204.165,206.1926923076923,199.725,,2023-03-16 00:00:00+00:00
155,220.31,205.49666666666667,206.60923076923078,200.50220000000002,,2023-03-17 00:00:00+00:00
156,216.24,206.2725,206.9023076923077,201.2014,,2023-03-20 00:00:00+00:00
157,219.83,207.16833333333332,207.30461538461537,201.8826,,2023-03-21 00:00:00+00:00
158,217.06,207.7458333333333,207.51230769230773,202.42899999999997,,2023-03-22 00:00:00+00:00
159,216.92,208.62916666666663,207.67576923076925,202.99259999999998,,2023-03-23 00:00:00+00:00
160,217.6,209.30083333333332,207.85115384615386,203.50060000000002,,2023-03-24 00:00:00+00:00
161,219.82,210.29999999999998,208.16461538461542,204.05919999999998,,2023-03-27 00:00:00+00:00
162,220.44,211.90416666666667,208.55461538461537,204.6954,,2023-03-28 00:00:00+00:00
163,223.65,214.0925,209.24692307692308,205.40579999999997,,2023-03-29 00:00:00+00:00
164,224.4,216.30166666666665,210.0765384615385,206.14039999999997,,2023-03-30 00:00:00+00:00
165,228.49,219.0675,210.97307692307692,207.02559999999997,,2023-03-31 00:00:00+00:00
166,228.84,221.13333333333335,211.95615384615388,207.8648,,2023-04-03 00:00:00+00:00
167,226.49,221.6483333333333,212.81884615384615,208.57160000000005,,2023-04-04 00:00:00+00:00
168,229.93,222.7891666666667,213.84615384615384,209.3852,,2023-04-05 00:00:00+00:00
169,232.1,223.8116666666667,214.91423076923076,210.271,,2023-04-06 00:00:00+00:00
170,231.6,225.02333333333334,215.86307692307693,211.1002,,2023-04-10 00:00:00+00:00
171,231.53,226.24083333333337,216.72653846153844,211.91960000000003,,2023-04-11 00:00:00+00:00
172,229.47,227.23000000000002,217.47038461538463,212.8274,,2023-04-12 00:00:00+00:00
173,231.07,228.16750000000002,218.42230769230767,213.5716,,2023-04-13 00:00:00+00:00
174,230.69,229.02166666666665,219.23576923076922,214.1432,,2023-04-14 00:00:00+00:00
175,229.31,229.49333333333334,220.06192307692305,214.43939999999998,,2023-04-17 00:00:00+00:00
176,229.21,229.8941666666667,221.13961538461538,214.7302,,2023-04-18 00:00:00+00:00
177,229.49,229.9775,222.37423076923076,215.1082,,2023-04-19 00:00:00+00:00
178,229.38,230.0225,223.58538461538458,215.49759999999998,,2023-04-20 00:00:00+00:00
179,230.44,230.3516666666667,224.9369230769231,215.9168,,2023-04-21 00:00:00+00:00
180,232.16,230.5375,226.01807692307693,216.3876,,2023-04-24 00:00:00+00:00
181,225.47,229.98499999999999,226.21653846153848,216.7096,,2023-04-25 00:00:00+00:00
182,222.77,229.24916666666664,226.4676923076923,216.9318,,2023-04-26 00:00:00+00:00
183,225.94,228.78333333333333,226.70269230769233,217.1972,,2023-04-27 00:00:00+00:00
184,227.78,228.6425,227.11499999999998,217.49199999999996,,2023-04-28 00:00:00+00:00
185,230.58,228.60166666666666,227.6403846153846,217.8702,,2023-05-01 00:00:00+00:00
186,228.4,228.41083333333336,228.05576923076922,218.2322,,2023-05-02 00:00:00+00:00
187,228.52,228.345,228.3903846153846,218.68959999999998,,2023-05-03 00:00:00+00:00
188,226.37,228.10833333333335,228.61846153846153,219.1604,,2023-05-04 00:00:00+00:00
189,229.3,228.0925,228.83576923076924,219.6428,,2023-05-05 00:00:00+00:00
190,230.73,228.205,229.07923076923075,220.1918,,2023-05-08 00:00:00+00:00
191,228.63,228.05416666666665,229.08461538461538,220.6832,,2023-05-09 00:00:00+00:00
192,226.33,227.56833333333336,228.9880769230769,221.1454,,2023-05-10 00:00:00+00:00
193,224.84,227.51583333333335,228.92461538461538,221.55560000000003,,2023-05-11 00:00:00+00:00
194,222.93,227.5291666666667,228.6553846153846,221.87560000000002,,2023-05-12 00:00:00+00:00
195,222.42,227.23583333333337,228.28307692307695,222.1424,,2023-05-15 00:00:00+00:00
196,221.27,226.69333333333336,227.88576923076923,222.36520000000002,,2023-05-16 00:00:00+00:00
197,225.89,226.3025,227.66884615384618,222.7566,,2023-05-17 00:00:00+00:00
198,230.43,226.47166666666666,227.70576923076925,223.17440000000002,,2023-05-18 00:00:00+00:00
199,229.08,226.51833333333332,227.6292307692308,223.59940000000003,195.56195,2023-05-19 00:00:00+00:00
200,228.68,226.71083333333334,227.55192307692306,224.1492,195.52485000000001,2023-05-22 00:00:00+00:00
201,226.64,226.48916666666665,227.44923076923078,224.73420000000002,195.4836,2023-05-23 00:00:00+00:00
202,223.55,225.89083333333335,227.2315384615385,225.24739999999997,195.45625,2023-05-24 00:00:00+00:00
203,225.08,225.59500000000003,227.0619230769231,225.843,195.45679999999996,2023-05-25 00:00:00+00:00
204,224.15,225.41333333333333,226.86076923076922,226.245,195.4153,2023-05-26 00:00:00+00:00
205,226.14,225.52166666666668,226.69538461538463,226.3616,195.3998,2023-05-30 00:00:00+00:00
206,217.98,225.10916666666665,226.14999999999998,226.3964,195.33630000000002,2023-05-31 00:00:00+00:00
207,217.29,224.68166666666664,225.83538461538458,226.34560000000002,195.25670000000002,2023-06-01 00:00:00+00:00
208,221.74,224.7208333333333,225.79576923076925,226.43920000000003,195.17430000000002,2023-06-02 00:00:00+00:00
209,221.08,224.32000000000002,225.60884615384614,226.5224,195.11260000000001,2023-06-05 00:00:00+00:00
210,219.5,223.4091666666667,225.29038461538462,226.56040000000002,195.03575,2023-06-06 00:00:00+00:00
211,224.6,223.03583333333336,225.0603846153846,226.65600000000003,195.00009999999997,2023-06-07 00:00:00+00:00
212,225.01,222.73,224.93,226.74740000000003,195.0073,2023-06-08 00:00:00+00:00
213,223.76,222.49,224.74692307692308,226.7496,194.9998,2023-06-09 00:00:00+00:00
214,224.55,222.5733333333333,224.6769230769231,226.75260000000003,194.99224999999998,2023-06-12 00:00:00+00:00
215,228.87,222.88916666666668,224.66038461538463,226.76019999999997,194.99645,2023-06-13 00:00:00+00:00
216,229.67,223.34916666666663,224.6196153846154,226.7768,195.054,2023-06-14 00:00:00+00:00
217,236.44,224.20749999999998,224.92000000000002,226.9758,195.15255000000002,2023-06-15 00:00:00+00:00
218,233.46,225.49749999999997,225.19423076923078,227.04640000000003,195.25245000000004,2023-06-16 00:00:00+00:00
219,231.65,226.69416666666666,225.45615384615388,227.03740000000002,195.35665,2023-06-20 00:00:00+00:00
220,225.84,227.03583333333336,225.56807692307692,226.9222,195.42655,2023-06-21 00:00:00+00:00
221,232.93,228.0233333333333,225.97230769230768,226.9502,195.5476,2023-06-22 00:00:00+00:00
222,232.34,229.09333333333333,226.39807692307693,227.0076,195.68845,2023-06-23 00:00:00+00:00
223,234.93,229.95416666666665,226.74576923076924,227.0848,195.855,2023-06-26 00:00:00+00:00
224,246.76,231.76666666666668,227.37384615384613,227.40619999999998,196.07444999999998,2023-06-27 00:00:00+00:00
225,248.44,233.82333333333335,228.11846153846153,227.7888,196.2713,2023-06-28 00:00:00+00:00
226,249.98,235.94250000000002,228.93769230769232,228.2042,196.45199999999997,2023-06-29 00:00:00+00:00
227,247.9,237.5283333333333,229.75538461538463,228.5724,196.66479999999999,2023-06-30 00:00:00+00:00
228,247.55,239.01833333333335,230.6784615384615,228.93580000000003,196.8775,2023-07-03 00:00:00+00:00
229,248.32,240.00833333333335,231.5723076923077,229.2934,197.09475000000003,2023-07-05 00:00:00+00:00
230,247.67,241.1925,232.4769230769231,229.6036,197.528,2023-07-06 00:00:00+00:00
231,251.25,242.82583333333332,233.4426923076923,230.1192,197.96974999999998,2023-07-07 00:00:00+00:00
232,251.69,244.98,234.73923076923077,230.69760000000002,198.44120000000004,2023-07-10 00:00:00+00:00
233,258.4,247.1025,236.32038461538463,231.3468,198.96695000000003,2023-07-11 00:00:00+00:00
234,261.61,249.54166666666666,237.85384615384615,232.0234,199.5023,2023-07-12 00:00:00+00:00
235,258.46,251.50250000000003,239.29153846153847,232.581,200.04795000000001,2023-07-13 00:00:00+00:00
236,257.45,252.39333333333332,240.75115384615384,233.16199999999998,200.6207,2023-07-14 00:00:00+00:00
237,254.73,252.9175,241.91,233.6862,201.16960000000003,2023-07-17 00:00:00+00:00
238,261.97,253.91666666666666,243.33153846153846,234.3982,201.72949999999997,2023-07-18 00:00:00+00:00
239,260.26,254.9466666666667,244.73538461538462,235.0174,202.26925,2023-07-19 00:00:00+00:00
240,263.54,256.27916666666664,246.23499999999999,235.6736,202.84459999999999,2023-07-20 00:00:00+00:00
241,259.67,257.22499999999997,247.41961538461538,236.29440000000002,203.38565,2023-07-21 00:00:00+00:00
242,258.77,258.15000000000003,248.53884615384615,236.9432,203.88389999999998,2023-07-24 00:00:00+00:00
243,259.66,258.85083333333336,249.43192307692308,237.6396,204.39785,2023-07-25 00:00:00+00:00
244,268.13,260.22083333333336,250.76538461538465,238.5436,204.96255000000002,2023-07-26 00:00:00+00:00
245,265.37,260.8016666666667,252.06230769230768,239.40259999999998,205.51735,2023-07-27 00:00:00+00:00
246,268.85,261.40500000000003,253.71653846153848,240.3542,206.09555,2023-07-28 00:00:00+00:00
247,269.95,262.3625,255.1403846153846,241.2354,206.68490000000003,2023-07-31 00:00:00+00:00
248,268.16,263.255,256.51807692307693,241.99,207.26125,2023-08-01 00:00:00+00:00
249,265.45,264.14833333333337,257.69192307692305,242.71739999999997,207.80725,2023-08-02 00:00:00+00:00
250,263.52,264.27750000000003,258.33653846153845,243.4142,208.34005000000002,2023-08-03 00:00:00+00:00
251,263.49,264.5466666666667,258.9153846153846,244.1512,208.87259999999998,2023-08-04 11:24:43+00:00
252,264.3599853515625,264.61499877929685,259.4684609750601,244.96739970703126,209.41289992675777,2023-08-07 00:00:00-04:00
253,268.260009765625,265.33083292643227,260.251538273738,245.83099990234376,209.9893999755859,2023-08-08 00:00:00-04:00
254,265.4800109863281,265.8900005086263,260.9411540809045,246.65760012207028,210.56610003051756,2023-08-09 00:00:00-04:00
255,266.5299987792969,266.46250040690103,261.64153864933894,247.46540009765624,211.13260002441405,2023-08-10 00:00:00-04:00
256,265.7699890136719,266.26583282470705,262.3376920729417,248.4211998779297,211.6876499694824,2023-08-11 00:00:00-04:00
257,266.94000244140625,266.3966663614909,262.94115370530346,249.4141999267578,212.24334998168942,2023-08-14 00:00:00-04:00
258,265.54998779296875,266.12166534423824,263.4742301588792,250.29039968261716,212.78129992065428,2023-08-15 00:00:00-04:00
259,265.07000732421875,265.71499928792315,263.7307689021184,251.17019982910153,213.32209995727538,2023-08-16 00:00:00-04:00
260,264.9100036621094,265.4441662597656,263.85769211989185,252.07839990234373,213.84479997558591,2023-08-17 00:00:00-04:00
