,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,106.66,,,,,2022-08-04 00:00:00+00:00
1,106.08,,,,,2022-08-05 00:00:00+00:00
2,104.99,,,,,2022-08-08 00:00:00+00:00
3,105.9,,,,,2022-08-09 00:00:00+00:00
4,106.54,,,,,2022-08-10 00:00:00+00:00
5,107.96,,,,,2022-08-11 00:00:00+00:00
6,109.37,,,,,2022-08-12 00:00:00+00:00
7,110.16,,,,,2022-08-15 00:00:00+00:00
8,110.72,,,,,2022-08-16 00:00:00+00:00
9,108.72,,,,,2022-08-17 00:00:00+00:00
10,110.55,,,,,2022-08-18 00:00:00+00:00
11,109.48,108.09416666666668,,,,2022-08-19 00:00:00+00:00
12,106.77,108.10333333333334,,,,2022-08-22 00:00:00+00:00
13,106.01,108.09750000000001,,,,2022-08-23 00:00:00+00:00
14,106.18,108.19666666666666,,,,2022-08-24 00:00:00+00:00
15,107.27,108.31083333333333,,,,2022-08-25 00:00:00+00:00
16,103.83,108.085,,,,2022-08-26 00:00:00+00:00
17,103.165,107.68541666666665,,,,2022-08-29 00:00:00+00:00
18,101.86,107.05958333333332,,,,2022-08-30 00:00:00+00:00
19,101.19,106.31208333333332,,,,2022-08-31 00:00:00+00:00
20,103.5,105.71041666666667,,,,2022-09-01 00:00:00+00:00
21,101.44,105.10375,,,,2022-09-02 00:00:00+00:00
22,104.16,104.57125,,,,2022-09-06 00:00:00+00:00
23,105.75,104.26041666666667,,,,2022-09-07 00:00:00+00:00
24,105.78,104.17791666666666,,,,2022-09-08 00:00:00+00:00
25,106.46,104.21541666666666,106.17288461538462,,,2022-09-09 00:00:00+00:00
26,109.05,104.45458333333335,106.2648076923077,,,2022-09-12 00:00:00+00:00
27,105.92,104.34208333333333,106.25865384615386,,,2022-09-13 00:00:00+00:00
28,105.9,104.51458333333333,106.29365384615383,,,2022-09-14 00:00:00+00:00
29,104.58,104.6325,106.24288461538461,,,2022-09-15 00:00:00+00:00
30,103.61,104.77833333333335,106.1301923076923,,,2022-09-16 00:00:00+00:00
31,103.65,104.98333333333333,105.96442307692307,,,2022-09-19 00:00:00+00:00
32,102.17,104.8725,105.6875,,,2022-09-20 00:00:00+00:00
33,99.59,104.71833333333332,105.28096153846155,,,2022-09-21 00:00:00+00:00
34,98.56,104.25166666666668,104.81326923076924,,,2022-09-22 00:00:00+00:00
35,97.95,103.60166666666665,104.39903846153847,,,2022-09-23 00:00:00+00:00
36,95.9,102.77833333333332,103.83557692307691,,,2022-09-26 00:00:00+00:00
37,95.14,101.83500000000002,103.28403846153846,,,2022-09-27 00:00:00+00:00
38,96.17,100.76166666666666,102.87634615384614,,,2022-09-28 00:00:00+00:00
39,94.85,99.83916666666669,102.44711538461539,,,2022-09-29 00:00:00+00:00
40,93.57,98.81166666666667,101.96211538461537,,,2022-09-30 00:00:00+00:00
41,95.42,98.04833333333335,101.50634615384615,,,2022-10-03 00:00:00+00:00
42,98.73,97.64166666666667,101.3101923076923,,,2022-10-04 00:00:00+00:00
43,100.55,97.38333333333334,101.20961538461538,,,2022-10-05 00:00:00+00:00
44,99.08,97.12583333333333,101.10269230769231,,,2022-10-06 00:00:00+00:00
45,98.7,97.05166666666668,101.00692307692307,,,2022-10-07 00:00:00+00:00
46,98.49,97.04583333333333,100.81423076923076,,,2022-10-10 00:00:00+00:00
47,95.45,96.83750000000002,100.58384615384617,,,2022-10-11 00:00:00+00:00
48,93.7,96.65416666666665,100.18153846153845,,,2022-10-12 00:00:00+00:00
49,95.65,96.69666666666666,99.79307692307692,102.8575,,2022-10-13 00:00:00+00:00
50,94.14,96.52750000000002,99.34538461538462,102.6071,,2022-10-14 00:00:00+00:00
51,97.37,96.7375,98.99576923076924,102.4329,,2022-10-17 00:00:00+00:00
52,97.17,97.03750000000001,98.53884615384615,102.27650000000001,,2022-10-18 00:00:00+00:00
53,96.23,97.105,98.16615384615383,102.0831,,2022-10-19 00:00:00+00:00
54,95.01,96.795,97.7473076923077,101.8525,,2022-10-20 00:00:00+00:00
55,96.74,96.4775,97.44576923076922,101.62809999999999,,2022-10-21 00:00:00+00:00
56,97.35,96.33333333333333,97.20500000000001,101.38770000000001,,2022-10-24 00:00:00+00:00
57,100.08,96.44833333333332,97.06769230769231,101.18610000000001,,2022-10-25 00:00:00+00:00
