,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,15.37,,,,,2022-08-04 00:00:00+00:00
1,15.3,,,,,2022-08-05 00:00:00+00:00
2,15.78,,,,,2022-08-08 00:00:00+00:00
3,15.19,,,,,2022-08-09 00:00:00+00:00
4,15.5,,,,,2022-08-10 00:00:00+00:00
5,15.83,,,,,2022-08-11 00:00:00+00:00
6,16.18,,,,,2022-08-12 00:00:00+00:00
7,16.32,,,,,2022-08-15 00:00:00+00:00
8,16.43,,,,,2022-08-16 00:00:00+00:00
9,16.03,,,,,2022-08-17 00:00:00+00:00
10,16.15,,,,,2022-08-18 00:00:00+00:00
11,15.88,15.83,,,,2022-08-19 00:00:00+00:00
12,15.08,15.805833333333332,,,,2022-08-22 00:00:00+00:00
13,15.32,15.8075,,,,2022-08-23 00:00:00+00:00
14,15.52,15.785833333333334,,,,2022-08-24 00:00:00+00:00
15,15.93,15.847500000000002,,,,2022-08-25 00:00:00+00:00
16,15.41,15.840000000000002,,,,2022-08-26 00:00:00+00:00
17,15.57,15.818333333333333,,,,2022-08-29 00:00:00+00:00
18,15.45,15.7575,,,,2022-08-30 00:00:00+00:00
19,15.24,15.667499999999999,,,,2022-08-31 00:00:00+00:00
20,15.19,15.564166666666665,,,,2022-09-01 00:00:00+00:00
21,15.16,15.491666666666665,,,,2022-09-02 00:00:00+00:00
22,15.03,15.398333333333333,,,,2022-09-06 00:00:00+00:00
23,15.43,15.360833333333332,,,,2022-09-07 00:00:00+00:00
24,15.47,15.393333333333333,,,,2022-09-08 00:00:00+00:00
25,15.42,15.401666666666666,15.583846153846155,,,2022-09-09 00:00:00+00:00
26,15.54,15.403333333333334,15.590384615384615,,,2022-09-12 00:00:00+00:00
27,14.74,15.304166666666667,15.568846153846152,,,2022-09-13 00:00:00+00:00
28,14.66,15.241666666666667,15.525769230769232,,,2022-09-14 00:00:00+00:00
29,14.89,15.185,15.51423076923077,,,2022-09-15 00:00:00+00:00
30,14.72,15.124166666666666,15.48423076923077,,,2022-09-16 00:00:00+00:00
31,14.93,15.098333333333334,15.449615384615385,,,2022-09-19 00:00:00+00:00
32,13.09,14.923333333333334,15.330769230769231,,,2022-09-20 00:00:00+00:00
33,13.05,14.747500000000002,15.205,,,2022-09-21 00:00:00+00:00
34,12.77,14.559166666666668,15.06423076923077,,,2022-09-22 00:00:00+00:00
35,12.31,14.299166666666666,14.921153846153846,,,2022-09-23 00:00:00+00:00
36,11.99,14.009166666666667,14.761153846153848,,,2022-09-26 00:00:00+00:00
37,11.91,13.716666666666667,14.608461538461539,,,2022-09-27 00:00:00+00:00
38,12.18,13.436666666666667,14.496923076923075,,,2022-09-28 00:00:00+00:00
39,11.47,13.164166666666667,14.348846153846154,,,2022-09-29 00:00:00+00:00
40,11.2,12.875833333333333,14.182692307692308,,,2022-09-30 00:00:00+00:00
41,11.47,12.590833333333334,14.011153846153848,,,2022-10-03 00:00:00+00:00
42,12.36,12.394166666666669,13.893846153846152,,,2022-10-04 00:00:00+00:00
43,12.51,12.1925,13.776153846153845,,,2022-10-05 00:00:00+00:00
44,12.36,12.131666666666666,13.657307692307691,,,2022-10-06 00:00:00+00:00
45,12.2,12.060833333333333,13.540384615384614,,,2022-10-07 00:00:00+00:00
46,11.36,11.943333333333333,13.393076923076922,,,2022-10-10 00:00:00+00:00
47,11.56,11.880833333333333,13.254615384615384,,,2022-10-11 00:00:00+00:00
48,11.54,11.843333333333334,13.120384615384616,,,2022-10-12 00:00:00+00:00
49,11.77,11.831666666666665,12.979615384615384,14.235199999999999,,2022-10-13 00:00:00+00:00
50,11.67,11.789166666666667,12.833461538461538,14.1612,,2022-10-14 00:00:00+00:00
51,11.83,11.819166666666666,12.695384615384615,14.091800000000001,,2022-10-17 00:00:00+00:00
52,12.03,11.888333333333334,12.560384615384617,14.016799999999998,,2022-10-18 00:00:00+00:00
53,12.13,11.943333333333333,12.46,13.955599999999999,,2022-10-19 00:00:00+00:00
54,11.77,11.894166666666665,12.348846153846154,13.880999999999998,,2022-10-20 00:00:00+00:00
55,12.19,11.8675,12.245000000000001,13.8082,,2022-10-21 00:00:00+00:00
56,12.48,11.8775,12.158846153846154,13.734200000000001,,2022-10-24 00:00:00+00:00
57,12.83,11.93,12.078076923076923,13.664399999999999,,2022-10-25 00:00:00+00:00
58,12.82,12.051666666666668,12.067692307692308,13.5922,,2022-10-26 00:00:00+00:00
59,13.0,12.171666666666667,12.06576923076923,13.531600000000001,,2022-10-27 00:00:00+00:00
60,13.26,12.314999999999998,12.084615384615384,13.473799999999999,,2022-10-28 00:00:00+00:00
