,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,229.16,,,,,2022-08-04 00:00:00+00:00
1,228.76,,,,,2022-08-05 00:00:00+00:00
2,225.79,,,,,2022-08-08 00:00:00+00:00
3,227.62,,,,,2022-08-09 00:00:00+00:00
4,230.46,,,,,2022-08-10 00:00:00+00:00
5,231.82,,,,,2022-08-11 00:00:00+00:00
6,237.95,,,,,2022-08-12 00:00:00+00:00
7,241.25,,,,,2022-08-15 00:00:00+00:00
8,241.48,,,,,2022-08-16 00:00:00+00:00
9,242.69,,,,,2022-08-17 00:00:00+00:00
10,243.69,,,,,2022-08-18 00:00:00+00:00
11,241.67,235.19500000000002,,,,2022-08-19 00:00:00+00:00
12,234.49,235.63916666666668,,,,2022-08-22 00:00:00+00:00
13,234.0,236.07583333333332,,,,2022-08-23 00:00:00+00:00
14,234.49,236.80083333333334,,,,2022-08-24 00:00:00+00:00
15,238.01,237.66666666666666,,,,2022-08-25 00:00:00+00:00
16,232.59,237.84416666666667,,,,2022-08-26 00:00:00+00:00
17,233.7,238.0008333333333,,,,2022-08-29 00:00:00+00:00
18,231.12,237.43166666666664,,,,2022-08-30 00:00:00+00:00
19,228.93,236.405,,,,2022-08-31 00:00:00+00:00
20,225.37,235.0625,,,,2022-09-01 00:00:00+00:00
21,224.88,233.57833333333335,,,,2022-09-02 00:00:00+00:00
22,224.55,231.98333333333332,,,,2022-09-06 00:00:00+00:00
23,227.74,230.8225,,,,2022-09-07 00:00:00+00:00
24,227.69,230.25583333333336,,,,2022-09-08 00:00:00+00:00
25,231.61,230.0566666666667,232.75038461538463,,,2022-09-09 00:00:00+00:00
26,235.44,230.1358333333333,232.9919230769231,,,2022-09-12 00:00:00+00:00
27,227.98,229.29999999999998,232.96192307692309,,,2022-09-13 00:00:00+00:00
28,230.73,229.14499999999998,233.15192307692308,,,2022-09-14 00:00:00+00:00
29,228.46,228.70833333333334,233.18423076923077,,,2022-09-15 00:00:00+00:00
30,227.45,228.40250000000003,233.06846153846152,,,2022-09-16 00:00:00+00:00
31,229.03,228.41083333333333,232.96115384615388,,,2022-09-19 00:00:00+00:00
32,229.11,228.7225,232.62115384615385,,,2022-09-20 00:00:00+00:00
33,228.2,228.99916666666664,232.11923076923074,,,2022-09-21 00:00:00+00:00
34,228.09,229.29416666666668,231.60423076923078,,,2022-09-22 00:00:00+00:00
35,221.9,228.8075,230.80461538461537,,,2022-09-23 00:00:00+00:00
36,220.43,228.2025,229.91,,,2022-09-26 00:00:00+00:00
37,218.67,227.12416666666664,229.0253846153846,,,2022-09-27 00:00:00+00:00
38,220.45,225.875,228.48538461538462,,,2022-09-28 00:00:00+00:00
39,214.43,224.74583333333337,227.7326923076923,,,2022-09-29 00:00:00+00:00
