,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,75.52,,,,,2022-08-04 00:00:00+00:00
1,76.17,,,,,2022-08-05 00:00:00+00:00
2,76.36,,,,,2022-08-08 00:00:00+00:00
3,77.03,,,,,2022-08-09 00:00:00+00:00
4,77.58,,,,,2022-08-10 00:00:00+00:00
5,76.96,,,,,2022-08-11 00:00:00+00:00
6,77.0,,,,,2022-08-12 00:00:00+00:00
7,76.64,,,,,2022-08-15 00:00:00+00:00
8,77.44,,,,,2022-08-16 00:00:00+00:00
9,77.14,,,,,2022-08-17 00:00:00+00:00
10,77.5,,,,,2022-08-18 00:00:00+00:00
11,77.97,76.9425,,,,2022-08-19 00:00:00+00:00
12,77.5,77.1075,,,,2022-08-22 00:00:00+00:00
13,77.87,77.24916666666665,,,,2022-08-23 00:00:00+00:00
14,78.45,77.42333333333333,,,,2022-08-24 00:00:00+00:00
15,77.9,77.49583333333332,,,,2022-08-25 00:00:00+00:00
16,76.32,77.39083333333333,,,,2022-08-26 00:00:00+00:00
17,77.22,77.41250000000001,,,,2022-08-29 00:00:00+00:00
18,76.98,77.41083333333333,,,,2022-08-30 00:00:00+00:00
19,76.8,77.42416666666666,,,,2022-08-31 00:00:00+00:00
20,77.16,77.40083333333334,,,,2022-09-01 00:00:00+00:00
21,76.72,77.36583333333333,,,,2022-09-02 00:00:00+00:00
22,75.3,77.18249999999999,,,,2022-09-06 00:00:00+00:00
23,76.28,77.04166666666667,,,,2022-09-07 00:00:00+00:00
24,75.63,76.88583333333334,,,,2022-09-08 00:00:00+00:00
25,75.91,76.72250000000001,76.89807692307691,,,2022-09-09 00:00:00+00:00
26,76.15,76.53083333333333,76.9223076923077,,,2022-09-12 00:00:00+00:00
27,74.35,76.235,76.85230769230769,,,2022-09-13 00:00:00+00:00
28,74.42,76.07666666666667,76.7776923076923,,,2022-09-14 00:00:00+00:00
29,75.07,75.8975,76.7023076923077,,,2022-09-15 00:00:00+00:00
30,75.25,75.75333333333333,76.6126923076923,,,2022-09-16 00:00:00+00:00
31,75.83,75.6725,76.56923076923077,,,2022-09-19 00:00:00+00:00
32,75.41,75.52666666666666,76.50807692307693,,,2022-09-20 00:00:00+00:00
33,79.72,75.77666666666666,76.62653846153846,,,2022-09-21 00:00:00+00:00
34,80.78,76.23333333333333,76.755,,,2022-09-22 00:00:00+00:00
35,79.17,76.47416666666668,76.83307692307693,,,2022-09-23 00:00:00+00:00
36,78.66,76.72666666666667,76.87769230769231,,,2022-09-26 00:00:00+00:00
37,77.97,76.89833333333333,76.8776923076923,,,2022-09-27 00:00:00+00:00
38,78.79,77.11833333333333,76.92730769230769,,,2022-09-28 00:00:00+00:00
39,77.71,77.39833333333333,76.92115384615384,,,2022-09-29 00:00:00+00:00
40,76.61,77.58083333333333,76.85038461538463,,,2022-09-30 00:00:00+00:00
41,78.48,77.86500000000001,76.8726923076923,,,2022-10-03 00:00:00+00:00
42,78.5,78.13583333333334,76.95653846153847,,,2022-10-04 00:00:00+00:00
43,77.69,78.29083333333334,76.97461538461539,,,2022-10-05 00:00:00+00:00
44,74.97,78.25416666666668,76.89730769230769,,,2022-10-06 00:00:00+00:00
45,75.35,77.89,76.84153846153846,,,2022-10-07 00:00:00+00:00
46,76.41,77.52583333333334,76.8126923076923,,,2022-10-10 00:00:00+00:00
47,77.39,77.3775,76.83846153846153,,,2022-10-11 00:00:00+00:00
48,77.36,77.26916666666666,76.9176923076923,,,2022-10-12 00:00:00+00:00
49,78.82,77.33999999999999,77.01538461538462,77.0042,,2022-10-13 00:00:00+00:00
50,77.71,77.25,77.0953846153846,77.048,,2022-10-14 00:00:00+00:00
51,77.41,77.225,77.15307692307692,77.0728,,2022-10-17 00:00:00+00:00
52,78.27,77.36333333333333,77.23461538461538,77.11099999999999,,2022-10-18 00:00:00+00:00
53,78.13,77.33416666666666,77.38000000000001,77.133,,2022-10-19 00:00:00+00:00
54,76.67,77.18166666666667,77.46653846153846,77.1148,,2022-10-20 00:00:00+00:00
55,77.04,77.1275,77.54230769230769,77.1164,,2022-10-21 00:00:00+00:00
56,77.62,77.34833333333333,77.63346153846155,77.1288,,2022-10-24 00:00:00+00:00
57,78.3,77.59416666666665,77.72846153846153,77.162,,2022-10-25 00:00:00+00:00
58,78.36,77.75666666666666,77.84192307692308,77.1804,,2022-10-26 00:00:00+00:00
59,79.87,77.96333333333332,77.84769230769231,77.235,,2022-10-27 00:00:00+00:00
60,81.57,78.31416666666667,77.87807692307692,77.31639999999999,,2022-10-28 00:00:00+00:00
61,81.58,78.54416666666667,77.97076923076924,77.3886,,2022-10-31 00:00:00+00:00
62,80.29,78.75916666666667,78.03346153846154,77.4444,,2022-11-01 00:00:00+00:00
63,79.81,78.95916666666666,78.10423076923077,77.48320000000001,,2022-11-02 00:00:00+00:00
64,78.91,79.0125,78.10884615384614,77.4924,,2022-11-03 00:00:00+00:00
65,79.06,79.09,78.16076923076923,77.51559999999999,,2022-11-04 00:00:00+00:00
66,79.19,79.3,78.26,77.57300000000001,,2022-11-07 00:00:00+00:00
67,79.56,79.51,78.30153846153846,77.6198,,2022-11-08 00:00:00+00:00
68,80.34,79.73666666666666,78.37230769230769,77.687,,2022-11-09 00:00:00+00:00
69,79.58,79.84333333333333,78.445,77.7426,,2022-11-10 00:00:00+00:00
70,77.25,79.75083333333333,78.53269230769232,77.7444,,2022-11-11 00:00:00+00:00
71,76.97,79.50916666666667,78.595,77.7494,,2022-11-14 00:00:00+00:00
72,77.44,79.165,78.63461538461539,77.7922,,2022-11-15 00:00:00+00:00
73,79.06,78.955,78.69884615384616,77.84779999999999,,2022-11-16 00:00:00+00:00
74,79.77,78.91166666666666,78.79153846153847,77.9306,,2022-11-17 00:00:00+00:00
75,81.03,79.01333333333334,78.87653846153846,78.033,,2022-11-18 00:00:00+00:00
76,81.98,79.26916666666666,79.04076923076923,78.1496,,2022-11-21 00:00:00+00:00
77,82.17,79.52833333333334,79.22384615384615,78.306,,2022-11-22 00:00:00+00:00
78,82.78,79.8275,79.39730769230769,78.47319999999999,,2022-11-23 00:00:00+00:00
79,82.97,80.11166666666666,79.58346153846153,78.63119999999999,,2022-11-25 00:00:00+00:00
80,82.93,80.3275,79.82423076923078,78.78479999999999,,2022-11-28 00:00:00+00:00
81,82.84,80.59916666666668,80.0473076923077,78.925,,2022-11-29 00:00:00+00:00
82,85.3,81.27,80.3426923076923,79.1228,,2022-11-30 00:00:00+00:00
83,85.42,81.97416666666668,80.61653846153847,79.23679999999999,,2022-12-01 00:00:00+00:00
84,86.52,82.73083333333334,80.93038461538461,79.3516,,2022-12-02 00:00:00+00:00
85,86.3,83.33416666666666,81.1776923076923,79.4942,,2022-12-05 00:00:00+00:00
86,85.38,83.80166666666666,81.32423076923078,79.6286,,2022-12-06 00:00:00+00:00
87,87.22,84.3175,81.54115384615383,79.8136,,2022-12-07 00:00:00+00:00
88,87.55,84.78166666666667,81.82038461538461,79.9888,,2022-12-08 00:00:00+00:00
89,85.84,85.08749999999999,82.05230769230769,80.1514,,2022-12-09 00:00:00+00:00
90,86.84,85.42583333333333,82.35730769230769,80.35600000000001,,2022-12-12 00:00:00+00:00
91,86.97,85.75916666666666,82.66153846153846,80.5258,,2022-12-13 00:00:00+00:00
92,87.33,86.12583333333333,82.97461538461539,80.70240000000001,,2022-12-14 00:00:00+00:00
93,86.95,86.46833333333332,83.25884615384614,80.8876,,2022-12-15 00:00:00+00:00
94,86.93,86.60416666666667,83.5123076923077,81.12679999999999,,2022-12-16 00:00:00+00:00
95,87.12,86.74583333333334,83.80230769230769,81.3622,,2022-12-19 00:00:00+00:00
96,83.13,86.46333333333332,84.02846153846154,81.4966,,2022-12-20 00:00:00+00:00
97,85.36,86.385,84.35115384615385,81.656,,2022-12-21 00:00:00+00:00
98,85.17,86.3675,84.64846153846153,81.8122,,2022-12-22 00:00:00+00:00
99,85.41,86.21666666666665,84.89269230769231,81.944,,2022-12-23 00:00:00+00:00
100,85.94,86.0825,85.13000000000001,82.10860000000001,,2022-12-27 00:00:00+00:00
101,84.76,85.9925,85.27346153846155,82.2556,,2022-12-28 00:00:00+00:00
102,84.38,85.78750000000001,85.36576923076925,82.37780000000001,,2022-12-29 00:00:00+00:00
103,83.85,85.52749999999999,85.43038461538461,82.4922,,2022-12-30 00:00:00+00:00
104,83.22,85.185,85.4473076923077,82.6232,,2023-01-03 00:00:00+00:00
105,83.89,84.92999999999999,85.48269230769232,82.7602,,2023-01-04 00:00:00+00:00
106,84.41,84.72,85.53961538461537,82.896,,2023-01-05 00:00:00+00:00
107,85.96,84.62333333333333,85.65961538461539,83.0492,,2023-01-06 00:00:00+00:00
108,84.68,84.7525,85.63576923076923,83.17559999999999,,2023-01-09 00:00:00+00:00
109,84.05,84.64333333333333,85.58307692307692,83.2592,,2023-01-10 00:00:00+00:00
110,83.95,84.54166666666667,85.48423076923076,83.30680000000001,,2023-01-11 00:00:00+00:00
111,82.53,84.30166666666666,85.33923076923078,83.3258,,2023-01-12 00:00:00+00:00
112,82.51,84.01583333333333,85.22884615384615,83.37020000000001,,2023-01-13 00:00:00+00:00
113,81.86,83.77416666666667,85.0226923076923,83.4112,,2023-01-17 00:00:00+00:00
114,78.41,83.27666666666667,84.67115384615384,83.40119999999999,,2023-01-18 00:00:00+00:00
115,77.45,82.74333333333334,84.34846153846154,83.369,,2023-01-19 00:00:00+00:00
116,77.46,82.26333333333334,83.98769230769231,83.3344,,2023-01-20 00:00:00+00:00
117,77.4,81.72250000000001,83.61961538461539,83.2912,,2023-01-23 00:00:00+00:00
118,77.01,81.10583333333334,83.22269230769231,83.2246,,2023-01-24 00:00:00+00:00
119,77.87,80.43166666666667,82.87346153846154,83.1904,,2023-01-25 00:00:00+00:00
120,76.8,79.77499999999999,82.48384615384614,83.1814,,2023-01-26 00:00:00+00:00
121,77.89,79.26166666666667,82.12884615384615,83.1998,,2023-01-27 00:00:00+00:00
122,78.21,78.78333333333335,81.93961538461538,83.21520000000001,,2023-01-30 00:00:00+00:00
123,78.36,78.43583333333333,81.6703846153846,83.20120000000001,,2023-01-31 00:00:00+00:00
124,77.99,78.05916666666667,81.39423076923077,83.1656,,2023-02-01 00:00:00+00:00
125,75.9,77.5625,81.02846153846154,83.06299999999999,,2023-02-02 00:00:00+00:00
126,75.48,77.31833333333334,80.62615384615385,82.93299999999999,,2023-02-03 00:00:00+00:00
127,77.18,77.29583333333333,80.33461538461539,82.83319999999999,,2023-02-06 00:00:00+00:00
128,76.31,77.2,80.02423076923077,82.70380000000002,,2023-02-07 00:00:00+00:00
129,75.74,77.06166666666667,79.71230769230769,82.5592,,2023-02-08 00:00:00+00:00
130,75.22,76.9125,79.40461538461538,82.405,,2023-02-09 00:00:00+00:00
131,76.09,76.76416666666667,79.10461538461537,82.27,,2023-02-10 00:00:00+00:00
132,76.6,76.7475,78.80423076923077,82.096,,2023-02-13 00:00:00+00:00
133,75.35,76.53583333333334,78.39615384615385,81.8946,,2023-02-14 00:00:00+00:00
134,75.11,76.27749999999999,78.02807692307692,81.66640000000001,,2023-02-15 00:00:00+00:00
135,75.11,76.00666666666666,77.68423076923077,81.4426,,2023-02-16 00:00:00+00:00
136,76.77,75.90499999999999,77.40807692307692,81.2704,,2023-02-17 00:00:00+00:00
137,80.16,76.26,77.31692307692308,81.1292,,2023-02-21 00:00:00+00:00
138,80.28,76.66,77.23115384615384,80.98379999999999,,2023-02-22 00:00:00+00:00
139,80.3,76.92,77.17115384615384,80.873,,2023-02-23 00:00:00+00:00
140,80.64,77.28083333333332,77.25692307692307,80.749,,2023-02-24 00:00:00+00:00
141,80.98,77.71749999999999,77.39269230769231,80.6292,,2023-02-27 00:00:00+00:00
142,79.51,78.075,77.47153846153846,80.47279999999999,,2023-02-28 00:00:00+00:00
143,78.85,78.30499999999999,77.52730769230769,80.3108,,2023-03-01 00:00:00+00:00
144,78.95,78.50083333333333,77.60192307692309,80.1512,,2023-03-02 00:00:00+00:00
145,79.6,78.855,77.66846153846153,80.0008,,2023-03-03 00:00:00+00:00
146,79.11,79.18833333333333,77.75730769230769,79.9204,,2023-03-06 00:00:00+00:00
147,79.04,79.51583333333333,77.80153846153846,79.794,,2023-03-07 00:00:00+00:00
148,79.17,79.71583333333334,77.83846153846154,79.67399999999999,,2023-03-08 00:00:00+00:00
149,78.64,79.58916666666666,77.84923076923077,79.5386,,2023-03-09 00:00:00+00:00
150,78.52,79.4425,77.86961538461539,79.39020000000001,,2023-03-10 00:00:00+00:00
151,79.79,79.4,78.01923076923077,79.2908,,2023-03-13 00:00:00+00:00
152,80.16,79.36,78.19923076923077,79.2064,,2023-03-14 00:00:00+00:00
153,80.95,79.3575,78.34423076923078,79.1484,,2023-03-15 00:00:00+00:00
154,80.47,79.4375,78.50423076923077,79.0934,,2023-03-16 00:00:00+00:00
155,79.79,79.51583333333333,78.66,79.01140000000001,,2023-03-17 00:00:00+00:00
156,80.65,79.6575,78.86884615384616,78.9362,,2023-03-20 00:00:00+00:00
157,80.75,79.75333333333333,79.04807692307692,78.83200000000001,,2023-03-21 00:00:00+00:00
158,79.87,79.81666666666668,79.17384615384616,78.7358,,2023-03-22 00:00:00+00:00
159,82.15,80.07583333333334,79.43538461538462,78.6978,,2023-03-23 00:00:00+00:00
160,84.8,80.545,79.80807692307691,78.7148,,2023-03-24 00:00:00+00:00
161,84.88,81.06500000000001,80.18384615384616,78.76180000000001,,2023-03-27 00:00:00+00:00
162,84.77,81.58583333333334,80.49153846153847,78.807,,2023-03-28 00:00:00+00:00
163,85.03,82.0225,80.67884615384615,78.8704,,2023-03-29 00:00:00+00:00
164,84.96,82.4225,80.85884615384614,79.0014,,2023-03-30 00:00:00+00:00
165,85.46,82.79833333333333,81.0573076923077,79.1616,,2023-03-31 00:00:00+00:00
166,85.92,83.25250000000001,81.26038461538461,79.3308,,2023-04-03 00:00:00+00:00
167,86.07,83.77583333333332,81.45615384615385,79.5042,,2023-04-04 00:00:00+00:00
168,87.06,84.31,81.74653846153845,79.70519999999999,,2023-04-05 00:00:00+00:00
169,86.9,84.8225,82.05615384615385,79.8858,,2023-04-06 00:00:00+00:00
170,86.35,85.3625,82.34076923076924,80.07679999999999,,2023-04-10 00:00:00+00:00
171,87.06,85.77166666666666,82.6276923076923,80.2602,,2023-04-11 00:00:00+00:00
172,87.01,85.95583333333333,82.93153846153847,80.4362,,2023-04-12 00:00:00+00:00
173,86.95,86.12833333333333,83.23576923076924,80.608,,2023-04-13 00:00:00+00:00
174,86.56,86.27749999999999,83.52,80.7794,,2023-04-14 00:00:00+00:00
175,87.09,86.44916666666667,83.845,81.00319999999999,,2023-04-17 00:00:00+00:00
176,87.48,86.65916666666665,84.18961538461538,81.2432,,2023-04-18 00:00:00+00:00
177,87.13,86.79833333333333,84.47192307692308,81.4422,,2023-04-19 00:00:00+00:00
178,87.57,86.93583333333333,84.75692307692307,81.6674,,2023-04-20 00:00:00+00:00
179,87.45,87.05083333333334,85.00692307692309,81.9016,,2023-04-21 00:00:00+00:00
180,87.62,87.09750000000001,85.28192307692308,82.1496,,2023-04-24 00:00:00+00:00
181,88.5,87.23083333333334,85.61692307692307,82.3978,,2023-04-25 00:00:00+00:00
182,87.88,87.35833333333333,85.895,82.6234,,2023-04-26 00:00:00+00:00
183,88.79,87.5025,86.20423076923076,82.89219999999999,,2023-04-27 00:00:00+00:00
184,88.63,87.6375,86.54115384615385,83.1626,,2023-04-28 00:00:00+00:00
185,89.37,87.83916666666666,86.81884615384615,83.44779999999999,,2023-05-01 00:00:00+00:00
186,89.0,88.0425,86.98038461538462,83.69239999999999,,2023-05-02 00:00:00+00:00
187,88.83,88.1875,87.13230769230769,83.8658,,2023-05-03 00:00:00+00:00
188,89.4,88.34750000000001,87.31038461538462,84.0482,,2023-05-04 00:00:00+00:00
189,89.81,88.57083333333333,87.49423076923077,84.2384,,2023-05-05 00:00:00+00:00
