,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,118.19,,,,,2022-08-04 00:00:00+00:00
1,117.47,,,,,2022-08-05 00:00:00+00:00
2,117.3,,,,,2022-08-08 00:00:00+00:00
3,116.63,,,,,2022-08-09 00:00:00+00:00
4,119.7,,,,,2022-08-10 00:00:00+00:00
5,118.84,,,,,2022-08-11 00:00:00+00:00
6,121.68,,,,,2022-08-12 00:00:00+00:00
7,122.08,,,,,2022-08-15 00:00:00+00:00
8,121.7,,,,,2022-08-16 00:00:00+00:00
9,119.55,,,,,2022-08-17 00:00:00+00:00
10,120.17,,,,,2022-08-18 00:00:00+00:00
11,117.21,119.21,,,,2022-08-19 00:00:00+00:00
12,114.24,118.88083333333333,,,,2022-08-22 00:00:00+00:00
13,113.86,118.57999999999998,,,,2022-08-23 00:00:00+00:00
14,113.69,118.27916666666665,,,,2022-08-24 00:00:00+00:00
15,116.65,118.28083333333335,,,,2022-08-25 00:00:00+00:00
16,110.34,117.50083333333333,,,,2022-08-26 00:00:00+00:00
17,109.42,116.71583333333335,,,,2022-08-29 00:00:00+00:00
18,108.94,115.65416666666668,,,,2022-08-30 00:00:00+00:00
19,108.22,114.49916666666665,,,,2022-08-31 00:00:00+00:00
20,109.74,113.5025,,,,2022-09-01 00:00:00+00:00
21,107.85,112.52749999999999,,,,2022-09-02 00:00:00+00:00
22,106.81,111.41416666666667,,,,2022-09-06 00:00:00+00:00
23,109.45,110.7675,,,,2022-09-07 00:00:00+00:00
24,108.38,110.27916666666665,,,,2022-09-08 00:00:00+00:00
25,110.65,110.01166666666667,114.56769230769231,,,2022-09-09 00:00:00+00:00
26,110.86,109.77583333333332,114.28576923076922,,,2022-09-12 00:00:00+00:00
27,104.32,108.74833333333333,113.78,,,2022-09-13 00:00:00+00:00
28,105.0,108.30333333333334,113.30692307692308,,,2022-09-14 00:00:00+00:00
29,102.91,107.76083333333332,112.77923076923076,,,2022-09-15 00:00:00+00:00
30,102.8,107.24916666666665,112.12923076923077,,,2022-09-16 00:00:00+00:00
31,103.07,106.82000000000001,111.5226923076923,,,2022-09-19 00:00:00+00:00
32,101.14,106.10333333333334,110.73269230769232,,,2022-09-20 00:00:00+00:00
33,99.28,105.38916666666665,109.85576923076923,,,2022-09-21 00:00:00+00:00
34,100.14,104.83333333333333,109.02653846153845,,,2022-09-22 00:00:00+00:00
35,98.74,103.94083333333333,108.22615384615385,,,2022-09-23 00:00:00+00:00
