,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,331.87,,,,,2022-08-04 00:00:00+00:00
1,334.67,,,,,2022-08-05 00:00:00+00:00
2,334.68,,,,,2022-08-08 00:00:00+00:00
3,336.62,,,,,2022-08-09 00:00:00+00:00
4,347.91,,,,,2022-08-10 00:00:00+00:00
5,351.68,,,,,2022-08-11 00:00:00+00:00
6,353.82,,,,,2022-08-12 00:00:00+00:00
7,355.85,,,,,2022-08-15 00:00:00+00:00
8,354.97,,,,,2022-08-16 00:00:00+00:00
9,353.74,,,,,2022-08-17 00:00:00+00:00
10,354.52,,,,,2022-08-18 00:00:00+00:00
11,349.27,346.6333333333334,,,,2022-08-19 00:00:00+00:00
12,342.42,347.51250000000005,,,,2022-08-22 00:00:00+00:00
13,340.18,347.97166666666664,,,,2022-08-23 00:00:00+00:00
14,341.94,348.57666666666665,,,,2022-08-24 00:00:00+00:00
15,346.49,349.39916666666664,,,,2022-08-25 00:00:00+00:00
16,336.4,348.44,,,,2022-08-26 00:00:00+00:00
17,333.92,346.96,,,,2022-08-29 00:00:00+00:00
18,333.63,345.2775,,,,2022-08-30 00:00:00+00:00
19,332.67,343.34583333333336,,,,2022-08-31 00:00:00+00:00
20,333.5,341.5566666666667,,,,2022-09-01 00:00:00+00:00
21,331.48,339.70166666666665,,,,2022-09-02 00:00:00+00:00
22,326.49,337.36583333333334,,,,2022-09-06 00:00:00+00:00
23,330.56,335.8066666666667,,,,2022-09-07 00:00:00+00:00
24,335.38,335.22,,,,2022-09-08 00:00:00+00:00
25,340.1,335.2133333333333,340.9523076923077,,,2022-09-09 00:00:00+00:00
26,342.58,335.26666666666665,341.36423076923074,,,2022-09-12 00:00:00+00:00
27,328.39,333.7583333333333,341.12269230769226,,,2022-09-13 00:00:00+00:00
28,327.26,332.99666666666667,340.8373076923077,,,2022-09-14 00:00:00+00:00
29,331.62,332.805,340.64500000000004,,,2022-09-15 00:00:00+00:00
30,326.21,332.18666666666667,339.8103846153846,,,2022-09-16 00:00:00+00:00
31,328.66,331.8525,338.92499999999995,,,2022-09-19 00:00:00+00:00
32,323.26,330.99916666666667,337.74961538461537,,,2022-09-20 00:00:00+00:00
33,320.71,330.1016666666667,336.3980769230769,,,2022-09-21 00:00:00+00:00
34,312.92,328.9708333333333,334.7807692307693,,,2022-09-22 00:00:00+00:00
35,301.97,326.5883333333333,332.7896153846154,,,2022-09-23 00:00:00+00:00
36,294.62,323.19166666666666,330.4857692307693,,,2022-09-26 00:00:00+00:00
37,291.38,319.13166666666666,328.2592307692308,,,2022-09-27 00:00:00+00:00
38,300.79,315.64916666666664,326.6580769230769,,,2022-09-28 00:00:00+00:00
39,296.11,312.9591666666667,324.963076923077,,,2022-09-29 00:00:00+00:00
40,293.05,310.10833333333335,323.0826923076923,,,2022-09-30 00:00:00+00:00
41,299.15,307.4025,321.26192307692304,,,2022-10-03 00:00:00+00:00
42,314.87,306.4575,320.43384615384616,,,2022-10-04 00:00:00+00:00
43,309.0,304.81916666666666,319.47538461538466,,,2022-10-05 00:00:00+00:00
44,304.67,303.27,318.36153846153843,,,2022-10-06 00:00:00+00:00
45,301.08,301.63416666666666,317.14653846153846,,,2022-10-07 00:00:00+00:00
46,300.54,300.6025,315.87884615384615,,,2022-10-10 00:00:00+00:00
47,294.21,299.9558333333334,314.4453846153846,,,2022-10-11 00:00:00+00:00
48,295.31,300.0133333333334,313.24615384615385,,,2022-10-12 00:00:00+00:00
49,307.07,301.3208333333333,312.34269230769235,326.2038,,2022-10-13 00:00:00+00:00
50,299.99,301.25416666666666,310.9815384615385,325.5662,,2022-10-14 00:00:00+00:00
51,306.71,302.1375,309.6973076923077,325.00699999999995,,2022-10-17 00:00:00+00:00
52,313.85,303.87083333333334,308.59230769230766,324.5904,,2022-10-18 00:00:00+00:00
53,311.76,304.9216666666667,307.9526923076923,324.0932,,2022-10-19 00:00:00+00:00
54,310.81,304.5833333333333,307.32000000000005,323.3512,,2022-10-20 00:00:00+00:00
55,325.1,305.925,307.0692307692308,322.8196,,2022-10-21 00:00:00+00:00
56,328.7,307.9275,307.165,322.3172,,2022-10-24 00:00:00+00:00
57,332.4,310.5375,307.30884615384616,321.8482,,2022-10-25 00:00:00+00:00
58,335.69,313.46666666666664,307.7869230769231,321.4626,,2022-10-26 00:00:00+00:00
59,337.18,317.0475,308.42038461538465,321.13140000000004,,2022-10-27 00:00:00+00:00
60,341.82,320.92333333333335,309.5319230769231,320.8774,,2022-10-28 00:00:00+00:00
61,344.51,324.04333333333335,311.1680769230769,320.7822,,2022-10-31 00:00:00+00:00
62,348.58,328.0925,313.24346153846153,320.9054,,2022-11-01 00:00:00+00:00
63,349.79,331.68249999999995,315.49,321.0976,,2022-11-02 00:00:00+00:00
64,348.87,334.60083333333336,317.33923076923077,321.23620000000005,,2022-11-03 00:00:00+00:00
65,357.91,338.44666666666666,319.7161538461539,321.4646,,2022-11-04 00:00:00+00:00
66,362.56,342.7591666666667,322.3896153846154,321.9878,,2022-11-07 00:00:00+00:00
