,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,212.72,,,,,2022-08-04 00:00:00+00:00
1,212.81,,,,,2022-08-05 00:00:00+00:00
2,211.34,,,,,2022-08-08 00:00:00+00:00
3,210.07,,,,,2022-08-09 00:00:00+00:00
4,216.72,,,,,2022-08-10 00:00:00+00:00
5,216.52,,,,,2022-08-11 00:00:00+00:00
6,218.89,,,,,2022-08-12 00:00:00+00:00
7,216.7,,,,,2022-08-15 00:00:00+00:00
8,212.87,,,,,2022-08-16 00:00:00+00:00
9,208.99,,,,,2022-08-17 00:00:00+00:00
10,215.04,,,,,2022-08-18 00:00:00+00:00
11,215.03,213.975,,,,2022-08-19 00:00:00+00:00
12,212.39,213.94750000000002,,,,2022-08-22 00:00:00+00:00
13,210.25,213.73416666666665,,,,2022-08-23 00:00:00+00:00
14,210.42,213.6575,,,,2022-08-24 00:00:00+00:00
15,213.56,213.94833333333335,,,,2022-08-25 00:00:00+00:00
16,204.98,212.97000000000003,,,,2022-08-26 00:00:00+00:00
17,204.08,211.93333333333337,,,,2022-08-29 00:00:00+00:00
18,201.78,210.50749999999996,,,,2022-08-30 00:00:00+00:00
19,197.87,208.93833333333336,,,,2022-08-31 00:00:00+00:00
20,199.45,207.82000000000002,,,,2022-09-01 00:00:00+00:00
21,200.03,207.0733333333333,,,,2022-09-02 00:00:00+00:00
22,200.71,205.87916666666663,,,,2022-09-06 00:00:00+00:00
23,212.16,205.64000000000001,,,,2022-09-07 00:00:00+00:00
24,216.21,205.95833333333334,,,,2022-09-08 00:00:00+00:00
25,219.7,206.7458333333333,210.43423076923077,,,2022-09-09 00:00:00+00:00
26,222.36,207.74083333333337,210.80499999999998,,,2022-09-12 00:00:00+00:00
27,212.04,207.61416666666665,210.7753846153846,,,2022-09-13 00:00:00+00:00
28,208.76,207.92916666666667,210.67615384615385,,,2022-09-14 00:00:00+00:00
29,208.97,208.33666666666667,210.63384615384618,,,2022-09-15 00:00:00+00:00
30,209.67,208.9941666666667,210.36269230769233,,,2022-09-16 00:00:00+00:00
31,208.39,209.87083333333337,210.04999999999998,,,2022-09-19 00:00:00+00:00
32,201.76,210.0633333333333,209.39115384615386,,,2022-09-20 00:00:00+00:00
33,198.84,209.96416666666667,208.70423076923075,,,2022-09-21 00:00:00+00:00
34,194.06,209.41,207.98076923076923,,,2022-09-22 00:00:00+00:00
35,191.5,207.6883333333333,207.30807692307692,,,2022-09-23 00:00:00+00:00
36,187.24,205.27416666666667,206.23884615384617,,,2022-09-26 00:00:00+00:00
37,184.31,202.32500000000002,205.0573076923077,,,2022-09-27 00:00:00+00:00
38,189.94,199.62333333333333,204.19384615384615,,,2022-09-28 00:00:00+00:00
