,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,307.17,,,,,2022-08-04 00:00:00+00:00
1,309.69,,,,,2022-08-05 00:00:00+00:00
2,311.97,,,,,2022-08-08 00:00:00+00:00
3,305.21,,,,,2022-08-09 00:00:00+00:00
4,311.58,,,,,2022-08-10 00:00:00+00:00
5,310.69,,,,,2022-08-11 00:00:00+00:00
6,314.89,,,,,2022-08-12 00:00:00+00:00
7,314.61,,,,,2022-08-15 00:00:00+00:00
8,327.38,,,,,2022-08-16 00:00:00+00:00
9,325.76,,,,,2022-08-17 00:00:00+00:00
10,325.21,,,,,2022-08-18 00:00:00+00:00
11,321.32,315.45666666666665,,,,2022-08-19 00:00:00+00:00
12,312.21,315.87666666666667,,,,2022-08-22 00:00:00+00:00
13,306.9,315.64416666666665,,,,2022-08-23 00:00:00+00:00
14,308.11,315.3225,,,,2022-08-24 00:00:00+00:00
15,309.78,315.7033333333333,,,,2022-08-25 00:00:00+00:00
16,298.1,314.58,,,,2022-08-26 00:00:00+00:00
17,296.32,313.3825,,,,2022-08-29 00:00:00+00:00
18,293.1,311.56666666666666,,,,2022-08-30 00:00:00+00:00
19,288.42,309.38416666666666,,,,2022-08-31 00:00:00+00:00
20,293.37,306.55,,,,2022-09-01 00:00:00+00:00
21,291.9,303.72833333333335,,,,2022-09-02 00:00:00+00:00
22,289.54,300.7558333333333,,,,2022-09-06 00:00:00+00:00
23,297.47,298.7683333333333,,,,2022-09-07 00:00:00+00:00
24,299.9,297.7425,,,,2022-09-08 00:00:00+00:00
25,299.77,297.14833333333337,306.5526923076923,,,2022-09-09 00:00:00+00:00
26,297.54,296.2675,306.1823076923077,,,2022-09-12 00:00:00+00:00
27,277.93,293.61333333333334,304.96076923076924,,,2022-09-13 00:00:00+00:00
28,276.34,291.8,303.5903846153846,,,2022-09-14 00:00:00+00:00
29,271.54,289.73499999999996,302.29538461538465,,,2022-09-15 00:00:00+00:00
30,275.97,288.3075,300.9257692307692,,,2022-09-16 00:00:00+00:00
31,280.42,287.6408333333333,299.7615384615384,,,2022-09-19 00:00:00+00:00
32,274.17,286.04083333333335,298.1953846153846,,,2022-09-20 00:00:00+00:00
33,271.57,284.34666666666664,296.54,,,2022-09-21 00:00:00+00:00
34,269.14,282.6466666666667,294.3,,,2022-09-22 00:00:00+00:00
35,270.94,280.43583333333333,292.19153846153847,,,2022-09-23 00:00:00+00:00
36,266.58,277.65916666666664,289.9365384615385,,,2022-09-26 00:00:00+00:00
37,268.69,275.06916666666666,287.9123076923077,,,2022-09-27 00:00:00+00:00
