,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,99.86,,,,,2022-08-04 00:00:00+00:00
1,102.89,,,,,2022-08-05 00:00:00+00:00
2,103.99,,,,,2022-08-08 00:00:00+00:00
3,106.58,,,,,2022-08-09 00:00:00+00:00
4,107.59,,,,,2022-08-10 00:00:00+00:00
5,112.14,,,,,2022-08-11 00:00:00+00:00
6,113.72,,,,,2022-08-12 00:00:00+00:00
7,111.46,,,,,2022-08-15 00:00:00+00:00
8,110.88,,,,,2022-08-16 00:00:00+00:00
9,112.75,,,,,2022-08-17 00:00:00+00:00
10,116.9,,,,,2022-08-18 00:00:00+00:00
11,116.63,109.61583333333333,,,,2022-08-19 00:00:00+00:00
12,116.23,110.98,,,,2022-08-22 00:00:00+00:00
13,120.14,112.4175,,,,2022-08-23 00:00:00+00:00
14,123.13,114.0125,,,,2022-08-24 00:00:00+00:00
15,124.65,115.51833333333333,,,,2022-08-25 00:00:00+00:00
16,124.6,116.93583333333333,,,,2022-08-26 00:00:00+00:00
17,126.61,118.14166666666667,,,,2022-08-29 00:00:00+00:00
18,122.12,118.84166666666665,,,,2022-08-30 00:00:00+00:00
19,120.78,119.61833333333334,,,,2022-08-31 00:00:00+00:00
20,116.45,120.0825,,,,2022-09-01 00:00:00+00:00
21,120.91,120.7625,,,,2022-09-02 00:00:00+00:00
22,119.44,120.97416666666668,,,,2022-09-06 00:00:00+00:00
23,117.96,121.085,,,,2022-09-07 00:00:00+00:00
24,118.1,121.24083333333334,,,,2022-09-08 00:00:00+00:00
25,122.47,121.435,115.73,,,2022-09-09 00:00:00+00:00
26,126.92,121.75083333333335,116.77076923076923,,,2022-09-12 00:00:00+00:00
27,123.7,121.67166666666667,117.57115384615385,,,2022-09-13 00:00:00+00:00
28,128.09,121.96250000000002,118.49807692307694,,,2022-09-14 00:00:00+00:00
29,124.95,121.82416666666667,119.20461538461538,,,2022-09-15 00:00:00+00:00
30,121.64,121.78416666666668,119.74500000000002,,,2022-09-16 00:00:00+00:00
31,120.27,121.74166666666666,120.0576923076923,,,2022-09-19 00:00:00+00:00
32,119.31,121.98,120.27269230769231,,,2022-09-20 00:00:00+00:00
